"Blast-Off Blue","blast-off-blue","#4c6393"
"Mosaic Glass","mp11759","#d9d7b7"
"Nephrite","mp10103","#88cfb5"
"Old Copper Roof","mp3397","#93bfb4"
"Palomino Mane","mp3573","#f9e8b4"
"Pastille Blue","mp12322","#adc5d6"
"Peach Smoothie","mp12409","#f2b281"
"Peach Treat","mp187","#f5c29a"
"Peach Veil","mp6944","#f9d9b0"
"Peach Whisper","mp1220","#f8d4b6"
"Peachy Pink","mp181","#ffa173"
"Persian Melon","mp1203","#f4b99f"
"Pueblo Rose","mp8803","#efac78"
"Quiet Refuge","mp12204","#909fc6"
"Sedum Green","mp5742","#b6e7da"
"Sheer Natural","mp10551","#ffebd4"
"Shy Pink","mp660","#f2c9ba"
"Sky Pilot","mp11249","#7dbec1"
"Spiderwort","mp11712","#a293a7"
"Still Life Beige","mp1025","#f8d1a2"
"Tangled Up In Blue","mp8334","#d2e5e9"
"Tangy Glo","mp1226","#f1a874"
"Toasted Tan","mp6847","#f0c0a5"
"Violet Mist","mp7663","#e6ced8"
"Violet Water","mp7499","#e0d0d5"
"Wilted Lilac","mp5874","#b1a3af"
"Zen Blue","mp11896","#bec6e4"
"Copper Prl over Hot Oro","mp23469-23560","#be9584"
"Copper Prl over Scarlet Letter","mp23467-23560","#ac4d46"
"Copper Prl over Victoria Green","mp23464-23560","#6d6a64"
"Crimson Prl over Black","mp23591-23351","#7b475b"
"Crimson Prl over Eagle Feather","mp23466-23551","#dee5d5"
"Crimson Prl over Hot Oro","mp23469-23551","#c5afa9"
"Crimson Prl over Hot Plata","mp23468-23551","#b8b9ba"
"Crimson Prl over Scarlet Letter","mp23467-23551","#b45865"
"Crimson Prl over Victoria Green","mp23464-23554","#81afb4"
"Eagle Feather Basecoat","mp23466","#d5d8ce"
"Frost White Prl over Black","mp23591-23558","#676e72"
"Frost White Prl over Eagle Feather","mp23466-23558","#e6efd6"
"Frost White Prl over Hot Plata","mp23468-23558","#bfc1c1"
"Frost White Prl over Scarlet Letter","mp23467-23558","#af777e"
"Gold Dust Prl over Eagle Feather","mp23466-23554","#eae6cc"
"Gold Dust Prl over Hot Oro","mp23469-23554","#c0aa93"
"Gold Dust Prl over Hot Plata","mp23468-23554","#bfb8aa"
"Gold Dust Prl over Victoria Green","mp23464-23554","#7a927b"
"Hot Oro Basecoat","mp23469","#c0b0a7"
"Hot Plata Basecoat","mp23468","#bfc1c1"
"Opal Blue Prl over Black","mp23591-23552","#3a6d8e"
"Opal Blue Prl over Eagle Feather","mp23466-23552","#e6e6d6"
"Opal Blue Prl over Hot Oro","mp23469-23552","#beb3ba"
"Opal Blue Prl over Hot Plata","mp23468-23552","#a9b2b8"
"Opal Blue Prl over Scarlet Letter","mp23467-23552","#af648b"
"Opal Blue Prl over Victoria Green","mp23464-23552","#2d8ca5"
"Russet Prl over Black","mp23591-23559","#69213a"
"Russet Prl over Victoria Green","mp2346423559","#6e7a73"
"Scarlet Letter Basecoat","mp23467","#b12941"
"Victoria Green Basecoat","mp23464","#11797b"
"Anasazi Red Met.","mp25307","#6d3e49"
"Arapaho Red Met.","mp22341","#b1364b"
"Blush Wine Met.","mp22298","#b04469"
"Brick Red Met.","mp22351","#a06a60"
"Bronce Red Met.","mp22340","#68283d"
"Bronze Red Met.","mp22346","#a0514f"
"Browntone Met.","mp25296","#965638"
"Carmine Met.","mp34988","#581a35"
"Cereza Red Met.","mp22311","#a7364b"
"Cherry Red Met.","mp22287","#af4c65"
"Ciliegia Red Met.","mp22289","#c6709e"
"Clay Red Met.","mp22348","#9c213c"
"Concord Grape Met.","mp22306","#58173a"
"Cote de Nuits Met.","mp46760","#521633"
"Cuivre Red Met.","mp22353","#aa6a60"
"Deep Rust Red Met.","mp22309","#6b213e"
"Faded Copper Met.","mp25281","#c89b8c"
"Fortuna Red Met.","mp25336","#c24576"
"Frosty Grape Met.","mp22360","#bb8f93"
"Frosty Lavender Met.","mp22363","#d3afb1"
"Frosty Ruby Met.","mp22359","#ce5d8e"
"Frosty Rust Met.","mp22358","#b89288"
"Frosty Wine Met.","mp22362","#c79b95"
"Heady Pink Met.","mp25338","#c2456d"
"Light Iris Met.","mp22305","#a7718e"
"Light Woodrose Met.","mp22361","#e5a9a5"
"Marin Red Met.","mp25314","#5e1a39"
"Merlot Red Met.","mp22303","#62183f"
"Mirtillo Red Met.","mp22295","#cb87aa"
"Myst Pink Met.","mp25341","#b96492"
"New Bronze Met.","mp47934","#ab654e"
"Orchidea Red Met.","mp22296","#d298b2"
"Pima Red Met.","mp22342","#ae2b00"
"Porpora Red Met.","mp22307","#691844"
"Porto Red Met.","mp22294","#5b1737"
"Rame Red Met.","mp22350","#663540"
"Raspberry Met.","mp19759","#bc506a"
"Red Canyon Met.","mp47251","#5f1b36"
"Red Creek Met.","mp25295","#ac5c45"
"Reserva Red Met.","mp22310","#a7363f"
"Rosetaupe Met.","mp22695","#dfc3b3"
"Roso Red Met.","mp25321","#713349"
"Rosy Glow Met.","mp46109","#bda899"
"Sangiovese Red Met.","mp44249","#6e1c43"
"Sunset Bronze Met.","mp21609","#995647"
"Sweet Pink Met.","mp25340","#bf7c9f"
"Uva Red Met.","mp25344","#672042"
"Violeta Met.","mp23308","#b378a3"
"Alizarine Red","mp11124","#c8323c"
"Amerhyst","mp8822","#926276"
"Amontillado","mp14731","#59173a"
"Apricot Glaze","mp1222","#f1ac8a"
"April Love","mp8900","#f2aaac"
"Aranciata Orange","mp1229","#ea743c"
"Arizona Rose","mp1007","#d49c92"
"Autumn Oak Leaf","mp177","#c35941"
"Barbera Red","mp11531","#7c0315"
"Bardolino Vino","mp12767","#5d0010"
"Barolo","mp16105","#5d0010"
"Beetroot","mp4766","#662d44"
"Berry Berry","mp876","#862c57"
"Berry Frappe","mp233","#aa2241"
"Black Princes Ruby","mp14833","#b40032"
"Blazing Dark","mp11718","#bf3851"
"Blazon Red","mp16091","#870000"
"Boticelli","mp4897","#a80263"
"Bouquet","mp8856","#a57086"
"Brick Pink","mp1006","#e5b3a8"
"Burgundy Bash","mp3646","#8c0000"
"Butte Force Tan","mp2728","#d39a82"
"Campbells Soup Red","mp10252","#b93b3e"
"Candystriper","mp9270","#dc5a5a"
"Canyon Coral","mp4349","#e48b5d"
"Caribbean Sunset","mp7424","#ca96ac"
"Carmolito","mp8698","#b45144"
"Carnegie Brick","mp4417","#a54c43"
"Cartoon Fleshtone","mp1011","#f9d2c8"
"Celosia Bloom","mp9244","#c36c4b"
"Charade Pink","mp1740","#e78d8e"
"Chili Powder","mp6290","#c35445"
"Chinese Pagoda","mp6893","#d8414e"
"Chinese Red","mp10843","#f04e40"
"Cinco De Mayo","mp7350","#c86b6c"
"Claret Jug","mp10658","#7e2642"
"Colonial Red","mp15967","#752332"
"Combine Red","mp15351","#c31427"
"Conch Shell","mp10588","#e8af8e"
"Copa Coral","mp9214","#e28e6b"
"Coral Necklace","mp859","#e27676"
"Cordoba Red","mp671","#813d48"
"Country Redwood","mp7693","#9a4643"
"Crabapple","mp5094","#e88768"
"Cranberry","mp273","#c4076e"
"Dark Tatar Red","mp14402","#823d3f"
"Davies Crest Red","mp1126","#800000"
"Deep Cerise","mp4870","#d44c62"
"Deep Russet","mp5462","#af5641"
"Deepwater Coral","mp216","#e36c6c"
"Dollar General Red","mp11387","#d23746"
"Egyptian Rust","mp4574","#c8644c"
"Elderberry Wine","mp14062","#9a3748"
"Ember Red","mp4631","#aa5153"
"Engine Orange","mp8528","#e4693d"
"Enzo Red","mp8514","#c3001e"
"Equestrian Purple","mp14720","#b16595"
"Escarlate","mp860","#da5d63"
"Esprit Red","mp10256","#b92223"
"Essence Of Mauve","mp688","#dcc4be"
"Fan Coral","mp7268","#ea8566"
"Fashion Pink","mp12665","#c53e56"
"Fiesta Red","mp10338","#cd221e"
"Fire Coral","mp8096","#ba635c"
"Firebreathing Red","mp15026","#fb0000"
"Flash Red","mp12019","#b22223"
"Flexi-Flyer Red","mp8937","#b43b40"
"Floribunda Red","mp25001","#c53e56"
"Ford Tractor Red","mp12009","#800000"
"Foxborough Brick","mp9252","#c86b5a"
"French Magenta","mp11237","#b62e75"
"Fuschia Red","mp5122","#bd066a"
"Giana Zinfandel","mp11798","#6b2b42"
"Goji Berry","mp13183","#9e075a"
"Grapejuice","mp878","#781a4b"
"Grapesicle","mp3382","#caa0af"
"Gravely Tractor Red","mp10844","#cd2222"
"Gryffindor Red","mp10254","#cd373c"
"Habanero Pepper","mp7163","#dd5952"
"Hint Of Copper","mp13310","#e58a62"
"Hotrod Red","mp10224","#b22222"
"Japonica","mp1741","#df7376"
"Jupiter Glow","mp7237","#da6a52"
"Kiwano Orange","mp12601","#e65732"
"Kubota Orange","mp1049","#eb603f"
"Kurdistan","mp10894","#9a535f"
"Lift Truck Orange","mp176","#de6b3d"
"Lip Gloss","mp11851","#cf5d63"
"Lorens Lip Gloss","mp9299","#d32d6b"
"Lucky Red","mp16043","#b40000"
"Machine Orange","mp855","#dc663b"
"Magenta Magic","mp870","#b42241"
"Magenta Sigh","mp285","#bd2d7f"
"Marsala Pansauce","mp15262","#863c59"
"Massey-Ferguson Red","mp14801","#be0032"
"Matchbox Car Orange","mp190","#ed6d35"
"Maui Coral","mp8744","#dc656d"
"Mauvetone","mp999","#d5aaaa"
"Mehndi Red","mp12429","#a62e18"
"Melancholy Mauve","mp5180","#8b555f"
"Melody","mp1223","#ef9e6d"
"Mesa Red","mp3366","#c07870"
"Meso Red","mp11850","#ec8e73"
"Midnight Sun","mp12876","#e37449"
"Mineral Hill","mp11661","#d99b78"
"Minium Red","mp7856","#c86b51"
"Moline Orange","mp170","#e06d36"
"Motherwort Pink","mp993","#c89ba1"
"Mountain Majesty","mp4649","#925d66"
"Murex Purple","mp3563","#884b77"
"Native Copper","mp8843","#b1574f"
"Oenophile","mp274","#a8055f"
"Orange County","mp7869","#d07a5a"
"Orange Cowry","mp13189","#cf6034"
"Orange Ember","mp205","#d74b37"
"Orange Nature","mp10429","#c35f3c"
"Orange Revolution","mp4589","#e86e46"
"Orange Rose","mp9230","#db7146"
"Orange Supreme","mp1224","#ff7d4f"
"Orange Tang","mp197","#eb6037"
"Orchid Bouquet","mp5136","#c4a1af"
"Orchis Purple","mp12477","#7a1a4a"
"Pairie Rose","mp3415","#c4215d"
"Pale Peony","mp289","#dfbecb"
"Palermo Purple","mp292","#a9598b"
"Pandora","mp8860","#e1524c"
"Pansy","mp5015","#7d5283"
"Passion Fruit","mp10908","#e17659"
"Pepsi Red","mp12565","#d70000"
"Pesca Peach","mp1225","#f1ac7f"
"Piglet Pink","mp214","#ed9aa0"
"Pinata","mp7332","#f05241"
"Pink Corsage","mp7245","#d04b81"
"Pink Panther","mp89","#e8888a"
"Pink Perfection","mp228","#f2aaa4"
"Pink Pompey","mp5718","#e47257"
"Pinking","mp865","#f5bcb8"
"Pinkish","mp244","#e17277"
"Plastic Pumpkin","mp853","#f47d34"
"Plum Crazy","mp4400","#8d5467"
"Plum Kuchen","mp4998","#6f4360"
"Plumb Line","mp5491","#c88f96"
"Polly Purple","mp9375","#a26c91"
"Porky Pink","mp249","#f1a9a6"
"Powerful Pink","mp988","#d94b91"
"Prague Streetsign Red","mp15025","#c8221e"
"Pressed Rose Pink","mp14440","#c9947f"
"Prestone Pink","mp16322","#d95489"
"Pretty In Pink","mp221","#f4b9ae"
"Princess Purple","mp291","#b972a7"
"Process Magenta U","mp12654","#cd4c66"
"Pulga Puce","mp13360","#b37a81"
"Purple Gallinule","mp14722","#875b8c"
"Purple Robe","mp875","#b52d7e"
"Purpleleaf Sandcherry","mp9360","#aa739d"
"Purplestone","mp11309","#8b5d7d"
"Ramjet Red","mp15194","#d6323c"
"Rapid Red","mp8131","#cd4137"
"Raspberry Wine","mp13969","#7a404e"
"Red Butte","mp10540","#bf6365"
"Red Camaro","mp10241","#d6323c"
"Red Car Line","mp15775","#ae0027"
"Red Desert","mp10327","#cb6f4e"
"Red Dragon","mp15024","#cd0000"
"Red Ferrari","mp15394","#b9221e"
"Red Ocher","mp5083","#a02813"
"Red Rage","mp15195","#be2222"
"Redbone","mp13362","#a54d49"
"Redcliff","mp6569","#a24d49"
"Rhodamine Red C","mp1090","#ee4d9b"
"Ripasso Red","mp13353","#8c2d30"
"Rosa","mp5957","#e0ae96"
"Rosa Moschata","mp13361","#dc8c97"
"Rosalita","mp11158","#e47251"
"Rose Essence","mp15170","#c64966"
"Rose Petal","mp225","#da4646"
"Roseate Spoonbill","mp5041","#cd066a"
"Rosie Ogrady","mp15762","#bc7a85"
"Rossinni Red","mp226","#b91427"
"Ruby Dee","mp14926","#ba0662"
"Ruby Laser","mp3543","#cd0000"
"Santa Ana Red","mp4705","#af584c"
"Scarlata","mp12602","#cd221e"
"Scarlet Flower","mp14776","#c72b53"
"Sedona Red","mp7100","#a95750"
"September Sun","mp15348","#d25048"
"Sequoia","mp3122","#762f30"
"Serene","mp6362","#bd6162"
"Singed Orange","mp9215","#e67359"
"Smoked Paprika","mp15389","#ae4e50"
"Sonoma Shiraz","mp8303","#5f183b"
"Southern Clay","mp192","#c35941"
"Spanish Red","mp7298","#b34f4a"
"Split Second Red","mp11936","#930000"
"Talavera Tile","mp3395","#b95644"
"Tawny Port","mp7276","#9a4246"
"Texas Scarlet","mp15430","#c31e1e"
"Tomato Spice","mp4534","#af3c3a"
"Town &amp; Country Red","mp15793","#781c1f"
"Tucson Red","mp7792","#af554f"
"Tyrian Purple","mp9382","#926597"
"Umbria Red","mp7505","#be3232"
"Velvet Rose","mp10747","#a04854"
"Violet Fantasy","mp694","#bc9aab"
"Violet Femmes","mp9369","#a0639b"
"Violet Fog","mp686","#bc92a2"
"Violet Lace","mp295","#c9adb9"
"Violet Vamp","mp296","#daafd2"
"Violet Wash","mp984","#e8c1c6"
"Warm Red U","mp9250","#e86457"
"Watermelon Gelato","mp10113","#bd6162"
"Wine Sauce","mp16068","#9d5255"
"Winetint","mp255","#863f4d"
"Yaqui Trail","mp5052","#c88d73"
"Yours Truly","mp7221","#fbddd2"
"Zinfandel","mp13827","#963c55"
"Airstream Sparkle Met.","mp19891","#a7a397"
"Amalgam Grey Met.","mp46699","#87817b"
"Basalt Met.","mp31147","#8d877f"
"Bessemer Grey Met.","mp23626","#797777"
"Black Hole Met.","mp19952","#3b4145"
"Blue Slate Met.","mp19970","#606062"
"BMW Sterling Grey Met.","mp54998","#7e7a75"
"Boron Grey Met.","mp52215","#837e79"
"Bright Silver Met.","mp18094","#bdbaae"
"Brightray Silver Met.","mp18082","#d2cdbe"
"Cast Steel Met.","mp18146","#888783"
"Cessna Black Met.","mp19925","#3b3f41"
"Beauty Pink","beauty-pink","#de2a7f"
"Black Style","black-style","#00030e"
"Fair Blue","fair-blue","#0d6dab"
"Fashion Purple","fashion-purple","#6e3674"
"Glamour Green","glamour-green","#006579"
"Shocking Green","shocking-green","#c2c827"
"Vanishing Pearl","vanishing-pearl","#c9bc9c"
"Amethyst","amethyst","#ac9bc7"
"Anthracite","anthracite","#404950"
"Antique Gold","antique-gold","#9c732a"
"Aquamarine","aquamarine","#cbdfd1"
"Azalea","azalea","#cf486f"
"Bluebell","bluebell","#a4d8e1"
"Bronze","bronze","#512f0b"
"Citrine","citrine","#f2ecd3"
"Copper","copper","#bf722f"
"Coral","coral","#feedd2"
"Emerald","emerald","#367166"
"Fairway","fairway","#769f44"
"Fine Gold","fine-gold","#dcad33"
"Flame","flame","#ec813b"
"Gold","gold","#fcca55"
"Jupiter","jupiter","#c6273a"
"Kunzite","kunzite","#e0d5e1"
"Lagoon","lagoon","#8fcdbe"
"Lapis Lazuli","lapis-lazuli","#123a56"
"Mars","mars","#a12833"
"Onyx","onyx","#041012"
"Opal","opal","#f8f0d2"
"Punch","punch","#98517e"
"Quartz","quartz","#f5eed7"
"Rose Quartz","rose-quartz","#f6c3c1"
"Ruby","ruby","#6e4b5a"
"Sapphire","sapphire","#3b537b"
"Silver","silver","#c9cbc6"
"Vista","vista","#7899c3"
"Amethyst","amethyst","#ac9bc7"
"Anthracite","anthracite","#404950"
"Antique Gold","antique-gold","#9c732a"
"Aquamarine","aquamarine","#cbdfd1"
"Azalea","azalea","#cf486f"
"Bluebell","bluebell","#a4d8e1"
"Bronze","bronze","#512f0b"
"Citrine","citrine","#f2ecd3"
"Copper","copper","#bf722f"
"Coral","coral","#feedd2"
"Emerald","emerald","#367166"
"Fairway","fairway","#769f44"
"Fine Gold","fine-gold","#dcad33"
"Flame","flame","#ec813b"
"Gold","gold","#fcca55"
"Jupiter","jupiter","#c6273a"
"Kunzite","kunzite","#e0d5e1"
"Lagoon","lagoon","#8fcdbe"
"Lapis Lazuli","lapis-lazuli","#123a56"
"Mars","mars","#a12833"
"Onyx","onyx","#041012"
"Opal","opal","#f8f0d2"
"Punch","punch","#98517e"
"Quartz","quartz","#f5eed7"
"Rose Quartz","rose-quartz","#f6c3c1"
"Ruby","ruby","#6e4b5a"
"Sapphire","sapphire","#3b537b"
"Silver","silver","#c9cbc6"
"Vista","vista","#7899c3"
"SuedeTex Ivory","suedetex-ivory","#fcfae5"
"SuedeTex Sand","suedetex-sand","#c6ba94"
"SuedeTex Tan","suedetex-tan","#ad7c3e"
"SuedeTex Cordovan","suedetex-cordovan","#421b27"
"SuedeTex Black","suedetex-black","#0d1414"
"Touche Cream","touche-cream","#f7f7cf"
"Touche Sterling","touche-sterling","#b0c2b0"
"Touche Pewter ","touche-pewter-","#687168"
"Touche Slate Blue","touche-slate-blue","#1f3d4c"
"Touche Lapis","touche-lapis","#1f314c"
"Touche Concord","touche-concord","#0b0a53"
"Touche Saffron","touche-saffron","#ae9527"
"Touche Mink","touche-mink","#352627"
"Touche Burgundy","touche-burgundy","#5c1736"
"Touche Scarlet","touche-scarlet","#99142f"
"Touche Black","touche-black","#0d1817"
"Wild White","wild-white","#fdffe6"
"Wild Clay","wild-clay","#9e3500"
"Wild Sand","wild-sand","#bb915c"
"Wild Brown","wild-brown","#16120f"
"Wild BLack","wild-black","#000000"
