"Blast-Off Blue","blast-off-blue","#4c6393"
"Pearl Cocoa","pearl-cocoa","#ccbf9f"
"Pearl Crystal","pearl-crystal","#e5edf3"
"Pearl Latte","pearl-latte","#eee7d0"
"Pearl Opal","pearl-opal","#aeb8c2"
"Pearl Silver","pearl-silver","#c1c3c0"
"Sapphire","sapphire","#1e3559"
"Verde","verde","#63b245"
"Bright Aqua","bright-aqua","#6dffb8"
"Bright Blue","bright-blue","#61ffe2"
"Bright Gold","bright-gold","#ffa029"
"Bright Green","bright-green","#c6ff43"
"Bright Magenta","bright-magenta","#ff4bb6"
"Bright Orange","bright-orange","#ff8959"
"Bright Pine","bright-pine","#4afb53"
"Bright Pink","bright-pink","#ff7ce5"
"Bright Purple","bright-purple","#b57dff"
"Bright Red","bright-red","#ff52a8"
"Bright Tangerine","bright-tangerine","#ff6b60"
"Bright Yellow","bright-yellow","#f8ff3d"
"Neenah Lively Ivory","lively-ivory","#fffad1"
"Neenah Sky Blue","sky-blue","#e6fafa"
"Neenah Star Sapphire Gray","star-sapphire-gray","#f2f5e5"
"Neenah Moonstone Blue","moonstone-blue","#f2f2ed"
"Black ","black-","#181103"
"Blue Chip","blue-chip","#111b2e"
"Bronzed","bronzed","#66512a"
"Burned","burned","#430600"
"Cream","cream","#fff7d6"
"Path","path","#c1b592"
"Peace","peace","#bfb9aa"
"Profit","profit","#454228"
"Smoked","smoked","#433b30"
"Wealth","wealth","#858379"
"Black ","black-","#070000"
"Blue","blue","#150725"
"Bordeux","bordeux","#8b1c20"
"Brown","brown","#1d0001"
"Graphite","graphite","#1c2323"
"Orange","orange","#ff6418"
"Purple","purple","#4c294c"
"Red","red","#d6083b"
"Royal Blue","royal-blue","#0046ad"
"Eclipse Black Felt","eclipse-black-felt","#060808"
"Birch Fiber","birch-fiber","#f6f7f1"
"Cottonwood Fiber","cottonwood-fiber","#f8f7f1"
"Balsa Fiber","balsa-fiber","#f9ebb1"
"Driftwood Fiber","driftwood-fiber","#dccfa8"
"Kraft Fiber","kraft-fiber","#ae8d58"
"Sunflower Fiber","sunflower-fiber","#edbb26"
"Stone Fiber","stone-fiber","#4f593b"
"Natural Fiber","natural-fiber","#fffcea"
"Cream Fiber","cream-fiber","#faf6b7"
"Gray Fiber","gray-fiber","#e3f2dc"
"Rose Fiber","rose-fiber","#f7e4ed"
"Ice Blue Fiber","ice-blue-fiber","#d7f5e8"
"Thyme Fiber","thyme-fiber","#e2f2a0"
"Periwinkle Fiber","periwinkle-fiber","#b3c7ed"
"Natural Smooth","natural-smooth","#faf7eb"
"Eclipse Black Smooth","eclipse-black-smooth","#060808"
"Ivory Linen","ivory-linen","#f3f4ba"
"Emerald Green Linen","emerald-green-linen","#0c3e17"
"Natural Linen","natural-linen","#faf7eb"
"Gray Linen","gray-linen","#dde3d4"
"Burgundy Linen","burgundy-linen","#5d083f"
"Midnight Blue Linen","midnight-blue-linen","#072053"
"Eclipse Black Linen","eclipse-black-linen","#060808"
"Natural Laid","natural-laid","#fffbec"
"Ivory Laid","ivory-laid","#f8f7dd"
"Gray Laid","gray-laid","#e6e8db"
"Eclipse Black Laid","eclipse-black-laid","#060808"
"Blackguard","mp33759","#232220"
"Blackstone","mp33348","#1f1e1c"
"Draconia","mp40821","#192021"
"Ebony King","mp30914","#141f1f"
"Onyx","mp31846","#1b1513"
"Twilight Zone","mp33260","#161614"
"Vine Charcoal","mp42359","#1e2223"
"Wells Fargo Black","mp26309","#081111"
"Amethyst Met.","mp22022","#624ba0"
"Andromeda Blue Met.","mp22028","#00354b"
"Aquateal met.","mp21999","#488386"
"Aubertite Blue Met.","mp27145","#86b7b3"
"Aura Blue Met.","mp25401","#004e66"
"Bally Blue Met.","mp41755","#3b4f8e"
"Black N Blue Met.","mp22005","#130e29"
"Blackberry Met.","mp22021","#1c1027"
"Blue Abyss Met.","mp22008","#131834"
"Blue Jade Met.","mp22004","#63a6ae"
"Breyer Blue Met.","mp19843","#00526d"
"Brina Blue Met.","mp22085","#c7cbd0"
"Cabochon Blue Met.","mp28161","#003e55"
"Carib Blue Met.","mp25405","#004157"
"Celestine Blue Met.","mp32683","#91b7c2"
"Cenere Blue Met.","mp22031","#4b516c"
"Chakra Blue Met.","mp25373","#273974"
"Champenoise Blue Met.","mp22088","#a4b0b1"
"China Blue Met.","mp22029","#00425a"
"Cuda Plum Met.","mp22023","#9b8bdb"
"Cygnus Blue Met.","mp22030","#06283d"
"Dark Matter Blue Met.","mp22027","#012c3e"
"Dark Sea Green Met.","mp26867","#538d91"
"Deepwater Blue Met.","mp21997","#003f52"
"Electric Blue Met.","mp21994","#005b79"
"Emerald Teal Met.","mp25406","#004053"
"Faerie Blue Met.","mp18124","#a0bdd2"
"Floe Blue Met.","mp25362","#aeacbe"
"Gelee Blue Met.","mp22078","#a29faf"
"Glacon Blue Met.","mp22090","#95adb1"
"Groovy Blue Met.","mp26171","#473485"
"Humo Blue Met.","mp27858","#6c87b9"
"Indigo Blue Met.","mp21992","#052c49"
"Lauderdale Blue Met.","mp25398","#308a94"
"Lavender Blue Met.","mp22010","#7f7d8d"
"Legend Blue Met.","mp22001","#003b4f"
"Marine Blue Met.","mp21993","#004661"
"Med. Gulf Blue Met.","mp34865","#004862"
"Midnite Blue Met.","mp21989","#0c243e"
"Mysteria Blue Met.","mp23002","#9992a7"
"Newport Blue Met.","mp21990","#004f6a"
"Pacific Blue Met.","mp22000","#5f9497"
"Panama Blue Met.","mp22003","#125d73"
"Passione Blue Met.","mp26181","#704a98"
"Pastello Blue Met.","mp22087","#849697"
"Pharaohs Blue Met.","mp23003","#a896eb"
"Phlox Blue Met.","mp22026","#8a7b90"
"Regal Blue Met.","mp22009","#56699b"
"Romanov Blue Met.","mp17314","#15183c"
"Royal Robe Met.","mp22024","#0e193c"
"Silver Blue Met.","mp23839","#8e96a2"
"Sleek Blue Met.","mp27188","#66afaf"
"Smooth Teal Met.","mp23561","#5d8d85"
"Tahiti Blue Met.","mp21991","#266986"
"Tetra Blue Met.","mp22007","#647eb9"
"Trillium Blue Met.","mp22025","#6f4ba9"
"Ultra Blue Met.","mp22006","#43518f"
"Violetta Frost Met.","mp22083","#c7b8c4"
"Violette Blue Met.","mp25353","#c3b4c2"
"Alhambra Mosaic Blue","mp11430","#464e8c"
"Alpine Sky Blue","mp357","#8cc0d5"
"Ameritech Blue","mp2171","#283e77"
"Amsterdam Blue","mp959","#5b6e89"
"Amulet Blue","mp2643","#5b6890"
"Anas Teal","mp12026","#006081"
"Anil Blue","mp4526","#1d1a44"
"Antwerp Blue","mp3362","#6b6a74"
"Aquagris","mp3559","#6b898c"
"Aquarious Blue","mp1063","#0084b6"
"Aquavert","mp2370","#006d95"
"Arles In Blue","mp6163","#4d6c7f"
"Asgard Wall","mp5480","#6c6a7c"
"Auckland Azure","mp8975","#7cbac9"
"Azulado","mp906","#1e1a42"
"Azureno","mp3427","#96a5d8"
"Azurine","mp970","#d5d2e7"
"Baby Boy Blue","mp344","#a3bbdb"
