"O2-3-03","o2-3-03","#c57d4f"
"O2-3-04","o2-3-04","#d08c5c"
"O2-3-05","o2-3-05","#dc9c6c"
"O2-3-06","o2-3-06","#e7af7e"
"O2-3-07","o2-3-07","#efc293"
"O2-3-08","o2-3-08","#f4d0a5"
"O2-3-09","o2-3-09","#f9ddb9"
"O2-2-03","o2-2-03","#e47e41"
"O2-2-04","o2-2-04","#ec9253"
"O2-2-05","o2-2-05","#f8a96b"
"O2-2-06","o2-2-06","#fabc81"
"O2-2-07","o2-2-07","#fdd1a2"
"O2-2-08","o2-2-08","#ffe4c1"
"R1-2-02","r1-2-02","#c46547"
"R1-2-03","r1-2-03","#d06e4e"
"R1-2-04","r1-2-04","#e1845f"
"R1-2-05","r1-2-05","#e9926c"
"R1-2-06","r1-2-06","#f2a580"
"R1-2-07","r1-2-07","#f9b896"
"R1-2-08","r1-2-08","#fecaaa"
"R1-3-02","r1-3-02","#ad6248"
"R1-3-03","r1-3-03","#bd7155"
"R1-3-04","r1-3-04","#cd8363"
"R1-3-05","r1-3-05","#d6906f"
"R1-3-06","r1-3-06","#dfa180"
"R1-3-07","r1-3-07","#e9b495"
"R1-3-08","r1-3-08","#f1c4a8"
"R1-3-09","r1-3-09","#f7d2b9"
"R1-3-10","r1-3-10","#fddfca"
"R1-4-03","r1-4-03","#a67156"
"R1-4-04","r1-4-04","#b58064"
"R1-4-05","r1-4-05","#c29073"
"R1-4-06","r1-4-06","#cc9e81"
"R1-4-07","r1-4-07","#d8ad91"
"R1-4-08","r1-4-08","#e1ba9f"
"R1-4-09","r1-4-09","#eccbb3"
"R1-4-10","r1-4-10","#f5d8c3"
"R1-5-03","r1-5-03","#926b57"
"R1-5-04","r1-5-04","#a27b66"
"R1-5-05","r1-5-05","#b18a75"
"R1-5-06","r1-5-06","#be9a84"
"R1-5-07","r1-5-07","#cbaa95"
"R1-5-08","r1-5-08","#d6b7a4"
"R1-5-09","r1-5-09","#ddc4b4"
"R1-5-10","r1-5-10","#e8d4c6"
"R1-5-11","r1-5-11","#f2e4da"
"RG-03","rg-03","#796a64"
"RG-04","rg-04","#897a73"
"RG-05","rg-05","#978881"
"RG-06","rg-06","#a89992"
"RG-07","rg-07","#b7a9a2"
"RG-08","rg-08","#c4b8b1"
"RG-09","rg-09","#d2c8c2"
"RG-10","rg-10","#ded8d2"
"RG-11","rg-11","#ede8e3"
"R2-4-03","r2-4-03","#947066"
"R2-4-04","r2-4-04","#a27e74"
"R2-4-05","r2-4-05","#af8b82"
"R2-4-06","r2-4-06","#bd9a91"
