"ispo 840 025-43","ispo-840-025-43","#cdc6a8"
"ispo 840 025-44","ispo-840-025-44","#dbd6c2"
"ispo 840 025-45","ispo-840-025-45","#ebe6d5"
"ispo 840 025-50","ispo-840-025-50","#776f4c"
"ispo 840 025-51","ispo-840-025-51","#979379"
"ispo 840 025-52","ispo-840-025-52","#b4b09b"
"ispo 840 025-53","ispo-840-025-53","#c5c2af"
"ispo 840 025-54","ispo-840-025-54","#dbd8c9"
"ispo 840 025-55","ispo-840-025-55","#e9e5d6"
"ispo 840 025-60","ispo-840-025-60","#5c5a49"
"ispo 840 025-61","ispo-840-025-61","#848277"
"ispo 840 025-62","ispo-840-025-62","#a6a49a"
"ispo 840 025-63","ispo-840-025-63","#b8b6ac"
"ispo 840 025-64","ispo-840-025-64","#d2d2ca"
"ispo 840 025-65","ispo-840-025-65","#e4e0d8"
"ispo 840 030-00","ispo-840-030-00","#d79e44"
"ispo 840 030-01","ispo-840-030-01","#e9b361"
"ispo 840 030-02","ispo-840-030-02","#ecc07c"
"ispo 840 030-03","ispo-840-030-03","#f5d094"
"ispo 840 030-04","ispo-840-030-04","#f4d8a8"
"ispo 840 030-05","ispo-840-030-05","#f7e6c8"
"ispo 840 030-10","ispo-840-030-10","#c59945"
"ispo 840 030-11","ispo-840-030-11","#d6ac64"
"ispo 840 030-12","ispo-840-030-12","#debb7e"
"ispo 840 030-13","ispo-840-030-13","#eacd97"
"ispo 840 030-14","ispo-840-030-14","#f1dbb5"
"ispo 840 030-15","ispo-840-030-15","#f5e5c8"
"ispo 840 030-20","ispo-840-030-20","#b38f40"
"ispo 840 030-21","ispo-840-030-21","#c5a566"
"ispo 840 030-22","ispo-840-030-22","#d1b57f"
"ispo 840 030-23","ispo-840-030-23","#e0c99c"
"ispo 840 030-24","ispo-840-030-24","#e7d5b2"
"ispo 840 030-25","ispo-840-030-25","#eee3cb"
"ispo 840 030-30","ispo-840-030-30","#a2874a"
"ispo 840 030-31","ispo-840-030-31","#b29d6c"
"ispo 840 030-32","ispo-840-030-32","#c5b287"
"ispo 840 030-33","ispo-840-030-33","#d2c39c"
"ispo 840 030-34","ispo-840-030-34","#e3d9bc"
"ispo 840 030-35","ispo-840-030-35","#f0e6d0"
"ispo 840 030-40","ispo-840-030-40","#8b7946"
"ispo 840 030-41","ispo-840-030-41","#a19269"
"ispo 840 030-42","ispo-840-030-42","#b2a683"
"ispo 840 030-43","ispo-840-030-43","#cac0a3"
"ispo 840 030-44","ispo-840-030-44","#ddd5be"
"ispo 840 030-45","ispo-840-030-45","#e8e1cf"
"ispo 840 030-50","ispo-840-030-50","#746a49"
"ispo 840 030-51","ispo-840-030-51","#958e73"
"ispo 840 030-52","ispo-840-030-52","#afa990"
"ispo 840 030-53","ispo-840-030-53","#c3beab"
"ispo 840 030-54","ispo-840-030-54","#d1cebe"
"ispo 840 030-55","ispo-840-030-55","#e3e1d6"
"ispo 840 030-60","ispo-840-030-60","#5a5644"
"ispo 840 030-61","ispo-840-030-61","#888373"
"ispo 840 030-62","ispo-840-030-62","#a4a093"
"ispo 840 030-63","ispo-840-030-63","#bbb6ab"
"ispo 840 030-64","ispo-840-030-64","#cecdc2"
"ispo 840 030-65","ispo-840-030-65","#e6e3da"
"ispo 840 035-00","ispo-840-035-00","#d48a45"
"ispo 840 035-01","ispo-840-035-01","#de9b5f"
"ispo 840 035-02","ispo-840-035-02","#e9b07b"
"ispo 840 035-03","ispo-840-035-03","#f1c498"
"ispo 840 035-04","ispo-840-035-04","#f4d3b2"
"ispo 840 035-05","ispo-840-035-05","#f4dfc7"
"ispo 840 035-10","ispo-840-035-10","#bc7f3f"
"ispo 840 035-11","ispo-840-035-11","#ce9960"
"ispo 840 035-12","ispo-840-035-12","#dbaf7e"
"ispo 840 035-13","ispo-840-035-13","#e2bf95"
"ispo 840 035-14","ispo-840-035-14","#e9d0b2"
"ispo 840 035-15","ispo-840-035-15","#f4e2cd"
"ispo 840 035-20","ispo-840-035-20","#af824a"
"ispo 840 035-21","ispo-840-035-21","#c09868"
"ispo 840 035-22","ispo-840-035-22","#cead82"
"ispo 840 035-23","ispo-840-035-23","#dcc09d"
"ispo 840 035-24","ispo-840-035-24","#e1cdb2"
"ispo 840 035-25","ispo-840-035-25","#efe0cd"
"ispo 840 035-30","ispo-840-035-30","#997649"
"ispo 840 035-31","ispo-840-035-31","#ae9169"
"ispo 840 035-32","ispo-840-035-32","#c4aa87"
"ispo 840 035-33","ispo-840-035-33","#d2be9f"
"ispo 840 035-34","ispo-840-035-34","#e0d2ba"
"ispo 840 035-35","ispo-840-035-35","#e8dfcd"
"ispo 840 035-40","ispo-840-035-40","#836d49"
"ispo 840 035-41","ispo-840-035-41","#a38f6e"
"ispo 840 035-42","ispo-840-035-42","#b9a88c"
"ispo 840 035-43","ispo-840-035-43","#cdbfa7"
"ispo 840 035-44","ispo-840-035-44","#d6cdbb"
"ispo 840 035-45","ispo-840-035-45","#e9e4d6"
"ispo 840 035-50","ispo-840-035-50","#6c6149"
"ispo 840 035-51","ispo-840-035-51","#918872"
"ispo 840 035-52","ispo-840-035-52","#aca48e"
"ispo 840 035-53","ispo-840-035-53","#c7beae"
"ispo 840 035-54","ispo-840-035-54","#dad3c7"
"ispo 840 035-55","ispo-840-035-55","#e9e2d7"
"ispo 840 035-60","ispo-840-035-60","#535043"
"ispo 840 035-61","ispo-840-035-61","#827f73"
"ispo 840 035-62","ispo-840-035-62","#a29d92"
"ispo 840 035-63","ispo-840-035-63","#bebaaf"
"ispo 840 035-64","ispo-840-035-64","#d3cfc5"
"ispo 840 035-65","ispo-840-035-65","#e6e3d9"
"ispo 840 040-00","ispo-840-040-00","#c46d3e"
