"K-E 3F403 60","k-e-3f403-60","#d97ac2"
"K-E 3F404 100","k-e-3f404-100","#a529b1"
"K-E 3F404 20","k-e-3f404-20","#e2cbe5"
"K-E 3F404 40","k-e-3f404-40","#d1a5d7"
"K-E 3F404 60","k-e-3f404-60","#c181ca"
"K-E 3F405 100","k-e-3f405-100","#6a2e6f"
"K-E 3F405 20","k-e-3f405-20","#d9cddb"
"K-E 3F405 40","k-e-3f405-40","#bda9c3"
"K-E 3F405 60","k-e-3f405-60","#a082a8"
"K-E 3F446 100","k-e-3f446-100","#7f25ad"
"K-E 3F446 20","k-e-3f446-20","#d7c0e3"
"K-E 3F446 40","k-e-3f446-40","#bf99d4"
"K-E 3F446 60","k-e-3f446-60","#a570c4"
"K-E 3F448 100","k-e-3f448-100","#5c3394"
"K-E 3F448 20","k-e-3f448-20","#d3c7e0"
"K-E 3F448 40","k-e-3f448-40","#b4a1cb"
"K-E 3F448 60","k-e-3f448-60","#9278b6"
"K-E 3F465 100","k-e-3f465-100","#5427b1"
"K-E 3F465 20","k-e-3f465-20","#cec9e5"
"K-E 3F465 40","k-e-3f465-40","#aba2d7"
"K-E 3F465 60","k-e-3f465-60","#8675c7"
"K-E 3F466 100","k-e-3f466-100","#4d08a1"
"K-E 3F466 20","k-e-3f466-20","#cec8e4"
"K-E 3F466 40","k-e-3f466-40","#aca2d5"
"K-E 3F466 60","k-e-3f466-60","#8774c3"
"K-E 4F402 100","k-e-4f402-100","#242c73"
"K-E 4F402 20","k-e-4f402-20","#c0c5d9"
"K-E 4F402 40","k-e-4f402-40","#949ec0"
"K-E 4F402 60","k-e-4f402-60","#6875a4"
"K-E 4F475 100","k-e-4f475-100","#3b33b3"
"K-E 4F475 20","k-e-4f475-20","#cccee8"
"K-E 4F475 40","k-e-4f475-40","#a6abdc"
"K-E 4F475 60","k-e-4f475-60","#7f84ce"
"K-E 4F452 100","k-e-4f452-100","#313aa3"
"K-E 4F452 20","k-e-4f452-20","#c4c3e2"
"K-E 4F452 40","k-e-4f452-40","#989ad0"
"K-E 4F452 60","k-e-4f452-60","#7176c0"
"K-E 4F400 100","k-e-4f400-100","#1745a4"
"K-E 4F400 20","k-e-4f400-20","#c3cce4"
"K-E 4F400 40","k-e-4f400-40","#96a9d3"
"K-E 4F400 60","k-e-4f400-60","#6782c1"
"K-E 4F423 100","k-e-4f423-100","#0053bf"
"K-E 4F423 20","k-e-4f423-20","#becbe9"
"K-E 4F423 40","k-e-4f423-40","#8aa5dd"
"K-E 4F423 60","k-e-4f423-60","#5681d1"
"K-E 4F410 100","k-e-4f410-100","#2b3570"
"K-E 4F410 20","k-e-4f410-20","#cccfdd"
"K-E 4F410 40","k-e-4f410-40","#a6acc4"
"K-E 4F410 60","k-e-4f410-60","#8088a9"
"K-E 4F413 100","k-e-4f413-100","#00386a"
"K-E 4F413 20","k-e-4f413-20","#bec9d7"
"K-E 4F413 40","k-e-4f413-40","#90a3bc"
"K-E 4F413 60","k-e-4f413-60","#5c799c"
"K-E 4F403 100","k-e-4f403-100","#223652"
"K-E 4F403 20","k-e-4f403-20","#c6ccd5"
"K-E 4F403 40","k-e-4f403-40","#99a5b4"
"K-E 4F403 60","k-e-4f403-60","#6e7e92"
"K-E 4F412 100","k-e-4f412-100","#194c79"
"K-E 4F412 20","k-e-4f412-20","#cbd3de"
"K-E 4F412 40","k-e-4f412-40","#9eb0c4"
"K-E 4F412 60","k-e-4f412-60","#718daa"
"K-E 4F414 100","k-e-4f414-100","#386aaf"
"K-E 4F414 20","k-e-4f414-20","#ccd2e4"
"K-E 4F414 40","k-e-4f414-40","#a8b7d6"
"K-E 4F414 60","k-e-4f414-60","#7f97c4"
"K-E 4F465 100","k-e-4f465-100","#0058a9"
"K-E 4F465 20","k-e-4f465-20","#becde3"
"K-E 4F465 40","k-e-4f465-40","#8aa7d0"
"K-E 4F465 60","k-e-4f465-60","#5683bb"
"K-E 4F466 100","k-e-4f466-100","#005ec1"
"K-E 4F466 20","k-e-4f466-20","#bfd0ea"
"K-E 4F466 40","k-e-4f466-40","#8eb1df"
"K-E 4F466 60","k-e-4f466-60","#5a91d3"
"K-E 4F467 100","k-e-4f467-100","#006fb4"
"K-E 4F467 20","k-e-4f467-20","#bdd4e7"
"K-E 4F467 40","k-e-4f467-40","#8cbadb"
"K-E 4F467 60","k-e-4f467-60","#509dcd"
"K-E 4F432 100","k-e-4f432-100","#0086c7"
"K-E 4F432 20","k-e-4f432-20","#c4dae9"
"K-E 4F432 40","k-e-4f432-40","#99c6e2"
"K-E 4F432 60","k-e-4f432-60","#5aacd7"
"K-E 4F434 100","k-e-4f434-100","#0086ca"
"K-E 4F434 20","k-e-4f434-20","#c1d7ea"
"K-E 4F434 40","k-e-4f434-40","#8cbee0"
"K-E 4F434 60","k-e-4f434-60","#49a4d5"
"K-E 4F84 100","k-e-4f84-100","#0097ce"
"K-E 4F84 20","k-e-4f84-20","#c2ddeb"
"K-E 4F84 40","k-e-4f84-40","#94cbe3"
"K-E 4F84 60","k-e-4f84-60","#4eb6dc"
"K-E 4F438 100","k-e-4f438-100","#009ec6"
"K-E 4F438 20","k-e-4f438-20","#cbe0e9"
"K-E 4F438 40","k-e-4f438-40","#a6d0e1"
"K-E 4F438 60","k-e-4f438-60","#77bdd7"
"K-E 4F439 100","k-e-4f439-100","#00bfda"
"K-E 4F439 20","k-e-4f439-20","#d0e6ee"
"K-E 4F439 40","k-e-4f439-40","#aedce9"
"K-E 4F439 60","k-e-4f439-60","#84d1e3"
"K-E 4F61 100","k-e-4f61-100","#009cc0"
"K-E 4F61 20","k-e-4f61-20","#bedde7"
"K-E 4F61 40","k-e-4f61-40","#8bcbdd"
"K-E 4F61 60","k-e-4f61-60","#47b9d2"
"K-E 4F441 100","k-e-4f441-100","#009ab6"
"K-E 4F441 20","k-e-4f441-20","#b8dae3"
"K-E 4F441 40","k-e-4f441-40","#82c8d7"
"K-E 4F441 60","k-e-4f441-60","#3fb6ca"
"K-E 4F440 100","k-e-4f440-100","#00afc2"
"K-E 4F440 20","k-e-4f440-20","#c5e2e9"
"K-E 4F440 40","k-e-4f440-40","#96d2dd"
"K-E 4F440 60","k-e-4f440-60","#59c4d3"
"K-E 4F404 100","k-e-4f404-100","#00a2b3"
"K-E 4F404 20","k-e-4f404-20","#bedfe6"
"K-E 4F404 40","k-e-4f404-40","#85cdd8"
"K-E 4F404 60","k-e-4f404-60","#30bbca"
"K-E 4F405 100","k-e-4f405-100","#00ada5"
"K-E 4F405 20","k-e-4f405-20","#c3e2e3"
"K-E 4F405 40","k-e-4f405-40","#96d5d3"
"K-E 4F405 60","k-e-4f405-60","#51c4c0"
"K-E 5F431 100","k-e-5f431-100","#009e8a"
"K-E 5F431 20","k-e-5f431-20","#cae2e0"
"K-E 5F431 40","k-e-5f431-40","#a2d2cd"
"K-E 5F431 60","k-e-5f431-60","#6bbfb5"
"K-E 5F435 100","k-e-5f435-100","#00b292"
"K-E 5F435 20","k-e-5f435-20","#c3e4df"
"K-E 5F435 40","k-e-5f435-40","#95d8cc"
"K-E 5F435 60","k-e-5f435-60","#58cbb8"
"K-E 5F425 100","k-e-5f425-100","#00c098"
"K-E 5F425 20","k-e-5f425-20","#cae8e1"
"K-E 5F425 40","k-e-5f425-40","#a3dfd0"
"K-E 5F425 60","k-e-5f425-60","#68d3ba"
"K-E 5F404 100","k-e-5f404-100","#008f5e"
"K-E 5F404 20","k-e-5f404-20","#c3ddd6"
"K-E 5F404 40","k-e-5f404-40","#95cabb"
"K-E 5F404 60","k-e-5f404-60","#5eb69d"
"K-E 5F405 100","k-e-5f405-100","#009055"
"K-E 5F405 20","k-e-5f405-20","#c6ded6"
"K-E 5F405 40","k-e-5f405-40","#9cccb9"
"K-E 5F405 60","k-e-5f405-60","#66b798"
"K-E 5F406 100","k-e-5f406-100","#00a467"
"K-E 5F406 20","k-e-5f406-20","#c3e2d8"
"K-E 5F406 40","k-e-5f406-40","#94d1bc"
"K-E 5F406 60","k-e-5f406-60","#60c2a1"
"K-E 5F475 100","k-e-5f475-100","#00be61"
"K-E 5F475 20","k-e-5f475-20","#c8e8d6"
"K-E 5F475 40","k-e-5f475-40","#9addb7"
"K-E 5F475 60","k-e-5f475-60","#62d197"
"K-E 5F427 100","k-e-5f427-100","#00c568"
"K-E 5F427 20","k-e-5f427-20","#d0eadb"
"K-E 5F427 40","k-e-5f427-40","#aee1c3"
"K-E 5F427 60","k-e-5f427-60","#83d7a6"
"K-E 5F409 100","k-e-5f409-100","#00b742"
"K-E 5F409 20","k-e-5f409-20","#c5e6d0"
"K-E 5F409 40","k-e-5f409-40","#9ad9af"
"K-E 5F409 60","k-e-5f409-60","#69cb8b"
"K-E 5F426 100","k-e-5f426-100","#00ca51"
"K-E 5F426 20","k-e-5f426-20","#d5ecd8"
"K-E 5F426 40","k-e-5f426-40","#b5e4bc"
"K-E 5F426 60","k-e-5f426-60","#8bdb99"
"K-E 5F428 100","k-e-5f428-100","#69c61e"
"K-E 5F428 20","k-e-5f428-20","#d9eacf"
"K-E 5F428 40","k-e-5f428-40","#bee1ac"
"K-E 5F428 60","k-e-5f428-60","#9dd57d"
"K-E 5F429 100","k-e-5f429-100","#45a920"
"K-E 5F429 20","k-e-5f429-20","#d5e4d1"
"K-E 5F429 40","k-e-5f429-40","#b5d5ac"
"K-E 5F429 60","k-e-5f429-60","#8dc37d"
"K-E 5F413 100","k-e-5f413-100","#c7dd1b"
"K-E 5F413 20","k-e-5f413-20","#ebefd2"
"K-E 5F413 40","k-e-5f413-40","#e1eaac"
"K-E 5F413 60","k-e-5f413-60","#d5e47f"
"K-E 5F403 100","k-e-5f403-100","#00973d"
"K-E 5F403 20","k-e-5f403-20","#cadfd1"
"K-E 5F403 40","k-e-5f403-40","#a3ceb3"
"K-E 5F403 60","k-e-5f403-60","#6ab98a"
"K-E 5F416 100","k-e-5f416-100","#007f3a"
"K-E 5F416 20","k-e-5f416-20","#c9dbd1"
"K-E 5F416 40","k-e-5f416-40","#9dc3ad"
"K-E 5F416 60","k-e-5f416-60","#6dab87"
"K-E 5F402 100","k-e-5f402-100","#2c6331"
"K-E 5F402 20","k-e-5f402-20","#cad3ca"
"K-E 5F402 40","k-e-5f402-40","#a2b4a2"
"K-E 5F402 60","k-e-5f402-60","#7e987f"
"K-E 5F408 100","k-e-5f408-100","#327631"
"K-E 5F408 20","k-e-5f408-20","#ccd8cc"
"K-E 5F408 40","k-e-5f408-40","#a7bea6"
"K-E 5F408 60","k-e-5f408-60","#7fa47d"
"K-E 5F411 100","k-e-5f411-100","#709424"
"K-E 5F411 20","k-e-5f411-20","#d9dfcc"
"K-E 5F411 40","k-e-5f411-40","#bdcba5"
"K-E 5F411 60","k-e-5f411-60","#a2b77d"
"K-E 5F415 100","k-e-5f415-100","#8f8910"
"K-E 5F415 20","k-e-5f415-20","#dcd9c2"
"K-E 5F415 40","k-e-5f415-40","#c6c397"
"K-E 5F415 60","k-e-5f415-60","#b0ac69"
"K-E 6F415 100","k-e-6f415-100","#8b622c"
"K-E 6F409 20","k-e-6f409-20","#ded6cf"
"K-E 6F409 40","k-e-6f409-40","#c9bbad"
"K-E 6F409 60","k-e-6f409-60","#b19b83"
"K-E 6F409 100","k-e-6f409-100","#eaa91c"
"K-E 6F400 20","k-e-6f400-20","#f3e4d3"
"K-E 6F400 40","k-e-6f400-40","#f1d6b2"
"K-E 6F400 60","k-e-6f400-60","#f0c78a"
"K-E 6F400 100","k-e-6f400-100","#e49800"
"K-E 6F408 20","k-e-6f408-20","#f1dfc8"
"K-E 6F408 40","k-e-6f408-40","#eed0a7"
"K-E 6F408 60","k-e-6f408-60","#ebbd79"
"K-E 6F408 100","k-e-6f408-100","#d4661a"
"K-E 6F414 20","k-e-6f414-20","#eed6cc"
"K-E 6F414 40","k-e-6f414-40","#e8bca9"
"K-E 6F414 60","k-e-6f414-60","#e19d7c"
"K-E 6F414 100","k-e-6f414-100","#b3551b"
"K-E 6F415 20","k-e-6f415-20","#e9d2ca"
"K-E 6F415 40","k-e-6f415-40","#dbb1a0"
"K-E 6F415 60","k-e-6f415-60","#cc8e72"
"K-E 6F415 100","k-e-6f415-100","#c13d2c"
"K-E 6F401 20","k-e-6f401-20","#eccbcd"
"K-E 6F401 40","k-e-6f401-40","#e3aaab"
"K-E 6F401 60","k-e-6f401-60","#d88583"
"K-E 6F401 100","k-e-6f401-100","#9b422f"
"K-E 6F404 20","k-e-6f404-20","#dfcac7"
"K-E 6F404 40","k-e-6f404-40","#cba59e"
"K-E 6F404 60","k-e-6f404-60","#b98075"
"K-E 6F404 100","k-e-6f404-100","#8c4625"
"K-E 6F402 20","k-e-6f402-20","#dfcfca"
"K-E 6F402 40","k-e-6f402-40","#c9ada3"
"K-E 6F402 60","k-e-6f402-60","#b08574"
"K-E 6F402 100","k-e-6f402-100","#794430"
"K-E 6F410 20","k-e-6f410-20","#d9cecc"
"K-E 6F410 40","k-e-6f410-40","#c0ada8"
"K-E 6F410 60","k-e-6f410-60","#a4867e"
"K-E 6F410 100","k-e-6f410-100","#6a381e"
"K-E 6F403 20","k-e-6f403-20","#d8ccc8"
"K-E 6F403 40","k-e-6f403-40","#b9a39a"
"K-E 6F403 60","k-e-6f403-60","#9c7d6e"
"K-E 6F403 100","k-e-6f403-100","#663b1e"
"K-E 6F411 20","k-e-6f411-20","#d6cac7"
"K-E 6F411 40","k-e-6f411-40","#b59f96"
"K-E 6F411 60","k-e-6f411-60","#967868"
"K-E 6F411 100","k-e-6f411-100","#4c2e2c"
"K-E 6F405 20","k-e-6f405-20","#cac0c0"
"K-E 6F405 40","k-e-6f405-40","#a49597"
"K-E 6F405 60","k-e-6f405-60","#7f6a6c"
"K-E 6F405 100","k-e-6f405-100","#3b2d23"
"K-E 6F406 20","k-e-6f406-20","#d0cccb"
"K-E 6F406 40","k-e-6f406-40","#a8a29f"
"K-E 6F406 60","k-e-6f406-60","#827a74"
