"DIC 1s","1s","#fad2ba"
"DIC 2091s*","2091s","#f1ebad"
"DIC 2092s*","2092s","#ecef91"
"DIC 2093s","2093s","#d2d579"
"DIC 2094s","2094s","#bcc85f"
"DIC 2095s","2095s","#b1ba3d"
"DIC 2096s","2096s","#cad377"
"DIC 2097s*","2097s","#e1e692"
"DIC 2098s*","2098s","#d8ea95"
"DIC 2099s*","2099s","#dceb86"
"DIC 2100s*","2100s","#cae680"
"DIC 2101s","2101s","#bed792"
"DIC 2102s*","2102s","#b6cb7a"
"DIC 2103s*","2103s","#b5d692"
"DIC 2104s*","2104s","#98d287"
"DIC 2105s*","2105s","#6dd686"
"DIC 2106s*","2106s","#a4dfa3"
"DIC 2107s*","2107s","#b5e2a9"
"DIC 2108s*","2108s","#b7e4a9"
"DIC 2109s*","2109s","#cce7c4"
"DIC 2110s","2110s","#e1e3c2"
"DIC 2111s","2111s","#d9dbc2"
"DIC 2112s","2112s","#dae8d8"
"DIC 2113s*","2113s","#d3e1c7"
"DIC 2114s*","2114s","#d9e8ca"
"DIC 2115s*","2115s","#d4e7ce"
"DIC 2116s*","2116s","#c8e4d3"
"DIC 2117s*","2117s","#bbe2cf"
"DIC 2118s*","2118s","#abd8b5"
"DIC 2119s*","2119s","#b2dcac"
"DIC 2120s*","2120s","#a6d8ae"
"DIC 2121s*","2121s","#94d09b"
"DIC 2122s*","2122s","#8bd1a7"
"DIC 2123s*","2123s","#94d3b3"
"DIC 2124s*","2124s","#7ccaa0"
"DIC 2125s*","2125s","#68ba9b"
"DIC 2126s*","2126s","#48c8aa"
"DIC 2127s*","2127s","#1ebc96"
"DIC 2128s*","2128s","#1fbfa0"
"DIC 2129s*","2129s","#50bda5"
"DIC 2130s*","2130s","#00bba7"
"DIC 2131s*","2131s","#00c8bd"
"DIC 2132s*","2132s","#33cebc"
"DIC 2133s*","2133s","#5accbc"
"DIC 2134s*","2134s","#80cbb6"
"DIC 2135s*","2135s","#68d6c5"
"DIC 2136s*","2136s","#7ed9cb"
"DIC 2137s*","2137s","#aee2d6"
"DIC 2138s*","2138s","#c0e4da"
"DIC 2139s","2139s","#d6e7df"
"DIC 2140s*","2140s","#cce5dd"
"DIC 2141s*","2141s","#c5e4db"
"DIC 2142s*","2142s","#86d9d0"
"DIC 2143s*","2143s","#6fd6cc"
"DIC 2144s*","2144s","#66d4ca"
"DIC 2145s","2145s","#7dc4b3"
"DIC 2146s","2146s","#74c4b2"
"DIC 2147s","2147s","#84c2bb"
"DIC 2148s","2148s","#6ab7b2"
"DIC 2149s","2149s","#94c5c2"
"DIC 2150s","2150s","#62c1c3"
"DIC 2151s*","2151s","#3fbabd"
"DIC 2152s*","2152s","#7bcccf"
"DIC 2153s*","2153s","#94d4d5"
"DIC 2154s*","2154s","#aacfcc"
"DIC 2155s","2155s","#bed4d1"
"DIC 2156s","2156s","#cde2dd"
"DIC 2157s*","2157s","#c8e2e0"
"DIC 2158s*","2158s","#b8dede"
"DIC 2159s*","2159s","#a5d5d6"
"DIC 2160s","2160s","#77c3cf"
"DIC 2161s*","2161s","#7ccfda"
"DIC 2162s*","2162s","#68c5cf"
"DIC 2163s*","2163s","#40b5c8"
"DIC 2164s","2164s","#32afca"
"DIC 2165s","2165s","#5bc3d8"
"DIC 2166s*","2166s","#84c6d4"
"DIC 2167s*","2167s","#94d0db"
"DIC 2168s","2168s","#b4d3d8"
"DIC 2169s","2169s","#d9e3e0"
"DIC 2170s","2170s","#dee5e1"
"DIC 2171s","2171s","#cbdbdf"
"DIC 2172s","2172s","#91bbca"
"DIC 2173s*","2173s","#87bfce"
"DIC 2174s*","2174s","#7fc6db"
"DIC 2175s","2175s","#46bbe1"
"DIC 2176s","2176s","#35afd8"
"DIC 2177s","2177s","#40acdc"
"DIC 2178s","2178s","#52b2e0"
"DIC 2179s","2179s","#68bbdf"
"DIC 2180s*","2180s","#71bbde"
"DIC 2181s*","2181s","#8cc3e1"
"DIC 2182s*","2182s","#9ac2d9"
"DIC 2183s*","2183s","#84bae0"
"DIC 2184s","2184s","#7fbbe0"
"DIC 2185s*","2185s","#75b4e0"
"DIC 2186s","2186s","#61acdc"
"DIC 2187s*","2187s","#69a8dc"
"DIC 2188s*","2188s","#6e97d8"
"DIC 2189s*","2189s","#749dda"
"DIC 2190s*","2190s","#6ba5dc"
"DIC 2191s*","2191s","#89b4de"
"DIC 2192s*","2192s","#92b8df"
"DIC 2193s","2193s","#c6d5e3"
"DIC 2194s","2194s","#cdd5e4"
"DIC 2195s","2195s","#d6e0e4"
"DIC 2196s","2196s","#d6dce3"
"DIC 2197s","2197s","#d7d9e2"
"DIC 2198s","2198s","#c6cee3"
"DIC 2199s","2199s","#cdcfe3"
"DIC 2200s","2200s","#a4adce"
"DIC 2201s","2201s","#94a1c5"
"DIC 2202s*","2202s","#a4a8d0"
"DIC 2203s","2203s","#a9a5cf"
"DIC 2204s*","2204s","#b4a5dc"
"DIC 2205s*","2205s","#b098d5"
"DIC 2206s*","2206s","#a993d1"
"DIC 2207s*","2207s","#a689c9"
"DIC 2208s*","2208s","#bd7db5"
"DIC 2209s*","2209s","#cf86bf"
"DIC 2210s*","2210s","#ba8bbf"
"DIC 2211s*","2211s","#c6a0cc"
"DIC 2212s*","2212s","#c6aed8"
"DIC 2213s*","2213s","#c5b1d8"
"DIC 2214s*","2214s","#d1c6db"
"DIC 2215s*","2215s","#dccbe1"
"DIC 2216s","2216s","#d4c9e0"
"DIC 2217s*","2217s","#cfc4e1"
"DIC 2218s*","2218s","#ccbedf"
"DIC 2219s*","2219s","#c6b5dd"
"DIC 2220s","2220s","#d5bad7"
"DIC 2221s","2221s","#c1a6c5"
"DIC 2222s","2222s","#c6a7c9"
"DIC 2223s*","2223s","#c29ec7"
"DIC 2224s","2224s","#cca6c2"
"DIC 2225s","2225s","#d0bdc6"
"DIC 2226s","2226s","#ede1e0"
"DIC 2227s","2227s","#e1dade"
"DIC 2228s","2228s","#dcd6e1"
"DIC 2229s","2229s","#e0d2da"
"DIC 2230s","2230s","#d3b7ca"
"DIC 2231s","2231s","#daaec4"
"DIC 2232s","2232s","#d29aba"
"DIC 2233s*","2233s","#d796a8"
"DIC 2234s*","2234s","#e389a8"
"DIC 2235s","2235s","#e96ea8"
"DIC 2236s","2236s","#f98fbc"
"DIC 2237s","2237s","#f7a6d1"
"DIC 2238s*","2238s","#f8b1d0"
"DIC 2239s*","2239s","#f2a3c1"
"DIC 2240s*","2240s","#f899b3"
"DIC 2241s*","2241s","#77585c"
"DIC 2242s","2242s","#7f5356"
"DIC 2243s*","2243s","#824e48"
"DIC 2244s*","2244s","#9b5248"
"DIC 2245s*","2245s","#a15659"
"DIC 2246s*","2246s","#9b6a6d"
"DIC 2247s*","2247s","#aa676e"
"DIC 2248s*","2248s","#93575e"
"DIC 2249s*","2249s","#92565c"
"DIC 2250s","2250s","#8c535d"
"DIC 2251s","2251s","#714d4f"
"DIC 2252s","2252s","#644848"
"DIC 2253s*","2253s","#6a4d46"
"DIC 2254s*","2254s","#835763"
"DIC 2255s*","2255s","#8c5a61"
"DIC 2256s","2256s","#904f5c"
"DIC 2257s","2257s","#a45256"
"DIC 2258s","2258s","#ab5756"
"DIC 2259s","2259s","#8b554c"
"DIC 2260s","2260s","#90564b"
"DIC 2261s*","2261s","#ae5549"
"DIC 2262s","2262s","#ba675f"
"DIC 2263s","2263s","#ae6c6d"
"DIC 2264s","2264s","#d08e84"
"DIC 2265s","2265s","#ce9279"
"DIC 2266s","2266s","#cc987f"
"DIC 2267s","2267s","#c1866d"
"DIC 2268s","2268s","#bc8269"
"DIC 2269s*","2269s","#a3705b"
"DIC 2270s","2270s","#7d5850"
"DIC 2271s","2271s","#74564f"
"DIC 2272s","2272s","#8a695a"
"DIC 2273s","2273s","#8a6557"
"DIC 2274s","2274s","#826858"
"DIC 2275s","2275s","#77645d"
"DIC 2276s","2276s","#968174"
"DIC 2277s*","2277s","#bd8675"
"DIC 2278s","2278s","#b78986"
"DIC 2279s*","2279s","#bf867d"
"DIC 2280s","2280s","#be7b73"
"DIC 2281s*","2281s","#ce7769"
"DIC 2282s*","2282s","#aa6459"
"DIC 2283s","2283s","#ac5a4e"
"DIC 2284s*","2284s","#ad5846"
"DIC 2285s*","2285s","#ba6453"
"DIC 2286s","2286s","#c36a48"
"DIC 2287s*","2287s","#b26a4b"
"DIC 2288s","2288s","#98694e"
"DIC 2289s","2289s","#aa7454"
"DIC 2290s","2290s","#a77950"
"DIC 2291s","2291s","#ac7f4f"
"DIC 2292s","2292s","#c48046"
"DIC 2293s","2293s","#b88f53"
"DIC 2294s","2294s","#8a765d"
"DIC 2295s","2295s","#8e7873"
"DIC 2296s","2296s","#99857e"
"DIC 2297s","2297s","#a18373"
"DIC 2298s*","2298s","#ad8f7f"
"DIC 2299s","2299s","#bf9b8b"
"DIC 2301s","2301s","#bea190"
"DIC 2302s","2302s","#aa927e"
"DIC 2303s","2303s","#b7a38d"
"DIC 2304s","2304s","#c9b495"
"DIC 2305s","2305s","#b39a79"
"DIC 2306s","2306s","#b7a47f"
"DIC 2307s","2307s","#a8967d"
"DIC 2308s","2308s","#a78966"
"DIC 2309s","2309s","#948452"
"DIC 2310s*","2310s","#9d8c6b"
"DIC 2311s","2311s","#a8a080"
"DIC 2312s","2312s","#a79d85"
"DIC 2313s*","2313s","#958a78"
"DIC 2314s","2314s","#8c8571"
"DIC 2315s","2315s","#c7bc85"
"DIC 2316s","2316s","#cab66a"
"DIC 2317s","2317s","#b9b05e"
"DIC 2318s*","2318s","#a4a977"
"DIC 2319s*","2319s","#859e74"
"DIC 2320s*","2320s","#738d58"
"DIC 2321s","2321s","#6a8659"
"DIC 2322s","2322s","#658260"
"DIC 2323s","2323s","#728164"
"DIC 2324s","2324s","#6a7c60"
"DIC 2325s","2325s","#576d5a"
"DIC 2326s","2326s","#627863"
"DIC 2327s*","2327s","#6f7c6a"
"DIC 2328s*","2328s","#828572"
"DIC 2329s*","2329s","#807d6d"
"DIC 2330s*","2330s","#a5aa8c"
"DIC 2331s*","2331s","#93977d"
"DIC 2332s*","2332s","#919d81"
"DIC 2333s*","2333s","#868c71"
"DIC 2334s*","2334s","#7d876e"
"DIC 2335s","2335s","#737f68"
"DIC 2336s","2336s","#647561"
"DIC 2337s","2337s","#6a745f"
"DIC 2338s*","2338s","#545f56"
"DIC 2339s","2339s","#6f755c"
"DIC 2340s","2340s","#75715e"
"DIC 2341s","2341s","#78715d"
"DIC 2342s","2342s","#6b695b"
"DIC 2343s","2343s","#848371"
"DIC 2344s","2344s","#747c68"
"DIC 2345s*","2345s","#9db8a0"
"DIC 2346s*","2346s","#87a996"
"DIC 2347s","2347s","#789380"
"DIC 2348s*","2348s","#5e8a70"
"DIC 2349s","2349s","#5b7c61"
"DIC 2350s","2350s","#517361"
"DIC 2351s*","2351s","#476556"
"DIC 2352s*","2352s","#447065"
"DIC 2353s*","2353s","#507063"
"DIC 2354s*","2354s","#596f61"
"DIC 2355s*","2355s","#4c5f57"
"DIC 2356s*","2356s","#4f695e"
"DIC 2357s*","2357s","#4b6e6e"
"DIC 2358s*","2358s","#3f7174"
"DIC 2359s*","2359s","#557a77"
"DIC 2360s*","2360s","#4a6363"
"DIC 2361s*","2361s","#4c5f65"
"DIC 2362s*","2362s","#4e5e5f"
"DIC 2363s*","2363s","#485253"
"DIC 2364s","2364s","#425255"
"DIC 2365s","2365s","#4a575e"
"DIC 2366s*","2366s","#5a5d5e"
"DIC 2367s","2367s","#525756"
"DIC 2368s","2368s","#4e5354"
"DIC 2369s*","2369s","#484f52"
"DIC 2370s*","2370s","#5b6b72"
"DIC 2371s","2371s","#58777f"
"DIC 2372s*","2372s","#537b7d"
"DIC 2373s","2373s","#7fa2a0"
"DIC 2374s*","2374s","#71a398"
"DIC 2375s*","2375s","#60a2a2"
"DIC 2376s*","2376s","#4b8487"
"DIC 2377s","2377s","#007183"
"DIC 2378s","2378s","#53839b"
"DIC 2379s*","2379s","#5989a1"
"DIC 2380s*","2380s","#6796ac"
"DIC 2381s*","2381s","#8ea8b5"
"DIC 2382s","2382s","#7c99ad"
"DIC 2383s*","2383s","#718ca2"
"DIC 2384s","2384s","#66829a"
"DIC 2385s*","2385s","#5c8094"
"DIC 2386s*","2386s","#5181a6"
"DIC 2387s*","2387s","#4f7698"
"DIC 2388s*","2388s","#577082"
"DIC 2389s*","2389s","#435e7c"
"DIC 2390s*","2390s","#566b88"
"DIC 2391s*","2391s","#627eb0"
"DIC 2392s*","2392s","#4f668a"
"DIC 2393s*","2393s","#484f64"
"DIC 2394s*","2394s","#4c4d57"
"DIC 2395s*","2395s","#494f5d"
"DIC 2396s*","2396s","#4f525d"
"DIC 2397s*","2397s","#4c5072"
"DIC 2398s*","2398s","#565b70"
"DIC 2399s","2399s","#55647d"
"DIC 2400s","2400s","#737c95"
"DIC 2401s","2401s","#7d82a1"
"DIC 2402s","2402s","#767895"
"DIC 2403s","2403s","#666379"
"DIC 2404s*","2404s","#595363"
"DIC 2405s*","2405s","#615a63"
"DIC 2406s*","2406s","#5d5f69"
"DIC 2407s*","2407s","#5e6293"
"DIC 2408s*","2408s","#616ea4"
"DIC 2409s*","2409s","#7881ac"
"DIC 2410s","2410s","#6c75ac"
"DIC 2411s*","2411s","#5c5a76"
"DIC 2412s*","2412s","#5b5079"
"DIC 2413s","2413s","#594464"
"DIC 2414s","2414s","#604e7e"
"DIC 2415s*","2415s","#6d549c"
"DIC 2416s","2416s","#7477aa"
"DIC 2417s","2417s","#8786b0"
"DIC 2418s","2418s","#9186ab"
"DIC 2419s","2419s","#8a7289"
"DIC 2420s*","2420s","#7a6b7a"
"DIC 2421s","2421s","#856888"
"DIC 2422s","2422s","#9277aa"
"DIC 2423s*","2423s","#8b7ab3"
"DIC 2424s","2424s","#866eae"
"DIC 2425s","2425s","#785c99"
"DIC 2426s","2426s","#7f588b"
"DIC 2427s*","2427s","#665b76"
"DIC 2428s*","2428s","#5d535e"
"DIC 2429s*","2429s","#5d4d53"
"DIC 2430s*","2430s","#5a4550"
"DIC 2431s*","2431s","#724867"
"DIC 2432s","2432s","#7e4e84"
"DIC 2433s","2433s","#774c87"
"DIC 2434s","2434s","#8f659e"
"DIC 2435s","2435s","#9e6ead"
"DIC 2436s","2436s","#b5799b"
"DIC 2437s","2437s","#a0698e"
"DIC 2438s","2438s","#946590"
"DIC 2439s","2439s","#ac82ac"
"DIC 2440s","2440s","#86617e"
"DIC 2441s","2441s","#926979"
"DIC 2442s*","2442s","#917582"
"DIC 2443s*","2443s","#79677a"
"DIC 2444s*","2444s","#746274"
"DIC 2445s","2445s","#766270"
"DIC 2446s","2446s","#756678"
"DIC 2447s","2447s","#7d6378"
"DIC 2448s","2448s","#917888"
"DIC 2449s","2449s","#9c8a9e"
"DIC 2450s","2450s","#907498"
"DIC 2451s","2451s","#ad9fba"
"DIC 2452s","2452s","#b5a2b4"
"DIC 2453s","2453s","#ae9894"
"DIC 2454s","2454s","#9c8584"
"DIC 2455s*","2455s","#997f7f"
"DIC 2456s","2456s","#b4919d"
"DIC 2457s","2457s","#c397a8"
"DIC 2458s","2458s","#a87b94"
"DIC 2459s","2459s","#c887a7"
"DIC 2460s","2460s","#c392aa"
"DIC 2461s","2461s","#cd97ab"
"DIC 2462s","2462s","#d3929d"
"DIC 2463s","2463s","#b46d82"
"DIC 2464s","2464s","#cf627e"
"DIC 2465s","2465s","#e67f9a"
"DIC 2466s","2466s","#cd6789"
"DIC 2467s*","2467s","#d06d86"
"DIC 2468s*","2468s","#e5798a"
"DIC 2469s*","2469s","#e07371"
"DIC 2470s*","2470s","#e69188"
"DIC 2471s","2471s","#d5b1ad"
"DIC 2472s","2472s","#b8908b"
"DIC 2473s","2473s","#b08788"
"DIC 2474s","2474s","#947781"
"DIC 2475s","2475s","#8d6b77"
"DIC 2476s","2476s","#a8777b"
"DIC 2477s","2477s","#95676e"
"DIC 2478s*","2478s","#875364"
"DIC 2479s","2479s","#8a5463"
"DIC 2480s","2480s","#6e505b"
"DIC 2481s","2481s","#6f585b"
"DIC 2482s","2482s","#bb4950"
"DIC 2483s","2483s","#c2474c"
"DIC 2484s","2484s","#cc4a53"
"DIC 2485s","2485s","#b44b42"
"DIC 2486s","2486s","#a14742"
"DIC 2487s","2487s","#9b4a3f"
"DIC 2488s*","2488s","#b04a41"
"DIC 2489s*","2489s","#b64d43"
"DIC 2490s","2490s","#c84c45"
"DIC 2491s*","2491s","#be4e49"
"DIC 2492s*","2492s","#d04b55"
"DIC 2493s","2493s","#cb4f46"
"DIC 2494s","2494s","#be4c43"
"DIC 2495s","2495s","#d04e47"
"DIC 2496s","2496s","#d54b46"
"DIC 2497s*","2497s","#da4e42"
"DIC 2498s*","2498s","#d24b4c"
"DIC 2499s","2499s","#da5f5c"
"DIC 2500s","2500s","#df5650"
"DIC 2501s","2501s","#df5858"
"DIC 2502s*","2502s","#de5a51"
"DIC 2503s","2503s","#dc5b51"
"DIC 2504s","2504s","#e15a47"
"DIC 2505s*","2505s","#e65e4e"
"DIC 2506s*","2506s","#f86959"
"DIC 2507s*","2507s","#ff584b"
"DIC 2508s*","2508s","#ff6447"
"DIC 2509s*","2509s","#ff694f"
"DIC 2510s*","2510s","#ff6b50"
"DIC 2511s*","2511s","#ff6c46"
"DIC 2512s*","2512s","#ff844a"
"DIC 2513s*","2513s","#ff7d4e"
"DIC 2514s*","2514s","#ff715d"
"DIC 2515s*","2515s","#fe7d69"
"DIC 2516s*","2516s","#fd7961"
"DIC 2517s*","2517s","#f87757"
"DIC 2518s*","2518s","#ee774f"
"DIC 2519s*","2519s","#fc814d"
"DIC 2520s*","2520s","#ff8859"
"DIC 2521s*","2521s","#ff8a52"
"DIC 2522s*","2522s","#ff9046"
"DIC 2523s*","2523s","#ff963f"
"DIC 2524s","2524s","#e48a3e"
"DIC 2525s*","2525s","#d98543"
"DIC 2526s","2526s","#d4704d"
"DIC 2527s*","2527s","#ea8236"
"DIC 2528s*","2528s","#ff982e"
"DIC 2529s*","2529s","#ffa233"
"DIC 2530s*","2530s","#ffb13b"
"DIC 2531s*","2531s","#ffae40"
"DIC 2532s*","2532s","#ffb134"
"DIC 2533s*","2533s","#ffb843"
"DIC 2534s*","2534s","#f9bc49"
"DIC 2535s*","2535s","#ffc732"
"DIC 2536s*","2536s","#ffc433"
"DIC 2537s*","2537s","#ffbf44"
"DIC 2538s*","2538s","#ffd31c"
"DIC 2539s","2539s","#f7df00"
"DIC 2540s","2540s","#f6e840"
"DIC 2541s","2541s","#e7d018"
"DIC 2542s","2542s","#cece26"
"DIC 2543s*","2543s","#afda51"
"DIC 2544s*","2544s","#94cf50"
"DIC 2545s*","2545s","#83c857"
"DIC 2546s*","2546s","#84b857"
"DIC 2547s","2547s","#7ead49"
"DIC 2548s","2548s","#95ac42"
"DIC 2549s*","2549s","#65b352"
"DIC 2550s*","2550s","#67b161"
"DIC 2551s*","2551s","#58af5a"
"DIC 2552s*","2552s","#62a453"
"DIC 2553s","2553s","#4f9d55"
"DIC 2554s*","2554s","#449855"
"DIC 2555s","2555s","#109c4d"
"DIC 2556s*","2556s","#32b25d"
"DIC 2557s*","2557s","#36c272"
"DIC 2558s*","2558s","#00b364"
"DIC 2559s*","2559s","#00ad5a"
"DIC 2560s","2560s","#009754"
"DIC 2561s","2561s","#009359"
"DIC 2562s","2562s","#0d7d71"
"DIC 2563s","2563s","#1f9884"
"DIC 2564s","2564s","#009c7b"
"DIC 2565s","2565s","#009d74"
"DIC 2566s*","2566s","#21b486"
"DIC 2567s*","2567s","#2ea87a"
"DIC 2568s","2568s","#00936c"
"DIC 2569s","2569s","#25a280"
"DIC 2570s","2570s","#009f88"
"DIC 2571s*","2571s","#37ac95"
"DIC 2572s*","2572s","#3ab392"
"DIC 2573s*","2573s","#35bba6"
"DIC 2574s*","2574s","#35bcb0"
"DIC 2575s*","2575s","#18b0a4"
"DIC 2576s*","2576s","#00a99c"
"DIC 2577s","2577s","#009c8c"
"DIC 2578s","2578s","#2b9f9b"
"DIC 2579s","2579s","#2a969a"
"DIC 2580s","2580s","#30b0c1"
"DIC 2581s*","2581s","#169ebb"
"DIC 2582s","2582s","#3194b5"
"DIC 2583s","2583s","#038ca3"
"DIC 2584s","2584s","#0086a9"
"DIC 2585s","2585s","#0094c0"
"DIC 2586s*","2586s","#009eda"
"DIC 2587s*","2587s","#3498cc"
"DIC 2588s*","2588s","#0f9cd8"
"DIC 2589s","2589s","#2aa3d6"
"DIC 2590s","2590s","#0d89c6"
"DIC 2591s","2591s","#0f77bb"
"DIC 2592s","2592s","#3f93c9"
"DIC 2593s*","2593s","#4281c5"
"DIC 2594s*","2594s","#316ea1"
"DIC 2595s","2595s","#4372a0"
"DIC 2596s","2596s","#396d9e"
"DIC 2597s","2597s","#3065a2"
"DIC 2598s*","2598s","#5987d2"
"DIC 2599s*","2599s","#507dcf"
"DIC 2600s*","2600s","#4e78ce"
"DIC 2601s*","2601s","#4358a4"
"DIC 2602s*","2602s","#5759bb"
"DIC 2603s*","2603s","#5e5ab1"
"DIC 2604s*","2604s","#6159ab"
"DIC 2605s*","2605s","#5b519f"
"DIC 2606s","2606s","#5d4c9e"
"DIC 2607s*","2607s","#654ba8"
"DIC 2608s","2608s","#615082"
"DIC 2609s","2609s","#6f4aa5"
"DIC 2610s","2610s","#705199"
"DIC 2611s*","2611s","#764299"
"DIC 2612s*","2612s","#893c9a"
"DIC 2613s*","2613s","#923699"
"DIC 2614s","2614s","#90457f"
"DIC 2615s","2615s","#a1426b"
"DIC 2616s*","2616s","#ae378e"
"DIC 2617s*","2617s","#bb3694"
"DIC 2618s","2618s","#a64887"
"DIC 2619s","2619s","#9f4f9e"
"DIC 2620s","2620s","#b0509c"
"DIC 2621s","2621s","#c64b9d"
"DIC 2622s*","2622s","#c559ab"
"DIC 2623s*","2623s","#d668b4"
"DIC 2624s*","2624s","#f171b9"
"DIC 2625s*","2625s","#ff6ab9"
"DIC 2626s*","2626s","#e356a3"
"DIC 2627s","2627s","#cb3c84"
"DIC 2628s","2628s","#e04087"
"DIC 2629s","2629s","#d8407f"
"DIC 2630s","2630s","#e44688"
"DIC 2631s","2631s","#da447b"
"DIC 2632s*","2632s","#e3366b"
"DIC 2633s","2633s","#e65578"
"DIC 2634s*","2634s","#f07e84"
"DIC 2635s","2635s","#d54a6b"
"DIC 2636s","2636s","#cc4e64"
"DIC 2637s*","2637s","#c44958"
"DIC 2638s","2638s","#b54a55"
