"DIC 1s","1s","#fad2ba"
"DIC 168s","168s","#e1dd1d"
"DIC 169s","169s","#ccd51e"
"DIC 170s*","170s","#b1d238"
"DIC 171s*","171s","#6fc250"
"DIC 172s*","172s","#33b35e"
"DIC 173s","173s","#00af78"
"DIC 174s","174s","#00b681"
"DIC 175s*","175s","#00b19c"
"DIC 176s","176s","#00ada7"
"DIC 177s","177s","#00a9b9"
"DIC 178s","178s","#00a5c5"
"DIC 179s","179s","#009ad7"
"DIC 180s","180s","#0099cc"
"DIC 181s","181s","#008ac9"
"DIC 182s","182s","#007bd0"
"DIC 183s*","183s","#397ecf"
"DIC 184s","184s","#3c5e92"
"DIC 185s*","185s","#5957c4"
"DIC 186s*","186s","#6943b8"
"DIC 187s*","187s","#7444bb"
"DIC 188s*","188s","#703e9b"
"DIC 189s*","189s","#923fb9"
"DIC 190s*","190s","#a139b8"
"DIC 191s*","191s","#a03aa0"
"DIC 192s","192s","#a13c8b"
"DIC 193s","193s","#af3971"
"DIC 194s","194s","#d1307e"
"DIC 195s","195s","#c03770"
"DIC 196s","196s","#b24550"
"DIC 197s","197s","#c44a4e"
"DIC 198s","198s","#dc5547"
"DIC 199s","199s","#cf5b4b"
"DIC 200s","200s","#d66549"
"DIC 201s","201s","#d57845"
"DIC 202s","202s","#d0783d"
"DIC 203s","203s","#cc7c3b"
"DIC 204s*","204s","#f28e46"
"DIC 205s*","205s","#f4a739"
"DIC 206s*","206s","#f6b740"
"DIC 207s","207s","#ca9d3d"
"DIC 208s","208s","#d2b836"
"DIC 209s","209s","#c4ba38"
"DIC 210s*","210s","#a9b83e"
"DIC 211s*","211s","#85b251"
"DIC 212s","212s","#6aa34f"
"DIC 213s","213s","#4f9258"
"DIC 214s","214s","#4c9367"
"DIC 215s","215s","#00a07e"
"DIC 216s","216s","#00a085"
"DIC 217s","217s","#00959e"
"DIC 218s","218s","#007f92"
"DIC 219s","219s","#007991"
"DIC 220s","220s","#336698"
"DIC 221s","221s","#3672b7"
"DIC 222s","222s","#485bb3"
"DIC 223s*","223s","#5a58ab"
"DIC 224s","224s","#584a8d"
"DIC 225s","225s","#5d488a"
"DIC 226s","226s","#684588"
"DIC 227s","227s","#80497c"
"DIC 228s","228s","#75466a"
"DIC 229s","229s","#824672"
"DIC 230s","230s","#92435c"
"DIC 231s","231s","#944062"
"DIC 232s*","232s","#a6485e"
"DIC 233s","233s","#a7515e"
"DIC 234s","234s","#b64b56"
"DIC 235s","235s","#ba4d4c"
"DIC 236s*","236s","#b85548"
"DIC 237s*","237s","#cc614a"
"DIC 238s","238s","#b96b45"
"DIC 239s","239s","#b47543"
"DIC 240s","240s","#b28446"
"DIC 241s","241s","#bb8b43"
"DIC 242s","242s","#b79642"
"DIC 243s","243s","#958342"
"DIC 244s","244s","#a49838"
"DIC 245s","245s","#9e953e"
"DIC 246s","246s","#7b8f48"
"DIC 247s","247s","#6e8a47"
"DIC 248s*","248s","#62874f"
"DIC 249s*","249s","#548851"
"DIC 250s*","250s","#44916a"
"DIC 251s","251s","#2b6460"
"DIC 252s","252s","#00798c"
"DIC 253s","253s","#007891"
"DIC 254s","254s","#2d6792"
"DIC 255s","255s","#3f5686"
"DIC 256s","256s","#4e4e76"
"DIC 257s","257s","#634a72"
"DIC 258s","258s","#e9a9b3"
"DIC 259s","259s","#f1b7ba"
"DIC 260s","260s","#e2a1ad"
"DIC 261s*","261s","#f590a8"
"DIC 262s","262s","#d975a4"
"DIC 263s","263s","#c96e89"
"DIC 264s","264s","#c16689"
"DIC 265s","265s","#c36e8a"
"DIC 266s","266s","#e181a4"
"DIC 267s","267s","#d86b97"
"DIC 268s","268s","#e3659d"
"DIC 269s","269s","#d65f8e"
"DIC 270s","270s","#de6795"
"DIC 271s","271s","#b54177"
"DIC 272s","272s","#bb6582"
"DIC 273s","273s","#a1485e"
"DIC 274s*","274s","#ef7993"
"DIC 275s","275s","#ef869e"
"DIC 276s","276s","#e26597"
"DIC 277s","277s","#d55d82"
"DIC 278s","278s","#c85e7d"
"DIC 279s","279s","#c65780"
"DIC 280s","280s","#cf5988"
"DIC 281s","281s","#c04869"
"DIC 282s","282s","#b8547a"
"DIC 283s","283s","#a44859"
"DIC 284s*","284s","#db6983"
"DIC 285s","285s","#d15261"
"DIC 286s","286s","#ac516b"
"DIC 287s*","287s","#f4ab9c"
"DIC 288s*","288s","#f2938b"
"DIC 289s*","289s","#d97f85"
"DIC 290s","290s","#d28785"
"DIC 291s","291s","#c78e8a"
"DIC 292s","292s","#b16f70"
"DIC 293s","293s","#a7575d"
"DIC 294s*","294s","#e67074"
"DIC 295s","295s","#d3546a"
"DIC 296s","296s","#b4645b"
"DIC 297s*","297s","#c35d61"
"DIC 298s*","298s","#ba5b59"
"DIC 299s","299s","#b9535c"
"DIC 300s*","300s","#a0504f"
"DIC 301s","301s","#c17056"
"DIC 302s","302s","#b8664c"
"DIC 303s*","303s","#8f5d48"
"DIC 304s*","304s","#8b5147"
"DIC 305s*","305s","#9f4b4e"
"DIC 306s","306s","#a35f42"
"DIC 307s","307s","#8c5d4a"
"DIC 308s","308s","#7f5e4c"
"DIC 309s","309s","#845b4b"
"DIC 310s","310s","#6f5348"
"DIC 311s","311s","#675146"
"DIC 312s","312s","#6a5246"
"DIC 313s","313s","#c8995a"
"DIC 314s","314s","#c28b4d"
"DIC 315s*","315s","#c78461"
"DIC 316s*","316s","#d09a73"
"DIC 317s","317s","#ba7455"
"DIC 318s*","318s","#d39770"
"DIC 319s","319s","#ca7d5b"
"DIC 320s","320s","#c37459"
"DIC 321s","321s","#aa7452"
"DIC 322s","322s","#8f5f45"
"DIC 323s","323s","#936c4b"
"DIC 324s*","324s","#af815f"
"DIC 325s*","325s","#a26f50"
"DIC 326s*","326s","#9d624a"
"DIC 327s*","327s","#8e5547"
"DIC 328s","328s","#80584a"
"DIC 329s*","329s","#7c5943"
"DIC 330s*","330s","#6d5549"
"DIC 331s","331s","#6e594a"
"DIC 332s*","332s","#645147"
"DIC 333s*","333s","#665045"
"DIC 334s","334s","#c7ac7b"
"DIC 335s","335s","#d2ad6d"
"DIC 336s","336s","#c89c59"
"DIC 337s","337s","#b49058"
"DIC 338s","338s","#9e7541"
