"FasCal 8817 Violet","fascal-8817-violet","#633a95"
"FasCal 8802 Burgundy red","fascal-8802-burgundy-red","#330000"
"FasCal 8818 Chocolate","fascal-8818-chocolate","#513426"
"FasCal 8819 Beige","fascal-8819-beige","#e9cc9a"
"FasCal 8801 Black","fascal-8801-black","#08090c"
"FasCal 8820 Grey","fascal-8820-grey","#606566"
"FasCal 8800 White","fascal-8800-white","#f6f6fb"
"FasCal 8826 Medium red","fascal-8826-medium-red","#c01a11"
"FasCal 8834 Kelly green","fascal-8834-kelly-green","#00773e"
"FasCal 8824 China blue","fascal-8824-china-blue","#0a1837"
"FasCal 8823 Blue","fascal-8823-blue","#19265e"
"FasCal 8833 Blue","fascal-8833-blue","#00537a"
"FasCal 8832 Light blue","fascal-8832-light-blue","#58b5de"
"FasCal 8829 Teal","fascal-8829-teal","#76d5bc"
"FasCal 8831 Turquoise","fascal-8831-turquoise","#009294"
"FasCal 8828 Caramel","fascal-8828-caramel","#7f4d24"
"FasCal 8827 Brown","fascal-8827-brown","#b38551"
"FasCal 8825 Medium grey","fascal-8825-medium-grey","#7c878d"
"FasCal 8821 Black dull","fascal-8821-black-dull","#222325"
"FasCal 8830 White dull","fascal-8830-white-dull","#f2f1f7"
"FasCal 8835 Silver","fascal-8835-silver","#939596"
"FasCal 8836 Gold","fascal-8836-gold","#9b895a"
