"Scala 24-13-21","scala-24-13-21","#b46d5c"
"Scala 24-13-24","scala-24-13-24","#9c5a50"
"Scala 24-15-21","scala-24-15-21","#c96956"
"Scala 24-15-24","scala-24-15-24","#954d3e"
"Scala 24-15-27","scala-24-15-27","#6f3e3a"
"Scala 24-15-30","scala-24-15-30","#5a3233"
"Scala 24-18-21","scala-24-18-21","#cf6651"
"Scala 24-18-23","scala-24-18-23","#ba5d4a"
"Scala 24-18-24","scala-24-18-24","#9e483b"
"Scala 24-18-27","scala-24-18-27","#8b493f"
"Scala 24-18-30","scala-24-18-30","#6e2d29"
"Scala 24-21-21","scala-24-21-21","#d45212"
"Scala 24-21-24","scala-24-21-24","#b65033"
"Scala 24-24-21","scala-24-24-21","#d14c2a"
"Scala 24-24-24","scala-24-24-24","#a94335"
"Scala 27-09-19","scala-27-09-19","#b58b80"
"Scala 27-09-21","scala-27-09-21","#ac7b6d"
"Scala 27-09-23","scala-27-09-23","#946861"
"Scala 27-09-24","scala-27-09-24","#825552"
"Scala 27-09-27","scala-27-09-27","#724143"
"Scala 27-09-30","scala-27-09-30","#5e2d33"
"Scala 27-09-33","scala-27-09-33","#43252a"
"Scala 27-12-19","scala-27-12-19","#b97e74"
"Scala 27-12-21","scala-27-12-21","#b17669"
"Scala 27-12-23","scala-27-12-23","#a0645f"
"Scala 27-12-24","scala-27-12-24","#894b48"
"Scala 27-12-27","scala-27-12-27","#7b3a3c"
"Scala 27-12-30","scala-27-12-30","#7a3435"
"Scala 27-13-21","scala-27-13-21","#b36e65"
"Scala 27-13-24","scala-27-13-24","#a95e58"
"Scala 27-15-21","scala-27-15-21","#b3625b"
"Scala 27-15-24","scala-27-15-24","#9d4641"
"Scala 27-18-21","scala-27-18-21","#bc5851"
"Scala 27-18-24","scala-27-18-24","#a4453d"
"Scala 27-18-27","scala-27-18-27","#953631"
"Scala 27-18-30","scala-27-18-30","#82292f"
"Scala 27-21-21","scala-27-21-21","#ba3e2f"
"Scala 27-21-24","scala-27-21-24","#b33639"
"Scala 27-21-27","scala-27-21-27","#982d30"
"Scala 27-21-30","scala-27-21-30","#a23940"
"Scala 27-24-24","scala-27-24-24","#b42624"
"Scala 27-24-27","scala-27-24-27","#a23230"
"Scala 27-24-30","scala-27-24-30","#993133"
"Scala 30-06-21","scala-30-06-21","#8b7477"
"Scala 30-06-24","scala-30-06-24","#735e61"
"Scala 30-06-27","scala-30-06-27","#5e4a4f"
"Scala 30-06-30","scala-30-06-30","#493a3f"
"Scala 30-09-21","scala-30-09-21","#9c7374"
"Scala 30-09-24","scala-30-09-24","#845c5f"
"Scala 30-09-27","scala-30-09-27","#694349"
"Scala 30-09-30","scala-30-09-30","#4e3238"
"Scala 30-12-21","scala-30-12-21","#a2696d"
"Scala 30-12-24","scala-30-12-24","#8e5258"
"Scala 30-12-27","scala-30-12-27","#723f47"
"Scala 30-12-30","scala-30-12-30","#562c36"
"Scala 30-15-21","scala-30-15-21","#c77578"
"Scala 30-15-24","scala-30-15-24","#b56262"
"Scala 30-15-27","scala-30-15-27","#944b4d"
"Scala 30-15-30","scala-30-15-30","#803945"
"Scala 30-15-33","scala-30-15-33","#632734"
"Scala 30-18-21","scala-30-18-21","#c65660"
"Scala 30-18-24","scala-30-18-24","#c44551"
"Scala 30-18-27","scala-30-18-27","#a83146"
"Scala 30-18-30","scala-30-18-30","#8d2835"
"Scala 30-18-33","scala-30-18-33","#6c2c33"
"Scala 30-21-21","scala-30-21-21","#c65667"
"Scala 30-21-24","scala-30-21-24","#a04655"
"Scala 30-24-21","scala-30-24-21","#b13741"
"Scala 30-24-24","scala-30-24-24","#9c313e"
"Scala 33-06-21","scala-33-06-21","#9a9190"
"Scala 33-06-24","scala-33-06-24","#827476"
"Scala 33-06-27","scala-33-06-27","#6c5f62"
"Scala 33-06-30","scala-33-06-30","#544a50"
"Scala 33-09-21","scala-33-09-21","#99747c"
"Scala 33-09-24","scala-33-09-24","#7c5962"
"Scala 33-09-27","scala-33-09-27","#65414c"
"Scala 33-09-30","scala-33-09-30","#592f3a"
"Scala 33-12-21","scala-33-12-21","#a16c7b"
"Scala 33-12-24","scala-33-12-24","#8c5869"
"Scala 33-12-27","scala-33-12-27","#6f3e50"
"Scala 33-12-30","scala-33-12-30","#512e3f"
"Scala 33-15-21","scala-33-15-21","#ad657a"
"Scala 33-15-24","scala-33-15-24","#8c4453"
"Scala 33-15-27","scala-33-15-27","#67283f"
"Scala 33-18-24","scala-33-18-24","#af344d"
"Scala 33-18-27","scala-33-18-27","#80273e"
"Scala 36-03-21","scala-36-03-21","#80787c"
"Scala 36-03-24","scala-36-03-24","#696066"
"Scala 36-03-27","scala-36-03-27","#534b52"
"Scala 36-03-30","scala-36-03-30","#413a41"
"Scala 36-06-21","scala-36-06-21","#917180"
"Scala 36-06-24","scala-36-06-24","#795b6a"
"Scala 36-06-27","scala-36-06-27","#604553"
"Scala 36-06-30","scala-36-06-30","#4d3543"
"Scala 36-06-33","scala-36-06-33","#412d38"
"Scala 36-09-21","scala-36-09-21","#aa6787"
"Scala 36-09-24","scala-36-09-24","#8e4e6f"
"Scala 36-09-27","scala-36-09-27","#723859"
"Scala 36-09-30","scala-36-09-30","#562945"
"Scala 36-09-33","scala-36-09-33","#4d3145"
"Scala 36-09-36","scala-36-09-36","#3a222f"
"Scala 36-12-21","scala-36-12-21","#c3628e"
"Scala 36-12-24","scala-36-12-24","#9f4274"
"Scala 36-12-27","scala-36-12-27","#833460"
"Scala 36-15-21","scala-36-15-21","#ba457b"
"Scala 36-15-24","scala-36-15-24","#a6376d"
"Scala 36-15-27","scala-36-15-27","#843356"
"Scala 39-06-21","scala-39-06-21","#877981"
"Scala 39-06-24","scala-39-06-24","#706269"
"Scala 39-06-27","scala-39-06-27","#574955"
"Scala 39-06-30","scala-39-06-30","#464141"
"Scala 39-09-21","scala-39-09-21","#9b8491"
"Scala 39-09-24","scala-39-09-24","#795e71"
"Scala 39-09-27","scala-39-09-27","#5e4156"
"Scala 39-12-21","scala-39-12-21","#986f88"
"Scala 39-12-24","scala-39-12-24","#7e5872"
"Scala 39-12-27","scala-39-12-27","#673d5e"
"Scala 39-15-21","scala-39-15-21","#a76b8f"
"Scala 39-15-24","scala-39-15-24","#864f73"
"Scala 39-15-27","scala-39-15-27","#753e63"
"Scala 39-15-30","scala-39-15-30","#502b49"
"Scala 39-18-21","scala-39-18-21","#ba6199"
"Scala 39-18-24","scala-39-18-24","#913a76"
"Scala 42-03-21","scala-42-03-21","#848181"
"Scala 42-03-24","scala-42-03-24","#757373"
