"TRENDline LUMNEZIA POLARWEISS","trendline-lumnezia-polarweiss","#f0eee6"
"TRENDline OZEANO G 4090","trendline-ozeano-g-4090","#d2dbe1"
"TRENDline OZEANO G 4100","trendline-ozeano-g-4100","#ced8de"
"TRENDline OZEANO G 4110","trendline-ozeano-g-4110","#b5c1c6"
"TRENDline OZEANO G 4200","trendline-ozeano-g-4200","#bcd0ec"
"TRENDline OZEANO G 4210","trendline-ozeano-g-4210","#a0bbe7"
"TRENDline OZEANO G 4220","trendline-ozeano-g-4220","#87a7e3"
"TRENDline OZEANO G 4230","trendline-ozeano-g-4230","#dae5ec"
"TRENDline OZEANO G 4240","trendline-ozeano-g-4240","#c0ddf0"
"TRENDline OZEANO G 4250","trendline-ozeano-g-4250","#8ebde5"
"TRENDline OZEANO G 4260","trendline-ozeano-g-4260","#76afe1"
"TRENDline OZEANO G 4270","trendline-ozeano-g-4270","#b1e5e2"
"TRENDline OZEANO G 4280","trendline-ozeano-g-4280","#99dfdf"
"TRENDline OZEANO G 4290","trendline-ozeano-g-4290","#6ed0cf"
"TRENDline FIORE G 5000","trendline-fiore-g-5000","#dfedda"
"TRENDline FIORE G 5010","trendline-fiore-g-5010","#c6d9b2"
"TRENDline FIORE G 5020","trendline-fiore-g-5020","#c9d0c2"
"TRENDline FIORE G 5040","trendline-fiore-g-5040","#abb8a1"
"TRENDline FIORE G 5050","trendline-fiore-g-5050","#9bab90"
"TRENDline FIORE G 5060","trendline-fiore-g-5060","#d1dbce"
"TRENDline FIORE G 5070","trendline-fiore-g-5070","#c9d5ca"
"TRENDline FIORE G 5080","trendline-fiore-g-5080","#bec8bb"
"TRENDline FIORE G 5100","trendline-fiore-g-5100","#c0ccc4"
"TRENDline FIORE G 5110","trendline-fiore-g-5110","#a8bab6"
"TRENDline FIORE G 5120","trendline-fiore-g-5120","#93a8a4"
"TRENDline FIORE G 5130","trendline-fiore-g-5130","#e9e3c8"
"TRENDline FIORE G 5150","trendline-fiore-g-5150","#d1c9a0"
"TRENDline FIORE G 5160","trendline-fiore-g-5160","#bcb58e"
"TRENDline FIORE G 5200","trendline-fiore-g-5200","#8bc198"
"TRENDline FIORE G 5210","trendline-fiore-g-5210","#b1dbb8"
"TRENDline PILASTRO G 6000","trendline-pilastro-g-6000","#e0dad2"
"TRENDline PILASTRO G 6010","trendline-pilastro-g-6010","#cec5bd"
"TRENDline PILASTRO G 6020","trendline-pilastro-g-6020","#bdb5ae"
"TRENDline PILASTRO G 6030","trendline-pilastro-g-6030","#aba097"
"TRENDline PILASTRO G 6040","trendline-pilastro-g-6040","#cabdb2"
"TRENDline PILASTRO G 6050","trendline-pilastro-g-6050","#b2a398"
"TRENDline PILASTRO G 6060","trendline-pilastro-g-6060","#ab998b"
"TRENDline PILASTRO G 6070","trendline-pilastro-g-6070","#eae6d8"
"TRENDline PILASTRO G 6080","trendline-pilastro-g-6080","#d9d3c4"
"TRENDline PILASTRO G 6090","trendline-pilastro-g-6090","#c8c0ae"
"TRENDline PILASTRO G 6100","trendline-pilastro-g-6100","#bfb6a5"
"TRENDline PILASTRO G 6110","trendline-pilastro-g-6110","#e9dac6"
"TRENDline PILASTRO G 6120","trendline-pilastro-g-6120","#e4d1b5"
"TRENDline PILASTRO G 6130","trendline-pilastro-g-6130","#a19c8c"
"TRENDline ARMONIA 1 G 8010","trendline-armonia-1-g-8010","#ddd8d3"
"TRENDline ARMONIA 1 G 8030","trendline-armonia-1-g-8030","#dcd9d0"
"TRENDline ARMONIA 1 G 8040","trendline-armonia-1-g-8040","#eaeae4"
"TRENDline ARMONIA 1 G 8050","trendline-armonia-1-g-8050","#f2f0e9"
"TRENDline ARMONIA 1 G 8060","trendline-armonia-1-g-8060","#ebe0cd"
"TRENDline ARMONIA 1 G 8070","trendline-armonia-1-g-8070","#f2e4d2"
"TRENDline ARMONIA 1 G 8080","trendline-armonia-1-g-8080","#e8d2bd"
"TRENDline ARMONIA 1 G 8090","trendline-armonia-1-g-8090","#eee4d6"
"TRENDline ARMONIA 1 G 8100","trendline-armonia-1-g-8100","#f1d2b2"
"TRENDline ARMONIA 1 G 8110","trendline-armonia-1-g-8110","#ead9cc"
"TRENDline ARMONIA 1 G 8120","trendline-armonia-1-g-8120","#d8bca9"
"TRENDline ARMONIA 1 G 8130","trendline-armonia-1-g-8130","#f0ecdf"
"TRENDline ARMONIA 1 G 8140","trendline-armonia-1-g-8140","#e3dac6"
"TRENDline ARMONIA 2 G 9000","trendline-armonia-2-g-9000","#d7a687"
"TRENDline ARMONIA 2 G 9010","trendline-armonia-2-g-9010","#f1ecdb"
"TRENDline ARMONIA 2 G 9020","trendline-armonia-2-g-9020","#eccaaf"
"TRENDline ARMONIA 2 G 9030","trendline-armonia-2-g-9030","#ebcfb6"
"TRENDline ARMONIA 2 G 9040","trendline-armonia-2-g-9040","#dcd7ca"
"TRENDline ARMONIA 2 G 9050","trendline-armonia-2-g-9050","#eae3cf"
"TRENDline ARMONIA 2 G 9060","trendline-armonia-2-g-9060","#f2bf8e"
"TRENDline ARMONIA 2 G 9070","trendline-armonia-2-g-9070","#f7e3c8"
"TRENDline ARMONIA 2 G 9080","trendline-armonia-2-g-9080","#f1e9d8"
"TRENDline ARMONIA 2 G 9200","trendline-armonia-2-g-9200","#ce984a"
"TRENDline ARMONIA 2 G 9210","trendline-armonia-2-g-9210","#ce8647"
"TRENDline ARMONIA 2 G 9220","trendline-armonia-2-g-9220","#f5dd45"
"TRENDline ARMONIA 2 G 9230","trendline-armonia-2-g-9230","#3bc0bc"
"TRENDline ARMONIA 2 G 9240","trendline-armonia-2-g-9240","#7394d9"
"TRENDline ARMONIA 2 G 9250","trendline-armonia-2-g-9250","#619ed1"
"TRENDline ARMONIA 2 G 9260","trendline-armonia-2-g-9260","#5b5b60"
"TRENDline ARMONIA 2 G 9270","trendline-armonia-2-g-9270","#83595a"
"TRENDline ARMONIA 2 G 9280","trendline-armonia-2-g-9280","#708867"
"TRENDline ARMONIA 2 G 9290","trendline-armonia-2-g-9290","#62a275"
"TRENDline ARMONIA 2 G 9292","trendline-armonia-2-g-9292","#924e42"
