"HKS 1 E","1-E","#fad666"
"HKS 81 K","81-K","#c25526"
"HKS 82 K","82-K","#9e3d21"
"HKS 83 K","83-K","#78382f"
"HKS 84 K","84-K","#63322e"
"HKS 88 K","88-K","#221f1d"
"HKS 89 K","89-K","#a79b89"
"HKS 90 K","90-K","#3a2f2f"
"HKS 91 K","91-K","#99a19b"
"HKS 92 K","92-K","#696e6e"
"HKS 93 K","93-K","#495057"
"HKS 95 K","95-K","#929188"
"HKS 96 K","96-K","#76766f"
"HKS 97 K","97-K","#343831"
"HKS 98 K","98-K","#856945"
"HKS 99 K","99-K","#989898"
"HKS 1 N","1-N","#ffdc68"
"HKS 2 N","2-N","#f9dc13"
"HKS 3 N","3-N","#ffd800"
"HKS 4 N","4-N","#ffc900"
"HKS 5 N","5-N","#ffbc06"
"HKS 6 N","6-N","#ff9e1c"
"HKS 7 N","7-N","#ff7d21"
"HKS 8 N","8-N","#ff6b2b"
"HKS 10 N","10-N","#f6502f"
"HKS 11 N","11-N","#ff9879"
"HKS 12 N","12-N","#ec4e3b"
"HKS 13 N","13-N","#ed3a40"
"HKS 14 N","14-N","#e13f41"
"HKS 15 N","15-N","#d53049"
"HKS 16 N","16-N","#ad3a45"
"HKS 17 N","17-N","#a93b50"
"HKS 18 N","18-N","#954152"
"HKS 21 N","21-N","#f77486"
"HKS 22 N","22-N","#ec4446"
"HKS 23 N","23-N","#d82740"
"HKS 24 N","24-N","#d83866"
"HKS 25 N","25-N","#cf2d5b"
"HKS 26 N","26-N","#bf2f6c"
"HKS 27 N","27-N","#d42975"
"HKS 28 N","28-N","#b33859"
"HKS 29 N","29-N","#a42b93"
"HKS 31 N","31-N","#c2387c"
"HKS 32 N","32-N","#c83375"
"HKS 33 N","33-N","#a13397"
"HKS 34 N","34-N","#774291"
"HKS 35 N","35-N","#524993"
"HKS 36 N","36-N","#6a468d"
"HKS 37 N","37-N","#644385"
"HKS 38 N","38-N","#41546a"
"HKS 39 N","39-N","#0f69b5"
"HKS 40 N","40-N","#0080ae"
"HKS 41 N","41-N","#364e6d"
"HKS 42 N","42-N","#2655ac"
"HKS 43 N","43-N","#0d59ab"
"HKS 44 N","44-N","#006ab3"
"HKS 45 N","45-N","#475696"
"HKS 46 N","46-N","#0084b2"
"HKS 47 N","47-N","#007cbf"
"HKS 48 N","48-N","#0081b1"
"HKS 49 N","49-N","#007dac"
"HKS 50 N","50-N","#00b4d6"
"HKS 51 N","51-N","#00909b"
"HKS 52 N","52-N","#008c7f"
"HKS 53 N","53-N","#00a686"
"HKS 54 N","54-N","#009368"
"HKS 55 N","55-N","#007b63"
"HKS 56 N","56-N","#156459"
"HKS 57 N","57-N","#008554"
"HKS 58 N","58-N","#47704f"
"HKS 59 N","59-N","#008089"
"HKS 60 N","60-N","#4a993f"
"HKS 61 N","61-N","#446344"
"HKS 62 N","62-N","#787940"
"HKS 63 N","63-N","#5c8649"
"HKS 64 N","64-N","#28a144"
"HKS 65 N","65-N","#50b543"
"HKS 66 N","66-N","#7dbb2a"
"HKS 67 N","67-N","#86c12e"
"HKS 68 N","68-N","#d4ba28"
"HKS 69 N","69-N","#d6ca18"
"HKS 71 N","71-N","#e29e3e"
"HKS 72 N","72-N","#dc9035"
"HKS 73 N","73-N","#b57e40"
"HKS 74 N","74-N","#997042"
"HKS 75 N","75-N","#8d7545"
"HKS 76 N","76-N","#645243"
"HKS 77 N","77-N","#725547"
"HKS 78 N","78-N","#8c5745"
"HKS 81 N","81-N","#cd6740"
"HKS 82 N","82-N","#b65b42"
"HKS 83 N","83-N","#8b4d45"
"HKS 84 N","84-N","#7a4f4a"
"HKS 88 N","88-N","#43403e"
"HKS 89 N","89-N","#a59984"
"HKS 90 N","90-N","#544946"
"HKS 91 N","91-N","#9aa29c"
"HKS 92 N","92-N","#6a7070"
"HKS 93 N","93-N","#535a5f"
"HKS 95 N","95-N","#8f9085"
"HKS 96 N","96-N","#8a8780"
"HKS 97 N","97-N","#414440"
"HKS 2 Z","2-Z","#e4cd2b"
"HKS 3 Z","3-Z","#e6c930"
"HKS 4 Z","4-Z","#ecba38"
"HKS 5 Z","5-Z","#edb43e"
"HKS 6 Z","6-Z","#f2a142"
"HKS 7 Z","7-Z","#f4873d"
"HKS 8 Z","8-Z","#f17842"
"HKS 10 Z","10-Z","#eb6141"
"HKS 12 Z","12-Z","#e35340"
"HKS 13 Z","13-Z","#e45447"
"HKS 14 Z","14-Z","#e65d56"
"HKS 15 Z","15-Z","#dc4f57"
"HKS 16 Z","16-Z","#ca555a"
"HKS 18 Z","18-Z","#994e5a"
"HKS 22 Z","22-Z","#dd4f49"
"HKS 23 Z","23-Z","#d74e54"
"HKS 25 Z","25-Z","#cb496b"
"HKS 27 Z","27-Z","#d34887"
"HKS 33 Z","33-Z","#a4469c"
"HKS 34 Z","34-Z","#805296"
"HKS 37 Z","37-Z","#6d4f99"
"HKS 38 Z","38-Z","#4c566c"
"HKS 39 Z","39-Z","#2170b3"
"HKS 41 Z","41-Z","#506077"
"HKS 42 Z","42-Z","#4364a6"
"HKS 43 Z","43-Z","#4465ab"
"HKS 44 Z","44-Z","#1c73ae"
"HKS 46 Z","46-Z","#367f9f"
"HKS 47 Z","47-Z","#008bba"
"HKS 48 Z","48-Z","#0094b3"
"HKS 50 Z","50-Z","#33a4ba"
"HKS 51 Z","51-Z","#0098a5"
"HKS 53 Z","53-Z","#00aa90"
"HKS 54 Z","54-Z","#009b6f"
"HKS 55 Z","55-Z","#0e9173"
"HKS 57 Z","57-Z","#238e5b"
"HKS 60 Z","60-Z","#5da04b"
"HKS 61 Z","61-Z","#547353"
"HKS 62 Z","62-Z","#858549"
"HKS 63 Z","63-Z","#688c4c"
"HKS 64 Z","64-Z","#419d53"
"HKS 65 Z","65-Z","#4db051"
"HKS 66 Z","66-Z","#80bd47"
"HKS 67 Z","67-Z","#76b83d"
"HKS 71 Z","71-Z","#e19d3b"
"HKS 72 Z","72-Z","#dc933e"
"HKS 76 Z","76-Z","#715b47"
"HKS 77 Z","77-Z","#785847"
"HKS 78 Z","78-Z","#92604c"
"HKS 82 Z","82-Z","#b9674d"
