"Terranova 5125","terranova-5125","#c0cee6"
"Terranova 5150","terranova-5150","#a9b9e0"
"Terranova 6000","terranova-6000","#535868"
"Terranova 6002","terranova-6002","#e4e5e2"
"Terranova 6010","terranova-6010","#ced3d7"
"Terranova 6025","terranova-6025","#b2b9c2"
"Terranova 6050","terranova-6050","#979eac"
"Terranova 6100","terranova-6100","#51534f"
"Terranova 6102","terranova-6102","#d8dcd8"
"Terranova 6110","terranova-6110","#c4c7c5"
"Terranova 6125","terranova-6125","#abadac"
"Terranova 6150","terranova-6150","#8a8d8c"
"Terranova 6200","terranova-6200","#464546"
"Terranova 6202","terranova-6202","#dee0df"
"Terranova 6210","terranova-6210","#c6cacc"
"Terranova 6225","terranova-6225","#a3a6a9"
"Terranova 6250","terranova-6250","#76787b"
