"T9-25-60 lapis B","t9-25-60-lapis-b","#87a4d8"
"T8-41-20 lapis A","t8-41-20-lapis-a","#1a4472"
"U9-07-79 lavendel C","u9-07-79-lavendel-c","#dbdaec"
"V0-36-43 lavendel B","v0-36-43-lavendel-b","#6974ba"
"V5-34-14 lavendel A","v5-34-14-lavendel-a","#2e2c5f"
"ZN-01-83 violettgrau C","zn-01-83-violettgrau-c","#efe7e7"
"AN-02-55 violettgrau B","an-02-55-violettgrau-b","#9f9697"
"AN-02-25 violettgrau A","an-02-25-violettgrau-a","#504a4b"
"V7-03-81 anthrazit C","v7-03-81-anthrazit-c","#e6e1e8"
"W0-05-55 anthrazit B","w0-05-55-anthrazit-b","#9a95a3"
"W1-06-26 anthrazit A","w1-06-26-anthrazit-a","#4e4b54"
"W1-03-80 veilchen C","w1-03-80-veilchen-c","#e4dfea"
"V9-15-64 veilchen B","v9-15-64-veilchen-b","#bcadd9"
"W0-19-30 veilchen A","w0-19-30-veilchen-a","#5e5277"
"X5-04-78 pflaume C","x5-04-78-pflaume-c","#e7dce8"
"X2-12-59 pflaume B","x2-12-59-pflaume-b","#ba97b6"
"W9-19-29 pflaume A","w9-19-29-pflaume-a","#654c6e"
"X9-04-79 aubergine C","x9-04-79-aubergine-c","#e9dae3"
"Y0-10-70 aubergine B","y0-10-70-aubergine-b","#d8b8d0"
"Y0-30-18 aubergine A","y0-30-18-aubergine-a","#592a54"
"Z1-10-81 malve C","z1-10-81-malve-c","#fecee1"
"Y9-20-60 malve B","y9-20-60-malve-b","#d78fb5"
"Y9-30-30 malve A","y9-30-30-malve-a","#873e69"
"Z6-10-73 cyclam C","z6-10-73-cyclam-c","#f9c5d3"
"Z8-26-58 cyclam B","z8-26-58-cyclam-b","#de799b"
"A0-34-17 cyclam A","a0-34-17-cyclam-a","#621f38"
"ON-00-86 dunkelgrau C","on-00-86-dunkelgrau-c","#edecea"
"CN-01-55 dunkelgrau B","cn-01-55-dunkelgrau-b","#989493"
"ON-00-04 dunkelgrau A","on-00-04-dunkelgrau-a","#19191c"
"ON-00-87 mittelgrau C","on-00-87-mittelgrau-c","#f4f2ef"
"VN-00-70 mittelgrau B","vn-00-70-mittelgrau-b","#bfc0bf"
"DN-00-25 mittelgrau A","dn-00-25-mittelgrau-a","#4e4d4d"
