"orchidee 1","orchidee-1","#883854"
"grenadine 8","grenadine-8","#e19d8a"
"grenadine 9","grenadine-9","#ecb0a0"
"grenadine 10","grenadine-10","#f9d2c8"
"grenadine 11","grenadine-11","#f2c2b5"
"grenadine 12","grenadine-12","#fbdfd5"
"grenadine 13","grenadine-13","#fde7df"
"grenadine 14","grenadine-14","#feefe8"
"terra 1","terra-1","#a66049"
"terra 2","terra-2","#c07e65"
"terra 3","terra-3","#cc8d74"
"terra 4","terra-4","#e2b19b"
"terra 5","terra-5","#f3ddcf"
"mandarine 1","mandarine-1","#f56f2f"
"mandarine 2","mandarine-2","#fc7f3e"
"mandarine 3","mandarine-3","#fa7733"
"mandarine 4","mandarine-4","#fe8a4d"
"mandarine 5","mandarine-5","#ff9056"
"mandarine 6","mandarine-6","#ffa774"
"mandarine 7","mandarine-7","#ff985f"
"mandarine 8","mandarine-8","#ffb689"
"mandarine 9","mandarine-9","#ffc59f"
"mandarine 10","mandarine-10","#ffddc4"
"mandarine 11","mandarine-11","#ffd2b2"
"mandarine 12","mandarine-12","#ffe6d1"
"mandarine 13","mandarine-13","#ffeddb"
"mandarine 14","mandarine-14","#fff2e5"
"zimt 1","zimt-1","#d9793b"
"zimt 2","zimt-2","#e78a4c"
"zimt 3","zimt-3","#e28243"
"zimt 4","zimt-4","#ee9456"
"zimt 5","zimt-5","#ef9a5d"
"zimt 6","zimt-6","#fab07b"
"zimt 7","zimt-7","#f5a268"
"zimt 8","zimt-8","#fdbd8f"
"zimt 9","zimt-9","#ffcca5"
"zimt 10","zimt-10","#ffe3c9"
"zimt 11","zimt-11","#ffd9ba"
"zimt 12","zimt-12","#ffebd7"
"zimt 13","zimt-13","#fdf0e1"
"zimt 14","zimt-14","#fef4e8"
"bernstein 1","bernstein-1","#c68345"
"bernstein 2","bernstein-2","#dfa168"
"bernstein 3","bernstein-3","#e8ae79"
"bernstein 4","bernstein-4","#f3c89f"
"bernstein 5","bernstein-5","#fde9d5"
"papaya 1","papaya-1","#ff8b28"
"papaya 2","papaya-2","#ff9733"
"papaya 3","papaya-3","#ff9233"
"papaya 4","papaya-4","#ffa548"
"papaya 5","papaya-5","#ffaa51"
"papaya 6","papaya-6","#ffbe6e"
"papaya 7","papaya-7","#ffb057"
"papaya 8","papaya-8","#ffca85"
"papaya 9","papaya-9","#ffd69b"
"papaya 10","papaya-10","#ffe8c3"
"papaya 11","papaya-11","#ffe0b2"
"papaya 12","papaya-12","#ffedd1"
"papaya 13","papaya-13","#fdf2dd"
"papaya 14","papaya-14","#fdf9ea"
"cognac 1","cognac-1","#ab693d"
"cognac 2","cognac-2","#bc7a46"
"cognac 3","cognac-3","#b3703b"
"cognac 4","cognac-4","#c98953"
"cognac 5","cognac-5","#ce8f59"
"cognac 6","cognac-6","#dea773"
"cognac 7","cognac-7","#d3965e"
"cognac 8","cognac-8","#e6b787"
"cognac 9","cognac-9","#eec69c"
"cognac 10","cognac-10","#f7e0c3"
"cognac 11","cognac-11","#f4d5b5"
"cognac 12","cognac-12","#faead4"
"cognac 13","cognac-13","#fcf0de"
"cognac 14","cognac-14","#fdf4e6"
"taiga 1","taiga-1","#a26d4b"
"taiga 2","taiga-2","#bf8b66"
"taiga 3","taiga-3","#cc9b76"
"taiga 5","taiga-5","#f5e3d0"
"physalis 1","physalis-1","#ff9824"
"physalis 2","physalis-2","#ffaa33"
"physalis 3","physalis-3","#ffa32a"
"physalis 4","physalis-4","#ffb442"
