"S 0510-Y10R","s-0510-y10r","#f9ebc5"
"S 1010-Y10R","s-1010-y10r","#e8dbb9"
"S 2010-Y10R","s-2010-y10r","#cdc0a3"
"S 3010-Y10R","s-3010-y10r","#b9aa8e"
"S 4010-Y10R","s-4010-y10r","#a79980"
"S 5010-Y10R","s-5010-y10r","#92836d"
"S 6010-Y10R","s-6010-y10r","#796b57"
"S 7010-Y10R","s-7010-y10r","#655845"
"S 8010-Y10R","s-8010-y10r","#4b3e30"
"S 0515-Y10R","s-0515-y10r","#fbe7ba"
"S 1015-Y10R","s-1015-y10r","#ecd9ae"
"S 1515-Y10R","s-1515-y10r","#decca3"
"S 1510-Y10R","s-1510-y10r","#dccfaf"
"S 2010-Y10R","s-2010-y10r","#cdc0a3"
"S 3010-Y10R","s-3010-y10r","#b8aa8e"
"S 5010-Y10R","s-5010-y10r","#92836d"
"S 6010-Y10R","s-6010-y10r","#796a56"
"S 0520-Y10R","s-0520-y10r","#fce6b2"
"S 1020-Y10R","s-1020-y10r","#e9d29f"
"S 2020-Y10R","s-2020-y10r","#d0b98e"
"S 3020-Y10R","s-3020-y10r","#bca37a"
"S 4020-Y10R","s-4020-y10r","#a28b64"
"S 5020-Y10R","s-5020-y10r","#8c7653"
"S 6020-Y10R","s-6020-y10r","#786142"
"S 7020-Y10R","s-7020-y10r","#5e472c"
"S 0530-Y10R","s-0530-y10r","#fedd96"
"S 1030-Y10R","s-1030-y10r","#eccb89"
"S 2030-Y10R","s-2030-y10r","#d3b377"
"S 3030-Y10R","s-3030-y10r","#bc9c66"
"S 4030-Y10R","s-4030-y10r","#a4844f"
"S 5030-Y10R","s-5030-y10r","#8d6e3f"
"S 6030-Y10R","s-6030-y10r","#71542c"
"S 0540-Y10R","s-0540-y10r","#ffd882"
"S 1040-Y10R","s-1040-y10r","#f3c872"
"S 2040-Y10R","s-2040-y10r","#d5ab62"
"S 3040-Y10R","s-3040-y10r","#bb924e"
"S 3050-Y10R","s-3050-y10r","#b88a3c"
"S 4040-Y10R","s-4040-y10r","#9f7a3d"
"S 4050-Y10R","s-4050-y10r","#9b702a"
"S 5040-Y10R","s-5040-y10r","#85612a"
"S 0550-Y10R","s-0550-y10r","#ffd068"
"S 1050-Y10R","s-1050-y10r","#f2c05c"
"S 1060-Y10R","s-1060-y10r","#f7bc44"
"S 2050-Y10R","s-2050-y10r","#d5a54c"
"S 2060-Y10R","s-2060-y10r","#cf9d37"
"S 3060-Y10R","s-3060-y10r","#b58429"
"S 4055-Y10R","s-4055-y10r","#9e7222"
"S 0560-Y10R","s-0560-y10r","#ffc750"
"S 0570-Y10R","s-0570-y10r","#ffc427"
"S 0580-Y10R","s-0580-y10r","#ffbc00"
"S 1060-Y10R","s-1060-y10r","#f7bc45"
"S 1070-Y10R","s-1070-y10r","#f1b225"
"S 1080-Y10R","s-1080-y10r","#f1ac00"
