"SIGMA 0112-06","sigma-0112-06","#839e6f"
"SIGMA 0113-06","sigma-0113-06","#446e4d"
"SIGMA 0114-06","sigma-0114-06","#004e2e"
"SIGMA 0115-06","sigma-0115-06","#b36d56"
"SIGMA 0116-06","sigma-0116-06","#a16855"
"SIGMA 0117-06","sigma-0117-06","#9a5741"
"SIGMA 0118-06","sigma-0118-06","#ab5b43"
"SIGMA 0119-06","sigma-0119-06","#9c412f"
"SIGMA 0120-06","sigma-0120-06","#962e19"
"SIGMA 0121-06","sigma-0121-06","#a55148"
"SIGMA 0122-06","sigma-0122-06","#973a33"
"SIGMA 0123-06","sigma-0123-06","#ab6667"
"SIGMA 0124-06","sigma-0124-06","#7c2a2d"
"SIGMA 0125-06","sigma-0125-06","#63111a"
"SIGMA 0126-06","sigma-0126-06","#ac675f"
"SIGMA 0127-06","sigma-0127-06","#924e47"
"SIGMA 0128-06","sigma-0128-06","#7d4942"
"SIGMA 0129-06","sigma-0129-06","#ad777e"
"SIGMA 0130-06","sigma-0130-06","#9a6560"
"SIGMA 0131-06","sigma-0131-06","#7b4a51"
"SIGMA 0132-06","sigma-0132-06","#78809a"
"SIGMA 0133-06","sigma-0133-06","#656c84"
"SIGMA 0134-06","sigma-0134-06","#494f6c"
"SIGMA 0135-06","sigma-0135-06","#9bb2c5"
"SIGMA 0136-06","sigma-0136-06","#6e8498"
"SIGMA 0137-06","sigma-0137-06","#436180"
"SIGMA 0138-06","sigma-0138-06","#95bdc0"
"SIGMA 0139-06","sigma-0139-06","#6d9291"
"SIGMA 0140-06","sigma-0140-06","#376878"
"SIGMA 0141-06","sigma-0141-06","#9daea5"
"SIGMA 0142-06","sigma-0142-06","#6b8077"
"SIGMA 0143-06","sigma-0143-06","#525b52"
"SIGMA 0144-06","sigma-0144-06","#cfa85e"
"SIGMA 0145-06","sigma-0145-06","#a9892f"
"SIGMA 0146-06","sigma-0146-06","#927528"
"SIGMA 0147-06","sigma-0147-06","#6f511d"
"SIGMA 0148-06","sigma-0148-06","#756c5f"
"SIGMA 0149-06","sigma-0149-06","#5e4e3d"
"SIGMA 0150-06","sigma-0150-06","#452f1e"
"SIGMA 0151-06","sigma-0151-06","#885341"
"SIGMA 0152-06","sigma-0152-06","#71352e"
"SIGMA 0153-06","sigma-0153-06","#571618"
"SIGMA 0154-06","sigma-0154-06","#705c5e"
"SIGMA 0155-06","sigma-0155-06","#573f41"
"SIGMA 0156-06","sigma-0156-06","#2f2029"
"SIGMA 0157-06","sigma-0157-06","#6d6769"
"SIGMA 0158-06","sigma-0158-06","#544c55"
"SIGMA 0159-06","sigma-0159-06","#9a9193"
"SIGMA 0160-06","sigma-0160-06","#5e5457"
"SIGMA 0161-06","sigma-0161-06","#40383b"
"SIGMA 0162-06","sigma-0162-06","#5e6a6f"
"SIGMA 0163-06","sigma-0163-06","#46515a"
"SIGMA 0164-06","sigma-0164-06","#84909a"
"SIGMA 0165-06","sigma-0165-06","#41546a"
"SIGMA 0166-06","sigma-0166-06","#1d2a37"
"SIGMA 0167-06","sigma-0167-06","#6a7e7b"
"SIGMA 0168-06","sigma-0168-06","#596b6b"
"SIGMA 0169-06","sigma-0169-06","#455457"
"SIGMA 0170-06","sigma-0170-06","#184245"
"SIGMA 0171-06","sigma-0171-06","#5d6d61"
"SIGMA 0172-06","sigma-0172-06","#47574a"
"SIGMA 0173-06","sigma-0173-06","#223634"
"SIGMA 0174-06","sigma-0174-06","#222625"
"SIGMA 0175-06","sigma-0175-06","#8c8c8a"
"SIGMA 0176-06","sigma-0176-06","#717070"
"SIGMA 0177-06","sigma-0177-06","#524d4e"
"SIGMA 0178-06","sigma-0178-06","#121314"
"SIGMA 0179-06","sigma-0179-06","#b3b2af"
"SIGMA 0180-06","sigma-0180-06","#a39f9e"
"SIGMA 0181-06","sigma-0181-06","#8f8b8b"
"SIGMA 0182-06","sigma-0182-06","#a8b9bf"
"SIGMA 0183-06","sigma-0183-06","#9ca7b0"
"SIGMA 0184-06","sigma-0184-06","#a9ada1"
"SIGMA 0185-06","sigma-0185-06","#92988f"
"SIGMA 0186-06","sigma-0186-06","#b0ae9e"
"SIGMA 0187-06","sigma-0187-06","#969586"
"SIGMA 0188-06","sigma-0188-06","#b4a98b"
"SIGMA 0189-06","sigma-0189-06","#929068"
"SIGMA 0190-06","sigma-0190-06","#b2a276"
"SIGMA 0191-06","sigma-0191-06","#998e66"
"SIGMA 0192-06","sigma-0192-06","#99884f"
"SIGMA 0193-06","sigma-0193-06","#b3a995"
"SIGMA 0194-06","sigma-0194-06","#9b9284"
"SIGMA 0195-06","sigma-0195-06","#897d73"
"SIGMA 0196-06","sigma-0196-06","#b69f89"
"SIGMA 0197-06","sigma-0197-06","#a69080"
"SIGMA 0198-06","sigma-0198-06","#b19d97"
"SIGMA 0199-06","sigma-0199-06","#998788"
"SIGMA 0200-06","sigma-0200-06","#b0a8a9"
"SIGMA 0201-06","sigma-0201-06","#918b96"
"SIGMA 0202-06","sigma-0202-06","#887d80"
"SIGMA 0203-06","sigma-0203-06","#b7aaa4"
"SIGMA 0204-06","sigma-0204-06","#9e938e"
"SIGMA 0205-06","sigma-0205-06","#8a7f78"
"SIGMA 0206-06","sigma-0206-06","#726863"
"SIGMA 0207-06","sigma-0207-06","#b2a69a"
"SIGMA 0208-06","sigma-0208-06","#86706c"
"SIGMA 0209-06","sigma-0209-06","#745e5a"
"SIGMA 0210-06","sigma-0210-06","#5e4944"
"SIGMA 0211-06","sigma-0211-06","#a1947b"
"SIGMA 0212-06","sigma-0212-06","#8e7f68"
"SIGMA 0213-06","sigma-0213-06","#766856"
"SIGMA 0214-06","sigma-0214-06","#5d554b"
"SIGMA 0215-06","sigma-0215-06","#aea88d"
"SIGMA 0216-06","sigma-0216-06","#95957e"
"SIGMA 0217-06","sigma-0217-06","#87806a"
"SIGMA 0218-06","sigma-0218-06","#717064"
"SIGMA 0219-06","sigma-0219-06","#a1aca8"
"SIGMA 0220-06","sigma-0220-06","#8d9994"
"SIGMA 0221-06","sigma-0221-06","#636c69"
"SIGMA 0222-06","sigma-0222-06","#8a908d"
"SIGMA 0223-06","sigma-0223-06","#757975"
"SIGMA 0224-06","sigma-0224-06","#606463"
