"Tinted Iris","DE5961","#c4b7d8"
"Ode to Purple","DE5962","#a798c2"
"Smashed Grape","DE5963","#8775a1"
"Concord Jam","DE5964","#695a82"
"Roman Purple","DE5965","#524765"
"Perfume Haze","DE5966","#f3e9f7"
"Pouty Purple","DE5967","#e7d7ef"
"York Plum","DE5968","#d3bfe5"
"Purple Premiere","DE5969","#b9a0d2"
"Lush Lilac","DE5970","#9d7eb7"
"Jubilee","DE5971","#7e6099"
"Royal Robe","DE5972","#614a7b"
"Snow Plum","DE5973","#f4eaf0"
"Soft Lilac","DE5974","#e2d4df"
"Antique Heather","DE5975","#cdbacb"
"Veiled Violet","DE5976","#b19bb0"
"Muted Berry","DE5977","#91788c"
"Plum Wine","DE5978","#745e6f"
"Purple Trinket","DE5979","#665261"
"Sheer Lavender","DE5980","#efe2f2"
"First Lilac","DE5981","#e7d6ed"
"Plum Point","DE5982","#d4bddf"
"Purple Prophet","DE5983","#bb9eca"
"Cloudy Plum","DE5984","#9d7aac"
"Plum Power","DE5985","#7e5e8d"
"Your Majesty","DE5986","#61496e"
"Soft Lavender","DE5987","#f6e5f6"
"Lavender Princess","DE5988","#e9d2ef"
"Pretty Petunia","DE5989","#d6b7e2"
"Amethyst Show","DE5990","#bd97cf"
"Purple Pride","DE5991","#a274b5"
"Cabaret","DE5992","#845998"
"Palace Purple","DE5993","#68457a"
"Partial Pink","DE5994","#ffedf8"
"Grape Taffy","DE5995","#f4daf1"
"Prom Corsage","DE5996","#e7c3e7"
"Favorite Lavender","DE5997","#d3a5d6"
"Lavender Sweater","DE5998","#bd83be"
"Royal Pretender","DE5999","#a063a1"
"Vibrant Orchid","DE6000","#804b81"
"Cherry Blossoms","DE6001","#f9e7f4"
"Infatuation","DE6002","#f0d5ea"
"Sweetie Pie","DE6003","#e1bbdb"
"Prize Winning Orchid","DE6004","#cc9dc6"
"Victorian Violet","DE6005","#b079a7"
"Plum Perfect","DE6006","#915d88"
"Old-Fashioned Purple","DE6007","#73486b"
"Teatime Mauve","DEC700","#c8a89e"
"Revival Rose","DEC701","#c09084"
"Antique Rose","DEC702","#997165"
"Retro Peach","DEC703","#e7c0ad"
"Moenkopi Tan","DEC704","#c8a692"
"Burnt Crimson","DEC705","#784d4c"
"Rosewood","DEC706","#9b6957"
"Foxtail","DEC707","#bc896e"
"Sunset Cove","DEC708","#dcb397"
"Adobe South","DEC709","#e5c1a7"
"Peach","DEC710","#fadfc7"
"Cliff Brown","DEC711","#d0ab8c"
"Briar","DEC712","#745443"
"Roman Brick","DEC713","#ab7f5b"
"Friar Tuck","DEC714","#ddb994"
"Sandal","DEC715","#c8ae96"
"Stonish Beige","DEC716","#ccb49a"
"Baked Potato","DEC717","#b69e87"
"Mesa Tan","DEC718","#a78b71"
"Coral Clay","DEC719","#c2b1a1"
"Cliff's View","DEC720","#ddc5aa"
"Slopes","DEC721","#d2b698"
"Baja White","DEC722","#f4e1c5"
"Champagne","DEC723","#f3debc"
"Spanish White","DEC724","#ffe8c7"
"Weathered Coral","DEC725","#ead0a9"
"Adobe","DEC726","#d1b791"
"Valley Flower","DEC727","#ffdd9d"
"Madera","DEC728","#eed09d"
"Medallion","DEC729","#c3a679"
"Alluring Umber","DEC730","#977b4d"
"Highlight Gold","DEC731","#dfc16d"
"Aspen Yellow","DEC732","#f6df9f"
"Solar Wind ","DEC733","#fce9b9"
"Jasmine","DEC734","#fff4bb"
"Flaxen","DEC735","#fbecc9"
"Flaxseed","DEC736","#f7e6c6"
"Jakarta","DEC737","#efddc3"
"Travertine","DEC738","#dfc6aa"
"Golden Gate","DEC739","#d9c09c"
"Sandcastle","DEC740","#e5d7c4"
"Bone White","DEC741","#ebdecc"
"Cameo","DEC742","#f2debc"
"High Noon","DEC743","#cfb999"
"Celtic Linen","DEC744","#f5e5ce"
"Chaparral","DEC745","#e5d0b0"
"Apache Tan","DEC746","#d5bfa5"
