"DN-01-87 rotgrau 5","dn-01-87-rotgrau-5","#faf3ee"
"H8-05-55 pistazie 2","h8-05-55-pistazie-2","#9b9d91"
"H9-05-36 pistazie 1","h9-05-36-pistazie-1","#6c6e67"
"K0-04-85 salbei 5","k0-04-85-salbei-5","#e6efe2"
"K1-09-79 salbei 4","k1-09-79-salbei-4","#d1e6cc"
"K0-11-70 salbei 3","k0-11-70-salbei-3","#bacdb2"
"K2-09-60 salbei 2","k2-09-60-salbei-2","#a2b19e"
"K0-11-39 salbei 1","k0-11-39-salbei-1","#6f796a"
"L0-05-85 eukalyptus 5","l0-05-85-eukalyptus-5","#e3f4e5"
"K9-11-78 eukalyptus 4","k9-11-78-eukalyptus-4","#c4e4cc"
"L0-19-69 eukalyptus 3","l0-19-69-eukalyptus-3","#9eceaa"
"K8-20-59 eukalyptus 2","k8-20-59-eukalyptus-2","#89b591"
"K9-18-41 eukalyptus 1","k9-18-41-eukalyptus-1","#658069"
"J8-10-85 dschungel 5","j8-10-85-dschungel-5","#e3f7d8"
"K1-21-80 dschungel 4","k1-21-80-dschungel-4","#beedb6"
"K1-31-70 dschungel 3","k1-31-70-dschungel-3","#9ad58e"
"K1-41-61 dschungel 2","k1-41-61-dschungel-2","#75bb6d"
"K0-40-40 dschungel 1","k0-40-40-dschungel-1","#558350"
"K5-12-82 glas 5 ","k5-12-82-glas-5","#ceedcd"
"K6-21-77 glas 4 ","k6-21-77-glas-4","#b0e5b3"
"K9-30-71 glas 3 ","k9-30-71-glas-3","#87da9b"
"K9-40-60 glas 2 ","k9-40-60-glas-2","#5dc07c"
"K8-51-50 glas 1 ","k8-51-50-glas-1","#3ca45e"
"L3-10-82 patina 5","l3-10-82-patina-5","#cfefd9"
"L9-17-79 patina 4","l9-17-79-patina-4","#b3edd1"
"M2-21-73 patina 3","m2-21-73-patina-3","#95ddc2"
"M0-40-61 patina 2","m0-40-61-patina-2","#48c196"
"M1-41-51 patina 1","m1-41-51-patina-1","#36a47e"
"PN-00-83 turkisgrau 5","pn-00-83-turkisgrau-5","#e6e9e7"
"PN-01-79 turkisgrau 4","pn-01-79-turkisgrau-4","#dde0df"
"NN-02-72 turkisgrau 3","nn-02-72-turkisgrau-3","#c7cecc"
"P0-03-55 turkisgrau 2","p0-03-55-turkisgrau-2","#959c9c"
"Q5-05-44 turkisgrau 1","q5-05-44-turkisgrau-1","#788284"
"PN-02-82 stahl 5","pn-02-82-stahl-5","#e1eae8"
"PN-02-77 stahl 4","pn-02-77-stahl-4","#d2dbd9"
"N8-04-73 stahl 3","n8-04-73-stahl-3","#c3d2cf"
"P0-05-65 stahl 2","p0-05-65-stahl-2","#acbbba"
"N8-05-56 stahl 1","n8-05-56-stahl-1","#95a2a0"
"P0-03-83 aqua 5 ","p0-03-83-aqua-5","#e1edeb"
"P8-06-74 aqua 4 ","p8-06-74-aqua-4","#c1d4d4"
"P9-09-70 aqua 3 ","p9-09-70-aqua-3","#b0ccce"
"Q0-10-61 aqua 2 ","q0-10-61-aqua-2","#98b1b4"
"Q2-10-50 aqua 1 ","q2-10-50-aqua-1","#7f9496"
"N9-05-83 arktis 5","n9-05-83-arktis-5","#daedea"
"N9-07-78 arktis 4","n9-07-78-arktis-4","#c4dfdc"
"N9-10-70 arktis 3","n9-10-70-arktis-3","#a8ccc9"
"N8-20-60 arktis 2","n8-20-60-arktis-2","#78b7b3"
"N9-15-55 arktis 1","n9-15-55-arktis-1","#7da4a2"
"N2-03-85 mint 5 ","n2-03-85-mint-5","#e1efea"
"N0-09-79 mint 4 ","n0-09-79-mint-4","#c2e5db"
"M8-19-72 mint 3 ","m8-19-72-mint-3","#97d9c9"
"M9-29-60 mint 2 ","m9-29-60-mint-2","#63bba9"
"M9-41-48 mint 1 ","m9-41-48-mint-1","#239c87"
"N8-10-80 petrol 5","n8-10-80-petrol-5","#c2e8e5"
"P2-20-73 petrol 4","p2-20-73-petrol-4","#94dcdb"
"P0-30-61 petrol 3","p0-30-61-petrol-3","#59bcb8"
"N8-40-50 petrol 2","n8-40-50-petrol-2","#1ca29d"
"P2-46-33 petrol 1","p2-46-33-petrol-1","#0a7679"
"Q3-05-84 ozean 5","q3-05-84-ozean-5","#dcefef"
"P7-09-80 ozean 4","p7-09-80-ozean-4","#c6e7e7"
"Q0-20-73 ozean 3","q0-20-73-ozean-3","#98dbe3"
"P9-28-59 ozean 2","p9-28-59-ozean-2","#64b5bf"
"P8-42-40 ozean 1","p8-42-40-ozean-1","#23848e"
"VN-02-83 blaugrau 5","vn-02-83-blaugrau-5","#e1e5e8"
"UN-02-77 blaugrau 4","un-02-77-blaugrau-4","#d2d7da"
"U0-05-66 blaugrau 3","u0-05-66-blaugrau-3","#b9bcbf"
