"D-4226","d-4226","#6cb1de"
"D-4237","d-4237","#50bad1"
"E-5246","e-5246","#80b145"
"B-2167","b-2167","#eeb229"
"B-2140","b-2140","#ffb13c"
"B-2185","b-2185","#d89d65"
"C-3179","c-3179","#e18581"
"D-4243","d-4243","#60a8ba"
"E-5243","e-5243","#5cb1a2"
"E-5267","e-5267","#00a38b"
"B-2168","b-2168","#f0ae00"
"B-2195","b-2195","#fa951e"
"B-2183","b-2183","#d39e76"
"C-3173","c-3173","#e06973"
"D-4249","d-4249","#6d9dab"
"E-5260","e-5260","#409696"
"E-5275","e-5275","#109171"
"B-2155","b-2155","#ffaa00"
"B-2162","b-2162","#f89245"
"B-2216","b-2216","#bd8a65"
"C-3194","c-3194","#c44b7a"
"D-4263","d-4263","#1093be"
"E-5277","e-5277","#007f8c"
"E-5279","e-5279","#007e71"
"B-2182","b-2182","#ea9700"
"B-2177","b-2177","#e8863c"
"B-2217","b-2217","#bc846d"
"C-3182","c-3182","#d64847"
"D-4262","d-4262","#0095c0"
"A-1238","a-1238","#929290"
"E-5381","e-5381","#007373"
"B-2218","b-2218","#c69d23"
"B-2172","b-2172","#ee711e"
"B-2231","b-2231","#a98569"
"C-3196","c-3196","#bd3735"
"D-4266","d-4266","#4b72a9"
"A-1266","a-1266","#6b7077"
"E-5384","e-5384","#046665"
"B-2213","b-2213","#c7a137"
"B-2192","b-2192","#d9664a"
"B-2260","b-2260","#7d7067"
"C-3195","c-3195","#b23240"
"D-4277","d-4277","#315fa0"
"A-1267","a-1267","#6c6c6c"
"E-5284","e-5284","#016357"
"B-2198","b-2198","#ca9a38"
"B-2207","b-2207","#ce7d2f"
"C-3254","c-3254","#8b6661"
"C-3232","c-3232","#852b31"
"D-4283","d-4283","#35517b"
"E-5265","e-5265","#6e736b"
"E-5385","e-5385","#1e6145"
"B-2226","b-2226","#b1863c"
"B-2208","b-2208","#c16e40"
"C-3271","c-3271","#6f3936"
"C-3249","c-3249","#7c2e2b"
"D-4288","d-4288","#2c3562"
"E-5274","e-5274","#655847"
"E-5286","e-5286","#32583d"
