"18 D 43","18-d-43","#488a9d"
"20 D 43","20-d-43","#6288b4"
"22 D 43","22-d-43","#8682b2"
"02 D 44","02-d-44","#a04d68"
"04 D 44","04-d-44","#a5524e"
"06 D 44","06-d-44","#b56d3e"
"08 D 44","08-d-44","#ab762f"
"10 D 44","10-d-44","#b69126"
"12 D 44","12-d-44","#828130"
"14 D 44","14-d-44","#3b7658"
"16 D 44","16-d-44","#1b7b74"
"18 D 44","18-d-44","#3a768c"
"20 D 44","20-d-44","#4b70a0"
"22 D 44","22-d-44","#746e9f"
"02 D 45","02-d-45","#803859"
"04 D 45","04-d-45","#863735"
"06 D 45","06-d-45","#90593a"
"08 D 45","08-d-45","#8a6032"
"10 D 45","10-d-45","#987c26"
"12 D 45","12-d-45","#6a6b35"
"14 D 45","14-d-45","#235c43"
"16 D 45","16-d-45","#005c59"
"18 D 45","18-d-45","#1a5e73"
"20 D 45","20-d-45","#355c82"
"22 D 45","22-d-45","#574c84"
"04 E 49","04-e-49","#f8ddd5"
"08 E 49","08-e-49","#f3dab9"
"10 E 49","10-e-49","#efe5a8"
"14 E 49","14-e-49","#d3edd8"
"18 E 49","18-e-49","#daebe7"
"04 E 50","04-e-50","#ffbdaf"
"06 E 50","06-e-50","#fcb877"
"10 E 51","10-e-51","#f5d367"
"04 E 56","04-e-56","#b1daba"
"06 E 50","06-e-50","#a1dcd3"
"10 E 50","10-e-50","#b2d9df"
"14 E 50","14-e-50","#bad7ec"
"16 E 50","16-e-50","#a2ddd4"
"18 E 50","18-e-50","#b4dae1"
"20 E 50","20-e-50","#bcd8ee"
"24 E 50","24-e-50","#e5c8df"
"04 E 51","04-e-51","#e97463"
"06 E 51","06-e-51","#ef8d58"
"08 E 51","08-e-51","#efa200"
"10 E 51","10-e-51","#eab90d"
"12 E 51","12-e-51","#cbcb3e"
"14 E 51","14-e-51","#5cae73"
"18 E 51","18-e-51","#44a7c0"
"20 E 51","20-e-51","#6aa5d5"
"02 E 53","02-e-53","#c45b7c"
"04 E 53","04-e-53","#bf3d34"
"06 E 53","06-e-53","#f28419"
"08 E 53","08-e-53","#ffab00"
"10 E 53","10-e-53","#eec600"
"12 E 53","12-e-53","#9db63b"
"14 E 53","14-e-53","#0c9265"
"16 E 53","16-e-53","#00948f"
"18 E 53","18-e-53","#007399"
"20 E 53","20-e-53","#2b73ab"
"22 E 53","22-e-53","#6b6196"
"24 E 53","24-e-53","#84568b"
"04 E 55","04-e-55","#c74430"
"06 E 55","06-e-55","#e05f24"
"08 E 55","08-e-55","#ff9a00"
"10 E 55","10-e-55","#fcc903"
"12 E 55","12-e-55","#7ca23e"
"02 E 56","02-e-56","#a4476a"
"04 E 56","04-e-56","#b43837"
"06 E 56","06-e-56","#bb6a35"
"08 E 56","08-e-56","#cd8920"
"10 E 56","10-e-56","#d6a814"
"14 E 56","14-e-56","#137f54"
"16 E 56","16-e-56","#008078"
"20 E 56","20-e-56","#186393"
"24 E 56","24-e-56","#835089"
"02 E 58","02-e-58","#623249"
"04 E 58","04-e-58","#673c40"
"14 E 58","14-e-58","#314c40"
"18 E 58","18-e-58","#1c4658"
"22 E 58","22-e-58","#443b62"
"24 E 58","24-e-58","#513252"
"00 E 53","00-e-53","#2f2f30"
"00 E 55","00-e-55","#f1f2ea"
