"HL8344","hl8344","#c9beb5"
"HL8345","hl8345","#a1998d"
"HL8351","hl8351","#e2cab1"
"HL8352","hl8352","#d7bca2"
"HL8353","hl8353","#caab91"
"HL8354","hl8354","#b99d83"
"HL8355","hl8355","#a4886f"
"HL8361","hl8361","#e0c1ab"
"HL8362","hl8362","#e3c2a7"
"HL8363","hl8363","#c8a186"
"HL8364","hl8364","#c1a28d"
"HL8365","hl8365","#b2876d"
"HL8371","hl8371","#d3b598"
"HL8372","hl8372","#cdaa8d"
"HL8373","hl8373","#c3a383"
"HL8374","hl8374","#bf9f84"
"HL8375","hl8375","#b79277"
"HL8381","hl8381","#d5c4b0"
"HL8382","hl8382","#ccb7a0"
"HL8383","hl8383","#bba68e"
"HL8384","hl8384","#b09a83"
"HL8385","hl8385","#a7927c"
"HL8391","hl8391","#e6e7db"
"HL8392","hl8392","#dfe1d2"
"HL8393","hl8393","#e1e3d5"
"HL8394","hl8394","#dadecf"
"HL8395","hl8395","#cfd5cb"
"HL8401","hl8401","#d2dbcf"
"HL8402","hl8402","#cdd6c8"
"HL8403","hl8403","#d3dbca"
"HL8404","hl8404","#d4dbcd"
"HL8405","hl8405","#c0cbbd"
"HL8411","hl8411","#e3e3d7"
"HL8412","hl8412","#deddce"
"HL8413","hl8413","#ddded1"
"HL8414","hl8414","#dadcce"
"HL8415","hl8415","#cecebe"
"HL8421","hl8421","#c1ccbe"
"HL8422","hl8422","#aebab1"
"HL8423","hl8423","#bac1c0"
"HL8424","hl8424","#afb5b5"
"HL8425","hl8425","#c6cbc9"
"HL8431","hl8431","#b7b5a7"
"HL8432","hl8432","#acab9f"
"HL8433","hl8433","#a19f91"
"HL8434","hl8434","#b2ab9c"
"HL8435","hl8435","#aca596"
"HL8441","hl8441","#d0d0c5"
"HL8442","hl8442","#c9c8b8"
"HL8443","hl8443","#c9c9c2"
"HL8444","hl8444","#c1c1ba"
"HL8445","hl8445","#b8b9b2"
"HL8451","hl8451","#d5d6d2"
"HL8452","hl8452","#d6dad9"
"HL8453","hl8453","#b4b7b0"
"HL8454","hl8454","#a6aca8"
"HL8455","hl8455","#9ba19d"
"HL8461","hl8461","#d8dbd2"
"HL8462","hl8462","#dce2de"
"HL8463","hl8463","#c6c7c2"
"HL8464","hl8464","#babcb7"
"HL8465","hl8465","#b1b2ab"
"HL8471","hl8471","#e8cea2"
"HL8472","hl8472","#e7c894"
"HL8473","hl8473","#c6a577"
"HL8474","hl8474","#bb9968"
"HL8475","hl8475","#b49060"
"HL8481","hl8481","#edd0a0"
"HL8482","hl8482","#d7b887"
"HL8483","hl8483","#d2b58d"
"HL8484","hl8484","#c3a57c"
"HL8485","hl8485","#bda07a"
"HL8491","hl8491","#d5be99"
"HL8492","hl8492","#ddc5a3"
"HL8493","hl8493","#dfcfb8"
"HL8494","hl8494","#c3b49b"
"HL8495","hl8495","#cdbfa9"
"HL8501","hl8501","#f1e5cb"
"HL8502","hl8502","#f9e3bf"
"HL8503","hl8503","#eed7af"
"HL8504","hl8504","#e8d6b0"
"HL8505","hl8505","#e8d0a5"
"HL8511","hl8511","#eee3d7"
"HL8512","hl8512","#f0e0ca"
"HL8513","hl8513","#ecdac2"
"HL8514","hl8514","#e4cfb7"
"HL8515","hl8515","#e2d3be"
"HL8521","hl8521","#eae1ca"
"HL8522","hl8522","#ece3d0"
"HL8523","hl8523","#f4e7cd"
"HL8524","hl8524","#f1e0c4"
"HL8525","hl8525","#e8d5b4"
"HL8531","hl8531","#2f8876"
"HL8532","hl8532","#aa4544"
"HL8533","hl8533","#ffa14c"
"HL8534","hl8534","#366294"
"HL8535","hl8535","#3c6c4e"
"HL8541","hl8541","#86d7c9"
"HL8542","hl8542","#e55846"
