"Trimetal C315G","trimetal-c315g","#b79d8a"
"Trimetal C319K","trimetal-c319k","#92745c"
"Trimetal C336D","trimetal-c336d","#fbbb8e"
"Trimetal C412D","trimetal-c412d","#d8c3b1"
"Trimetal C414C","trimetal-c414c","#f0d7c4"
"Trimetal C422C","trimetal-c422c","#f0c8a9"
"Trimetal C423M","trimetal-c423m","#714f30"
"Trimetal C432E","trimetal-c432e","#eab58b"
"Trimetal C436L","trimetal-c436l","#8f5a28"
"Trimetal C438G","trimetal-c438g","#cf9562"
"Trimetal C474F","trimetal-c474f","#f68d25"
"Trimetal C510J","trimetal-c510j","#99897a"
"Trimetal C524J","trimetal-c524j","#98775a"
"Trimetal C527M","trimetal-c527m","#785228"
"Trimetal C539G","trimetal-c539g","#cf9762"
"Trimetal C544G","trimetal-c544g","#d7965b"
"Trimetal C550J","trimetal-c550j","#bb782e"
"Trimetal C618N","trimetal-c618n","#60472e"
"Trimetal C620C","trimetal-c620c","#f6d6b6"
"Trimetal C626M","trimetal-c626m","#7d5730"
"Trimetal C633D","trimetal-c633d","#ebb98a"
"Trimetal C639H","trimetal-c639h","#b7834c"
"Trimetal C646J","trimetal-c646j","#b37937"
"Trimetal C647K","trimetal-c647k","#a76a2c"
"Trimetal C655F","trimetal-c655f","#e7973f"
"Trimetal C667E","trimetal-c667e","#fea139"
"Trimetal C682F","trimetal-c682f","#f78900"
"Trimetal C706B","trimetal-c706b","#f5eae4"
"Trimetal C709B","trimetal-c709b","#f5e7da"
"Trimetal C710D","trimetal-c710d","#cfbfae"
"Trimetal C716E","trimetal-c716e","#cbb49e"
"Trimetal C720C","trimetal-c720c","#ebcfb1"
"Trimetal C723D","trimetal-c723d","#efcaa6"
"Trimetal C724M","trimetal-c724m","#70522d"
"Trimetal C725E","trimetal-c725e","#d7b38d"
"Trimetal C734E","trimetal-c734e","#e2b381"
"Trimetal C735G","trimetal-c735g","#c49562"
"Trimetal C810K","trimetal-c810k","#847566"
"Trimetal C819B","trimetal-c819b","#f8d9bb"
"Trimetal C824J","trimetal-c824j","#9c7c59"
"Trimetal C830L","trimetal-c830l","#856033"
"Trimetal C853D","trimetal-c853d","#fab661"
"Trimetal C873G","trimetal-c873g","#dd8900"
"Trimetal C908B","trimetal-c908b","#f6e8d8"
"Trimetal C915K","trimetal-c915k","#897761"
"Trimetal C915N","trimetal-c915n","#5e503d"
"Trimetal C919F","trimetal-c919f","#c0a789"
"Trimetal C922D","trimetal-c922d","#e2c39f"
"Trimetal C934L","trimetal-c934l","#8c6635"
"Trimetal C937H","trimetal-c937h","#b08651"
"Trimetal C956H","trimetal-c956h","#c38826"
"Trimetal C976E","trimetal-c976e","#ffa915"
"Trimetal D007B","trimetal-d007b","#f3eadf"
"Trimetal D011B","trimetal-d011b","#f2e2cf"
"Trimetal D012C","trimetal-d012c","#e7d8c4"
"Trimetal D012G","trimetal-d012g","#ab9c87"
"Trimetal D014B","trimetal-d014b","#f7e1c9"
"Trimetal D014D","trimetal-d014d","#d8c4ab"
"Trimetal D014H","trimetal-d014h","#9a8973"
