"kera 820-6","kera-820-6","#decaa2"
"kera 820-8","kera-820-8","#eee3c9"
"kera 830-0","kera-830-0","#825d42"
"kera 830-2","kera-830-2","#a17a59"
"kera 830-4","kera-830-4","#c5a180"
"kera 830-6","kera-830-6","#d8bba1"
"kera 830-8","kera-830-8","#ebdcca"
"kera 840-0","kera-840-0","#6d4d3f"
"kera 840-2","kera-840-2","#8c6858"
"kera 840-4","kera-840-4","#b99687"
"kera 840-6","kera-840-6","#ccaea0"
"kera 840-8","kera-840-8","#e7d7cd"
"kera 850-0","kera-850-0","#51443e"
"kera 850-2","kera-850-2","#72655e"
"kera 850-4","kera-850-4","#9c8f88"
"kera 850-6","kera-850-6","#bab1aa"
"kera 850-8","kera-850-8","#d8d1cb"
"kera 900-0","kera-900-0","#f9d333"
"kera 900-2","kera-900-2","#f6d85d"
"kera 900-4","kera-900-4","#f2e6ad"
"kera 900-6","kera-900-6","#f3eccd"
"kera 910-0","kera-910-0","#d27d5f"
"kera 910-2","kera-910-2","#dfa28a"
"kera 910-4","kera-910-4","#ecd9ce"
"kera 910-6","kera-910-6","#ede5dc"
"kera 920-0","kera-920-0","#994541"
"kera 920-2","kera-920-2","#bb6062"
"kera 920-4","kera-920-4","#e6acaf"
"kera 920-6","kera-920-6","#eeded9"
"kera 930-0","kera-930-0","#65464b"
"kera 930-2","kera-930-2","#8c6271"
"kera 930-4","kera-930-4","#ccacb6"
"kera 930-6","kera-930-6","#ede5e4"
"kera blau","kera-blau","#28608f"
"kera blau - 1","kera-blau-1","#6c9ed2"
"kera braun","kera-braun","#6d4d3f"
"kera braun - 1","kera-braun-1","#885d46"
"kera chromoxidgr","kera-chromoxidgr","#587550"
"kera chromoxidgr-1","kera-chromoxidgr-1","#738f67"
"kera echtgelb","kera-echtgelb","#fcd842"
"kera echtrot","kera-echtrot","#b14243"
"kera goldgelb","kera-goldgelb","#eab571"
"kera goldocker","kera-goldocker","#c07432"
"kera goldocker-1","kera-goldocker-1","#d98a37"
"kera oxidgelb","kera-oxidgelb","#f8d440"
"kera oxidgelb-1","kera-oxidgelb-1","#ece693"
"kera oxidrot","kera-oxidrot","#945048"
"kera oxidrot-1","kera-oxidrot-1","#7f423c"
"kera schwarz","kera-schwarz","#393939"
"kera schwarz-1","kera-schwarz-1","#5d5e60"
"kera zitr-gelb","kera-zitr-gelb","#ede695"
