"Pumpkin Burst","2005-1B","rgb(248, 158, 87)"
"Orange Ochre","2010-1","rgb(243, 156, 78)"
"Butterscotch Sundae","2008-3C","rgb(233, 168, 113)"
"Brioche","3001-5B","rgb(231, 168, 112)"
"Monarch Wing","2008-1A","rgb(249, 159, 59)"
"Frankincense","3002-5C","rgb(218, 169, 119)"
"Safari Sun","3004-5B","rgb(219, 168, 103)"
"Creamy Orange","3005-5B","rgb(218, 172, 111)"
"Ambitious","3005-5C","rgb(216, 175, 119)"
"Caramel Honey","3003-3B","rgb(227, 171, 87)"
"Tangerine","2004-1B","rgb(242, 145, 94)"
"Orange Pecan","2003-1B","rgb(239, 154, 109)"
"Peach Ice Cream","2007-5C","rgb(219, 159, 122)"
"Brushed Orange","2007-3B","rgb(242, 156, 94)"
"Orange Fruit","2011-1","rgb(248, 143, 33)"
"Toffee Cream","3001-3B","rgb(221, 156, 98)"
"Buttercup Squash","2007-1A","rgb(248, 152, 57)"
"Toasted Coffee","2008-3B","rgb(229, 160, 96)"
"Roasted Chestnut","3002-3A","rgb(228, 155, 64)"
"Golden Castle","3004-3A","rgb(227, 160, 49)"
"Toasted Apricot","2006-3B","rgb(227, 143, 102)"
"Laredo","2004-5C","rgb(210, 148, 115)"
"Carrot Cake","2007-3A","rgb(235, 138, 82)"
"Longhorn","2007-5B","rgb(214, 146, 107)"
"Fresh Persimmons","2009-1","rgb(245, 142, 75)"
"Pumpkin Custard","2005-1A","rgb(243, 143, 62)"
"Toasted Pumpkin","2006-1A","rgb(227, 143, 67)"
"Autumn Spice","3003-5B","rgb(205, 150, 92)"
"Poseidon's Gold","3004-5A","rgb(206, 150, 80)"
"Amber Wheat","3003-3A","rgb(218, 154, 64)"
"Autumn Glimmer","2003-1A","rgb(233, 127, 78)"
"Autumn Gala","2004-1A","rgb(235, 123, 69)"
"Patio Stone","2008-5B","rgb(210, 138, 91)"
"Coffee Whip","2008-3A","rgb(215, 136, 78)"
"Canyon Sun","3001-5A","rgb(199, 131, 81)"
"Hazelnut Coffee","3001-3A","rgb(212, 141, 79)"
"Pronghorn","3002-5A","rgb(191, 134, 85)"
"Fancy Suede","3010-5","rgb(194, 135, 77)"
"Butternut Tree","3002-5B","rgb(200, 147, 91)"
"Bugle Call","3006-5A","rgb(207, 149, 74)"
"Cattle Drive","2007-5A","rgb(183, 118, 88)"
"Clove Bud","2004-5B","rgb(195, 129, 98)"
"Caramel Cream","2009-2","rgb(197, 110, 57)"
"Caramel Toffee","3009-7","rgb(180, 123, 77)"
"Wet Riverbanks","3011-4","rgb(182, 121, 61)"
"Amber Sienna","3003-5A","rgb(186, 133, 77)"
"Garden Ochre","3005-5A","rgb(183, 135, 76)"
"Pumpkin Squash","3009-5","rgb(184, 133, 65)"
"Mixed Potpourri","3010-4","rgb(177, 138, 82)"
"Camel Ride","3005-7A","rgb(177, 138, 82)"
"Fiesta","2008-5A","rgb(182, 107, 70)"
"Orange Glaze","3009-6","rgb(182, 106, 62)"
"Autumn Surprise","3011-5","rgb(157, 108, 64)"
"Praline Cake","3004-7A","rgb(164, 121, 77)"
"Toasted Wheat","3001-2B","rgb(255, 221, 151)"
"Peach Tickle","3002-2B","rgb(255, 227, 161)"
"Fruit Compote","3004-2A","rgb(255, 225, 144)"
"Sunglow","3003-2B","rgb(255, 229, 158)"
"Hazy Dawn","3004-2B","rgb(254, 232, 172)"
"Toasted Oat","3005-4A","rgb(249, 224, 152)"
"Like Butter","3005-2A","rgb(254, 229, 156)"
"Tangy Lemon","3006-2A","rgb(254, 226, 132)"
"Lemon Twist","3006-2B","rgb(253, 233, 161)"
"Lemon Curd","3007-2A","rgb(253, 229, 129)"
"Butterscotch Cream","2008-2A","rgb(255, 215, 140)"
"Maple Cream","3003-4B","rgb(253, 221, 168)"
"Toasted Pecan","3002-2A","rgb(255, 218, 137)"
"Honey Glaze","3003-2A","rgb(255, 221, 122)"
"Hint of Honey","3005-1C","rgb(255, 222, 129)"
"Almond Glaze","3005-3C","rgb(250, 219, 133)"
"Yellow Chimes","3011-1","rgb(255, 221, 93)"
"Golden Mist","3007-1C","rgb(251, 221, 100)"
"Late Day Sun","3006-4A","rgb(243, 222, 151)"
"Top Banana","3008-1C","rgb(250, 225, 125)"
"Soft Duckling","3001-2A","rgb(255, 209, 117)"
"Lazy Sun","3006-6A","rgb(250, 215, 158)"
"Brushed Almond","3004-4A","rgb(254, 211, 133)"
"Golden Butter","3002-1C","rgb(255, 210, 119)"
"Summer Wheat","3004-1C","rgb(255, 217, 121)"
"Sunny Jonquil","3010-1","rgb(255, 214, 57)"
"Golden Haze","3006-1C","rgb(248, 216, 102)"
"Sweet Mustard","3008-1B","rgb(251, 217, 80)"
"Pineapple Mousse","3008-3C","rgb(241, 216, 117)"
"Island Sun","3007-3C","rgb(239, 218, 134)"
"Croissant","3002-4A","rgb(248, 206, 140)"
"Dreamy Caramel","3003-4A","rgb(246, 205, 138)"
"Maple Taffy","3004-3C","rgb(254, 202, 109)"
"Bask in the Glow","2008-1C","rgb(247, 204, 124)"
"Golden Promise","3003-1C","rgb(255, 208, 82)"
"Summer Gold","3005-1B","rgb(253, 210, 93)"
"Dandelion Chain","3006-1B","rgb(249, 209, 76)"
"Amber Pearl","3006-3C","rgb(243, 213, 126)"
"Tangy","3008-1A","rgb(251, 209, 43)"
"Golden Yellow","3007-1B","rgb(252, 213, 69)"
"Delightful Moon","3004-6A","rgb(235, 201, 149)"
"Pale Butter","3003-3C","rgb(244, 199, 127)"
"Elizabethan Yellow","3009-1","rgb(255, 195, 62)"
"Chickadee","3002-1B","rgb(255, 195, 77)"
"Golden Spell","3004-1B","rgb(254, 197, 64)"
"Field of Daisies","3003-1B","rgb(255, 200, 67)"
"Sweet Lemon","3006-3B","rgb(242, 200, 94)"
"Golden Delight","3005-1A","rgb(254, 202, 42)"
"Dijon","3006-1A","rgb(247, 200, 47)"
"Yellow Mustard","3007-1A","rgb(250, 205, 3)"
"Golden Chime","3006-5C","rgb(240, 194, 130)"
"Dandelion Wish","3001-1B","rgb(255, 187, 70)"
"Sunspark","3010-2","rgb(255, 188, 46)"
"Gold Tone","3001-1C","rgb(255, 193, 74)"
"Cloudy Sunset","3005-8A","rgb(228, 195, 142)"
"Gold Abundance","3003-1A","rgb(255, 187, 8)"
"Golden Treasure","3004-1A","rgb(252, 193, 61)"
"Sunday Brunch","3005-3B","rgb(236, 196, 85)"
"24 Karats","3008-6A","rgb(223, 198, 134)"
"Fall Meadow","3007-3B","rgb(225, 200, 97)"
"Golden Flame","3002-1A","rgb(255, 180, 28)"
"Golden Moon","3004-3B","rgb(245, 182, 81)"
"Veranda Yellow","3005-6A","rgb(228, 193, 139)"
"Buttered Toffee","3005-3A","rgb(239, 187, 59)"
"Harpswell Green","3007-5C","rgb(221, 191, 133)"
"Mustard Glaze","3006-3A","rgb(228, 187, 83)"
"Heraldic Gold","3010-3","rgb(226, 186, 78)"
"Golden Meadow","3008-3B","rgb(228, 194, 79)"
"Swiftly Green","3008-5C","rgb(221, 196, 123)"
"Crushed Cumin","6008-6A","rgb(216, 196, 120)"
"Lewis Gold","3005-7C","rgb(203, 165, 107)"
"Afternoon Stroll","3004-5C","rgb(223, 182, 116)"
"Earthen Sienna","3007-5B","rgb(201, 167, 104)"
"Butterscotch Lollipop","3011-3","rgb(227, 185, 100)"
"Roman Ornament","3009-3","rgb(211, 167, 70)"
"Golden Avocado","3008-5A","rgb(199, 164, 75)"
"Almond Puff","3008-3A","rgb(206, 171, 59)"
"Dylan Velvet","3008-5B","rgb(208, 180, 105)"
"Spring Moss","3007-3A","rgb(216, 188, 75)"
"City Chartreuse","6008-6C","rgb(183, 167, 86)"
"Antelope Hide","3005-7B","rgb(195, 160, 105)"
"Corduroy","3007-5A","rgb(178, 142, 75)"
"Bamboo Leaves","3009-4","rgb(188, 159, 96)"
"Swampwater","3008-7B","rgb(179, 163, 106)"
"Wild Daisy","3007-4A","rgb(243, 226, 152)"
"Chickery Chick","3008-2A","rgb(251, 233, 152)"
"Pineapple Cream","3008-4A","rgb(248, 233, 170)"
"Daisy Spell","3007-4B","rgb(246, 234, 179)"
"Summer Sun","3007-2B","rgb(250, 238, 181)"
"New Willow","6007-9B","rgb(240, 235, 172)"
"Lime Mousse","6008-9B","rgb(226, 228, 143)"
"Fluorescent Lime","6007-9C","rgb(222, 226, 140)"
"Fresh Pear","6007-7C","rgb(214, 226, 147)"
"Spring Lawn","6006-9C","rgb(208, 228, 165)"
"Desert Hotsprings","6008-5C","rgb(228, 215, 153)"
"Tangy Dill","6008-10A","rgb(216, 213, 86)"
"Citrus Tickle","6008-9C","rgb(218, 217, 105)"
