"Brillux 8184","8184","#d8a982"
"Brillux 8185","8185","#ddb796"
"Brillux 8186","8186","#eccbac"
"Brillux 8187","8187","#f1d8bd"
"Brillux 8188","8188","#f5e3cd"
"Brillux 8190","8190","#e3dadb"
"Brillux 8191","8191","#d5cac8"
"Brillux 8192","8192","#beb0ad"
"Brillux 8205","8205","#8d643e"
"Brillux 8206","8206","#85674d"
"Brillux 8207","8207","#795f51"
"Brillux 8208","8208","#6b5b4c"
"Brillux 8209","8209","#64523c"
"Brillux 8215","8215","#aa7c4a"
"Brillux 8216","8216","#9c7653"
"Brillux 8217","8217","#89715f"
"Brillux 8218","8218","#7d6d5b"
"Brillux 8219","8219","#816b4c"
"Brillux 8225","8225","#c8985e"
"Brillux 8226","8226","#ae8a65"
"Brillux 8227","8227","#a18873"
"Brillux 8228","8228","#8e7e69"
"Brillux 8229","8229","#998260"
"Brillux 8235","8235","#d4ac76"
"Brillux 8236","8236","#bf9c77"
"Brillux 8237","8237","#b29d89"
"Brillux 8238","8238","#a39580"
"Brillux 8239","8239","#b39b76"
"Brillux 8245","8245","#e6c898"
"Brillux 8246","8246","#d4b897"
"Brillux 8247","8247","#c8b8a7"
"Brillux 8248","8248","#bdb09d"
"Brillux 8249","8249","#cab695"
"Brillux 8255","8255","#e6cea7"
"Brillux 8256","8256","#dcc5a8"
"Brillux 8257","8257","#d2c4b5"
"Brillux 8258","8258","#c8bdad"
"Brillux 8259","8259","#d8c7a9"
"Brillux 8265","8265","#ecd7b6"
"Brillux 8266","8266","#e2cdb3"
"Brillux 8267","8267","#dbd0c3"
"Brillux 8268","8268","#d2c8ba"
"Brillux 8269","8269","#deceb5"
"Brillux 8275","8275","#efe1c6"
"Brillux 8276","8276","#ebdcc7"
"Brillux 8277","8277","#e4d9cb"
"Brillux 8278","8278","#dfd7c8"
"Brillux 8279","8279","#e3d8c3"
"Brillux 8285","8285","#f2e9d3"
"Brillux 8286","8286","#ede2d0"
"Brillux 8287","8287","#e8e0d4"
"Brillux 8288","8288","#e0d8cb"
"Brillux 8289","8289","#e8e0cd"
"Brillux 8295","8295","#e0d1cb"
"Brillux 8296","8296","#d5c2bd"
"Brillux 8297","8297","#ccb2a9"
"Brillux 8298","8298","#bb9b8e"
"Brillux 8384","8384","#987365"
"Brillux 8385","8385","#896055"
