"201 krokusgelb","201-krokusgelb","#ebd802"
"673 jade metallic","673-jade-metallic","#253337"
"677 tannengrun metallic","677-tannengrun-metallic","#30483e"
"678 herbstgrun metallic","678-herbstgrun-metallic","#3c453a"
"679 laubgrun metallic","679-laubgrun-metallic","#2b4b2b"
"680 steppengrun metallic","680-steppengrun-metallic","#666651"
"676 waldgrun metallic","676-waldgrun-metallic","#00564c"
"675 seegrun metallic","675-seegrun-metallic","#0a545a"
"637 teal metallic","637-teal-metallic","#005e68"
"674 mint metallic","674-mint-metallic","#487376"
"681 graugrun metallic","681-graugrun-metallic","#869493"
