"farbe-raum 2005-Y","2005-y","#c9c4b3"
"farbe-raum 2005-Y20R","2005-y20r","#c9c2b2"
"farbe-raum 2005-Y40R","2005-y40r","#cbbfae"
"farbe-raum 2010-G30Y","2010-g30y","#b7c1ae"
"farbe-raum 2010-R90B","2010-r90b","#b0bdc4"
"farbe-raum 2010-Y","2010-y","#c5bda1"
"farbe-raum 2010-Y10R","2010-y10r","#cbbea2"
"farbe-raum 2010-Y20R","2010-y20r","#ccbda1"
"farbe-raum 2010-Y30R","2010-y30r","#d1bda3"
"farbe-raum 2010-Y40R","2010-y40r","#cdb59c"
"farbe-raum 2010-Y50R","2010-y50r","#ceb5a1"
"farbe-raum 2020-B90G","2020-b90g","#99bdad"
"farbe-raum 2020-G20Y","2020-g20y","#a1b89b"
"farbe-raum 2020-G30Y","2020-g30y","#abbe9b"
"farbe-raum 2020-G50Y","2020-g50y","#b3b88f"
"farbe-raum 2020-G70Y","2020-g70y","#bcbc8a"
"farbe-raum 2020-G90Y","2020-g90y","#c6bc8c"
"farbe-raum 2020-R","2020-r","#c7a2a1"
"farbe-raum 2020-R30B","2020-r30b","#c5a9b7"
"farbe-raum 2020-R60B","2020-r60b","#adabc4"
"farbe-raum 2020-R80B","2020-r80b","#9eb0c5"
"farbe-raum 2020-R90B","2020-r90b","#9cb4c6"
"farbe-raum 2020-Y","2020-y","#c7b789"
"farbe-raum 2020-Y10R","2020-y10r","#cdb78b"
"farbe-raum 2020-Y20R","2020-y20r","#cbaf82"
"farbe-raum 2020-Y30R","2020-y30r","#d4b28b"
"farbe-raum 2020-Y40R","2020-y40r","#d0aa89"
"farbe-raum 2020-Y70R","2020-y70r","#d1a695"
"farbe-raum 2020-Y80R","2020-y80r","#cba498"
"farbe-raum 2020-Y90R","2020-y90r","#cba19a"
"farbe-raum 2030-Y10R","2030-y10r","#ceaf72"
"farbe-raum 2030-Y20R","2030-y20r","#d2aa73"
"farbe-raum 2030-Y30R","2030-y30r","#d5a372"
"farbe-raum 2030-Y50R","2030-y50r","#d39874"
"farbe-raum 2040-Y30R","2040-y30r","#d69b5f"
"farbe-raum 2040-Y60R","2040-y60r","#cf8663"
"farbe-raum 2050-Y20R","2050-y20r","#d29846"
"farbe-raum 2060-R10B","2060-r10b","#af425b"
"farbe-raum 2060-R90B","2060-r90b","#2582be"
"farbe-raum 2075-Y70R","2075-y70r","#b34321"
"farbe-raum 2500-N","2500-n","#bbbbb8"
"farbe-raum 2502-Y","2502-y","#bcbab1"
"farbe-raum 3005-Y20R","3005-y20r","#b1a896"
"farbe-raum 3010-Y","3010-y","#b2a88a"
"farbe-raum 3010-Y10R","3010-y10r","#b6a98d"
"farbe-raum 3010-Y20R","3010-y20r","#b4a48b"
"farbe-raum 3010-Y30R","3010-y30r","#b8a38b"
"farbe-raum 3010-Y40R","3010-y40r","#b59e89"
"farbe-raum 3020-B","3020-b","#819cab"
"farbe-raum 3020-B30G","3020-b30g","#80a5a8"
"farbe-raum 3020-B70G","3020-b70g","#7ca49c"
"farbe-raum 3020-G10Y","3020-g10y","#8aa58c"
"farbe-raum 3020-Y20R","3020-y20r","#b69a72"
"farbe-raum 3020-Y30R","3020-y30r","#b99671"
"farbe-raum 3030-G50Y","3030-g50y","#959d67"
"farbe-raum 3030-G70Y","3030-g70y","#a2a064"
"farbe-raum 3030-R30B","3030-r30b","#a5788e"
"farbe-raum 3030-Y","3030-y","#b09a60"
"farbe-raum 3030-Y10R","3030-y10r","#ba9a64"
"farbe-raum 3030-Y40R","3030-y40r","#ba875f"
"farbe-raum 3030-Y80R","3030-y80r","#b37a6d"
"farbe-raum 3040-Y50R","3040-y50r","#b8764f"
"farbe-raum 3040-Y70R","3040-y70r","#b46d57"
"farbe-raum 3050-Y30R","3050-y30r","#b77638"
"farbe-raum 3500-N","3500-n","#a6a5a2"
"farbe-raum 3502-Y","3502-y","#a2a098"
"farbe-raum 3560-R","3560-r","#751a23"
"farbe-raum 3560-R80B","3560-r80b","#014a8c"
"farbe-raum 3560-Y90R","3560-y90r","#7c2722"
"farbe-raum 4010-B10G","4010-b10g","#819196"
"farbe-raum 4010-G30Y","4010-g30y","#899482"
"farbe-raum 4010-R90B","4010-r90b","#838e99"
"farbe-raum 4010-Y10R","4010-y10r","#a2947b"
"farbe-raum 4010-Y50R","4010-y50r","#a38d7d"
"farbe-raum 4020-R","4020-r","#9a7273"
"farbe-raum 4020-R60B","4020-r60b","#807e97"
"farbe-raum 4020-R90B","4020-r90b","#6e8599"
"farbe-raum 4020-Y30R","4020-y30r","#a68564"
"farbe-raum 4020-Y90R","4020-y90r","#9d7672"
"farbe-raum 4030-R50B","4030-r50b","#856b8e"
"farbe-raum 4030-R80B","4030-r80b","#5b7498"
"farbe-raum 4030-R90B","4030-r90b","#5b7d99"
"farbe-raum 4030-Y60R","4030-y60r","#a0684f"
"farbe-raum 4040-G30Y","4040-g30y","#5f7d47"
"farbe-raum 4040-G40Y","4040-g40y","#6d7d3f"
"farbe-raum 4040-R","4040-r","#914a4d"
"farbe-raum 4040-Y","4040-y","#957a38"
"farbe-raum 4040-Y40R","4040-y40r","#9c6136"
"farbe-raum 4040-Y70R","4040-y70r","#97543f"
"farbe-raum 4050-R90B","4050-r90b","#005a87"
"farbe-raum 4050-Y80R","4050-y80r","#883a2b"
"farbe-raum 4500-N","4500-n","#908f8e"
"farbe-raum 4550-G20Y","4550-g20y","#2a5f25"
"farbe-raum 4550-R90B","4550-r90b","#004873"
"farbe-raum 5005-Y20R","5005-y20r","#8c8275"
"farbe-raum 5010-Y30R","5010-y30r","#8c7862"
"farbe-raum 5020-B30G","5020-b30g","#517579"
"farbe-raum 5020-G30Y","5020-g30y","#68785c"
"farbe-raum 5020-Y10R","5020-y10r","#88714e"
"farbe-raum 5020-Y20R","5020-y20r","#8c704d"
"farbe-raum 5020-Y40R","5020-y40r","#8f6b50"
"farbe-raum 5030-B","5030-b","#38647b"
"farbe-raum 5030-R10B","5030-r10b","#7b4951"
"farbe-raum 5030-Y10R","5030-y10r","#8a6b3a"
"farbe-raum 5040-G80Y","5040-g80y","#6f6018"
"farbe-raum 5040-R10B","5040-r10b","#61242f"
"farbe-raum 5040-R80B","5040-r80b","#204775"
"farbe-raum 5500-N","5500-n","#7b7b79"
"farbe-raum 5502-Y","5502-y","#797770"
"farbe-raum 5540-G10Y","5540-g10y","#0b4d28"
"farbe-raum 5540-Y90R","5540-y90r","#60201c"
"farbe-raum 6010-Y10R","6010-y10r","#746753"
"farbe-raum 6020-B70G","6020-b70g","#385f58"
"farbe-raum 6020-G10Y","6020-g10y","#425e48"
"farbe-raum 6030-B","6030-b","#14495e"
"farbe-raum 6030-B90G","6030-b90g","#0b503f"
