"Black Box","MP33758","#0a1b20"
"Ciel Bleu","MP4721","#49a1bc"
"Cloister","MP11713","#005a78"
"Coal Blue","MP11611","#5a6d87"
"Commelina Blue","MP67","#b7d4d8"
"Cook Islands Blue","MP2110","#2d3d6f"
"Copenhagen","MP2514","#56a3b4"
"Copenhagen Blue","MP958","#87a1b3"
"Cornwall Blue","MP965","#7084a9"
"Countrified Blue","MP2965","#9abed0"
"Cruiseliner Blue","MP8072","#1e0d4f"
"Cuernavaca Blue","MP2169","#1e185c"
"Cypress Bayou","MP5517","#437a87"
"Czech Flag Blue","MP2306","#312c4f"
"Daisy Blue","MP5753","#8ab1c6"
"Dansk Blue","MP3758","#3e425e"
"Dark Colonial Blue","MP75","#1b3056"
"Debonair","MP1731","#b0d2d5"
"Deepsea Spray","MP745","#c3ced3"
"Diner Door Blue","MP973","#5c76af"
"Diplomat","MP5694","#5f6173"
"Djibouti Flag Blue","MP10273","#375079"
"Dream I Can Fly","MP7932","#30a3bc"
"Dun Blue","MP9468","#466271"
"Faience Blue","MP5576","#8aa9c9"
"Far Nebula","MP6135","#3c3e58"
"Fiord Blue","MP5659","#49828c"
"Fordson Blue","MP12106","#00577b"
"Franco Blue","MP11183","#3c5475"
"Frescoe Sky","MP7694","#63749b"
"Gray Dawn","MP5010","#b3b7c6"
"Grecian Blue","MP5157","#073165"
"Greyblue","MP723","#c2bec0"
"Guantanamo Teal","MP375","#00597d"
"Hardees New Blue","MP4036","#004d73"
"Highway Blue","MP10180","#004d6e"
"Hong Kong Blue","MP4900","#32749b"
"Ice Cave Blue","MP886","#dcd8ef"
"Ice Palace","MP949","#97d4d9"
"Iceberg Blue","MP349","#bce1f4"
"Im So Blue","MP341","#1c0043"
"Impulse","MP10147","#39456d"
"In The Twilight","MP7081","#797884"
"Indanthrone Blue","MP10261","#0f1e5f"
"Indian Teal","MP12446","#4b5570"
"Indiglo","MP3597","#383e5d"
"Inkspot","MP11285","#1e0043"
"Innsbruck Blue","MP4979","#294160"
"Into The Blue","MP8064","#1d7c96"
"Jacque Blue","MP6198","#90b0bd"
"Jade Blue","MP3571","#2b616c"
"Jaded Blue","MP742","#649ca8"
"Jet Stream","MP7490","#c1d0e0"
"Jumping Juniper","MP8705","#729897"
"Labatt Blue","MP2750","#465178"
"Laid Back Blue","MP969","#ced7e4"
"Lake Placid","MP2392","#7ecbce"
"Lapp Lake","MP8066","#4d7c98"
"Las Palmas Blue","MP2783","#3b545c"
"Lazy Sunday","MP7529","#617a9b"
"Light Sky","MP1715","#bde1db"
"Macaw Blue","MP64","#2e4b91"
"Meridian Blue","MP7895","#3498a3"
"Mid Blue","MP10452","#33518f"
