"Scala 24-06-19","scala-24-06-19","#927b75"
"Scala 24-06-27","scala-24-06-27","#60494a"
"Scala 24-09-12","scala-24-09-12","#dcb8aa"
"Scala 24-09-16","scala-24-09-16","#c19a8e"
"Scala 24-09-24","scala-24-09-24","#7d5650"
"Scala 24-12-03","scala-24-12-03","#f4e2d7"
"Scala 24-12-06","scala-24-12-06","#fad9cb"
"Scala 24-12-16","scala-24-12-16","#d09682"
"Scala 24-13-18","scala-24-13-18","#c98674"
"Scala 24-13-21","scala-24-13-21","#b46d5c"
"Scala 24-13-24","scala-24-13-24","#9c5a50"
"Scala 24-15-15","scala-24-15-15","#ec9d83"
"Scala 24-18-18","scala-24-18-18","#da7a63"
"Scala 24-18-23","scala-24-18-23","#ba5d4a"
"Scala 24-21-15","scala-24-21-15","#ea6742"
"Scala 24-24-21","scala-24-24-21","#d14c2a"
"Scala 24-24-24","scala-24-24-24","#a94335"
"Scala 27-09-03","scala-27-09-03","#eddbd3"
"Scala 27-09-06","scala-27-09-06","#f0dcd5"
"Scala 27-09-09","scala-27-09-09","#e5ccc7"
"Scala 27-09-19","scala-27-09-19","#b58b80"
"Scala 27-09-30","scala-27-09-30","#5e2d33"
"Scala 27-09-33","scala-27-09-33","#43252a"
"Scala 27-12-06","scala-27-12-06","#f6dbd4"
"Scala 27-12-09","scala-27-12-09","#ebc9c2"
"Scala 27-15-06","scala-27-15-06","#fdd4cc"
"Scala 27-15-12","scala-27-15-12","#f3b0a7"
"Scala 27-15-24","scala-27-15-24","#9d4641"
"Scala 27-18-15","scala-27-18-15","#ef978a"
"Scala 27-21-18","scala-27-21-18","#e46d64"
"Scala 27-21-30","scala-27-21-30","#a23940"
"Scala 27-24-24","scala-27-24-24","#b42624"
"Scala 27-24-27","scala-27-24-27","#a23230"
"Scala 30-06-06","scala-30-06-06","#ebdcda"
"Scala 30-06-12","scala-30-06-12","#d4c4c5"
"Scala 30-06-30","scala-30-06-30","#493a3f"
"Scala 30-09-03","scala-30-09-03","#f8e4e1"
"Scala 30-09-06","scala-30-09-06","#f2dbdb"
"Scala 30-09-09","scala-30-09-09","#e5caca"
"Scala 30-12-24","scala-30-12-24","#8e5258"
"Scala 30-15-06","scala-30-15-06","#f9d8d7"
"Scala 30-15-15","scala-30-15-15","#e09a99"
"Scala 30-15-27","scala-30-15-27","#944b4d"
"Scala 30-15-33","scala-30-15-33","#632734"
"Scala 30-18-12","scala-30-18-12","#efaeb4"
"Scala 30-18-15","scala-30-18-15","#ea9199"
"Scala 30-18-27","scala-30-18-27","#a83146"
"Scala 30-21-21","scala-30-21-21","#c65667"
"Scala 30-24-21","scala-30-24-21","#b13741"
"Scala 33-06-03","scala-33-06-03","#efe9e8"
"Scala 33-06-06","scala-33-06-06","#ecdfdd"
"Scala 33-06-12","scala-33-06-12","#ccc1c1"
"Scala 33-06-27","scala-33-06-27","#6c5f62"
"Scala 33-09-13","scala-33-09-13","#d2bcbf"
"Scala 33-09-16","scala-33-09-16","#b7a0a1"
"Scala 33-09-18","scala-33-09-18","#997f83"
"Scala 33-12-06","scala-33-12-06","#efdede"
"Scala 33-12-09","scala-33-12-09","#e4cacd"
"Scala 33-12-15","scala-33-12-15","#d4a0a8"
"Scala 33-12-18","scala-33-12-18","#b8858e"
"Scala 33-18-27","scala-33-18-27","#80273e"
"Scala 36-03-03","scala-36-03-03","#f0e7e8"
"Scala 36-06-06","scala-36-06-06","#ecdbe0"
"Scala 36-06-09","scala-36-06-09","#e2ccd4"
"Scala 36-06-12","scala-36-06-12","#d9bdc8"
"Scala 36-09-21","scala-36-09-21","#aa6787"
"Scala 36-09-30","scala-36-09-30","#562945"
"Scala 36-09-36","scala-36-09-36","#3a222f"
"Scala 36-15-27","scala-36-15-27","#843356"
"Scala 39-06-06","scala-39-06-06","#e9dce1"
"Scala 39-06-24","scala-39-06-24","#706269"
"Scala 39-06-27","scala-39-06-27","#574955"
"Scala 39-09-09","scala-39-09-09","#e0ced6"
"Scala 39-09-15","scala-39-09-15","#bfa9b7"
"Scala 39-09-21","scala-39-09-21","#9b8491"
"Scala 39-12-09","scala-39-12-09","#eaccd8"
"Scala 39-12-12","scala-39-12-12","#d9b9cb"
"Scala 39-12-18","scala-39-12-18","#b48aa5"
"Scala 39-12-24","scala-39-12-24","#7e5872"
"Scala 39-15-09","scala-39-15-09","#f0dbe4"
"Scala 39-15-12","scala-39-15-12","#e5afce"
"Scala 42-03-03","scala-42-03-03","#e7e6e3"
"Scala 42-06-06","scala-42-06-06","#e7dee1"
"Scala 42-06-18","scala-42-06-18","#9f939c"
"Scala 42-12-06","scala-42-12-06","#f0dae6"
"Scala 42-12-12","scala-42-12-12","#d6bccd"
"Scala 42-15-15","scala-42-15-15","#cda1c2"
"Scala 42-15-30","scala-42-15-30","#49324c"
"Scala 42-21-27","scala-42-21-27","#713a71"
"Scala 45-06-03","scala-45-06-03","#eceaec"
"Scala 45-06-15","scala-45-06-15","#b4b1b7"
"Scala 45-06-21","scala-45-06-21","#817d85"
"Scala 45-09-24","scala-45-09-24","#6c6178"
"Scala 45-12-06","scala-45-12-06","#e1dce9"
"Scala 45-12-12","scala-45-12-12","#ccbfd7"
"Scala 45-15-27","scala-45-15-27","#5c4164"
"Scala 45-18-15","scala-45-18-15","#bfa5d5"
"Scala 48-06-06","scala-48-06-06","#dadde5"
"Scala 48-09-12","scala-48-09-12","#c5c2d2"
"Scala 48-12-18","scala-48-12-18","#9c92b4"
"Scala 48-15-30","scala-48-15-30","#4a3567"
"Scala 51-06-06","scala-51-06-06","#dcdce2"
"Scala 51-09-09","scala-51-09-09","#cfd3e0"
"Scala 51-09-12","scala-51-09-12","#c2c4d6"
"Scala 51-09-15","scala-51-09-15","#aeaec4"
"Scala 51-09-21","scala-51-09-21","#7a7b96"
"Scala 51-12-30","scala-51-12-30","#363760"
"Scala 51-15-18","scala-51-15-18","#9c9aca"
"Scala 51-15-24","scala-51-15-24","#656292"
"Scala 54-12-06","scala-54-12-06","#dce2eb"
"Scala 54-15-12","scala-54-15-12","#b8c5e5"
"Scala 54-15-18","scala-54-15-18","#849acb"
"Scala 54-15-24","scala-54-15-24","#4e68aa"
"Scala 57-06-03","scala-57-06-03","#e2e4e3"
"Scala 57-06-06","scala-57-06-06","#d7dee6"
"Scala 57-06-09","scala-57-06-09","#d0d8e2"
"Scala 57-06-15","scala-57-06-15","#a8b4c0"
"Scala 57-06-21","scala-57-06-21","#798391"
"Scala 57-09-12","scala-57-09-12","#b7c3d1"
"Scala 57-09-18","scala-57-09-18","#8b97ab"
"Scala 57-09-36","scala-57-09-36","#242936"
"Scala 57-12-09","scala-57-12-09","#c5d4e7"
"Scala 57-15-12","scala-57-15-12","#b0c3e5"
"Scala 57-15-27","scala-57-15-27","#32507d"
"Scala 57-18-18","scala-57-18-18","#7b9cd0"
"Scala 57-18-30","scala-57-18-30","#1e3f6c"
"Scala 57-21-18","scala-57-21-18","#7499d3"
"Scala 57-21-21","scala-57-21-21","#6586c0"
"Scala 57-21-27","scala-57-21-27","#3a5f99"
"Scala 60-06-03","scala-60-06-03","#e9ebe9"
"Scala 60-06-15","scala-60-06-15","#acb0b6"
"Scala 60-09-03","scala-60-09-03","#dee7eb"
"Scala 60-09-19","scala-60-09-19","#7c90a7"
"Scala 60-12-30","scala-60-12-30","#29405e"
"Scala 60-15-15","scala-60-15-15","#92b3d8"
"Scala 60-15-21","scala-60-15-21","#5f85af"
"Scala 60-18-27","scala-60-18-27","#14537e"
"Scala 63-06-03","scala-63-06-03","#dbe4ed"
"Scala 63-06-09","scala-63-06-09","#c4d1dc"
"Scala 63-06-15","scala-63-06-15","#a7b3bf"
"Scala 63-06-21","scala-63-06-21","#727d87"
"Scala 63-06-27","scala-63-06-27","#46525e"
"Scala 63-09-03","scala-63-09-03","#d8e9ef"
"Scala 63-12-06","scala-63-12-06","#c4e2ed"
"Scala 63-12-09","scala-63-12-09","#acd2e7"
"Scala 63-15-18","scala-63-15-18","#6ea5ca"
"Scala 63-18-12","scala-63-18-12","#95cce8"
"Scala 63-18-21","scala-63-18-21","#3387b5"
"Scala 63-18-27","scala-63-18-27","#206186"
"Scala 66-03-03","scala-66-03-03","#dbded9"
"Scala 66-03-09","scala-66-03-09","#c5cece"
"Scala 66-09-12","scala-66-09-12","#b1c9d1"
"Scala 66-09-18","scala-66-09-18","#7d99a8"
"Scala 66-12-06","scala-66-12-06","#cae3ed"
"Scala 66-15-27","scala-66-15-27","#005c7c"
