"Baumann-Prase 1-W","1-w","#f2eee6"
"Baumann-Prase 95-6 Gc 6","95-6-gc-6","#868c7b"
"Baumann-Prase 96-8 Gc 6","96-8-gc-6","#64685d"
"Baumann-Prase 97-10 Gc 6","97-10-gc-6","#4e5449"
"Baumann-Prase 98-12 Gc 6","98-12-gc-6","#3c3d38"
"Baumann-Prase 99-2 Gb 6","99-2-gb-6","#aab5b1"
"Baumann-Prase 100-4 Gb 6","100-4-gb-6","#909c99"
"Baumann-Prase 101-6 Gb 6","101-6-gb-6","#6f7c75"
"Baumann-Prase 102-8 Gb 6","102-8-gb-6","#5b6560"
"Baumann-Prase 103-10 Gb 6","103-10-gb-6","#474e4a"
"Baumann-Prase 104-12 Gb 6","104-12-gb-6","#373b3b"
"Baumann-Prase 105-2 Gbb 5","105-2-gbb-5","#a5b5b2"
"Baumann-Prase 106-4 Gbb 5","106-4-gbb-5","#85938e"
"Baumann-Prase 107-6 Gbb 5","107-6-gbb-5","#717d7a"
"Baumann-Prase 108-8 Gbb 5","108-8-gbb-5","#596362"
"Baumann-Prase 109-10 Gbb 5","109-10-gbb-5","#414a4c"
"Baumann-Prase 110-12 Gbb 5","110-12-gbb-5","#31373c"
"Baumann-Prase 111-2 Bgg 4","111-2-bgg-4","#b8bfc0"
"Baumann-Prase 112-4 Bgg 4","112-4-bgg-4","#90999d"
"Baumann-Prase 113-6 Bgg 4","113-6-bgg-4","#71797b"
"Baumann-Prase 114-8 Bgg 4","114-8-bgg-4","#565d5f"
"Baumann-Prase 115-10 Bgg 4","115-10-bgg-4","#425054"
"Baumann-Prase 116-12 Bgg 4","116-12-bgg-4","#2b3039"
"Baumann-Prase 117-2 Bg 4","117-2-bg-4","#aeb9be"
"Baumann-Prase 118-4 Bg 4","118-4-bg-4","#86939b"
"Baumann-Prase 119-6 Bg 4","119-6-bg-4","#6b7d89"
"Baumann-Prase 120-8 Bg 4","120-8-bg-4","#4d5d67"
"Baumann-Prase 121-10 Bg 4","121-10-bg-4","#3c4450"
"Baumann-Prase 122-12 Bg 4","122-12-bg-4","#31323b"
"Baumann-Prase 123-2 B 4","123-2-b-4","#a3afb5"
"Baumann-Prase 124-4 B 4","124-4-b-4","#727f88"
"Baumann-Prase 125-6 B 4","125-6-b-4","#65737e"
"Baumann-Prase 126-8 B 4","126-8-b-4","#4b5661"
"Baumann-Prase 127-10 B 4","127-10-b-4","#3e4755"
"Baumann-Prase 128-12 B 4","128-12-b-4","#2f3139"
"Baumann-Prase 129-2 Bv 3","129-2-bv-3","#afb4bd"
"Baumann-Prase 130-4 Bv 3","130-4-bv-3","#8c939d"
"Baumann-Prase 131-6 Bv 3","131-6-bv-3","#6b707a"
"Baumann-Prase 132-8 Bv 3","132-8-bv-3","#545862"
"Baumann-Prase 133-10 Bv 3","133-10-bv-3","#40434d"
"Baumann-Prase 134-12 Bv 3","134-12-bv-3","#34343c"
"Baumann-Prase 135-2 Vb 3","135-2-vb-3","#a8a6b7"
"Baumann-Prase 136-4 Vb 3","136-4-vb-3","#908e9b"
"Baumann-Prase 137-6 Vb 3","137-6-vb-3","#726f7d"
"Baumann-Prase 138-8 Vb 3","138-8-vb-3","#5d5967"
"Baumann-Prase 139-10 Vb 3","139-10-vb-3","#47444f"
"Baumann-Prase 140-12 Vb 3","140-12-vb-3","#3a333b"
"Baumann-Prase 141-2 V 2","141-2-v-2","#b2adb1"
"Baumann-Prase 142-4 V 2","142-4-v-2","#979297"
"Baumann-Prase 143-6 V 2","143-6-v-2","#706b73"
"Baumann-Prase 144-8 V 2","144-8-v-2","#5e595e"
"Baumann-Prase 145-10 V 2","145-10-v-2","#464248"
"Baumann-Prase 146-12 V 2","146-12-v-2","#39363b"
"Baumann-Prase 147-2 Vp 2","147-2-vp-2","#b7afb1"
"Baumann-Prase 148-4 Vp 2","148-4-vp-2","#998f92"
"Baumann-Prase 149-6 Vp 2","149-6-vp-2","#7a6e76"
"Baumann-Prase 150-8 Vp 2","150-8-vp-2","#5f585f"
"Baumann-Prase 151-10 Vp 2","151-10-vp-2","#484147"
"Baumann-Prase 152-12 Vp 2","152-12-vp-2","#3a3336"
"Baumann-Prase 153-2 Pv 2","153-2-pv-2","#baacad"
"Baumann-Prase 154-4 Pv 2","154-4-pv-2","#99888d"
"Baumann-Prase 155-6 Pv 2","155-6-pv-2","#7e6d73"
"Baumann-Prase 156-8 Pv 2","156-8-pv-2","#67575b"
"Baumann-Prase 157-10 Pv 2","157-10-pv-2","#52464a"
"Baumann-Prase 158-12 Pv 2","158-12-pv-2","#3d373a"
"Baumann-Prase 32a-1 R 4-half","32a-1-r-4-half","#d5c5bd"
"Baumann-Prase 32b-3 R 4-half","32b-3-r-4-half","#aa9990"
"Baumann-Prase 32c-5 R 4-half","32c-5-r-4-half","#82736f"
"Baumann-Prase 32d-7 R 4-half","32d-7-r-4-half","#766763"
"Baumann-Prase 44a-3 Or 6-half","44a-3-or-6-half","#ae9f95"
"Baumann-Prase 44b-5 Or 6-half","44b-5-or-6-half","#8d8279"
"Baumann-Prase 44c-7 Or 6-half","44c-7-or-6-half","#746862"
"Baumann-Prase 56a-1 Oc 7-half","56a-1-oc-7-half","#cac2b9"
"Baumann-Prase 56b-3 Oc 7-half","56b-3-oc-7-half","#a19991"
"Baumann-Prase 56c-5 Oc 7-half","56c-5-oc-7-half","#857e79"
"Baumann-Prase 56d-7 Oc 7-half","56d-7-oc-7-half","#6e6a66"
"Baumann-Prase 68a-3 Co 9-half","68a-3-co-9-half","#a5a39c"
"Baumann-Prase 68b-5 Co 9-half","68b-5-co-9-half","#807e7a"
"Baumann-Prase 68c-7 Co 9-half","68c-7-co-9-half","#6b6763"
"Baumann-Prase 80a-1 Cg 9-half","80a-1-cg-9-half","#c9c4bb"
"Baumann-Prase 80b-3 Cg 9-half","80b-3-cg-9-half","#a29f96"
"Baumann-Prase 80c-5 Cg 9-half","80c-5-cg-9-half","#838079"
"Baumann-Prase 98a-1 Gc 6-half","98a-1-gc-6-half","#cac8be"
"Baumann-Prase 98b-3 Gc 6-half","98b-3-gc-6-half","#9b9b93"
"Baumann-Prase 98c-5 Gc 6-half","98c-5-gc-6-half","#86837a"
"Baumann-Prase 110a-1 Gbb 5-half","110a-1-gbb-5-half","#a2a4a0"
"Baumann-Prase 110b-3 Gbb 5-half","110b-3-gbb-5-half","#7f8683"
"Baumann-Prase 110c-5 Gbb 5-half","110c-5-gbb-5-half","#6a706f"
"Baumann-Prase 128a-1 B 4-half","128a-1-b-4-half","#c6c8c4"
"Baumann-Prase 128b-3 B 4-half","128b-3-b-4-half","#9a9fa4"
"Baumann-Prase 128c-5 B 4-half","128c-5-b-4-half","#7a8187"
"Baumann-Prase 128d-7 B 4-half","128d-7-b-4-half","#666b71"
"Baumann-Prase 140a-3 Vb 3-half","140a-3-vb-3-half","#a69ea1"
"Baumann-Prase 140b-5 Vb 3-half","140b-5-vb-3-half","#7f7b80"
"Baumann-Prase 140c-7 Vb 3-half","140c-7-vb-3-half","#6b686e"
"Baumann-Prase 158a-1 Pv 2-half","158a-1-pv-2-half","#cfc1b9"
"Baumann-Prase 158b-3 Pv 2-half","158b-3-pv-2-half","#a39797"
"Baumann-Prase 158c-5 Pv 2-half","158c-5-pv-2-half","#827877"
"Baumann-Prase 158d-7 Pv 2-half","158d-7-pv-2-half","#6a6263"
"Baumann-Prase 159-W-Pr","159-w-pr","#f3dee2"
"Baumann-Prase 160-W-R","160-w-r","#f7e3da"
"Baumann-Prase 161-W-Or","161-w-or","#f5e9d9"
"Baumann-Prase 162-W-Oc","162-w-oc","#f7ead2"
"Baumann-Prase 163-W-Co","163-w-co","#e9e1c7"
"Baumann-Prase 164-W-Cg","164-w-cg","#f2eed2"
"Baumann-Prase 165-W-Gcc","165-w-gcc","#eeeed3"
"Baumann-Prase 166-W-Gb","166-w-gb","#efeee4"
"Baumann-Prase 167-W-Bgg","167-w-bgg","#e7ede6"
"Baumann-Prase 168-W-B","168-w-b","#f2f4f2"
"Baumann-Prase 169-W-Vb","169-w-vb","#e3dfdc"
"Baumann-Prase 170-W-Vp","170-w-vp","#e4d7d3"
"Baumann-Prase m","m","#866852"
"Baumann-Prase l","l","#a46f3d"
"Baumann-Prase k","k","#9b723b"
"Baumann-Prase j","j","#9a743d"
"Baumann-Prase i","i","#987c46"
"Baumann-Prase h","h","#917b49"
"Baumann-Prase g","g","#a9944d"
"Baumann-Prase f","f","#a99254"
"Baumann-Prase e","e","#a58c56"
"Baumann-Prase d","d","#a78954"
"Baumann-Prase c","c","#bfb69d"
"Baumann-Prase b","b","#bebfc0"
"Baumann-Prase a","a","#757461"
"Baumann-Prase 171-W-Rp 3","171-w-rp-3","#e8d8cc"
"Baumann-Prase 172-W-Ro 3","172-w-ro-3","#eadcc9"
"Baumann-Prase 173-W-O 4","173-w-o-4","#e9dac8"
"Baumann-Prase 174-W-CO 5","174-w-co-5","#f1e9dc"
"Baumann-Prase 175-W-C 6","175-w-c-6","#f1e6cf"
"Baumann-Prase 176-W-Cgg 5","176-w-cgg-5","#e9ddc3"
"Baumann-Prase 177-W-Gc 4","177-w-gc-4","#e3dac8"
"Baumann-Prase 178-W-Gbb 3","178-w-gbb-3","#e0dccb"
"Baumann-Prase 179-W-Bg 3","179-w-bg-3","#dbd9ca"
"Baumann-Prase 180-W-Bv 2","180-w-bv-2","#ded9d4"
"Baumann-Prase 181-W-V 2","181-w-v-2","#d5cec6"
"Baumann-Prase 182-W-Pv 2","182-w-pv-2","#e3d5cf"
"Baumann-Prase 195-1 Pr","195-1-pr","#e5bac1"
"Baumann-Prase 196-2 Pr","196-2-pr","#de9eb3"
"Baumann-Prase 197-3 Pr","197-3-pr","#cb8498"
"Baumann-Prase 198-4 Pr","198-4-pr","#c66986"
"Baumann-Prase 199-5 Pr","199-5-pr","#bf607a"
"Baumann-Prase 200-6 Pr","200-6-pr","#b2536d"
"Baumann-Prase 201-7 Pr","201-7-pr","#a1455a"
"Baumann-Prase 202-8 Pr","202-8-pr","#973549"
"Baumann-Prase 203-9 Pr","203-9-pr","#82323a"
"Baumann-Prase 204-2 Pr 1","204-2-pr-1","#caa9b6"
"Baumann-Prase 205-3 Pr 1","205-3-pr-1","#c392a0"
"Baumann-Prase 206-4 Pr 1","206-4-pr-1","#ba7f94"
"Baumann-Prase 207-5 Pr 1","207-5-pr-1","#b17286"
"Baumann-Prase 208-6 Pr 1","208-6-pr-1","#a05d72"
"Baumann-Prase 209-7 Pr 1","209-7-pr-1","#994c60"
"Baumann-Prase 210-8 Pr 1","210-8-pr-1","#894253"
"Baumann-Prase 211-9 Pr 1","211-9-pr-1","#803648"
"Baumann-Prase 212-10 Pr 1","212-10-pr-1","#6a343d"
"Baumann-Prase 213-1 Pr 2","213-1-pr-2","#dcc4c6"
"Baumann-Prase 214-3 Pr 2","214-3-pr-2","#bc9da5"
"Baumann-Prase 215-5 Pr 2","215-5-pr-2","#9a7983"
"Baumann-Prase 216-7 Pr 2","216-7-pr-2","#7e5967"
"Baumann-Prase 217-9 Pr 2","217-9-pr-2","#674449"
"Baumann-Prase 218-11 Pr 2","218-11-pr-2","#4f3538"
"Baumann-Prase 183-2 P","183-2-p","#ebb4d1"
"Baumann-Prase 184-3 P","184-3-p","#dd99c1"
"Baumann-Prase 185-4 P","185-4-p","#db7cb1"
"Baumann-Prase 186-5 P","186-5-p","#cd6696"
"Baumann-Prase 187-6 P","187-6-p","#b23972"
"Baumann-Prase 188-7 P","188-7-p","#9e3c61"
"Baumann-Prase 189-8 P","189-8-p","#8c344b"
"Baumann-Prase 190-9 P","190-9-p","#732f43"
"Baumann-Prase 191-4 P 1","191-4-p-1","#ae768c"
"Baumann-Prase 192-6 P 1","192-6-p-1","#9a5c74"
"Baumann-Prase 193-8 P 1","193-8-p-1","#7e4056"
"Baumann-Prase 194-10 P 1","194-10-p-1","#693440"
"Baumann-Prase 219-2 Rp-Pr","219-2-rp-pr","#ecaabc"
"Baumann-Prase 220-3 Rp-Pr","220-3-rp-pr","#e488a6"
"Baumann-Prase 221-4 Rp-Pr","221-4-rp-pr","#df6e8f"
"Baumann-Prase 222-5 Rp-Pr","222-5-rp-pr","#d9587a"
"Baumann-Prase 223-6 Rp-Pr","223-6-rp-pr","#d24363"
"Baumann-Prase 224-7 Rp-Pr","224-7-rp-pr","#b7344f"
"Baumann-Prase 225-8 Rp-Pr","225-8-rp-pr","#a42e44"
"Baumann-Prase 226-9 Rp-Pr","226-9-rp-pr","#953540"
"Baumann-Prase 227-4 Rp-Pr 1","227-4-rp-pr-1","#c87386"
"Baumann-Prase 228-6 Rp-Pr 1","228-6-rp-pr-1","#a95565"
