"010101000000255","010101000000255","#1e2e82"
"010102000015255","010102000015255","#183187"
"010103000030255","010103000030255","#11378d"
"010104000045255","010104000045255","#043c92"
"010105000060255","010105000060255","#004297"
"010106000075255","010106000075255","#00489c"
"010107000090255","010107000090255","#004ea1"
"010108000105255","010108000105255","#0054a5"
"010109000120255","010109000120255","#0059a9"
"010110000135255","010110000135255","#0060ad"
"010111000150255","010111000150255","#0067b2"
"010112000165255","010112000165255","#006db6"
"010113000180255","010113000180255","#0074bb"
"010114000195255","010114000195255","#0079be"
"010115000210255","010115000210255","#007dc1"
"010116000225255","010116000225255","#0081c3"
"010117000240255","010117000240255","#0081c3"
"010118000255255","010118000255255","#0081c3"
"010201000000240","010201000000240","#1e2f84"
"010202000015240","010202000015240","#193389"
"010203000030240","010203000030240","#12388e"
"010204000045240","010204000045240","#043d92"
"010205000060240","010205000060240","#004297"
"010206000075240","010206000075240","#00489d"
"010207000090240","010207000090240","#004ea1"
"010208000105240","010208000105240","#0054a6"
"010209000120240","010209000120240","#0059a9"
"010210000135240","010210000135240","#0060ad"
"010211000150240","010211000150240","#0067b2"
"010212000165240","010212000165240","#006db6"
"010213000180240","010213000180240","#0073ba"
"010214000195240","010214000195240","#0079be"
"010215000210240","010215000210240","#007bbe"
"010216000225240","010216000225240","#0080c3"
"010217000240240","010217000240240","#0081c3"
"010218000255240","010218000255240","#0080c2"
"010301000000225","010301000000225","#213285"
"010302000015225","010302000015225","#1a3388"
"010303000030225","010303000030225","#11378e"
"010304000045225","010304000045225","#093d92"
"010305000060225","010305000060225","#004398"
"010306000075225","010306000075225","#00489c"
"010307000090225","010307000090225","#004ea1"
"010308000105225","010308000105225","#0054a5"
"010309000120225","010309000120225","#005aa9"
"010310000135225","010310000135225","#0060ad"
"010311000150225","010311000150225","#0067b2"
"010312000165225","010312000165225","#006db7"
"010313000180225","010313000180225","#0074bb"
"010314000195225","010314000195225","#0079bf"
"010315000210225","010315000210225","#007dc1"
"010316000225225","010316000225225","#0081c3"
"010317000240225","010317000240225","#0080c3"
"010318000255225","010318000255225","#0080c2"
"010401000000210","010401000000210","#1c307d"
"010402000015210","010402000015210","#173281"
"010403000030210","010403000030210","#113886"
"010404000045210","010404000045210","#023c8b"
"010405000060210","010405000060210","#004290"
"010406000075210","010406000075210","#004794"
"010407000090210","010407000090210","#004d98"
"010408000105210","010408000105210","#00539c"
"010409000120210","010409000120210","#0058a0"
"010410000135210","010410000135210","#005fa4"
"010411000150210","010411000150210","#0064a7"
"010412000165210","010412000165210","#006aab"
"010413000180210","010413000180210","#0071af"
"010414000195210","010414000195210","#0076b3"
"010415000210210","010415000210210","#007ab5"
"010416000225210","010416000225210","#007fb9"
"010417000240210","010417000240210","#007fb8"
"010418000255210","010418000255210","#007fb8"
"010501000000195","010501000000195","#192f76"
"010502000015195","010502000015195","#14327a"
"010503000030195","010503000030195","#0b367f"
"010504000045195","010504000045195","#003c84"
"010505000060195","010505000060195","#004187"
"010506000075195","010506000075195","#00468c"
"010507000090195","010507000090195","#004c90"
"010508000105195","010508000105195","#005193"
"010509000120195","010509000120195","#005696"
"010510000135195","010510000135195","#005c9a"
"010511000150195","010511000150195","#00629d"
"010512000165195","010512000165195","#0068a1"
"010513000180195","010513000180195","#006ea5"
"010514000195195","010514000195195","#0073a8"
"010515000210195","010515000210195","#0079ac"
"010516000225195","010516000225195","#007faf"
"010517000240195","010517000240195","#007eaf"
"010518000255195","010518000255195","#007eaf"
"010601000000180","010601000000180","#17306d"
"010602000015180","010602000015180","#153370"
"010603000030180","010603000030180","#0c3774"
"010604000045180","010604000045180","#003b78"
"010605000060180","010605000060180","#003f7c"
"010606000075180","010606000075180","#004580"
"010607000090180","010607000090180","#004a84"
"010608000105180","010608000105180","#005087"
"010609000120180","010609000120180","#00558a"
"010610000135180","010610000135180","#005a8d"
"010611000150180","010611000150180","#005f90"
"010612000165180","010612000165180","#006493"
"010613000180180","010613000180180","#006b96"
"010614000195180","010614000195180","#00729b"
"010615000210180","010615000210180","#00779d"
"010616000225180","010616000225180","#007c9f"
"010617000240180","010617000240180","#007ca0"
"010618000255180","010618000255180","#007da1"
"010701000000165","010701000000165","#152f63"
"010702000015165","010702000015165","#0f3266"
"010703000030165","010703000030165","#073669"
"010704000045165","010704000045165","#00396c"
"010705000060165","010705000060165","#003e70"
"010706000075165","010706000075165","#004373"
"010707000090165","010707000090165","#004877"
"010708000105165","010708000105165","#004e79"
"010709000120165","010709000120165","#00527c"
"010710000135165","010710000135165","#00577e"
"010711000150165","010711000150165","#005c81"
"010712000165165","010712000165165","#006183"
"010713000180165","010713000180165","#006a88"
"010714000195165","010714000195165","#00718c"
"010715000210165","010715000210165","#00778f"
"010716000225165","010716000225165","#007c91"
"010717000240165","010717000240165","#007c92"
"010718000255165","010718000255165","#007c91"
"010801000000150","010801000000150","#152f5b"
"010802000015150","010802000015150","#0f315c"
"010803000030150","010803000030150","#04355f"
"010804000045150","010804000045150","#003862"
"010805000060150","010805000060150","#003c65"
"010806000075150","010806000075150","#004168"
"010807000090150","010807000090150","#00466b"
"010808000105150","010808000105150","#004b6c"
"010809000120150","010809000120150","#004f70"
"010810000135150","010810000135150","#005472"
"010811000150150","010811000150150","#005974"
"010812000165150","010812000165150","#006077"
"010813000180150","010813000180150","#00687a"
"010814000195150","010814000195150","#00707e"
"010815000210150","010815000210150","#00757f"
"010816000225150","010816000225150","#007981"
"010817000240150","010817000240150","#007982"
"010818000255150","010818000255150","#007a83"
"010901000000135","010901000000135","#122d51"
"010902000015135","010902000015135","#0e2f54"
