"Pink Parfait","170A-1","#fdd9e6"
"Strawberry Mousse","170A-2","#ffc3d8"
"Ruffles","170A-3","#ffadc6"
"Cool Melon","170B-4","#fe89a6"
"Youthful Coral","170B-5","#f96083"
"Lipstick","170B-6","#e93254"
"Red Tomato","170B-7","#ae1b27"
"Berry Cheesecake","170C-1","#fce3ec"
"Creamy Peach","170C-2","#fed2e0"
"Coral Bells","170C-3","#ffb9cf"
"Peach Tile","170D-4","#f894af"
"Mellow Coral","170D-5","#e56f8f"
"Rose Wine","170D-6","#bc4665"
"Farmhouse Red","170D-7","#a12937"
"Reverie Pink","170E-1","#f5e7ed"
"Blush Beige","170E-2","#e9ccd7"
"Bridal Rose","170E-3","#dbb6c1"
"Fondue","170F-4","#cb9caa"
"Brick Dust","170F-5","#b68790"
"Gentle Doe","170F-6","#915e6a"
"Leather Bound","170F-7","#66353f"
"Cloud Pink","180A-1","#fde3e9"
"Romantic Morn","180A-2","#fecfdd"
"Just Blush","180A-3","#ffa4b7"
"Fruit Shake","180B-4","#ff89a1"
"Cool Lava","180B-5","#f65d74"
"Fiery Red","180B-6","#e93241"
"Chili Pepper","180B-7","#db1e1d"
"Paris White","180C-1","#fae1eb"
"Sandblast","180C-2","#f8c0d3"
"Rose Linen","180C-3","#eca3b5"
"Coral Serenade","180D-4","#e1899c"
"Sahara Sun","180D-5","#ca5b74"
"Mineral Red","180D-6","#b04b5f"
"Roasted Pepper","180D-7","#812b37"
"Italian Villa","180E-1","#f0e7eb"
"Sugar Berry","180E-2","#e8d9de"
"Plymouth Notch","180E-3","#cfb7be"
"Desert Willow","180F-4","#ad9497"
"Cougar","180F-5","#917b7e"
"Brown Ridge","180F-6","#61484d"
"Warm Brownie","180F-7","#4d3637"
"Swiss Coffee 1812","1812","#f2f1e5"
"Cottage White 1813","1813","#f4ecd9"
"Navajo White 1822","1822","#ece2c5"
"Antique White 1823","1823","#e7e2ca"
"Ultra Pure White 1850","1850","#fafdf7"
"White 1852","1852","#eef2ee"
"Frost 1857","1857","#f2f7f5"
"Linen White 1870","1870","#f7eedc"
"Off White 1873","1873","#e7e9d7"
"Polar Bear 1875","1875","#f8f9f2"
"Soft Pink","190A-1","#fde2e8"
"Coral Mantle","190A-2","#ffcedb"
"Salmon Peach","190A-3","#ffb9c8"
"Duchess Rose","190B-4","#ff9aab"
"Juicy Passionfruit","190B-5","#fc6c7a"
"Wet Coral","190B-6","#f44a4e"
"Fire Island","190B-7","#e32718"
"Frolic","190C-1","#fbe7ef"
"Full Bloom","190C-2","#ffc5d7"
"Sweet Nectar","190C-3","#ffaec3"
"Rosy Outlook","190D-4","#fc9bb4"
"Peony Pink","190D-5","#eb7591"
"Red Jalapeno","190D-6","#c03f4f"
"Briquette","190D-7","#862730"
"Light Rosebeige","190E-1","#fbedf0"
"Misty Memories","190E-2","#efd2dd"
"Velveteen Crush","190E-3","#d0adb6"
"Warm Comfort","190F-4","#b08591"
"Brandy","190F-5","#965b67"
"Bold Brick","190F-6","#7f484e"
"Mayan Red","190F-7","#563234"
"Peach Cloud","200A-1","#fddfe6"
"Coral Cream","200A-2","#ffcbd5"
"Blushing Apricot","200A-3","#ffacb5"
"Citrus Hill","200B-4","#ff979a"
"Indian Dance","200B-5","#ff7e7f"
"Mesa Sunrise","200B-6","#f5635d"
"Fireglow","200B-7","#e23829"
"Hush Pink","200C-1","#fbe9f0"
"Botticelli Angel","200C-2","#fddce4"
"Spring Song","200C-3","#fdc3d1"
"Powdered Petals","200D-4","#f89eaf"
"Guava Jam","200D-5","#e87077"
"Mexican Chile","200D-6","#bd3d43"
"Rodeo Red","200D-7","#9b2b27"
"Possibly Pink","200E-1","#f7d9de"
"Salmon Tint","200E-2","#f4cad0"
"Cinnamon Cocoa","200E-3","#d3a4ab"
"Foxen","200F-4","#be8689"
"Toasted Nutmeg","200F-5","#9a6462"
"Sequoia Grove","200F-6","#864541"
"Wine Barrel","200F-7","#683634"
"Cool Cream","210A-1","#fde1e4"
"Coral Dune","210A-2","#ffcdd1"
"Malibu Peach","210A-3","#ffbbbe"
"Sunset Strip","210B-4","#ff9e9c"
"Tangerine Dream","210B-5","#ff7864"
"Aurora Orange","210B-6","#f84b2f"
"Flame","210B-7","#f33b0c"
"Angel Blush","210C-1","#fae2e5"
"Demure Pink","210C-2","#facdd3"
"Jovial","210C-3","#f2afb5"
"Medium Terracotta","210D-4","#df9397"
"Copperleaf","210D-5","#d07678"
"Caribbean Coral","210D-6","#c1625d"
"Firebrick","210D-7","#933b35"
"Bella Pink","210E-1","#faeeeb"
"Antique Pearl","210E-2","#efd9d9"
"Almond Willow","210E-3","#eac9cb"
"Cinnamon Whip","210F-4","#dcb2b3"
"Artifact","210F-5","#c89997"
"Chutney Brown","210F-6","#a36861"
"Brown Thrush","210F-7","#844d47"
"Navajo White","22","#ede5c8"
"Powdered Peach","220A-1","#fee0db"
"Friendship","220A-2","#ffd3cd"
"Sweet Apricot","220A-3","#ffb5b2"
"Orange Grove","220B-4","#ffa199"
"Autumn Arrival","220B-5","#ff826d"
"Harvest Pumpkin","220B-6","#fc603e"
"Electric Orange","220B-7","#f6440e"
"White Peach","220C-1","#fce6e7"
"Peachtree","220C-2","#ffd7da"
"Antique Cameo","220C-3","#f5b0b0"
"Southwest Stone","220D-4","#e1958e"
"Nectarina","220D-5","#d57d72"
"Miami Spice","220D-6","#c46a5e"
"Mojave Sunset","220D-7","#a65244"
"Tantalizing Tan","220E-1","#f6dbde"
"Shrimp Toast","220E-2","#f2cdd2"
"Melted Ice Cream","220E-3","#deb6b4"
"Sombrero Tan","220F-4","#cba09d"
"Light Mocha","220F-5","#aa7e73"
"Chocolate Curl","220F-6","#866058"
"Yorkshire Brown","220F-7","#614c49"
"Antique White","23","#ebe4d0"
"Shell Ginger","230A-1","#fbe4e0"
"Beach Trail","230A-2","#ffd6d2"
"Apricot Lily","230A-3","#ffc7c0"
"Desert Sunrise","230B-4","#ffa792"
"Indian Paint Brush","230B-5","#ff8159"
"Orange Burst","230B-6","#ff621f"
"Kumquat","230B-7","#fe550d"
"Winthrop Peach","230C-1","#fde4df"
"Shell Coral","230C-2","#ffd3cd"
"Pink Beach","230C-3","#fabbac"
"Pecos Spice","230D-4","#e29581"
"Aztec Brick","230D-5","#cc7761"
"Iced Tea","230D-6","#b65b42"
"Cinnamon Brandy","230D-7","#8e3f21"
"Early Sunset","230E-1","#f5e4e4"
"Malibu Coast","230E-2","#ebd0d2"
"Canyon Trail","230E-3","#d8b6b5"
"Autumn Malt","230F-4","#cfa097"
"Suntan Glow","230F-5","#bd8474"
"Earth Tone","230F-6","#995d4b"
"Florence Brown","230F-7","#74412d"
"Parfait","240A-1","#fde5e3"
"Sunkissed Peach","240A-2","#ffd3cb"
"Bright Citrus","240A-3","#ffbcac"
"Marmalade","240B-4","#ff9570"
"Candied Yam (240b-5)","240B-5","#fc7d4b"
"Orange Zest","240B-6","#f86634"
"Carrot Stick","240B-7","#e65a0e"
"Pink Blossom","240C-1","#fcebe7"
"Heavenly Song","240C-2","#fed4d1"
"Peach Damask","240C-3","#fabbae"
"Ceramic Glaze","240D-4","#ee9e89"
"Grounded","240D-5","#d37c55"
"Chivalry Copper","240D-6","#c2633c"
"Chestnut Stallion","240D-7","#8e4520"
"Muffin Mix","240E-1","#f8e2dc"
"Peach Bud","240E-2","#f2c7bb"
"Coronado Dunes","240E-3","#d59f93"
"Tiny Fawn","240F-4","#c08268"
"Toasted Chestnut","240F-5","#a0694d"
"Sable Brown","240F-6","#885a42"
"Root Beer","240F-7","#643e2d"
"Fine White","250A-1","#fbefe9"
"Wistful Beige","250A-2","#fce9e2"
"Whispering Peach","250A-3","#ffd6c9"
"Coral Gold","250B-4","#ffaf87"
"Orange Spice","250B-5","#ff8d50"
"Poppy Glow","250B-6","#fa7634"
"Crushed Orange","250B-7","#eb5509"
"Bermuda Shell","250C-1","#fcf2ed"
"Sugared Peach","250C-2","#fed7cf"
"Fresco Cream","250C-3","#ffc1ac"
"Autumn Mist","250D-4","#fca987"
"Florida Mango","250D-5","#f68d61"
"Maple Leaf","250D-6","#d56425"
"Caramelized Orange","250D-7","#b24a16"
"Eurolinen","250E-1","#f1e7dd"
"Pebbled Courtyard","250E-2","#e0d0c2"
"Wild Porcini","250E-3","#d6c4b0"
"Stone Brown","250F-4","#b19b86"
"Stone Brown","250F-4","#b89a86"
"Fudge Bar","250F-5","#8e715b"
"Pepper Spice","250F-6","#81664c"
"Melted Chocolate","250F-7","#67513c"
"Feather White","260A-1","#fce9e2"
"Derry Coast Sunrise","260A-2","#fcdfda"
"Peach Beige","260A-3","#ffd0bf"
"Orange Sherbet","260B-4","#ffbfa3"
"Cantaloupe Slice","260B-5","#ffa173"
"Blaze Orange","260B-6","#fc8647"
"Bird Of Paradise","260B-7","#f9752c"
"Autumn White","260C-1","#fbe1d8"
"Salmon Creek","260C-2","#ffd8cd"
"Fresh Peaches","260C-3","#fdb088"
"Copper River","260D-4","#ef915c"
"Amber Wave","260D-5","#d97a3e"
"Chai Spice","260D-6","#bd6a38"
"Copper Mountain","260D-7","#a65f33"
"Lilting Laughter","260E-1","#fcecdf"
"Clamshell","260E-2","#f0d0bc"
"Pueblo Sand","260E-3","#e8c0aa"
"Sunset Beige","260F-4","#d1a484"
"Applesauce Cake","260F-5","#b98863"
"Smokey Topaz","260F-6","#9c7349"
"Caramel Latte","260F-7","#7f552d"
"Peach Fade","270A-1","#fdebde"
"Orange Ice","270A-2","#ffdbc6"
"Luminary","270A-3","#ffcdad"
"Apricot Flower","270B-4","#ffb078"
"Melon","270B-5","#ff964d"
"Autumn Orange","270B-6","#f58838"
"Bonfire","270B-7","#db6404"
"Naive Peach","270C-1","#fde8d8"
"Shrimp Cocktail","270C-2","#ffd4c4"
"Coral Confection","270C-3","#ffc4ab"
"Brandy Butter","270D-4","#f8b28e"
"Adventure Orange","270D-5","#f29656"
"Pumpkin Toast","270D-6","#e3853f"
"Fall Leaves","270D-7","#c3681b"
"Orange Confection","270E-1","#f6e6db"
"Sandpoint","270E-2","#eccfb5"
"Only Natural","270E-3","#e1bb9a"
"Peanut Butter","270F-4","#c7a176"
"Peanut Butter","270F-4","#caa27f"
"Wilmington Tan","270F-5","#ba9866"
"Fudge Truffle","270F-6","#9c7846"
"English Saddle","270F-7","#7f5b2e"
"Creamy Orange","280A-1","#fdebd8"
"Applecrunch","280A-2","#ffe4ca"
"Delicious Melon","280A-3","#ffd2b0"
"Apricot Light","280B-4","#ffc595"
"Vintage Orange","280B-5","#ffa450"
"Amber Glow","280B-6","#f8871e"
"Status Bronze","280B-7","#de7709"
"Champagne Ice","280C-1","#fee3d7"
"Serene Peach","280C-2","#f8d0bb"
"Fresh Praline","280C-3","#ecb693"
"Caramel Sundae","280D-4","#e49f6f"
"Glazed Pecan","280D-5","#d28c55"
"Mulling Spice","280D-6","#c17b3d"
"Sesame Crunch","280D-7","#9d5a12"
"Heirloom Lace","280E-1","#f6e9df"
"Arabian Sands","280E-2","#ddc9b8"
"Toasted Wheat","280E-3","#c6b198"
"Burnt Almond","280F-4","#b09673"
"Burnt Almond","280F-4","#b6967a"
"New Chestnut","280F-5","#997f58"
"Sweet Georgia Brown","280F-6","#7e6849"
"Breakfast Blend","280F-7","#59432f"
"Angel Food","290A-1","#fbf2e3"
"Country Lane","290A-2","#feebd6"
"Fall Straw","290A-3","#ffe2c7"
"Feather Plume","290B-4","#ffdab4"
"Torchlight","290B-5","#ffc67c"
"Squash","290B-6","#f7a33a"
"Yam","290B-7","#f28000"
"Serengeti Sand","290C-1","#fde7d6"
"Creamy Beige","290C-2","#feddc8"
"Chai Latte","290C-3","#fbc79f"
