"Caparol AVA Magenta","ava-magenta","#993d60"
"Caparol Graphit 12","graphit-12","#848787"
"Caparol Graphit 15","graphit-15","#d0d2d0"
"Caparol Graphit 14","graphit-14","#bdbfbd"
"Caparol Graphit 18","graphit-18","#eaebe7"
"Caparol Graphit 16","graphit-16","#dcdedb"
"Caparol Basalt 0","basalt-0","#55504f"
"Caparol Basalt 13","basalt-13","#aaa4a2"
"Caparol Basalt 12","basalt-12","#878281"
"Caparol Basalt 15","basalt-15","#cfccc9"
"Caparol Basalt 14","basalt-14","#bfbab8"
"Caparol Basalt 18","basalt-18","#eae8e4"
"Caparol Basalt 16","basalt-16","#dcd9d5"
"Caparol Mocca 0","mocca-0","#5c4a45"
"Caparol Mocca 13","mocca-13","#ad9891"
"Caparol Mocca 12","mocca-12","#8a7670"
"Caparol Mocca 15","mocca-15","#d4c5bf"
"Caparol Mocca 14","mocca-14","#c3b1aa"
"Caparol Mocca 18","mocca-18","#ebe5e0"
"Caparol Mocca 16","mocca-16","#dfd4cf"
"Caparol Marone 0","marone-0","#7a5743"
"Caparol Marone 13","marone-13","#c5a288"
"Caparol Marone 12","marone-12","#a88368"
"Caparol Marone 15","marone-15","#e1cab6"
"Caparol Marone 14","marone-14","#d5b8a1"
"Caparol Marone 18","marone-18","#f2e7dc"
"Caparol Marone 16","marone-16","#e9d8c8"
"Caparol Nutria 0","nutria-0","#715a4a"
"Caparol Nutria 13","nutria-13","#baa188"
"Caparol Nutria 12","nutria-12","#9c826b"
"Caparol Nutria 15","nutria-15","#d9c8b4"
"Caparol Nutria 14","nutria-14","#ccb69f"
"Caparol Nutria 18","nutria-18","#eee6da"
"Caparol Nutria 16","nutria-16","#e5d7c7"
"Caparol Terra 0","terra-0","#996544"
"Caparol Terra 13","terra-13","#d6a47b"
"Caparol Terra 12","terra-12","#be875e"
"Caparol Terra 15","terra-15","#ebc9a9"
"Caparol Terra 14","terra-14","#e3b993"
"Caparol Terra 18","terra-18","#f6e7d5"
"Caparol Terra 16","terra-16","#f0d7bd"
"Caparol Havanna 0","havanna-0","#846245"
"Caparol Havanna 13","havanna-13","#c9a680"
"Caparol Havanna 12","havanna-12","#ae8862"
"Caparol Havanna 15","havanna-15","#e4cbae"
"Caparol Havanna 14","havanna-14","#d8b896"
"Caparol Havanna 18","havanna-18","#f3e7d8"
"Caparol Havanna 16","havanna-16","#ebd8c1"
"Caparol Muskat 0","muskat-0","#72624f"
"Caparol Muskat 13","muskat-13","#c2b096"
"Caparol Muskat 12","muskat-12","#a19076"
"Caparol Muskat 15","muskat-15","#e0d5c0"
"Caparol Muskat 14","muskat-14","#d3c4ac"
"Caparol Muskat 18","muskat-18","#f1ede2"
"Caparol Muskat 16","muskat-16","#e8e0d1"
"Caparol Savanne 0","savanne-0","#7a6547"
"Caparol Savanne 13","savanne-13","#cfb48a"
