"Resomur Z402","z402","#95765c"
"Resomur Z404","z404","#8d7f69"
"Resomur Z405","z405","#676868"
"Resomur Z409","z409","#b6ac9a"
"Resomur Z410","z410","#b4a89c"
"Resomur Z411","z411","#b8ada7"
"Resomur Z412","z412","#b4acad"
"Resomur Z413","z413","#a6a7a9"
"Resomur Z414","z414","#aab0a7"
"Resomur Z415","z415","#b5b3a5"
"Resomur Z417","z417","#b79878"
"Resomur Z418","z418","#d0a59d"
"Resomur Z419","z419","#c3b7ba"
"Resomur Z420","z420","#99939a"
"Resomur Z425","z425","#c9ae68"
"Resomur Z427","z427","#d4a079"
"Resomur Z428","z428","#c7887f"
"Resomur Z429","z429","#ca969e"
"Resomur Z430","z430","#c6a9b8"
"Resomur Z431","z431","#a598ae"
