"Scala 51-03-24","scala-51-03-24","#7e7f7e"
"Scala 51-09-15","scala-51-09-15","#aeaec4"
"Scala 51-12-21","scala-51-12-21","#7f7d9f"
"Scala 51-12-30","scala-51-12-30","#373760"
"Scala 51-15-27","scala-51-15-27","#514d7d"
"Scala 54-09-15","scala-54-09-15","#a8afc3"
"Scala 54-15-24","scala-54-15-24","#4e68aa"
"Scala 54-15-27","scala-54-15-27","#3e4b85"
"Scala 54-15-30","scala-54-15-30","#373e4a"
"Scala 57-09-33","scala-57-09-33","#2c3746"
"Scala 57-09-36","scala-57-09-36","#242936"
"Scala 57-12-30","scala-57-12-30","#34415b"
"Scala 57-12-33","scala-57-12-33","#2c3a58"
"Scala 60-03-24","scala-60-03-24","#8f9396"
"Scala 60-06-27","scala-60-06-27","#55585e"
"Scala 60-06-30","scala-60-06-30","#4a4d53"
"Scala 60-09-15","scala-60-09-15","#a5b3c3"
"Scala 60-09-21","scala-60-09-21","#6b7e97"
"Scala 60-12-24","scala-60-12-24","#506c8e"
"Scala 60-12-27","scala-60-12-27","#3e5474"
"Scala 60-18-27","scala-60-18-27","#14527e"
"Scala 60-21-27","scala-60-21-27","#065589"
"Scala 63-03-15","scala-63-03-15","#999ea2"
"Scala 63-03-18","scala-63-03-18","#8c949b"
"Scala 63-03-21","scala-63-03-21","#80868b"
"Scala 63-06-30","scala-63-06-30","#3a444d"
"Scala 63-06-33","scala-63-06-33","#383a3d"
"Scala 63-09-12","scala-63-09-12","#b1ccdb"
"Scala 63-09-27","scala-63-09-27","#405768"
"Scala 63-12-18","scala-63-12-18","#6993ac"
"Scala 63-12-24","scala-63-12-24","#466c8d"
"Scala 63-12-30","scala-63-12-30","#203f5a"
"Scala 63-15-18","scala-63-15-18","#6ea5ca"
"Scala 63-15-27","scala-63-15-27","#36617a"
"Scala 63-18-21","scala-63-18-21","#3287b4"
"Scala 63-18-24","scala-63-18-24","#217db0"
"Scala 63-18-27","scala-63-18-27","#206186"
"Scala 63-21-27","scala-63-21-27","#005e8e"
"Scala 66-06-15","scala-66-06-15","#9badb6"
"Scala 66-06-21","scala-66-06-21","#7c888f"
"Scala 66-06-24","scala-66-06-24","#606b71"
"Scala 66-15-30","scala-66-15-30","#274f67"
"Scala 69-06-36","scala-69-06-36","#212c2f"
"Scala 72-06-24","scala-72-06-24","#5e6466"
"Scala 72-06-27","scala-72-06-27","#585e62"
"Scala 72-06-30","scala-72-06-30","#3f4549"
"Scala 72-09-15","scala-72-09-15","#7dacac"
"Scala 72-15-21","scala-72-15-21","#2b8e8f"
"Scala 72-15-30","scala-72-15-30","#0e4951"
"Scala 72-18-24","scala-72-18-24","#007879"
"Scala 75-01-12","scala-75-01-12","#b9bcb5"
"Scala 75-03-03","scala-75-03-03","#ecede8"
"Scala 75-03-09","scala-75-03-09","#c6cac5"
"Scala 75-03-12","scala-75-03-12","#c4c6c4"
"Scala 75-03-15","scala-75-03-15","#afb1aa"
"Scala 75-03-18","scala-75-03-18","#8e9292"
"Scala 75-03-24","scala-75-03-24","#6d706e"
"Scala 75-03-27","scala-75-03-27","#535756"
"Scala 75-06-12","scala-75-06-12","#bbc5c2"
"Scala 75-09-21","scala-75-09-21","#6e837e"
"Scala 75-09-27","scala-75-09-27","#2d4744"
"Scala 75-09-30","scala-75-09-30","#223532"
"Scala 75-12-15","scala-75-12-15","#80b9b5"
"Scala 75-12-27","scala-75-12-27","#204b4a"
"Scala 75-15-21","scala-75-15-21","#4c8880"
"Scala 75-18-03","scala-75-18-03","#c9ece1"
"Scala 78-03-30","scala-78-03-30","#3b4745"
"Scala 78-06-24","scala-78-06-24","#417763"
"Scala 78-06-30","scala-78-06-30","#284438"
"Scala 78-12-27","scala-78-12-27","#006152"
"Scala 81-03-30","scala-81-03-30","#383f3d"
"Scala 81-03-33","scala-81-03-33","#222d2e"
"Scala 81-06-30","scala-81-06-30","#323f37"
"Scala 81-06-33","scala-81-06-33","#2a3831"
"Scala 81-09-06","scala-81-09-06","#d5e2c8"
"Scala 81-09-12","scala-81-09-12","#b5ccab"
"Scala 81-09-21","scala-81-09-21","#638369"
"Scala 81-09-30","scala-81-09-30","#21493c"
"Scala 81-15-27","scala-81-15-27","#278256"
"Scala 81-18-15","scala-81-18-15","#68c778"
"Scala 81-18-18","scala-81-18-18","#4aa960"
"Scala 81-18-27","scala-81-18-27","#007141"
"Scala 84-03-24","scala-84-03-24","#808078"
"Scala 84-09-24","scala-84-09-24","#869b7a"
"Scala 84-09-27","scala-84-09-27","#6b7f5e"
"Scala 84-09-33","scala-84-09-33","#3e4a3a"
"Scala 84-15-27","scala-84-15-27","#4d7240"
"Scala 84-15-30","scala-84-15-30","#396038"
"Scala 84-18-27","scala-84-18-27","#3b6c40"
"Scala 84-21-12","scala-84-21-12","#bbe17a"
"Scala 84-21-18","scala-84-21-18","#8ebf50"
"Scala 84-21-21","scala-84-21-21","#72a428"
"Scala 84-21-24","scala-84-21-24","#5b9b42"
"Scala 84-21-30","scala-84-21-30","#0f7038"
"Scala 87-03-30","scala-87-03-30","#42443e"
"Scala 87-06-24","scala-87-06-24","#5f6250"
"Scala 87-09-18","scala-87-09-18","#919868"
"Scala 87-15-09","scala-87-15-09","#d3e680"
"Scala 90-03-18","scala-90-03-18","#b3b0a0"
"Scala 90-03-21","scala-90-03-21","#78776a"
"Scala 90-03-24","scala-90-03-24","#60645c"
"Scala 90-03-27","scala-90-03-27","#5a5e5a"
"Scala 90-03-30","scala-90-03-30","#52514d"
"Scala 90-06-30","scala-90-06-30","#46463e"
"Scala 90-06-33","scala-90-06-33","#3f3e36"
"Scala 90-09-27","scala-90-09-27","#535843"
"Scala 93-03-03","scala-93-03-03","#e9ebe8"
"Scala 93-03-06","scala-93-03-06","#eceae1"
"Scala 93-03-09","scala-93-03-09","#dfdfcd"
"Scala 93-03-12","scala-93-03-12","#d9d3bc"
"Scala 93-03-21","scala-93-03-21","#908971"
"Scala 93-03-24","scala-93-03-24","#827c69"
"Scala 93-15-12","scala-93-15-12","#f0e683"
"Scala 93-18-15","scala-93-18-15","#e2dd41"
"Scala 96-09-15","scala-96-09-15","#c7ba89"
"Scala 96-09-18","scala-96-09-18","#9b8e65"
"Scala 96-21-06","scala-96-21-06","#f7e38d"
"Scala 96-24-09","scala-96-24-09","#efcc3f"
"Scala 99-00-03","scala-99-00-03","#ecece6"
"Scala 99-00-12","scala-99-00-12","#d3d5d3"
"Scala 99-00-21","scala-99-00-21","#b6b7b7"
"Scala 99-00-30","scala-99-00-30","#979899"
"Scala 99-00-54","scala-99-00-54","#4d4d50"
"Scala 99-00-63","scala-99-00-63","#393a3c"
"Scala 99-00-66","scala-99-00-66","#363637"
"Scala 99-00-69","scala-99-00-69","#171819"
"Scala 60-ME-01","scala-60-me-01","#aaabaa"
"Scala 03-ME-01","scala-03-me-01","#94938d"
"Scala 75-ME-02","scala-75-me-02","#8d8c89"
"Scala 87-ME-01","scala-87-me-01","#aeac9f"
"Scala 90-ME-01","scala-90-me-01","#b0ab91"
"Scala 84-ME-01","scala-84-me-01","#7d8375"
"Scala 72-ME-01","scala-72-me-01","#aeb8b7"
"Scala 75-ME-01","scala-75-me-01","#b3b5b2"
"Scala 63-ME-01","scala-63-me-01","#a3a9ae"
"Scala 21-ME-01","scala-21-me-01","#8e6250"
"Scala 15-ME-01","scala-15-me-01","#756053"
"Scala 42-ME-01","scala-42-me-01","#979693"
"Scala 45-ME-01","scala-45-me-01","#8b8986"
"Scala 51-ME-01","scala-51-me-01","#6a6867"
