"S 1040-Y90R","s-1040-y90r","#ea9b93"
"S 2050-Y90R","s-2050-y90r","#ca706a"
"S 0510-Y90R","s-0510-y90r","#fbe3d8"
"S 0520-Y90R","s-0520-y90r","#fdcfc6"
"S 1030-Y90R","s-1030-y90r","#e7aaa3"
"S 2040-Y90R","s-2040-y90r","#ce847e"
"S 3040-Y90R","s-3040-y90r","#b36e68"
"S 0804-Y90R","s-0804-y90r","#efe4de"
"S 1010-Y90R","s-1010-y90r","#e9d2cb"
"S 2020-Y90R","s-2020-y90r","#d2a79f"
"S 3030-Y90R","s-3030-y90r","#b77d77"
"S 4040-Y90R","s-4040-y90r","#995852"
"S 0502-R","s-0502-r","#f6efe8"
"S 0907-Y90R","s-0907-y90r","#edddd6"
"S 1515-Y90R","s-1515-y90r","#dcbab2"
"S 3020-Y90R","s-3020-y90r","#ba918b"
"S 5020-Y90R","s-5020-y90r","#8b6661"
"S 0505-R10B","s-0505-r10b","#f2e7e3"
"S 0515-R10B","s-0515-r10b","#f5dada"
"S 1030-R10B","s-1030-r10b","#e5adb4"
"S 2030-R10B","s-2030-r10b","#cc97a0"
"S 3030-R10B","s-3030-r10b","#b28088"
"S 0510-R30B","s-0510-r30b","#f1e2e3"
"S 0520-R30B","s-0520-r30b","#f3d5df"
"S 1030-R30B","s-1030-r30b","#deb4c7"
"S 2030-R30B","s-2030-r30b","#ca9bb0"
"S 3030-R30B","s-3030-r30b","#ac7f94"
"S 0505-R40B","s-0505-r40b","#eee7e8"
"S 1010-R40B","s-1010-r40b","#dfd5da"
"S 1515-R40B","s-1515-r40b","#d2c2cf"
"S 2030-R40B","s-2030-r40b","#bc9bb7"
"S 4030-R40B","s-4030-r40b","#8c6a85"
"S 0603-R40B","s-0603-r40b","#ece9e8"
"S 1005-R40B","s-1005-r40b","#e3dedd"
"S 1510-R40B","s-1510-r40b","#d2c8cf"
"S 3020-R40B","s-3020-r40b","#aa93a5"
"S 5020-R40B","s-5020-r40b","#7f6679"
"S 0505-R60B","s-0505-r60b","#ededee"
"S 0515-R60B","s-0515-r60b","#dfe0ec"
"S 1030-R60B","s-1030-r60b","#c2bee0"
"S 2040-R60B","s-2040-r60b","#9e94c3"
"S 2050-R60B","s-2050-r60b","#9180bf"
"S 0510-R70B","s-0510-r70b","#e2e8ec"
"S 0520-R70B","s-0520-r70b","#d2dbec"
"S 1030-R70B","s-1030-r70b","#b3c1e1"
"S 2040-R70B","s-2040-r70b","#8f9aca"
"S 3050-R70B","s-3050-r70b","#616aa4"
"S 0515-R80B","s-0515-r80b","#d3e2ec"
"S 0530-R80B","s-0530-r80b","#b5d0e8"
"S 1040-R80B","s-1040-r80b","#99bae1"
"S 1550-R80B","s-1550-r80b","#73a0d3"
"S 2060-R80B","s-2060-r80b","#5180c3"
"S 0510-R90B","s-0510-r90b","#ddebee"
"S 0520-R90B","s-0520-r90b","#c6dfe9"
"S 0540-R90B","s-0540-r90b","#96c8e9"
"S 2060-R90B","s-2060-r90b","#3787bf"
"S 3065-R90B","s-3065-r90b","#00649b"
"S 0505-R90B","s-0505-r90b","#e7edea"
"S 0515-R90B","s-0515-r90b","#d0e2eb"
"S 0530-R90B","s-0530-r90b","#abd1e7"
"S 1050-R90B","s-1050-r90b","#71b3df"
"S 1560-R90B","s-1560-r90b","#4395cb"
"S 0907-R90B","s-0907-r90b","#d9e1e3"
"S 1015-R90B","s-1015-r90b","#c4d6e0"
"S 2020-R90B","s-2020-r90b","#a2b9ca"
"S 3030-R90B","s-3030-r90b","#7797b3"
"S 5030-R90B","s-5030-r90b","#4a6782"
"S 0804-R90B","s-0804-r90b","#e5e7e6"
"S 1010-R90B","s-1010-r90b","#cbd9df"
"S 1515-R90B","s-1515-r90b","#b6cad5"
"S 3020-R90B","s-3020-r90b","#899eb1"
"S 5020-R90B","s-5020-r90b","#627587"
"S 1005-R90B","s-1005-r90b","#d9dfde"
"S 2005-R90B","s-2005-r90b","#c2c9cc"
"S 3010-R90B","s-3010-r90b","#9faab3"
"S 5010-R90B","s-5010-r90b","#77818b"
"S 7010-R90B","s-7010-r90b","#4c555f"
"S 1002-B","s-1002-b","#dde1df"
"S 2005-B","s-2005-b","#bfc7c8"
"S 3010-B","s-3010-b","#9fadb3"
"S 4020-B","s-4020-b","#728d9c"
"S 6030-B","s-6030-b","#315568"
"S 0510-B","s-0510-b","#d7e8e9"
"S 1020-B","s-1020-b","#b5d5de"
"S 2030-B","s-2030-b","#8ab6c9"
"S 3040-B","s-3040-b","#528eaa"
"S 4050-B","s-4050-b","#176c8b"
"S 0507-B","s-0507-b","#e1edec"
"S 0520-B","s-0520-b","#c4e4eb"
"S 0540-B","s-0540-b","#8fcde1"
"S 1050-B","s-1050-b","#60b5d3"
"S 2060-B","s-2060-b","#1091bc"
"S 0510-B10G","s-0510-b10g","#d5e9e6"
"S 0520-B10G","s-0520-b10g","#bde4e7"
"S 0540-B10G","s-0540-b10g","#86d3e0"
"S 1050-B10G","s-1050-b10g","#52bcd2"
"S 2050-B10G","s-2050-b10g","#3ca2ba"
"S 0507-B20G","s-0507-b20g","#e0eeeb"
"S 1015-B20G","s-1015-b20g","#bddbdb"
