"J-S K 470 K 30","470-k-30","#9ccde7"
"J-S K 480 K 30","480-k-30","#9fd0e4"
"J-S K 490 K 30","490-k-30","#9bc9de"
"J-S K 500 K 30","500-k-30","#b1dcea"
"J-S K 510 K 30","510-k-30","#a9d0d5"
"J-S K 520 K 30","520-k-30","#aad0ce"
"J-S K 521 K 30","521-k-30","#a6dad7"
"J-S K 530 K 30","530-k-30","#a8e0d3"
"J-S K 540 K 30","540-k-30","#add0c5"
"J-S K 550 K 30","550-k-30","#a2c6c0"
"J-S K 560 K 30","560-k-30","#a7c0bf"
"J-S K 570 K 30","570-k-30","#aeccbf"
"J-S K 571 K 30","571-k-30","#b4d2bd"
"J-S K 580 K 30","580-k-30","#a7b8ae"
"J-S K 590 K 30","590-k-30","#96c3c5"
"J-S K 600 K 30","600-k-30","#b9d0b2"
"J-S K 610 K 30","610-k-30","#b1bbb5"
"J-S K 620 K 30","620-k-30","#babbac"
"J-S K 630 K 30","630-k-30","#b3c3ae"
"J-S K 640 K 30","640-k-30","#bcd5be"
"J-S K 650 K 30","650-k-30","#bdd9b2"
"J-S K 660 K 30","660-k-30","#caddb6"
"J-S K 670 K 30","670-k-30","#c4dea9"
"J-S K 680 K 30","680-k-30","#e7dcb5"
"J-S K 690 K 30","690-k-30","#e8dead"
"J-S K 710 K 30","710-k-30","#ebcfb6"
"J-S K 720 K 30","720-k-30","#e5ceb9"
"J-S K 730 K 30","730-k-30","#d6c3b2"
"J-S K 740 K 30","740-k-30","#c9bcaf"
"J-S K 750 K 30","750-k-30","#c6bfb1"
"J-S K 760 K 30","760-k-30","#b8b3b2"
"J-S K 770 K 30","770-k-30","#bfb8b8"
"J-S K 780 K 30","780-k-30","#c5adac"
"J-S K 810 K 30","810-k-30","#e0c3be"
"J-S K 820 K 30","820-k-30","#d4b7b5"
"J-S K 830 K 30","830-k-30","#c3b3b5"
"J-S K 840 K 30","840-k-30","#bbb0b4"
"J-S K 880 K 30","880-k-30","#b6b6bb"
"J-S K 890 K 30","890-k-30","#dad7d6"
"J-S K 900 K 30","900-k-30","#b7b6bb"
"J-S K 910 K 30","910-k-30","#d0d3d4"
"J-S K 920 K 30","920-k-30","#c5c8cc"
"J-S K 930 K 30","930-k-30","#b3b7bb"
"J-S K 931 K 30","931-k-30","#d3d7da"
"J-S K 950 K 30","950-k-30","#d3d4d5"
"J-S K 960 K 30","960-k-30","#c1c2c2"
"J-S K 970 K 30","970-k-30","#b4b6b6"
"J-S K 010 K 55","010-k-55","#f6dd93"
"J-S K 020 K 55","020-k-55","#f5db73"
"J-S K 030 K 55","030-k-55","#f9df84"
"J-S K 040 K 55","040-k-55","#f8d589"
"J-S K 050 K 55","050-k-55","#fdc878"
"J-S K 060 K 55","060-k-55","#feb685"
"J-S K 070 K 55","070-k-55","#feb093"
"J-S K 080 K 55","080-k-55","#f8a492"
"J-S K 082 K 55","082-k-55","#ee9c97"
"J-S K 100 K 55","100-k-55","#f59f96"
"J-S K 110 K 55","110-k-55","#fab6a7"
"J-S K 120 K 55","120-k-55","#eb9794"
"J-S K 121 K 55","121-k-55","#f1898f"
"J-S K 130 K 55","130-k-55","#ea8994"
"J-S K 140 K 55","140-k-55","#e19d9f"
"J-S K 150 K 55","150-k-55","#d495a2"
"J-S K 160 K 55","160-k-55","#c08b99"
"J-S K 170 K 55","170-k-55","#c794aa"
"J-S K 180 K 55","180-k-55","#ab8496"
"J-S K 210 K 55","210-k-55","#f4a8b6"
"J-S K 220 K 55","220-k-55","#f09ba3"
"J-S K 230 K 55","230-k-55","#e18ca0"
"J-S K 240 K 55","240-k-55","#cf7894"
"J-S K 250 K 55","250-k-55","#d488a9"
"J-S K 260 K 55","260-k-55","#cf84ae"
"J-S K 270 K 55","270-k-55","#e084bf"
"J-S K 280 K 55","280-k-55","#c68da6"
"J-S K 290 K 55","290-k-55","#b281b2"
"J-S K 310 K 55","310-k-55","#d27ab2"
"J-S K 320 K 55","320-k-55","#d088b0"
"J-S K 330 K 55","330-k-55","#b77acc"
"J-S K 340 K 55","340-k-55","#a995c1"
"J-S K 350 K 55","350-k-55","#908db9"
"J-S K 360 K 55","360-k-55","#a698c6"
"J-S K 370 K 55","370-k-55","#968bb3"
"J-S K 371 K 55","371-k-55","#a28dd0"
"J-S K 380 K 55","380-k-55","#8592a0"
"J-S K 390 K 55","390-k-55","#89aad8"
"J-S K 400 K 55","400-k-55","#84b5cd"
"J-S K 410 K 55","410-k-55","#929fb0"
"J-S K 411 K 55","411-k-55","#8e90d4"
"J-S K 420 K 55","420-k-55","#94abd8"
"J-S K 430 K 55","430-k-55","#869cdb"
"J-S K 432 K 55","432-k-55","#83adde"
"J-S K 440 K 55","440-k-55","#80a7cf"
"J-S K 450 K 55","450-k-55","#9aa3c7"
"J-S K 460 K 55","460-k-55","#81b2cc"
"J-S K 470 K 55","470-k-55","#68bade"
"J-S K 480 K 55","480-k-55","#6cbfd9"
"J-S K 490 K 55","490-k-55","#6bb3d0"
"J-S K 500 K 55","500-k-55","#8ad0e3"
"J-S K 510 K 55","510-k-55","#81bfc3"
"J-S K 520 K 55","520-k-55","#7ebcb5"
"J-S K 521 K 55","521-k-55","#76cdc5"
"J-S K 530 K 55","530-k-55","#78d6be"
"J-S K 540 K 55","540-k-55","#83bca7"
