"Gelb 2C 01-100","gelb-2c-01-100","#ffce00"
"Blau 4C 70-9946-K-55","blau-4c-70-9946-k-55","#8ab6cf"
"Blau 4C 70-9946-K-30","blau-4c-70-9946-k-30","#c5d8e5"
"Blau 4C 71-9949-K-100","blau-4c-71-9949-k-100","#007eaa"
"Blau 4C 71-9949-K-55","blau-4c-71-9949-k-55","#77b6d0"
"Blau 4C 71-9949-K-30","blau-4c-71-9949-k-30","#bdd7e6"
"Blau 4C 72-9947-K-100","blau-4c-72-9947-k-100","#0094ce"
"Blau 4C 72-9947-K-55","blau-4c-72-9947-k-55","#5ebbe0"
"Blau 4C 72-9947-K-30","blau-4c-72-9947-k-30","#b6d9ec"
"Blau 4C 73-9948-K-100","blau-4c-73-9948-k-100","#0096be"
"Blau 4C 73-9948-K-55","blau-4c-73-9948-k-55","#66bfd9"
"Blau 4C 73-9948-K-30","blau-4c-73-9948-k-30","#b9dce9"
"Blau 4C 74-9950-K-100","blau-4c-74-9950-k-100","#30c1e2"
"Blau 4C 74-9950-K-55","blau-4c-74-9950-k-55","#91d4ea"
"Blau 4C 74-9950-K-30","blau-4c-74-9950-k-30","#cae5f1"
"Blau 4C 75-9951-K-100","blau-4c-75-9951-k-100","#00969b"
"Blau 4C 75-9951-K-55","blau-4c-75-9951-k-55","#83bfc4"
"Blau 4C 75-9951-K-30","blau-4c-75-9951-k-30","#c4dce1"
"Gruen 5C 61-9959-K-100","gruen-5c-61-9959-k-100","#007772"
"Gruen 5C 61-9959-K-55","gruen-5c-61-9959-k-55","#7eb4b6"
"Gruen 5C 61-9959-K-30","gruen-5c-61-9959-k-30","#bfd6d9"
"Gruen 5C 62-9956-K-100","gruen-5c-62-9956-k-100","#005c4a"
"Gruen 5C 62-9956-K-55","gruen-5c-62-9956-k-55","#75a099"
"Gruen 5C 62-9956-K-30","gruen-5c-62-9956-k-30","#bccecd"
"Gruen 5C 63-9952-K-100","gruen-5c-63-9952-k-100","#008e78"
"Gruen 5C 63-9952-K-55","gruen-5c-63-9952-k-55","#7fbeb6"
"Gruen 5C 63-9952-K-30","gruen-5c-63-9952-k-30","#c2dcdb"
"Gruen 5C 10-8831-K-100","gruen-5c-10-8831-k-100","#00af8f"
"Gruen 5C 10-8831-K-55","gruen-5c-10-8831-k-55","#59cdbd"
"Gruen 5C 10-8831-K-30","gruen-5c-10-8831-k-30","#b4e1dc"
"Gruen 5C 64-9953-K-100","gruen-5c-64-9953-k-100","#00bb90"
"Gruen 5C 64-9953-K-55","gruen-5c-64-9953-k-55","#7ad6c1"
"Gruen 5C 64-9953-K-30","gruen-5c-64-9953-k-30","#bfe5de"
"Gruen 5C 11-8832-K-100","gruen-5c-11-8832-k-100","#008b5a"
"Gruen 5C 11-8832-K-55","gruen-5c-11-8832-k-55","#4cb399"
"Gruen 5C 11-8832-K-30","gruen-5c-11-8832-k-30","#afd6cd"
"Gruen 5C 14-8833-K-100","gruen-5c-14-8833-k-100","#00844e"
"Gruen 5C 14-8833-K-55","gruen-5c-14-8833-k-55","#77b59c"
"Gruen 5C 14-8833-K-30","gruen-5c-14-8833-k-30","#bed7cf"
"Gruen 5C 65-9954-K-100","gruen-5c-65-9954-k-100","#008b4f"
