"Gelb 2C 01-100","gelb-2c-01-100","#ffce00"
"Gelb 2C 62-9902-K-30","gelb-2c-62-9902-k-30","#f6e9ba"
"Gelb 2C 12-8802-K-100","gelb-2c-12-8802-k-100","#ffcf00"
"Gelb 2C 12-8802-K-55","gelb-2c-12-8802-k-55","#fcdd73"
"Gelb 2C 12-8802-K-30","gelb-2c-12-8802-k-30","#f8e8bb"
"Gelb 2C 63-9903-K-100","gelb-2c-63-9903-k-100","#ffd000"
"Gelb 2C 63-9903-K-55","gelb-2c-63-9903-k-55","#fddc54"
"Gelb 2C 63-9903-K-30","gelb-2c-63-9903-k-30","#f9e8b1"
"Gelb 2C 13-8803-K-100","gelb-2c-13-8803-k-100","#ffc600"
"Gelb 2C 13-8803-K-55","gelb-2c-13-8803-k-55","#fbd872"
"Gelb 2C 13-8803-K-30","gelb-2c-13-8803-k-30","#f8e6bb"
"Gelb 2C 14-8804-K-100","gelb-2c-14-8804-k-100","#febf00"
"Gelb 2C 14-8804-K-55","gelb-2c-14-8804-k-55","#fad57c"
"Gelb 2C 14-8804-K-30","gelb-2c-14-8804-k-30","#f8e6bf"
"Gelb 2C 64-9904-K-100","gelb-2c-64-9904-k-100","#feb800"
"Gelb 2C 64-9904-K-55","gelb-2c-64-9904-k-55","#fbd58b"
"Gelb 2C 64-9904-K-30","gelb-2c-64-9904-k-30","#f8e6c8"
"Gelb 2C 15-8805-K-100","gelb-2c-15-8805-k-100","#ffb300"
"Gelb 2C 15-8805-K-55","gelb-2c-15-8805-k-55","#fbd286"
"Gelb 2C 15-8805-K-30","gelb-2c-15-8805-k-30","#f8e4c3"
"Gelb 2C 65-9905-K-100","gelb-2c-65-9905-k-100","#ffb500"
"Gelb 2C 65-9905-K-55","gelb-2c-65-9905-k-55","#fed289"
"Gelb 2C 65-9905-K-30","gelb-2c-65-9905-k-30","#f9e4c6"
"Gelb 2C 16-8806-K-100","gelb-2c-16-8806-k-100","#fcb000"
"Gelb 2C 16-8806-K-55","gelb-2c-16-8806-k-55","#fad08a"
"Gelb 2C 16-8806-K-30","gelb-2c-16-8806-k-30","#f8e2c4"
"Orange 2C 17-8807-K -100","orange-2c-17-8807-k-100","#fa9600"
"Orange 2C 17-8807-K -55","orange-2c-17-8807-k-55","#f9c186"
"Orange 2C 17-8807-K -30","orange-2c-17-8807-k-30","#f8dcc3"
"Orange 2C 66-9906-K-100","orange-2c-66-9906-k-100","#ff8b00"
"Orange 2C 66-9906-K-55","orange-2c-66-9906-k-55","#ffbb8c"
"Orange 2C 66-9906-K-30","orange-2c-66-9906-k-30","#fcdac8"
"Orange 2C 18-8808-K-100","orange-2c-18-8808-k-100","#f68600"
"Orange 2C 18-8808-K-55","orange-2c-18-8808-k-55","#f7ba88"
"Orange 2C 18-8808-K-30","orange-2c-18-8808-k-30","#f7d9c5"
"Orange 2C 19-8809-K-100","orange-2c-19-8809-k-100","#f57a00"
"Orange 2C 19-8809-K-55","orange-2c-19-8809-k-55","#f7b58a"
"Orange 2C 19-8809-K-30","orange-2c-19-8809-k-30","#f7d7c5"
"Orange 2C 67-9907-K-100","orange-2c-67-9907-k-100","#ff6b00"
"Orange 2C 67-9907-K-55","orange-2c-67-9907-k-55","#ffa787"
"Orange 2C 67-9907-K-30","orange-2c-67-9907-k-30","#fccfc4"
"Orange 2C 20-8810-K-100","orange-2c-20-8810-k-100","#f16b0e"
"Orange 2C 20-8810-K-55","orange-2c-20-8810-k-55","#f4a782"
"Orange 2C 20-8810-K-30","orange-2c-20-8810-k-30","#f6d0c1"
"Orange 2C 21-8811-K-100","orange-2c-21-8811-k-100","#f1680c"
"Orange 2C 21-8811-K-55","orange-2c-21-8811-k-55","#f5ae93"
"Orange 2C 21-8811-K-30","orange-2c-21-8811-k-30","#f6d5c9"
"Orange 2C 68-9908-K-100","orange-2c-68-9908-k-100","#f65e12"
"Orange 2C 68-9908-K-55","orange-2c-68-9908-k-55","#f9a795"
"Orange 2C 68-9908-K-30","orange-2c-68-9908-k-30","#f8d1cb"
"Orange 2C 22-8812-K-100","orange-2c-22-8812-k-100","#ee5f1f"
"Orange 2C 22-8812-K-55","orange-2c-22-8812-k-55","#f4a995"
"Orange 2C 22-8812-K-30","orange-2c-22-8812-k-30","#f5d2ca"
"Rot 3C 10-8813-K-100","rot-3c-10-8813-k-100","#ed5a2a"
"Rot 3C 10-8813-K-55","rot-3c-10-8813-k-55","#f3aa9c"
"Rot 3C 10-8813-K-30","rot-3c-10-8813-k-30","#f6d3cf"
"Rot 3C 61-9910-K-100","rot-3c-61-9910-k-100","#ee4a26"
"Rot 3C 61-9910-K-55","rot-3c-61-9910-k-55","#f6a39b"
"Rot 3C 61-9910-K-30","rot-3c-61-9910-k-30","#f7cecd"
"Rot 3C 11-8814-K-100","rot-3c-11-8814-k-100","#eb502c"
"Rot 3C 11-8814-K-55","rot-3c-11-8814-k-55","#f2a69c"
"Rot 3C 11-8814-K-30","rot-3c-11-8814-k-30","#f5d1ce"
"Rot 3C 12-8815-K-100","rot-3c-12-8815-k-100","#e84635"
"Rot 3C 12-8815-K-55","rot-3c-12-8815-k-55","#f19f9d"
"Rot 3C 12-8815-K-30","rot-3c-12-8815-k-30","#f4cecf"
"Rot 3C 62-9912-K-100","rot-3c-62-9912-k-100","#e14333"
"Rot 3C 62-9912-K-55","rot-3c-62-9912-k-55","#eda3a0"
"Rot 3C 62-9912-K-30","rot-3c-62-9912-k-30","#f2cecf"
"Rot 3C 14-8816-K-100","rot-3c-14-8816-k-100","#dd312e"
"Rot 3C 14-8816-K-55","rot-3c-14-8816-k-55","#ec9499"
"Rot 3C 14-8816-K-30","rot-3c-14-8816-k-30","#f1c5c9"
"Rot 3C 63-9914-K-100","rot-3c-63-9914-k-100","#ce3534"
"Rot 3C 63-9914-K-55","rot-3c-63-9914-k-55","#e29395"
"Rot 3C 63-9914-K-30","rot-3c-63-9914-k-30","#edc7ca"
"Rot 3C 64-9913-K-100","rot-3c-64-9913-k-100","#e2333b"
"Rot 3C 64-9913-K-55","rot-3c-64-9913-k-55","#ef9aa4"
"Rot 3C 64-9913-K-30","rot-3c-64-9913-k-30","#f3cad1"
"Rot 3C 65-9922-K-100","rot-3c-65-9922-k-100","#e94547"
"Rot 3C 65-9922-K-55","rot-3c-65-9922-k-55","#f29ea4"
"Rot 3C 65-9922-K-30","rot-3c-65-9922-k-30","#f4cbd0"
"Rot 3C 50-8817-K-100","rot-3c-50-8817-k-100","#d2252e"
"Rot 3C 50-8817-K-55","rot-3c-50-8817-k-55","#e3959c"
"Rot 3C 50-8817-K-30","rot-3c-50-8817-k-30","#edc9ce"
"Rot 3C 16-8818-K-100","rot-3c-16-8818-k-100","#dc3645"
"Rot 3C 16-8818-K-55","rot-3c-16-8818-k-55","#ea96a1"
"Rot 3C 16-8818-K-30","rot-3c-16-8818-k-30","#f1c8d0"
"Rot 3C 17-8819-K-100","rot-3c-17-8819-k-100","#d8283f"
"Rot 3C 17-8819-K-55","rot-3c-17-8819-k-55","#e78f9e"
"Rot 3C 17-8819-K-30","rot-3c-17-8819-k-30","#f0c5cf"
"Rot 3C 66-9923-K-100","rot-3c-66-9923-k-100","#d32343"
"Rot 3C 66-9923-K-55","rot-3c-66-9923-k-55","#e591a3"
"Rot 3C 66-9923-K-30","rot-3c-66-9923-k-30","#eec6d1"
"Rot 3C 67-9915-K-100","rot-3c-67-9915-k-100","#bb2638"
"Rot 3C 67-9915-K-55","rot-3c-67-9915-k-55","#d796a1"
"Rot 3C 67-9915-K-30","rot-3c-67-9915-k-30","#e6c7cf"
"Rot 3C 68-9916-K-100","rot-3c-68-9916-k-100","#992f39"
"Rot 3C 68-9916-K-55","rot-3c-68-9916-k-55","#c68d99"
"Rot 3C 68-9916-K-30","rot-3c-68-9916-k-30","#e0c4cc"
"Rot 3C 31-8820-K-100","rot-3c-31-8820-k-100","#7c2b36"
"Rot 3C 31-8820-K-55","rot-3c-31-8820-k-55","#bd95a1"
"Rot 3C 31-8820-K-30","rot-3c-31-8820-k-30","#ddc8d0"
"Rot 3C 69-9917-K-100","rot-3c-69-9917-k-100","#9a2d41"
"Rot 3C 69-9917-K-55","rot-3c-69-9917-k-55","#c48d9c"
"Rot 3C 69-9917-K-30","rot-3c-69-9917-k-30","#dfc5cf"
"Rot 3C 70-9918-K-100","rot-3c-70-9918-k-100","#6f2438"
"Rot 3C 70-9918-K-55","rot-3c-70-9918-k-55","#ac8595"
"Rot 3C 70-9918-K-30","rot-3c-70-9918-k-30","#d5c1cc"
"Rot 3C 71-9924-K-100","rot-3c-71-9924-k-100","#ba2d57"
"Rot 3C 71-9924-K-55","rot-3c-71-9924-k-55","#d389a2"
"Rot 3C 71-9924-K-30","rot-3c-71-9924-k-30","#e8c5d3"
"Rot 3C 72-9928-K-100","rot-3c-72-9928-k-100","#a71f4e"
"Rot 3C 72-9928-K-55","rot-3c-72-9928-k-55","#ca8ba3"
"Rot 3C 72-9928-K-30","rot-3c-72-9928-k-30","#e2c4d1"
"Rot 3C 73-9925-K-100","rot-3c-73-9925-k-100","#c3005c"
"Rot 3C 73-9925-K-55","rot-3c-73-9925-k-55","#d67fa6"
"Rot 3C 73-9925-K-30","rot-3c-73-9925-k-30","#e6bed3"
"Rot 3C 74-9932-K-100","rot-3c-74-9932-k-100","#b60269"
"Rot 3C 74-9932-K-55","rot-3c-74-9932-k-55","#cf78a8"
"Rot 3C 74-9932-K-30","rot-3c-74-9932-k-30","#e4bbd3"
"Rot 3C 75-9926-K-100","rot-3c-75-9926-k-100","#ac176d"
"Rot 3C 75-9926-K-55","rot-3c-75-9926-k-55","#cb83ac"
