"Munsell 7-5R 3-4","munsell-7-5r-3-4","#693b37"
"Munsell 7-5R 2-4","munsell-7-5r-2-4","#4e2728"
"Munsell 7-5R 8-6","munsell-7-5r-8-6","#fcb9ac"
"Munsell 7-5R 7-6","munsell-7-5r-7-6","#e19f95"
"Munsell 7-5R 6-6","munsell-7-5r-6-6","#c68279"
"Munsell 7-5R 5-6","munsell-7-5r-5-6","#a86961"
"Munsell 7-5R 4-6","munsell-7-5r-4-6","#8e4f49"
"Munsell 7-5R 3-6","munsell-7-5r-3-6","#723431"
"Munsell 7-5R 2-6","munsell-7-5r-2-6","#572125"
"Munsell 7-5R 7-8","munsell-7-5r-7-8","#ef998a"
"Munsell 7-5R 6-8","munsell-7-5r-6-8","#d17f73"
"Munsell 7-5R 5-8","munsell-7-5r-5-8","#b76359"
"Munsell 7-5R 4-8","munsell-7-5r-4-8","#98463f"
"Munsell 7-5R 3-8","munsell-7-5r-3-8","#7d2c28"
"Munsell 7-5R 2-8","munsell-7-5r-2-8","#5e121b"
"Munsell 7-5R 7-10","munsell-7-5r-7-10","#ff8e7e"
"Munsell 7-5R 6-10","munsell-7-5r-6-10","#df7669"
"Munsell 7-5R 5-10","munsell-7-5r-5-10","#c1574d"
"Munsell 7-5R 4-10","munsell-7-5r-4-10","#a23e35"
"Munsell 7-5R 3-10","munsell-7-5r-3-10","#872121"
"Munsell 7-5R 6-12","munsell-7-5r-6-12","#ea6b57"
"Munsell 7-5R 5-12","munsell-7-5r-5-12","#cf5044"
"Munsell 7-5R 4-12","munsell-7-5r-4-12","#ac352f"
"Munsell 7-5R 3-12","munsell-7-5r-3-12","#8e0f19"
"Munsell 7-5R 5-14","munsell-7-5r-5-14","#d3433a"
"Munsell 7-5R 4-14","munsell-7-5r-4-14","#b52826"
"Munsell 7-5R 5-16","munsell-7-5r-5-16","#dc3a31"
"Munsell 7-5R 4-16","munsell-7-5r-4-16","#b8061a"
"Munsell 10R 9-1","munsell-10r-9-1","#f2e6e0"
"Munsell 10R 8-1","munsell-10r-8-1","#d4c9c4"
"Munsell 10R 7-1","munsell-10r-7-1","#bcb0ac"
"Munsell 10R 6-1","munsell-10r-6-1","#a19390"
"Munsell 10R 5-1","munsell-10r-5-1","#827673"
"Munsell 10R 4-1","munsell-10r-4-1","#6b5c59"
"Munsell 10R 3-1","munsell-10r-3-1","#534342"
"Munsell 10R 2-1","munsell-10r-2-1","#3a2f2d"
"Munsell 10R 9-2","munsell-10r-9-2","#f8e4dc"
"Munsell 10R 8-2","munsell-10r-8-2","#dbc6bf"
"Munsell 10R 7-2","munsell-10r-7-2","#c1aaa2"
"Munsell 10R 6-2","munsell-10r-6-2","#a78f89"
"Munsell 10R 5-2","munsell-10r-5-2","#8d7770"
"Munsell 10R 4-2","munsell-10r-4-2","#755955"
"Munsell 10R 3-2","munsell-10r-3-2","#5c433f"
"Munsell 10R 2-2","munsell-10r-2-2","#412d2b"
"Munsell 10R 8-4","munsell-10r-8-4","#efc0b2"
"Munsell 10R 7-4","munsell-10r-7-4","#d0a395"
"Munsell 10R 6-4","munsell-10r-6-4","#b78a7e"
"Munsell 10R 5-4","munsell-10r-5-4","#996d61"
"Munsell 10R 4-4","munsell-10r-4-4","#815348"
"Munsell 10R 3-4","munsell-10r-3-4","#673932"
"Munsell 10R 2-4","munsell-10r-2-4","#49201c"
"Munsell 10R 8-6","munsell-10r-8-6","#ffb9a4"
"Munsell 10R 7-6","munsell-10r-7-6","#e19c89"
"Munsell 10R 6-6","munsell-10r-6-6","#c48370"
"Munsell 10R 5-6","munsell-10r-5-6","#a76858"
"Munsell 10R 4-6","munsell-10r-4-6","#8d4e40"
"Munsell 10R 3-6","munsell-10r-3-6","#70342a"
"Munsell 10R 2-6","munsell-10r-2-6","#51201b"
"Munsell 10R 7-8","munsell-10r-7-8","#f0957c"
"Munsell 10R 6-8","munsell-10r-6-8","#d17f67"
"Munsell 10R 5-8","munsell-10r-5-8","#b5604a"
"Munsell 10R 4-8","munsell-10r-4-8","#954534"
"Munsell 10R 3-8","munsell-10r-3-8","#752818"
"Munsell 10R 7-10","munsell-10r-7-10","#fe8f70"
"Munsell 10R 6-10","munsell-10r-6-10","#d87354"
"Munsell 10R 5-10","munsell-10r-5-10","#bc5438"
"Munsell 10R 4-10","munsell-10r-4-10","#9a3c25"
"Munsell 10R 3-10","munsell-10r-3-10","#7e2112"
"Munsell 10R 6-12","munsell-10r-6-12","#e16643"
"Munsell 10R 5-12","munsell-10r-5-12","#c54b25"
"Munsell 10R 4-12","munsell-10r-4-12","#a13517"
"Munsell 10R 6-14","munsell-10r-6-14","#f15f30"
"Munsell 10R 5-14","munsell-10r-5-14","#c74617"
"Munsell 10R 5-16","munsell-10r-5-16","#dd4200"
"Munsell 2-5YR 9-2","munsell-2-5yr-9-2","#fee5da"
"Munsell 2-5YR 8-2","munsell-2-5yr-8-2","#dec8be"
"Munsell 2-5YR 7-2","munsell-2-5yr-7-2","#c3aca1"
"Munsell 2-5YR 6-2","munsell-2-5yr-6-2","#a9938a"
"Munsell 2-5YR 5-2","munsell-2-5yr-5-2","#8e766c"
"Munsell 2-5YR 4-2","munsell-2-5yr-4-2","#775c55"
"Munsell 2-5YR 3-2","munsell-2-5yr-3-2","#59423b"
"Munsell 2-5YR 2-2","munsell-2-5yr-2-2","#402b25"
"Munsell 2-5YR 8-4","munsell-2-5yr-8-4","#f0c0ac"
"Munsell 2-5YR 7-4","munsell-2-5yr-7-4","#d3a692"
"Munsell 2-5YR 6-4","munsell-2-5yr-6-4","#b78c7a"
"Munsell 2-5YR 5-4","munsell-2-5yr-5-4","#9b705f"
"Munsell 2-5YR 4-4","munsell-2-5yr-4-4","#835748"
"Munsell 2-5YR 3-4","munsell-2-5yr-3-4","#663d2f"
"Munsell 2-5YR 2-4","munsell-2-5yr-2-4","#4d271e"
"Munsell 2-5YR 8-6","munsell-2-5yr-8-6","#fbb99a"
"Munsell 2-5YR 7-6","munsell-2-5yr-7-6","#e0a080"
"Munsell 2-5YR 6-6","munsell-2-5yr-6-6","#c38467"
"Munsell 2-5YR 5-6","munsell-2-5yr-5-6","#a96b52"
"Munsell 2-5YR 4-6","munsell-2-5yr-4-6","#8b5138"
"Munsell 2-5YR 3-6","munsell-2-5yr-3-6","#733a21"
"Munsell 2-5YR 7-8","munsell-2-5yr-7-8","#ec9b71"
"Munsell 2-5YR 6-8","munsell-2-5yr-6-8","#cd7f59"
"Munsell 2-5YR 5-8","munsell-2-5yr-5-8","#b1633d"
"Munsell 2-5YR 4-8","munsell-2-5yr-4-8","#944726"
"Munsell 2-5YR 3-8","munsell-2-5yr-3-8","#783214"
"Munsell 2-5YR 7-10","munsell-2-5yr-7-10","#f89060"
"Munsell 2-5YR 6-10","munsell-2-5yr-6-10","#da7846"
"Munsell 2-5YR 5-10","munsell-2-5yr-5-10","#bb5e2c"
"Munsell 2-5YR 4-10","munsell-2-5yr-4-10","#9b4317"
"Munsell 2-5YR 7-12","munsell-2-5yr-7-12","#ff894d"
"Munsell 2-5YR 6-12","munsell-2-5yr-6-12","#e17332"
"Munsell 2-5YR 5-12","munsell-2-5yr-5-12","#c0570f"
"Munsell 2-5YR 6-14","munsell-2-5yr-6-14","#e56b13"
"Munsell 2-5YR 5-14","munsell-2-5yr-5-14","#c55200"
"Munsell 2-5YR 6-16","munsell-2-5yr-6-16","#ea6600"
"Munsell 5YR 9-1","munsell-5yr-9-1","#efe2d9"
"Munsell 5YR 8-1","munsell-5yr-8-1","#d7c8be"
"Munsell 5YR 7-1","munsell-5yr-7-1","#bbb1a9"
"Munsell 5YR 6-1","munsell-5yr-6-1","#9d908a"
"Munsell 5YR 5-1","munsell-5yr-5-1","#827771"
"Munsell 5YR 4-1","munsell-5yr-4-1","#6b5e57"
"Munsell 5YR 3-1","munsell-5yr-3-1","#534640"
"Munsell 5YR 2-1","munsell-5yr-2-1","#3c312e"
"Munsell 5YR 9-2","munsell-5yr-9-2","#fae2d1"
"Munsell 5YR 8-2","munsell-5yr-8-2","#dcc5b7"
"Munsell 5YR 7-2","munsell-5yr-7-2","#c0ab9c"
"Munsell 5YR 6-2","munsell-5yr-6-2","#a69082"
"Munsell 5YR 5-2","munsell-5yr-5-2","#8b776c"
"Munsell 5YR 4-2","munsell-5yr-4-2","#745e51"
"Munsell 5YR 3-2","munsell-5yr-3-2","#59433a"
"Munsell 5YR 2-2","munsell-5yr-2-2","#3f2c26"
"Munsell 5YR 8-4","munsell-5yr-8-4","#eec0a5"
"Munsell 5YR 7-4","munsell-5yr-7-4","#d1a58e"
"Munsell 5YR 6-4","munsell-5yr-6-4","#b28a72"
"Munsell 5YR 5-4","munsell-5yr-5-4","#987057"
"Munsell 5YR 4-4","munsell-5yr-4-4","#7d5641"
"Munsell 5YR 3-4","munsell-5yr-3-4","#643e2b"
"Munsell 5YR 2-4","munsell-5yr-2-4","#482718"
"Munsell 5YR 8-6","munsell-5yr-8-6","#fabb92"
"Munsell 5YR 7-6","munsell-5yr-7-6","#df9f79"
"Munsell 5YR 6-6","munsell-5yr-6-6","#c0845f"
"Munsell 5YR 5-6","munsell-5yr-5-6","#a16943"
"Munsell 5YR 4-6","munsell-5yr-4-6","#844f2d"
"Munsell 5YR 3-6","munsell-5yr-3-6","#6a381b"
"Munsell 5YR 8-8","munsell-5yr-8-8","#ffb57e"
"Munsell 5YR 7-8","munsell-5yr-7-8","#e99a67"
"Munsell 5YR 6-8","munsell-5yr-6-8","#cb7e4c"
"Munsell 5YR 5-8","munsell-5yr-5-8","#aa6533"
"Munsell 5YR 4-8","munsell-5yr-4-8","#8a4c1d"
"Munsell 5YR 7-10","munsell-5yr-7-10","#f39652"
"Munsell 5YR 6-10","munsell-5yr-6-10","#d57b3a"
"Munsell 5YR 5-10","munsell-5yr-5-10","#b75f1c"
"Munsell 5YR 7-12","munsell-5yr-7-12","#fc8f36"
"Munsell 5YR 6-12","munsell-5yr-6-12","#db7518"
"Munsell 5YR 5-12","munsell-5yr-5-12","#ba5b00"
"Munsell 5YR 7-14","munsell-5yr-7-14","#ff8b0d"
"Munsell 5YR 6-14","munsell-5yr-6-14","#e07100"
"Munsell 7-5YR 9-2","munsell-7-5yr-9-2","#fae4cf"
"Munsell 7-5YR 8-2","munsell-7-5yr-8-2","#dcc8b5"
"Munsell 7-5YR 7-2","munsell-7-5yr-7-2","#c2ac9c"
"Munsell 7-5YR 6-2","munsell-7-5yr-6-2","#a89284"
"Munsell 7-5YR 5-2","munsell-7-5yr-5-2","#8c796b"
"Munsell 7-5YR 4-2","munsell-7-5yr-4-2","#735e4f"
"Munsell 7-5YR 3-2","munsell-7-5yr-3-2","#584438"
"Munsell 7-5YR 2-2","munsell-7-5yr-2-2","#3d2b20"
"Munsell 7-5YR 8-4","munsell-7-5yr-8-4","#eac49f"
"Munsell 7-5YR 7-4","munsell-7-5yr-7-4","#ceaa8a"
"Munsell 7-5YR 6-4","munsell-7-5yr-6-4","#b38e6e"
"Munsell 7-5YR 5-4","munsell-7-5yr-5-4","#977456"
"Munsell 7-5YR 4-4","munsell-7-5yr-4-4","#7e573b"
"Munsell 7-5YR 3-4","munsell-7-5yr-3-4","#604029"
"Munsell 7-5YR 2-4","munsell-7-5yr-2-4","#452a17"
"Munsell 7-5YR 8-6","munsell-7-5yr-8-6","#f4bf89"
"Munsell 7-5YR 7-6","munsell-7-5yr-7-6","#d9a26f"
"Munsell 7-5YR 6-6","munsell-7-5yr-6-6","#bc8959"
"Munsell 7-5YR 5-6","munsell-7-5yr-5-6","#a16e3f"
"Munsell 7-5YR 4-6","munsell-7-5yr-4-6","#855127"
"Munsell 7-5YR 3-6","munsell-7-5yr-3-6","#673d17"
"Munsell 7-5YR 8-8","munsell-7-5yr-8-8","#ffb874"
"Munsell 7-5YR 7-8","munsell-7-5yr-7-8","#e2a05a"
"Munsell 7-5YR 6-8","munsell-7-5yr-6-8","#c38443"
"Munsell 7-5YR 5-8","munsell-7-5yr-5-8","#a76a27"
"Munsell 7-5YR 4-8","munsell-7-5yr-4-8","#8c5011"
"Munsell 7-5YR 8-10","munsell-7-5yr-8-10","#ffb563"
"Munsell 7-5YR 7-10","munsell-7-5yr-7-10","#ea9c45"
"Munsell 7-5YR 6-10","munsell-7-5yr-6-10","#cf7f25"
"Munsell 7-5YR 5-10","munsell-7-5yr-5-10","#b06509"
"Munsell 7-5YR 7-12","munsell-7-5yr-7-12","#ef9712"
"Munsell 7-5YR 6-12","munsell-7-5yr-6-12","#d37a00"
"Munsell 7-5YR 7-14","munsell-7-5yr-7-14","#f89200"
"Munsell 7-5YR 6-14","munsell-7-5yr-6-14","#d87a00"
"Munsell 7-5YR 7-16","munsell-7-5yr-7-16","#fa8e00"
"Munsell 10YR 9-1","munsell-10yr-9-1","#f0e4d6"
"Munsell 10YR 8-1","munsell-10yr-8-1","#d5cabe"
"Munsell 10YR 7-1","munsell-10yr-7-1","#b9afa3"
"Munsell 10YR 6-1","munsell-10yr-6-1","#9f948a"
"Munsell 10YR 5-1","munsell-10yr-5-1","#83786f"
"Munsell 10YR 4-1","munsell-10yr-4-1","#6b615a"
"Munsell 10YR 3-1","munsell-10yr-3-1","#524941"
"Munsell 10YR 2-1","munsell-10yr-2-1","#372f2b"
"Munsell 10YR 9-2","munsell-10yr-9-2","#f8e4cb"
"Munsell 10YR 8-2","munsell-10yr-8-2","#dac6af"
"Munsell 10YR 7-2","munsell-10yr-7-2","#c0ac97"
"Munsell 10YR 6-2","munsell-10yr-6-2","#a5927d"
"Munsell 10YR 5-2","munsell-10yr-5-2","#897967"
"Munsell 10YR 4-2","munsell-10yr-4-2","#705d4c"
"Munsell 10YR 3-2","munsell-10yr-3-2","#564536"
"Munsell 10YR 2-2","munsell-10yr-2-2","#413023"
"Munsell 10YR 9-4","munsell-10yr-9-4","#ffdfb4"
"Munsell 10YR 8-4","munsell-10yr-8-4","#e6c69b"
