"MD-Color CM223","md-color-cm223","#cf776c"
"MD-Color CM224","md-color-cm224","#9e4539"
"MD-Color CM225","md-color-cm225","#f1cdc4"
"MD-Color CM226","md-color-cm226","#e6b6a9"
"MD-Color CM227","md-color-cm227","#dca495"
"MD-Color CM228","md-color-cm228","#cb7e6b"
"MD-Color CM229","md-color-cm229","#bc6955"
"MD-Color CM230","md-color-cm230","#f7e6db"
"MD-Color CM231","md-color-cm231","#da9a8b"
"MD-Color CM232","md-color-cm232","#bf7a68"
"MD-Color CM233","md-color-cm233","#a9675b"
"MD-Color CM234","md-color-cm234","#994e3f"
"MD-Color CM235","md-color-cm235","#cb9a8d"
"MD-Color CM236","md-color-cm236","#b77f72"
"MD-Color CM237","md-color-cm237","#a0675a"
"MD-Color CM238","md-color-cm238","#91594c"
"MD-Color CM239","md-color-cm239","#865044"
"MD-Color CM240","md-color-cm240","#eed7cd"
"MD-Color CM241","md-color-cm241","#eacec4"
"MD-Color CM242","md-color-cm242","#e2beb4"
"MD-Color CM243","md-color-cm243","#d8ada1"
"MD-Color CM244","md-color-cm244","#c79e94"
"MD-Color CM245","md-color-cm245","#e2bcb6"
"MD-Color CM246","md-color-cm246","#d29891"
"MD-Color CM247","md-color-cm247","#c87d75"
"MD-Color CM248","md-color-cm248","#b45a54"
"MD-Color CM249","md-color-cm249","#a24543"
"MD-Color CM250","md-color-cm250","#f1d9d3"
"MD-Color CM251","md-color-cm251","#d79690"
"MD-Color CM252","md-color-cm252","#c37b75"
"MD-Color CM253","md-color-cm253","#a6574f"
"MD-Color CM254","md-color-cm254","#993f3a"
"MD-Color CM255","md-color-cm255","#eaa7ac"
"MD-Color CM256","md-color-cm256","#df8489"
"MD-Color CM257","md-color-cm257","#d77179"
"MD-Color CM258","md-color-cm258","#c34d4e"
"MD-Color CM259","md-color-cm259","#b94040"
"MD-Color CM260","md-color-cm260","#f0d8cf"
"MD-Color CM261","md-color-cm261","#eabab3"
"MD-Color CM262","md-color-cm262","#ed9790"
"MD-Color CM263","md-color-cm263","#ca6360"
"MD-Color CM264","md-color-cm264","#ad5957"
"MD-Color CM265","md-color-cm265","#e8d6d4"
"MD-Color CM266","md-color-cm266","#d5b6b4"
"MD-Color CM267","md-color-cm267","#c39493"
"MD-Color CM268","md-color-cm268","#b37878"
"MD-Color CM269","md-color-cm269","#7c4441"
"MD-Color CM270","md-color-cm270","#e3bfba"
"MD-Color CM271","md-color-cm271","#cc9f99"
"MD-Color CM272","md-color-cm272","#b37d75"
"MD-Color CM273","md-color-cm273","#97655d"
"MD-Color CM274","md-color-cm274","#81554e"
"MD-Color CM275","md-color-cm275","#f4dcd5"
"MD-Color CM276","md-color-cm276","#e9d2cb"
"MD-Color CM277","md-color-cm277","#d6b9b0"
"MD-Color CM278","md-color-cm278","#a4847c"
"MD-Color CM279","md-color-cm279","#907168"
"MD-Color CM280","md-color-cm280","#dbcecc"
"MD-Color CM281","md-color-cm281","#c5b1ad"
"MD-Color CM282","md-color-cm282","#967470"
"MD-Color CM283","md-color-cm283","#805c58"
"MD-Color CM284","md-color-cm284","#68433f"
"MD-Color CM285","md-color-cm285","#efd5d8"
"MD-Color CM286","md-color-cm286","#f0c8d0"
"MD-Color CM287","md-color-cm287","#e6a9b8"
"MD-Color CM288","md-color-cm288","#bd6372"
"MD-Color CM289","md-color-cm289","#a7546b"
"MD-Color CM290","md-color-cm290","#f1dbda"
"MD-Color CM291","md-color-cm291","#f5cdcb"
"MD-Color CM292","md-color-cm292","#eca2ae"
"MD-Color CM293","md-color-cm293","#e18995"
"MD-Color CM294","md-color-cm294","#ca6c78"
"MD-Color CM295","md-color-cm295","#f2e0df"
"MD-Color CM296","md-color-cm296","#f4d9da"
"MD-Color CM297","md-color-cm297","#e3abbb"
"MD-Color CM298","md-color-cm298","#a85056"
"MD-Color CM299","md-color-cm299","#984149"
"MD-Color CM300","md-color-cm300","#e8cdcd"
"MD-Color CM301","md-color-cm301","#e2bbbf"
"MD-Color CM302","md-color-cm302","#c9959a"
"MD-Color CM303","md-color-cm303","#855059"
"MD-Color CM304","md-color-cm304","#634044"
"MD-Color CM305","md-color-cm305","#e6dbda"
"MD-Color CM306","md-color-cm306","#cfaeb4"
"MD-Color CM307","md-color-cm307","#b79097"
"MD-Color CM308","md-color-cm308","#9f767d"
"MD-Color CM309","md-color-cm309","#8a5963"
"MD-Color CM310","md-color-cm310","#ede0e0"
"MD-Color CM311","md-color-cm311","#ead1d8"
"MD-Color CM312","md-color-cm312","#c2899c"
"MD-Color CM313","md-color-cm313","#ad7183"
"MD-Color CM314","md-color-cm314","#94566b"
"MD-Color CM315","md-color-cm315","#e6d1e1"
"MD-Color CM316","md-color-cm316","#dcbfd7"
"MD-Color CM317","md-color-cm317","#ca9dbb"
"MD-Color CM318","md-color-cm318","#995977"
"MD-Color CM319","md-color-cm319","#844a5e"
"MD-Color CM320","md-color-cm320","#e7e0dd"
"MD-Color CM321","md-color-cm321","#d2c0c4"
"MD-Color CM322","md-color-cm322","#b9a5ac"
"MD-Color CM323","md-color-cm323","#9d8691"
"MD-Color CM324","md-color-cm324","#836b79"
"MD-Color CM325","md-color-cm325","#e5dde2"
"MD-Color CM326","md-color-cm326","#d9cedc"
"MD-Color CM327","md-color-cm327","#c0aec7"
"MD-Color CM328","md-color-cm328","#9883a4"
"MD-Color CM329","md-color-cm329","#68556b"
"MD-Color CM330","md-color-cm330","#e9e3e8"
"MD-Color CM331","md-color-cm331","#e3d7e6"
"MD-Color CM332","md-color-cm332","#b0a0b6"
"MD-Color CM333","md-color-cm333","#7a6a81"
"MD-Color CM334","md-color-cm334","#52403f"
"MD-Color CM335","md-color-cm335","#e5e1e2"
"MD-Color CM336","md-color-cm336","#dbd5db"
"MD-Color CM337","md-color-cm337","#c1b9c7"
"MD-Color CM338","md-color-cm338","#978ca1"
"MD-Color CM339","md-color-cm339","#60596b"
"MD-Color CM340","md-color-cm340","#d5beda"
"MD-Color CM341","md-color-cm341","#bf9fc8"
"MD-Color CM342","md-color-cm342","#aa87b7"
"MD-Color CM343","md-color-cm343","#855c8a"
"MD-Color CM344","md-color-cm344","#654663"
"MD-Color CM345","md-color-cm345","#f2eceb"
"MD-Color CM346","md-color-cm346","#eee1e7"
"MD-Color CM347","md-color-cm347","#e5d0e0"
"MD-Color CM348","md-color-cm348","#d1b3d0"
"MD-Color CM349","md-color-cm349","#af84af"
"MD-Color CM350","md-color-cm350","#bdbadd"
"MD-Color CM351","md-color-cm351","#a29dcd"
"MD-Color CM352","md-color-cm352","#726c96"
"MD-Color CM353","md-color-cm353","#564d7e"
"MD-Color CM354","md-color-cm354","#493e61"
"MD-Color CM355","md-color-cm355","#e6e4e9"
"MD-Color CM356","md-color-cm356","#dddbe8"
"MD-Color CM357","md-color-cm357","#cccae1"
"MD-Color CM358","md-color-cm358","#bebadc"
"MD-Color CM359","md-color-cm359","#a099ca"
"MD-Color CM360","md-color-cm360","#dedfe8"
"MD-Color CM361","md-color-cm361","#c0bccc"
"MD-Color CM362","md-color-cm362","#a29eb4"
"MD-Color CM363","md-color-cm363","#8a84a1"
"MD-Color CM364","md-color-cm364","#625b73"
"MD-Color CM365","md-color-cm365","#dfe3e8"
"MD-Color CM366","md-color-cm366","#d4d8e7"
"MD-Color CM367","md-color-cm367","#b5bddc"
"MD-Color CM368","md-color-cm368","#8891c4"
"MD-Color CM369","md-color-cm369","#545991"
"MD-Color CM370","md-color-cm370","#cacde2"
"MD-Color CM371","md-color-cm371","#a8aecc"
"MD-Color CM372","md-color-cm372","#959dbf"
"MD-Color CM373","md-color-cm373","#7b81a4"
"MD-Color CM374","md-color-cm374","#5c6280"
"MD-Color CM375","md-color-cm375","#c6d4e5"
"MD-Color CM376","md-color-cm376","#b1c3e0"
"MD-Color CM377","md-color-cm377","#8aa3d1"
"MD-Color CM378","md-color-cm378","#6472a4"
"MD-Color CM379","md-color-cm379","#485884"
"MD-Color CM380","md-color-cm380","#d2e0ed"
"MD-Color CM381","md-color-cm381","#bad0ea"
"MD-Color CM382","md-color-cm382","#a5c0e0"
"MD-Color CM383","md-color-cm383","#6f92c3"
"MD-Color CM384","md-color-cm384","#526dab"
"MD-Color CM385","md-color-cm385","#eaeced"
"MD-Color CM386","md-color-cm386","#b8c5d9"
"MD-Color CM387","md-color-cm387","#97a9c3"
"MD-Color CM388","md-color-cm388","#7d93b6"
"MD-Color CM389","md-color-cm389","#58759e"
"MD-Color CM390","md-color-cm390","#b6c5d5"
"MD-Color CM391","md-color-cm391","#9bb1cb"
"MD-Color CM392","md-color-cm392","#7692b3"
"MD-Color CM393","md-color-cm393","#4f6986"
"MD-Color CM394","md-color-cm394","#335770"
"MD-Color CM395","md-color-cm395","#d1d9e1"
"MD-Color CM396","md-color-cm396","#97a5ba"
"MD-Color CM397","md-color-cm397","#76879f"
"MD-Color CM398","md-color-cm398","#576c8b"
"MD-Color CM399","md-color-cm399","#395474"
"MD-Color CM400","md-color-cm400","#92bbd8"
"MD-Color CM401","md-color-cm401","#6899c0"
