"Brillux anthrazitgrau","anthrazitgrau","#4d4f4b"
"Brillux limbagruen 8","limbagruen-8","#f5e8cc"
"Brillux lindgruen","lindgruen","#9f953e"
"Brillux lindgruen 1","lindgruen-1","#b8a64f"
"Brillux lindgruen 2","lindgruen-2","#c8b760"
"Brillux lindgruen 3","lindgruen-3","#d8ca81"
"Brillux lindgruen 4","lindgruen-4","#dfd293"
"Brillux lindgruen 5","lindgruen-5","#e8dda9"
"Brillux lindgruen 6","lindgruen-6","#ebe3b6"
"Brillux lindgruen 7","lindgruen-7","#f2ebcc"
"Brillux lindgruen 8","lindgruen-8","#f4efd3"
"Brillux marocbraun","marocbraun","#8f643b"
"Brillux marocbraun 1","marocbraun-1","#ac7f4c"
"Brillux marocbraun 2","marocbraun-2","#c3965e"
"Brillux marocbraun 3","marocbraun-3","#d2aa76"
"Brillux marocbraun 4","marocbraun-4","#dfc396"
"Brillux marocbraun 5","marocbraun-5","#e6cea9"
"Brillux marocbraun 6","marocbraun-6","#ebd7b6"
"Brillux marocbraun 7","marocbraun-7","#f3e4cb"
"Brillux marocbraun 8","marocbraun-8","#f3e8d1"
"Brillux ocker","ocker","#af8140"
"Brillux olivgelb","olivgelb","#8a814d"
"Brillux olivgelb 1","olivgelb-1","#a3965e"
"Brillux olivgelb 2","olivgelb-2","#b8aa71"
"Brillux olivgelb 3","olivgelb-3","#cbbc88"
"Brillux olivgelb 4","olivgelb-4","#d7cea1"
"Brillux olivgelb 5","olivgelb-5","#ded8b9"
"Brillux olivgelb 6","olivgelb-6","#e3ddc1"
"Brillux olivgelb 7","olivgelb-7","#ece7ce"
"Brillux olivgelb 8","olivgelb-8","#f1ecd7"
"Brillux orange","orange","#cd5a3d"
"Brillux rot","rot","#b13b3f"
"Brillux rotbraun","rotbraun","#6f403c"
"Brillux rubinrot","rubinrot","#882d32"
"Brillux safrangelb","safrangelb","#d39234"
"Brillux safrangelb 1","safrangelb-1","#e5ac4b"
"Brillux safrangelb 2","safrangelb-2","#f0bc61"
"Brillux safrangelb 3","safrangelb-3","#f2ca7f"
"Brillux safrangelb 4","safrangelb-4","#fadda2"
"Brillux safrangelb 5","safrangelb-5","#f8e0b2"
"Brillux safrangelb 6","safrangelb-6","#f8e6c0"
"Brillux safrangelb 7","safrangelb-7","#f9edd0"
"Brillux safrangelb 8","safrangelb-8","#f8eed4"
"Brillux schwarz","schwarz","#6e5f4f"
"Brillux sepialbraun","sepialbraun","#6e5f4f"
"Brillux sepialbraun 1","sepialbraun-1","#7e6e5b"
"Brillux sepialbraun 2","sepialbraun-2","#92826c"
"Brillux sepialbraun 3","sepialbraun-3","#a79983"
"Brillux sepialbraun 4","sepialbraun-4","#beb19c"
"Brillux sepialbraun 5","sepialbraun-5","#ccc1b1"
"Brillux sepialbraun 6","sepialbraun-6","#d4cabc"
"Brillux sepialbraun 7","sepialbraun-7","#dbd3c6"
"Brillux sepialbraun 8","sepialbraun-8","#e5ded1"
"Brillux tabakbraun","tabakbraun","#7a6152"
"Brillux tabakbraun 1","tabakbraun-1","#89725f"
"Brillux tabakbraun 2","tabakbraun-2","#a08772"
"Brillux tabakbraun 3","tabakbraun-3","#b09b87"
"Brillux tabakbraun 4","tabakbraun-4","#c8b8a7"
"Brillux tabakbraun 5","tabakbraun-5","#d2c4b5"
"Brillux tabakbraun 6","tabakbraun-6","#dcd0c2"
"Brillux tabakbraun 7","tabakbraun-7","#e6dacc"
"Brillux tabakbraun 8","tabakbraun-8","#eae1d6"
"Brillux tropicbraun","tropicbraun","#67553f"
"Brillux tropicbraun 1","tropicbraun-1","#836d4d"
"Brillux tropicbraun 2","tropicbraun-2","#9f8765"
"Brillux tropicbraun 3","tropicbraun-3","#b49c76"
"Brillux tropicbraun 4","tropicbraun-4","#c9b696"
"Brillux tropicbraun 5","tropicbraun-5","#dcccaf"
"Brillux tropicbraun 6","tropicbraun-6","#e0d0b8"
"Brillux tropicbraun 7","tropicbraun-7","#e9dcc6"
"Brillux tropicbraun 8","tropicbraun-8","#eae1ce"
"Brillux tuerkisgruen","tuerkisgruen","#1c6d55"
"Brillux umbragruen","umbragruen","#756253"
