"Caparol Maroc-0","maroc-0","#8e6845"
"Caparol Maroc-11","maroc-11","#a67c50"
"Caparol Maroc-12","maroc-12","#bc8f5f"
"Caparol Maroc-13","maroc-13","#d5ae7f"
"Caparol Maroc-14","maroc-14","#debe94"
"Caparol Maroc-15","maroc-15","#e6ccad"
"Caparol Maroc-16","maroc-16","#ecd7bc"
"Caparol Maroc-17","maroc-17","#eee1cb"
"Caparol Maroc-18","maroc-18","#eee5d3"
"Caparol Marone-0","marone-0","#725341"
"Caparol Marone-11","marone-11","#8a6850"
"Caparol Marone-12","marone-12","#9e7b61"
"Caparol Marone-13","marone-13","#bb9a7d"
"Caparol Marone-14","marone-14","#ccb097"
"Caparol Marone-15","marone-15","#d8bfaa"
"Caparol Marone-16","marone-16","#e3cebd"
"Caparol Marone-17","marone-17","#e9daca"
"Caparol Marone-18","marone-18","#e8ded2"
"Caparol Mistral-0","mistral-0","#9f763f"
"Caparol Mistral-11","mistral-11","#b2884d"
"Caparol Mistral-12","mistral-12","#cca15f"
"Caparol Mistral-13","mistral-13","#dfba7f"
"Caparol Mistral-14","mistral-14","#e6c897"
"Caparol Mistral-15","mistral-15","#ebd4ac"
"Caparol Mistral-16","mistral-16","#f1dec0"
"Caparol Mistral-17","mistral-17","#f0e1c9"
"Caparol Mistral-18","mistral-18","#f1e7d3"
"Caparol Nutria-0","nutria-0","#6d5746"
"Caparol Nutria-11","nutria-11","#806a57"
"Caparol Nutria-12","nutria-12","#977c65"
"Caparol Nutria-13","nutria-13","#b69c83"
"Caparol Nutria-14","nutria-14","#c6b29c"
"Caparol Nutria-15","nutria-15","#d4c1ae"
"Caparol Nutria-16","nutria-16","#dfd0bf"
"Caparol Nutria-17","nutria-17","#e7dacd"
"Caparol Nutria-18","nutria-18","#ebe1d6"
"Caparol Olive-0","olive-0","#857b46"
"Caparol Olive-11","olive-11","#978a4d"
"Caparol Olive-12","olive-12","#ad9f5e"
"Caparol Olive-13","olive-13","#c6b87b"
"Caparol Olive-14","olive-14","#d2c796"
"Caparol Olive-15","olive-15","#dbd2aa"
"Caparol Olive-16","olive-16","#e5ddbb"
"Caparol Olive-17","olive-17","#e9e2c8"
"Caparol Olive-18","olive-18","#ece6d3"
"Caparol Palma-0","palma-0","#6e6748"
"Caparol Palma-11","palma-11","#7f7752"
"Caparol Palma-12","palma-12","#978b60"
"Caparol Palma-13","palma-13","#b6a97c"
"Caparol Palma-14","palma-14","#c7bd95"
"Caparol Palma-15","palma-15","#d5cdac"
"Caparol Palma-16","palma-16","#ddd6bb"
"Caparol Palma-17","palma-17","#e6e0ca"
"Caparol Palma-18","palma-18","#ece6d3"
"Caparol Schiefer-0","schiefer-0","#54514b"
"Caparol Schiefer-11","schiefer-11","#5d5950"
"Caparol Schiefer-12","schiefer-12","#726e64"
"Caparol Schiefer-13","schiefer-13","#918d82"
"Caparol Schiefer-14","schiefer-14","#a7a297"
"Caparol Schiefer-15","schiefer-15","#bcb7ac"
"Caparol Schiefer-16","schiefer-16","#cbc7be"
"Caparol Schiefer-17","schiefer-17","#d6d3cc"
"Caparol Schiefer-18","schiefer-18","#dcdad3"
"Caparol Schilf-0","schilf-0","#a89148"
"Caparol Schilf-11","schilf-11","#b49c4f"
"Caparol Schilf-12","schilf-12","#c4b167"
"Caparol Schilf-13","schilf-13","#d7c384"
"Caparol Schilf-14","schilf-14","#e1d098"
"Caparol Schilf-15","schilf-15","#e4d9ad"
"Caparol Schilf-16","schilf-16","#ebe2c2"
"Caparol Schilf-17","schilf-17","#ede7cd"
"Caparol Schilf-18","schilf-18","#f0e9d2"
"Caparol Siam-0","siam-0","#5e4e45"
"Caparol Siam-11","siam-11","#76655b"
"Caparol Siam-12","siam-12","#8e7c71"
"Caparol Siam-13","siam-13","#ae9d91"
"Caparol Siam-14","siam-14","#c2b3a7"
"Caparol Siam-15","siam-15","#cfc3b8"
"Caparol Siam-16","siam-16","#dcd2c9"
"Caparol Siam-17","siam-17","#e4dbd1"
"Caparol Siam-18","siam-18","#e7dfd6"
"Caparol Taiga-0","taiga-0","#796848"
"Caparol Taiga-11","taiga-11","#8d7954"
"Caparol Taiga-12","taiga-12","#a28d63"
"Caparol Taiga-13","taiga-13","#bfaa81"
"Caparol Taiga-14","taiga-14","#cebd98"
"Caparol Taiga-15","taiga-15","#dccbab"
"Caparol Taiga-16","taiga-16","#e5d7be"
"Caparol Taiga-17","taiga-17","#e6ddc9"
"Caparol Taiga-18","taiga-18","#ede5d5"
"Caparol Terra-0","terra-0","#966444"
"Caparol Terra-11","terra-11","#a77450"
"Caparol Terra-12","terra-12","#bf8a5f"
"Caparol Terra-13","terra-13","#d3a57b"
"Caparol Terra-14","terra-14","#e0ba96"
"Caparol Terra-15","terra-15","#e8c8aa"
"Caparol Terra-16","terra-16","#edd4bd"
"Caparol Terra-17","terra-17","#f3ddc3"
"Caparol Terra-18","terra-18","#f3e3d0"
"Caparol Tibet-0","tibet-0","#626f6d"
"Caparol Tibet-11","tibet-11","#70807f"
"Caparol Tibet-12","tibet-12","#849290"
"Caparol Tibet-13","tibet-13","#a3adab"
"Caparol Tibet-14","tibet-14","#b5bfbc"
"Caparol Tibet-15","tibet-15","#c6cdcb"
"Caparol Tibet-16","tibet-16","#d3d8d3"
"Caparol Tibet-17","tibet-17","#e0e2dc"
"Caparol Tibet-18","tibet-18","#e5e6de"
