"einz-a Borke 22","borke-22","#9e8e6b"
"einz-a Borke 33","borke-33","#bcab86"
"einz-a Borke 44","borke-44","#ccbe9c"
"einz-a Borke 55","borke-55","#dbceb1"
"einz-a Borke 66","borke-66","#e6dcc5"
"einz-a Borke 77","borke-77","#efe7d4"
"einz-a Borke 88","borke-88","#efebda"
"einz-a Brasil","brasil","#635547"
"einz-a Brasil 11","brasil-11","#695b4e"
"einz-a Brasil 22","brasil-22","#867767"
"einz-a Brasil 33","brasil-33","#a69582"
"einz-a Brasil 44","brasil-44","#bdae9a"
"einz-a Brasil 55","brasil-55","#ccbfad"
"einz-a Brasil 66","brasil-66","#dcd1c1"
"einz-a Brasil 77","brasil-77","#e2dacd"
"einz-a Brasil 88","brasil-88","#ede7db"
"einz-a Curry","curry","#c37942"
"einz-a Curry 11","curry-11","#cd874f"
"einz-a Curry 22","curry-22","#df9e65"
"einz-a Curry 33","curry-33","#eeb982"
"einz-a Curry 44","curry-44","#f4cc9c"
"einz-a Curry 55","curry-55","#f5d9b0"
"einz-a Curry 66","curry-66","#f5e4c5"
"einz-a Curry 77","curry-77","#f4e7d0"
"einz-a Curry 88","curry-88","#f8eedb"
"einz-a Eibe","eibe","#7e7549"
"einz-a Eibe 11","eibe-11","#908555"
"einz-a Eibe 22","eibe-22","#aba171"
"einz-a Eibe 33","eibe-33","#cbc194"
"einz-a Eibe 44","eibe-44","#d9d1a7"
"einz-a Eibe 55","eibe-55","#e4ddbc"
"einz-a Eibe 66","eibe-66","#e8e2c7"
"einz-a Eibe 77","eibe-77","#eae8d4"
"einz-a Eibe 88","eibe-88","#f1edde"
"einz-a Feuer","feuer","#ba4f3d"
"einz-a Feuer 11","feuer-11","#c25b47"
"einz-a Feuer 22","feuer-22","#d67763"
"einz-a Feuer 33","feuer-33","#e89680"
"einz-a Feuer 44","feuer-44","#f4b39d"
"einz-a Feuer 55","feuer-55","#f5c4b2"
"einz-a Feuer 66","feuer-66","#f7d4c5"
"einz-a Feuer 77","feuer-77","#f8dfd1"
"einz-a Feuer 88","feuer-88","#f5e6da"
"einz-a Inkarot","inkarot","#904f40"
"einz-a Inkarot 11","inkarot-11","#9c5e51"
"einz-a Inkarot 22","inkarot-22","#b47b70"
"einz-a Inkarot 33","inkarot-33","#ce9b8e"
"einz-a Inkarot 44","inkarot-44","#e0b4a9"
"einz-a Inkarot 55","inkarot-55","#e9c6bb"
"einz-a Inkarot 66","inkarot-66","#efd6cc"
"einz-a Inkarot 77","inkarot-77","#f6e4da"
"einz-a Inkarot 88","inkarot-88","#f2e7dd"
"einz-a Lorbeer","lorbeer","#6d6f58"
"einz-a Lorbeer 11","lorbeer-11","#7b7e67"
"einz-a Lorbeer 22","lorbeer-22","#95987f"
"einz-a Lorbeer 33","lorbeer-33","#afb098"
"einz-a Lorbeer 44","lorbeer-44","#c4c5b0"
"einz-a Lorbeer 55","lorbeer-55","#d1d0bd"
"einz-a Lorbeer 66","lorbeer-66","#dfdece"
"einz-a Lorbeer 77","lorbeer-77","#ecece1"
"einz-a Lorbeer 88","lorbeer-88","#eeede4"
"einz-a Moos","moos","#5f6b44"
"einz-a Moos 11","moos-11","#707a52"
"einz-a Moos 22","moos-22","#8a976c"
"einz-a Moos 33","moos-33","#a7b487"
"einz-a Moos 44","moos-44","#c0c7a1"
"einz-a Moos 55","moos-55","#d2d9b8"
"einz-a Moos 66","moos-66","#e0e5c9"
"einz-a Moos 77","moos-77","#e7ead5"
"einz-a Moos 88","moos-88","#ebecdd"
"einz-a Orange","orange","#cc7235"
"einz-a Orange 11","orange-11","#d77f3d"
"einz-a Orange 22","orange-22","#e79e5d"
"einz-a Orange 33","orange-33","#f1b877"
"einz-a Orange 44","orange-44","#f4cd97"
"einz-a Orange 55","orange-55","#f8deb1"
"einz-a Orange 66","orange-66","#f9e5c3"
"einz-a Orange 77","orange-77","#f3e8ce"
"einz-a Orange 88","orange-88","#f4ecd7"
"einz-a Sahara","sahara","#e8a530"
"einz-a Sahara 11","sahara-11","#eeb13e"
"einz-a Sahara 22","sahara-22","#f2c75f"
"einz-a Sahara 33","sahara-33","#f7de82"
"einz-a Sahara 44","sahara-44","#f3e49f"
"einz-a Sahara 55","sahara-55","#f5ebb4"
"einz-a Sahara 66","sahara-66","#f4eec2"
"einz-a Sahara 77","sahara-77","#f2efd3"
"einz-a Sahara 88","sahara-88","#f1efda"
"einz-a Schiefer","schiefer","#4c4e4a"
"einz-a Schiefer 11","schiefer-11","#575854"
"einz-a Schiefer 22","schiefer-22","#6a6b65"
"einz-a Schiefer 33","schiefer-33","#8d8c83"
"einz-a Schiefer 44","schiefer-44","#a2a196"
"einz-a Schiefer 55","schiefer-55","#bab7ad"
"einz-a Schiefer 66","schiefer-66","#ccc9c0"
"einz-a Schiefer 77","schiefer-77","#dcdad0"
"einz-a Schiefer 88","schiefer-88","#e3e1d8"
"einz-a Schoko","schoko","#7a5d44"
"einz-a Schoko 11","schoko-11","#86694f"
"einz-a Schoko 22","schoko-22","#a38667"
"einz-a Schoko 33","schoko-33","#c1a482"
"einz-a Schoko 44","schoko-44","#d2ba9b"
"einz-a Schoko 55","schoko-55","#e2cbac"
"einz-a Schoko 66","schoko-66","#e5d7c0"
"einz-a Schoko 77","schoko-77","#efe5d2"
"einz-a Schoko 88","schoko-88","#ece6d7"
"einz-a Sonne","sonne","#f2c332"
"einz-a Sonne 11","sonne-11","#f0c637"
"einz-a Sonne 22","sonne-22","#f1d251"
"einz-a Sonne 33","sonne-33","#f3df71"
"einz-a Sonne 44","sonne-44","#f7eb93"
"einz-a Sonne 55","sonne-55","#f2eaa8"
"einz-a Sonne 66","sonne-66","#f4f1bf"
"einz-a Sonne 77","sonne-77","#f0eecc"
"einz-a Sonne 88","sonne-88","#f2f1d6"
"einz-a Torf","torf","#695548"
"einz-a Torf 11","torf-11","#7a6254"
"einz-a Torf 22","torf-22","#978272"
"einz-a Torf 33","torf-33","#bba695"
"einz-a Torf 44","torf-44","#cbb9aa"
"einz-a Torf 55","torf-55","#dbcbbd"
"einz-a Torf 66","torf-66","#e5d9cc"
"einz-a Torf 77","torf-77","#ede4d8"
"einz-a Torf 88","torf-88","#f1eae1"
"einz-a Ziegel","ziegel","#9a6648"
"einz-a Ziegel 11","ziegel-11","#a37154"
"einz-a Ziegel 22","ziegel-22","#bb8b6a"
"einz-a Ziegel 33","ziegel-33","#d4ac89"
"einz-a Ziegel 44","ziegel-44","#dfbf9f"
"einz-a Ziegel 55","ziegel-55","#e7cfb5"
"einz-a Ziegel 66","ziegel-66","#ebd9c2"
"einz-a Ziegel 77","ziegel-77","#f4e9d5"
"einz-a Ziegel 88","ziegel-88","#efe8d8"
