"Gloss Kelly Green","G46","#539362"
"Gloss Intense Blue","G47","#446ea0"
"Gloss Bright Orange","G54","#d67c38"
"Gloss Sky Blue","G77","#7fb7cf"
"Light Ivory","G79","#e1d3ba"
"Gloss Dark Red","G83","#95443f"
"Gloss Midnight Blue","GP272","#424449"
"Gloss Ember Black","GP282","#444143"
"Gloss Black Rose","GP99","#4e4243"
"Matte White","M10","#f4f3ee"
"Matte Pink","M103","#c46a8e"
"Matte Black","M12","#41403e"
"Matte Red","M13","#a23e3c"
"Matte Yellow","M15","#eac232"
"Matte Apple Green","M196","#779b3f"
"Matte Red Metallic","M203","#7a454a"
"Matte Pine Green Metallic","M206","#5a645b"
"Matte Brown Metallic","M209","#635a51"
"Matte Silver","M21","#7e8086"
"Matte Charcoal Metallic","M211","#66625c"
"Matte Deep Black","M22","#3e3d3d"
"Matte Blue Metallic","M227","#4e80a6"
"Matte Copper Metallic","M229","#926d53"
"Matte Gray Aluminum","M230","#95918a"
"Matte Military Green","M26","#5a504a"
"Matte Dark Gray","M261","#6a6a6b"
"Matte Indigo","M27","#42444d"
"Matte Royal Purple","M38","#594e7d"
"Matte Orange","M54","#d87f3b"
"Matte Riviera Blue","M67","#538dbe"
"Satin White","S10","#f6f6f3"
"Satin Black","S12","#40403f"
"Satin White Aluminum","S120","#c2c2c1"
"Satin Apple Green","S196","#789b41"
"Satin Dark Gray","S261","#6f6f70"
"Satin Ocean Simmer","S327","#53a6c3"
"Satin Bitter Yellow","S335","#b9a031"
"Satin Sheer Luck Green","S336","#00a500"
"Satin Canyon Copper","S344","#aa6e3f"
"Satin Perfect Blue","S347","#4a7bb4"
"Satin Smoldering Red","S363","#8e4041"
"Satin Mystique Blue","S378","#454485"
"Satin Battleship Gray","S51","#84898c"
"Straightfiber Black","SF12","#3f3d3c"
"Straightfiber Anthracite","SF201","#76767a"
"Satin Pearl White","SP10","#eeeee3"
