"Herbol K4","herbol-k4","#e1968d"
"Herbol K5","herbol-k5","#e6aaa5"
"Herbol K6","herbol-k6","#ebc3b9"
"Herbol K7","herbol-k7","#f3cdc5"
"Herbol K8","herbol-k8","#f2ded6"
"Herbol K9","herbol-k9","#efe4dd"
"Herbol L1","herbol-l1","#bc5a3d"
"Herbol L2","herbol-l2","#e06648"
"Herbol L3","herbol-l3","#e78668"
"Herbol L4","herbol-l4","#f0a185"
"Herbol L5","herbol-l5","#eeb09b"
"Herbol L6","herbol-l6","#ebc4b3"
"Herbol L7","herbol-l7","#f6cab6"
"Herbol L8","herbol-l8","#f5dece"
"Herbol L9","herbol-l9","#f0dfd3"
"Herbol M1","herbol-m1","#e9823c"
"Herbol M2","herbol-m2","#f48b4c"
"Herbol M3","herbol-m3","#ef9762"
"Herbol M4","herbol-m4","#f2ac81"
"Herbol M5","herbol-m5","#f2bb99"
"Herbol M6","herbol-m6","#f0c5a7"
"Herbol M7","herbol-m7","#faceaf"
"Herbol M8","herbol-m8","#f8e2cd"
"Herbol M9","herbol-m9","#f1e7d7"
"Herbol N1","herbol-n1","#f8982c"
"Herbol N2","herbol-n2","#fc9f3c"
"Herbol N3","herbol-n3","#eea95f"
"Herbol N4","herbol-n4","#efb475"
"Herbol N5","herbol-n5","#f0be88"
"Herbol N6","herbol-n6","#ebc69b"
"Herbol N7","herbol-n7","#f9d8b0"
"Herbol N8","herbol-n8","#f6e5cc"
"Herbol N9","herbol-n9","#f2e7d1"
"Herbol O1","herbol-o1","#ffbc00"
"Herbol O2","herbol-o2","#ffc131"
"Herbol O3","herbol-o3","#f1c15b"
"Herbol O4","herbol-o4","#f2cc7f"
"Herbol O5","herbol-o5","#e8ca90"
"Herbol O6","herbol-o6","#edd5a5"
"Herbol O7","herbol-o7","#f9e4b1"
"Herbol O8","herbol-o8","#eee5ca"
"Herbol O9","herbol-o9","#f2ebd9"
"Herbol P1","herbol-p1","#efcf07"
"Herbol P2","herbol-p2","#f0d436"
"Herbol P3","herbol-p3","#dbc85a"
"Herbol P4","herbol-p4","#e2d078"
"Herbol P5","herbol-p5","#ded290"
"Herbol P6","herbol-p6","#e9dfad"
"Herbol P7","herbol-p7","#f4ebba"
"Herbol P8","herbol-p8","#f1eaca"
"Herbol P9","herbol-p9","#edecdd"
"Herbol Q1","herbol-q1","#cbce27"
"Herbol Q2","herbol-q2","#ddcd22"
"Herbol Q3","herbol-q3","#cecf5e"
"Herbol Q4","herbol-q4","#cfcd73"
"Herbol Q5","herbol-q5","#d9dc8f"
"Herbol Q6","herbol-q6","#dfe0ac"
"Herbol Q7","herbol-q7","#f2eeb3"
"Herbol Q8","herbol-q8","#f3f1d0"
"Herbol Q9","herbol-q9","#ecebd8"
"Herbol R1","herbol-r1","#afb333"
"Herbol R2","herbol-r2","#c1c636"
"Herbol R3","herbol-r3","#b6c865"
"Herbol R4","herbol-r4","#bccf80"
"Herbol R5","herbol-r5","#ccd797"
"Herbol R6","herbol-r6","#d3dbaa"
"Herbol R7","herbol-r7","#e7eebb"
"Herbol R8","herbol-r8","#e7ead1"
"Herbol R9","herbol-r9","#e9edda"
"Herbol S1","herbol-s1","#7fb042"
"Herbol S2","herbol-s2","#8cbd63"
"Herbol S3","herbol-s3","#99c574"
"Herbol S4","herbol-s4","#aecf90"
"Herbol S5","herbol-s5","#b8d09c"
"Herbol S6","herbol-s6","#c7dbb6"
"Herbol S7","herbol-s7","#dfefca"
"Herbol S8","herbol-s8","#e2edd6"
"Herbol S9","herbol-s9","#e6eadc"
"Herbol T1","herbol-t1","#5cab62"
"Herbol T2","herbol-t2","#64c472"
"Herbol T3","herbol-t3","#80c889"
"Herbol T4","herbol-t4","#90cc98"
"Herbol T5","herbol-t5","#afd4af"
"Herbol T6","herbol-t6","#c0ddc0"
"Herbol T7","herbol-t7","#d1edcd"
"Herbol T8","herbol-t8","#dbe9d8"
"Herbol T9","herbol-t9","#deebdf"
