"TRUMATCH 4-e","4-e","#efae97"
"TRUMATCH 4-f","4-f","#f5cdbd"
"TRUMATCH 4-g","4-g","#fbebe4"
"TRUMATCH 4-a1","4-a1","#cc232c"
"TRUMATCH 4-b1","4-b1","#d14739"
"TRUMATCH 4-c1","4-c1","#d8664f"
"TRUMATCH 4-d1","4-d1","#de886e"
"TRUMATCH 4-e1","4-e1","#e5a791"
"TRUMATCH 4-f1","4-f1","#eac5b6"
"TRUMATCH 4-d5","4-d5","#b4705c"
"TRUMATCH 4-e5","4-e5","#b98979"
"TRUMATCH 4-a2","4-a2","#c2242b"
"TRUMATCH 4-b2","4-b2","#c74538"
"TRUMATCH 4-c2","4-c2","#cd624c"
"TRUMATCH 4-d2","4-d2","#d3826a"
"TRUMATCH 4-e2","4-e2","#daa08b"
"TRUMATCH 4-a5","4-a5","#a5272a"
"TRUMATCH 4-b5","4-b5","#a93f34"
"TRUMATCH 4-c5","4-c5","#af5644"
"TRUMATCH 4-a3","4-a3","#b8252b"
"TRUMATCH 4-b3","4-b3","#bd4337"
"TRUMATCH 4-c3","4-c3","#c35e49"
"TRUMATCH 4-d3","4-d3","#c97c65"
"TRUMATCH 4-e3","4-e3","#cf9885"
"TRUMATCH 4-a6","4-a6","#9c2829"
"TRUMATCH 4-b6","4-b6","#a03d32"
"TRUMATCH 4-c6","4-c6","#a55341"
"TRUMATCH 4-a4","4-a4","#af262a"
"TRUMATCH 4-b4","4-b4","#b44135"
"TRUMATCH 4-c4","4-c4","#ba5b47"
"TRUMATCH 4-d4","4-d4","#bf7761"
"TRUMATCH 4-e4","4-e4","#c4917f"
"TRUMATCH 4-a7","4-a7","#932829"
"TRUMATCH 4-b7","4-b7","#963b31"
"TRUMATCH 4-c7","4-c7","#9b4f3f"
"TRUMATCH 5-a","5-a","#e41b36"
"TRUMATCH 5-b","5-b","#e84947"
"TRUMATCH 5-c","5","#ed6c5f"
"TRUMATCH 5-d","5-d","#f2907f"
"TRUMATCH 5-e","5-e","#f6b1a1"
"TRUMATCH 5-f","5-f","#fad0c4"
"TRUMATCH 5-g","5-g","#feece6"
"TRUMATCH 5-h","5-h","#fef6f4"
"TRUMATCH 5-a1","5-a1","#da1d36"
"TRUMATCH 5-b1","5-b1","#de4746"
"TRUMATCH 5-c1","5-c1","#e2685c"
"TRUMATCH 5-d1","5-d1","#e78b7a"
"TRUMATCH 5-e1","5-e1","#ebaa9b"
"TRUMATCH 5-f1","5-f1","#efc7bd"
"TRUMATCH 5-g1","5-g1","#f2e3de"
"TRUMATCH 5-d5","5-d5","#bb7366"
"TRUMATCH 5-a2","5-a2","#cf1f35"
"TRUMATCH 5-b2","5-b2","#d34543"
"TRUMATCH 5-c2","5-c2","#d76458"
"TRUMATCH 5-d2","5-d2","#dc8475"
"TRUMATCH 5-e2","5-e2","#e0a294"
"TRUMATCH 5-a5","5-a5","#b02431"
"TRUMATCH 5-b5","5-b5","#b43f3d"
"TRUMATCH 5-c5","5-c5","#b7584e"
"TRUMATCH 5-a3","5-a3","#c52133"
"TRUMATCH 5-b3","5-b3","#c94341"
"TRUMATCH 5-c3","5-c3","#cd6055"
"TRUMATCH 5-d3","5-d3","#d17f70"
"TRUMATCH 5-e3","5-e3","#d59b8e"
"TRUMATCH 5-a6","5-a6","#a62530"
"TRUMATCH 5-b6","5-b6","#aa3e3b"
"TRUMATCH 5-c6","5-c6","#ad554a"
"TRUMATCH 5-a4","5-a4","#bb2232"
"TRUMATCH 5-b4","5-b4","#bf413f"
"TRUMATCH 5-c4","5-c4","#c35d52"
"TRUMATCH 5-d4","5-d4","#c6796b"
"TRUMATCH 5-e4","5-e4","#ca9488"
"TRUMATCH 5-a7","5-a7","#9c262f"
"TRUMATCH 5-b7","5-b7","#9f3c38"
