"TRUMATCH 14-c3","14-c3","#ccc860"
"TRUMATCH 14-d3","14-d3","#cfcd81"
"TRUMATCH 14-e3","14-e3","#d3d29e"
"TRUMATCH 14-a6","14-a6","#a5a316"
"TRUMATCH 14-b6","14-b6","#a9a63a"
"TRUMATCH 14-c6","14-c6","#abaa55"
"TRUMATCH 14-a4","14-a4","#bab608"
"TRUMATCH 14-b4","14-b4","#bfbb3c"
"TRUMATCH 14-c4","14-c4","#c1be5d"
"TRUMATCH 14-d4","14-d4","#c4c37b"
"TRUMATCH 14-e4","14-e4","#c8c897"
"TRUMATCH 14-a7","14-a7","#9a9919"
"TRUMATCH 14-b7","14-b7","#9e9c39"
"TRUMATCH 14-c7","14-c7","#a09f51"
"TRUMATCH 15-a","15-a","#cfd500"
"TRUMATCH 15-b","15-b","#d7db42"
"TRUMATCH 15-c","15","#dee16a"
"TRUMATCH 15-d","15-d","#e7e890"
"TRUMATCH 15-e","15-e","#edefb2"
"TRUMATCH 15-f","15-f","#f3f5d1"
"TRUMATCH 15-g","15-g","#fafbed"
"TRUMATCH 15-h","15-h","#fdfdf6"
"TRUMATCH 15-a1","15-a1","#c6cc03"
"TRUMATCH 15-b1","15-b1","#cdd142"
"TRUMATCH 15-c1","15-c1","#d4d767"
"TRUMATCH 15-d1","15-d1","#dcdf8b"
"TRUMATCH 15-e1","15-e1","#e2e5ac"
"TRUMATCH 15-f1","15-f1","#e9ebc9"
"TRUMATCH 15-d5","15-d5","#b1b575"
"TRUMATCH 15-e5","15-e5","#b6ba8f"
"TRUMATCH 15-a2","15-a2","#bcc20c"
"TRUMATCH 15-b2","15-b2","#c3c741"
"TRUMATCH 15-c2","15-c2","#c9cd64"
"TRUMATCH 15-d2","15-d2","#d1d486"
"TRUMATCH 15-e2","15-e2","#d7daa4"
"TRUMATCH 15-a5","15-a5","#a0a61a"
"TRUMATCH 15-b5","15-b5","#a5ab3d"
"TRUMATCH 15-c5","15-c5","#abaf59"
"TRUMATCH 15-a3","15-a3","#b3b911"
"TRUMATCH 15-b3","15-b3","#b9be3f"
"TRUMATCH 15-c3","15-c3","#bfc360"
"TRUMATCH 15-d3","15-d3","#c7ca80"
"TRUMATCH 15-e3","15-e3","#cdd09e"
"TRUMATCH 15-a6","15-a6","#969d1c"
"TRUMATCH 15-b6","15-b6","#9ca13b"
"TRUMATCH 15-c6","15-c6","#a1a556"
"TRUMATCH 15-a4","15-a4","#aab016"
"TRUMATCH 15-b4","15-b4","#b0b53e"
"TRUMATCH 15-c4","15-c4","#b5ba5d"
"TRUMATCH 15-d4","15-d4","#bcc07b"
"TRUMATCH 15-e4","15-e4","#c2c597"
"TRUMATCH 15-a7","15-a7","#8d941e"
"TRUMATCH 15-b7","15-b7","#92983a"
"TRUMATCH 15-c7","15-c7","#979c52"
"TRUMATCH 16-a","16-a","#bfce0f"
"TRUMATCH 16-b","16-b","#c9d545"
"TRUMATCH 16-c","16","#d2dc6b"
"TRUMATCH 16-d","16-d","#dee590"
"TRUMATCH 16-e","16-e","#e6ecb2"
"TRUMATCH 16-f","16-f","#eff3d0"
"TRUMATCH 16-g","16-g","#f8faed"
"TRUMATCH 16-a1","16-a1","#b6c613"
"TRUMATCH 16-b1","16-b1","#c0cc44"
"TRUMATCH 16-c1","16-c1","#c9d368"
"TRUMATCH 16-d1","16-d1","#d4db8b"
"TRUMATCH 16-e1","16-e1","#dce2ab"
"TRUMATCH 16-f1","16-f1","#e5e9c8"
"TRUMATCH 16-d5","16-d5","#abb375"
"TRUMATCH 16-e5","16-e5","#b2b88f"
"TRUMATCH 16-a2","16-a2","#adbc17"
"TRUMATCH 16-b2","16-b2","#b6c243"
"TRUMATCH 16-c2","16-c2","#bfc964"
"TRUMATCH 16-d2","16-d2","#cad185"
"TRUMATCH 16-e2","16-e2","#d1d8a4"
"TRUMATCH 16-a5","16-a5","#94a21e"
"TRUMATCH 16-b5","16-b5","#9ba73e"
"TRUMATCH 16-c5","16-c5","#a2ac59"
"TRUMATCH 16-a3","16-a3","#a5b41a"
"TRUMATCH 16-b3","16-b3","#adb941"
"TRUMATCH 16-c3","16-c3","#b6c061"
"TRUMATCH 16-d3","16-d3","#c0c780"
"TRUMATCH 16-e3","16-e3","#c7cd9d"
"TRUMATCH 16-a6","16-a6","#8b9920"
"TRUMATCH 16-b6","16-b6","#929d3d"
"TRUMATCH 16-c6","16-c6","#99a356"
"TRUMATCH 16-a4","16-a4","#9dab1d"
"TRUMATCH 16-b4","16-b4","#a5b040"
"TRUMATCH 16-c4","16-c4","#acb65d"
"TRUMATCH 16-d4","16-d4","#b6bd7b"
"TRUMATCH 16-e4","16-e4","#bdc396"
"TRUMATCH 16-a7","16-a7","#839021"
"TRUMATCH 16-b7","16-b7","#89943b"
"TRUMATCH 16-c7","16-c7","#909952"
"TRUMATCH 17-a","17-a","#b2cb3c"
"TRUMATCH 17-b","17-b","#bed35c"
"TRUMATCH 17-c","17","#cbdb7d"
"TRUMATCH 17-d","17-d","#d6e39b"
"TRUMATCH 17-e","17-e","#e2ebba"
"TRUMATCH 17-f","17-f","#edf3d4"
"TRUMATCH 17-g","17-g","#f8faef"
"TRUMATCH 17-h","17-h","#fcfdf6"
"TRUMATCH 17-a1","17-a1","#aac33b"
"TRUMATCH 17-b1","17-b1","#b6ca5a"
"TRUMATCH 17-c1","17-c1","#c2d278"
"TRUMATCH 17-d1","17-d1","#cdda95"
"TRUMATCH 17-e1","17-e1","#d8e1b3"
"TRUMATCH 17-f1","17-f1","#e2e8cc"
"TRUMATCH 17-d5","17-d5","#a6b17d"
"TRUMATCH 17-e5","17-e5","#aeb894"
"TRUMATCH 17-a2","17-a2","#a2ba3a"
"TRUMATCH 17-b2","17-b2","#adc157"
"TRUMATCH 17-c2","17-c2","#b9c874"
"TRUMATCH 17-d2","17-d2","#c3cf8f"
"TRUMATCH 17-e2","17-e2","#cdd7ab"
"TRUMATCH 17-a5","17-a5","#8aa037"
"TRUMATCH 17-b5","17-b5","#94a54e"
"TRUMATCH 17-c5","17-c5","#9dab66"
"TRUMATCH 17-a3","17-a3","#9ab139"
"TRUMATCH 17-b3","17-b3","#a5b854"
"TRUMATCH 17-c3","17-c3","#b0bf6f"
"TRUMATCH 17-d3","17-d3","#b9c689"
"TRUMATCH 17-e3","17-e3","#c3cda4"
"TRUMATCH 17-a6","17-a6","#829736"
"TRUMATCH 17-b6","17-b6","#8b9c4b"
"TRUMATCH 17-c6","17-c6","#94a261"
"TRUMATCH 17-a4","17-a4","#92a938"
"TRUMATCH 17-b4","17-b4","#9daf51"
"TRUMATCH 17-c4","17-c4","#a7b56b"
"TRUMATCH 17-d4","17-d4","#b0bc83"
"TRUMATCH 17-e4","17-e4","#b9c39d"
"TRUMATCH 17-a7","17-a7","#7b8e34"
"TRUMATCH 17-b7","17-b7","#839348"
"TRUMATCH 17-c7","17-c7","#8b985c"
"TRUMATCH 18-a","18-a","#00a03b"
"TRUMATCH 18-b","18-b","#44ae52"
"TRUMATCH 18-c","18","#72bc6e"
"TRUMATCH 18-d","18-d","#98cb8e"
"TRUMATCH 18-e","18-e","#b8daaf"
"TRUMATCH 18-f","18-f","#d5e9ce"
"TRUMATCH 18-g","18-g","#eef6eb"
"TRUMATCH 18-h","18-h","#f8fbf5"
"TRUMATCH 18-a1","18-a1","#009a3a"
"TRUMATCH 18-b1","18-b1","#42a750"
"TRUMATCH 18-c1","18-c1","#6db46b"
"TRUMATCH 18-d1","18-d1","#92c38a"
"TRUMATCH 18-e1","18-e1","#b0d1a8"
"TRUMATCH 18-f1","18-f1","#ccdfc6"
"TRUMATCH 18-g1","18-g1","#e3ece2"
"TRUMATCH 18-d5","18-d5","#77a072"
"TRUMATCH 18-a2","18-a2","#009338"
"TRUMATCH 18-b2","18-b2","#3fa04e"
"TRUMATCH 18-c2","18-c2","#68ac66"
"TRUMATCH 18-d2","18-d2","#8bba83"
"TRUMATCH 18-e2","18-e2","#a8c8a1"
"TRUMATCH 18-a5","18-a5","#008034"
"TRUMATCH 18-b5","18-b5","#398a46"
"TRUMATCH 18-c5","18-c5","#5a945a"
"TRUMATCH 18-a3","18-a3","#008d37"
"TRUMATCH 18-b3","18-b3","#3d994b"
"TRUMATCH 18-c3","18-c3","#64a462"
"TRUMATCH 18-d3","18-d3","#85b27e"
"TRUMATCH 18-e3","18-e3","#a0be9a"
"TRUMATCH 18-a6","18-a6","#007a33"
"TRUMATCH 18-b6","18-b6","#378343"
"TRUMATCH 18-c6","18-c6","#568c56"
"TRUMATCH 18-a4","18-a4","#008736"
"TRUMATCH 18-b4","18-b4","#3b9248"
"TRUMATCH 18-c4","18-c4","#5f9d5e"
"TRUMATCH 18-d4","18-d4","#7ea978"
"TRUMATCH 18-e4","18-e4","#98b593"
"TRUMATCH 18-a7","18-a7","#007332"
"TRUMATCH 18-b7","18-b7","#347c40"
"TRUMATCH 18-c7","18-c7","#518452"
"TRUMATCH 19-a","19-a","#009340"
"TRUMATCH 19-b","19-b","#00a255"
"TRUMATCH 19-c","19","#47b26e"
"TRUMATCH 19-d","19-d","#7fc48e"
"TRUMATCH 19-e","19-e","#a9d5ae"
"TRUMATCH 19-f","19-f","#cce5cd"
"TRUMATCH 19-g","19-g","#ebf5eb"
"TRUMATCH 19-h","19-h","#f5faf5"
"TRUMATCH 19-a1","19-a1","#008d3e"
"TRUMATCH 19-b1","19-b1","#009c52"
"TRUMATCH 19-c1","19-c1","#45ab6b"
"TRUMATCH 19-d1","19-d1","#7abc89"
"TRUMATCH 19-e1","19-e1","#a2cca7"
"TRUMATCH 19-f1","19-f1","#c3dcc5"
"TRUMATCH 19-g1","19-g1","#e1ebe2"
"TRUMATCH 19-d5","19-d5","#659a71"
"TRUMATCH 19-a2","19-a2","#00873d"
"TRUMATCH 19-b2","19-b2","#009550"
"TRUMATCH 19-c2","19-c2","#42a367"
"TRUMATCH 19-d2","19-d2","#74b383"
"TRUMATCH 19-e2","19-e2","#9ac3a0"
"TRUMATCH 19-a5","19-a5","#007638"
"TRUMATCH 19-b5","19-b5","#008147"
"TRUMATCH 19-c5","19-c5","#3b8d5a"
"TRUMATCH 19-a3","19-a3","#00823b"
"TRUMATCH 19-b3","19-b3","#008f4d"
"TRUMATCH 19-c3","19-c3","#409c62"
"TRUMATCH 19-d3","19-d3","#6fab7d"
"TRUMATCH 19-e3","19-e3","#93ba99"
"TRUMATCH 19-a6","19-a6","#007137"
"TRUMATCH 19-b6","19-b6","#007b45"
"TRUMATCH 19-c6","19-c6","#398656"
"TRUMATCH 19-a4","19-a4","#007c3a"
"TRUMATCH 19-b4","19-b4","#00884a"
"TRUMATCH 19-c4","19-c4","#3e955f"
"TRUMATCH 19-d4","19-d4","#6aa378"
"TRUMATCH 19-e4","19-e4","#8cb192"
"TRUMATCH 19-a7","19-a7","#006b35"
"TRUMATCH 19-b7","19-b7","#007442"
"TRUMATCH 19-c7","19-c7","#377e52"
"TRUMATCH 20-a","20-a","#009556"
"TRUMATCH 20-b","20-b","#00a46b"
"TRUMATCH 20-c","20","#42b482"
"TRUMATCH 20-d","20-d","#7dc59e"
"TRUMATCH 20-e","20-e","#a8d6b9"
"TRUMATCH 20-f","20-f","#cbe6d5"
"TRUMATCH 20-g","20-g","#ebf5ed"
"TRUMATCH 20-h","20-h","#f5faf7"
"TRUMATCH 20-a1","20-a1","#008f54"
"TRUMATCH 20-b1","20-b1","#009e67"
"TRUMATCH 20-c1","20-c1","#40ad7d"
"TRUMATCH 20-d1","20-d1","#78bd98"
"TRUMATCH 20-e1","20-e1","#a1cdb3"
"TRUMATCH 20-f1","20-f1","#c2dccd"
"TRUMATCH 20-g1","20-g1","#e1ebe4"
"TRUMATCH 20-d5","20-d5","#639b7d"
"TRUMATCH 20-a2","20-a2","#008951"
"TRUMATCH 20-b2","20-b2","#009763"
"TRUMATCH 20-c2","20-c2","#3da578"
"TRUMATCH 20-d2","20-d2","#72b491"
"TRUMATCH 20-e2","20-e2","#99c4ab"
"TRUMATCH 20-a5","20-a5","#007749"
"TRUMATCH 20-b5","20-b5","#008358"
"TRUMATCH 20-c5","20-c5","#378e68"
"TRUMATCH 20-a3","20-a3","#00834f"
"TRUMATCH 20-b3","20-b3","#009060"
"TRUMATCH 20-c3","20-c3","#3c9e73"
"TRUMATCH 20-d3","20-d3","#6dac8b"
"TRUMATCH 20-e3","20-e3","#92bba3"
"TRUMATCH 20-a6","20-a6","#007246"
"TRUMATCH 20-b6","20-b6","#007c54"
"TRUMATCH 20-c6","20-c6","#368763"
"TRUMATCH 20-a4","20-a4","#007e4c"
"TRUMATCH 20-b4","20-b4","#008a5c"
"TRUMATCH 20-c4","20-c4","#3a966e"
"TRUMATCH 20-d4","20-d4","#68a485"
"TRUMATCH 20-e4","20-e4","#8bb29c"
"TRUMATCH 20-a7","20-a7","#006c43"
"TRUMATCH 20-b7","20-b7","#007550"
"TRUMATCH 20-c7","20-c7","#347f5e"
"TRUMATCH 21-a","21-a","#8dc998"
"TRUMATCH 21-b","21-b","#a1d1a7"
"TRUMATCH 21-c","21","#b5dbb9"
"TRUMATCH 21-d","21-d","#c6e2c8"
"TRUMATCH 21-e","21-e","#d7ebd8"
"TRUMATCH 21-f","21-f","#e6f2e6"
"TRUMATCH 21-g","21-g","#f5faf5"
"TRUMATCH 21-h","21-h","#f9fcf9"
"TRUMATCH 21-a1","21-a1","#87c192"
"TRUMATCH 21-b1","21-b1","#9ac9a1"
"TRUMATCH 21-c1","21-c1","#aed2b2"
"TRUMATCH 21-d1","21-d1","#bdd9c0"
"TRUMATCH 21-e1","21-e1","#cde1d0"
"TRUMATCH 21-f1","21-f1","#dce8dd"
"TRUMATCH 21-g1","21-g1","#ebf0ec"
"TRUMATCH 21-d5","21-d5","#9ab19e"
"TRUMATCH 21-a2","21-a2","#81b88c"
"TRUMATCH 21-b2","21-b2","#93c09a"
"TRUMATCH 21-c2","21-c2","#a5c8aa"
"TRUMATCH 21-d2","21-d2","#b4cfb7"
"TRUMATCH 21-e2","21-e2","#c4d7c6"
"TRUMATCH 21-a5","21-a5","#6f9e79"
"TRUMATCH 21-b5","21-b5","#7ea485"
"TRUMATCH 21-c5","21-c5","#8eab93"
"TRUMATCH 21-a3","21-a3","#7bb086"
"TRUMATCH 21-b3","21-b3","#8cb793"
"TRUMATCH 21-c3","21-c3","#9ebfa3"
"TRUMATCH 21-d3","21-d3","#acc5b0"
"TRUMATCH 21-e3","21-e3","#bacdbe"
"TRUMATCH 21-a6","21-a6","#699673"
"TRUMATCH 21-b6","21-b6","#779b7f"
"TRUMATCH 21-c6","21-c6","#86a28b"
"TRUMATCH 21-a4","21-a4","#76a780"
"TRUMATCH 21-b4","21-b4","#85ae8d"
"TRUMATCH 21-c4","21-c4","#96b59b"
"TRUMATCH 21-d4","21-d4","#a3bca7"
"TRUMATCH 21-e4","21-e4","#b1c3b5"
"TRUMATCH 21-a7","21-a7","#648d6d"
"TRUMATCH 21-b7","21-b7","#709277"
"TRUMATCH 21-c7","21-c7","#7e9883"
"TRUMATCH 22-a","22-a","#56ba96"
"TRUMATCH 22-b","22-b","#7cc6a5"
"TRUMATCH 22-c","22","#97d0b7"
"TRUMATCH 22-d","22-d","#b1dbc6"
"TRUMATCH 22-e","22-e","#c9e5d6"
"TRUMATCH 22-f","22-f","#dfefe5"
"TRUMATCH 22-g","22-g","#f1f8f5"
"TRUMATCH 22-a1","22-a1","#53b390"
"TRUMATCH 22-b1","22-b1","#77be9f"
"TRUMATCH 22-c1","22-c1","#91c8b0"
"TRUMATCH 22-d1","22-d1","#a9d2be"
"TRUMATCH 22-e1","22-e1","#c0dccf"
"TRUMATCH 22-f1","22-f1","#d5e5dc"
"TRUMATCH 22-g1","22-g1","#e7eeec"
"TRUMATCH 22-d5","22-d5","#8aac9d"
"TRUMATCH 22-a2","22-a2","#4fab8a"
"TRUMATCH 22-b2","22-b2","#71b598"
"TRUMATCH 22-c2","22-c2","#8abfa8"
"TRUMATCH 22-d2","22-d2","#a2c8b6"
"TRUMATCH 22-e2","22-e2","#b7d2c5"
"TRUMATCH 22-a5","22-a5","#469377"
"TRUMATCH 22-b5","22-b5","#629c83"
"TRUMATCH 22-c5","22-c5","#77a491"
"TRUMATCH 22-a3","22-a3","#4ca384"
"TRUMATCH 22-b3","22-b3","#6cad91"
"TRUMATCH 22-c3","22-c3","#84b6a1"
"TRUMATCH 22-d3","22-d3","#9abfae"
"TRUMATCH 22-e3","22-e3","#afc8bc"
"TRUMATCH 22-a6","22-a6","#438b71"
"TRUMATCH 22-b6","22-b6","#5d937d"
"TRUMATCH 22-c6","22-c6","#719b89"
"TRUMATCH 22-a4","22-a4","#499c7e"
"TRUMATCH 22-b4","22-b4","#67a58b"
"TRUMATCH 22-c4","22-c4","#7ead99"
"TRUMATCH 22-d4","22-d4","#93b6a6"
"TRUMATCH 22-e4","22-e4","#a6beb4"
"TRUMATCH 22-a7","22-a7","#40836b"
"TRUMATCH 22-b7","22-b7","#588b75"
"TRUMATCH 22-c7","22-c7","#6a9281"
"TRUMATCH 23-a","23-a","#0eb194"
"TRUMATCH 23-b","23-b","#58bda4"
"TRUMATCH 23-c","23","#80c9b5"
"TRUMATCH 23-d","23-d","#a3d6c5"
"TRUMATCH 23-e","23-e","#bfe2d5"
"TRUMATCH 23-f","23-f","#d8ede4"
"TRUMATCH 23-g","23-g","#f0f8f5"
"TRUMATCH 23-h","23-h","#f7fbf9"
"TRUMATCH 23-a1","23-a1","#11aa8e"
"TRUMATCH 23-b1","23-b1","#55b59e"
"TRUMATCH 23-c1","23-c1","#7bc1ae"
"TRUMATCH 23-d1","23-d1","#9ccdbd"
"TRUMATCH 23-e1","23-e1","#b7d8ce"
"TRUMATCH 23-f1","23-f1","#cfe3db"
"TRUMATCH 23-g1","23-g1","#e5edeb"
"TRUMATCH 23-d5","23-d5","#80a89c"
"TRUMATCH 23-a2","23-a2","#14a288"
"TRUMATCH 23-b2","23-b2","#52ad96"
"TRUMATCH 23-c2","23-c2","#76b8a7"
"TRUMATCH 23-d2","23-d2","#95c4b5"
"TRUMATCH 23-e2","23-e2","#aecec4"
"TRUMATCH 23-a5","23-a5","#1a8c76"
"TRUMATCH 23-b5","23-b5","#489582"
"TRUMATCH 23-c5","23-c5","#669e8f"
"TRUMATCH 23-a3","23-a3","#169b82"
"TRUMATCH 23-b3","23-b3","#4ea590"
"TRUMATCH 23-c3","23-c3","#71b09f"
"TRUMATCH 23-d3","23-d3","#8ebbad"
"TRUMATCH 23-e3","23-e3","#a6c5bb"
"TRUMATCH 23-a6","23-a6","#1b8570"
"TRUMATCH 23-b6","23-b6","#458d7b"
"TRUMATCH 23-c6","23-c6","#619688"
"TRUMATCH 23-a4","23-a4","#18947c"
"TRUMATCH 23-b4","23-b4","#4b9d89"
"TRUMATCH 23-c4","23-c4","#6ba798"
"TRUMATCH 23-d4","23-d4","#88b2a4"
"TRUMATCH 23-e4","23-e4","#9ebbb3"
"TRUMATCH 23-a7","23-a7","#1d7d6a"
"TRUMATCH 23-b7","23-b7","#428574"
"TRUMATCH 23-c7","23-c7","#5b8d80"
"TRUMATCH 24-a","24-a","#2eb6a8"
"TRUMATCH 24-b","24-b","#65c2b5"
"TRUMATCH 24-c","24","#88cdc3"
"TRUMATCH 24-d","24-d","#a9d9d0"
"TRUMATCH 24-e","24-e","#c4e4dd"
"TRUMATCH 24-f","24-f","#daeee9"
"TRUMATCH 24-g","24-g","#f1f9f7"
"TRUMATCH 24-a1","24-a1","#2dafa1"
"TRUMATCH 24-b1","24-b1","#62baae"
"TRUMATCH 24-c1","24-c1","#82c5bb"
"TRUMATCH 24-d1","24-d1","#a2d0c8"
"TRUMATCH 24-e1","24-e1","#bcdbd4"
"TRUMATCH 24-f1","24-f1","#d1e4e0"
"TRUMATCH 24-g1","24-g1","#e7eeed"
"TRUMATCH 24-d5","24-d5","#84aba4"
"TRUMATCH 24-a2","24-a2","#2ca79a"
"TRUMATCH 24-b2","24-b2","#5db2a6"
"TRUMATCH 24-c2","24-c2","#7cbcb3"
"TRUMATCH 24-d2","24-d2","#9ac7bf"
"TRUMATCH 24-e2","24-e2","#b3d1cb"
"TRUMATCH 24-a5","24-a5","#2b9085"
"TRUMATCH 24-b5","24-b5","#52998f"
"TRUMATCH 24-c5","24-c5","#6ca19a"
"TRUMATCH 24-a3","24-a3","#2ca093"
"TRUMATCH 24-b3","24-b3","#5aaa9f"
"TRUMATCH 24-c3","24-c3","#77b3ab"
"TRUMATCH 24-d3","24-d3","#93beb6"
"TRUMATCH 24-e3","24-e3","#aac7c2"
"TRUMATCH 24-a6","24-a6","#2a897e"
"TRUMATCH 24-b6","24-b6","#4e9188"
"TRUMATCH 24-c6","24-c6","#669991"
"TRUMATCH 24-a4","24-a4","#2b988c"
"TRUMATCH 24-b4","24-b4","#56a298"
"TRUMATCH 24-c4","24-c4","#71aba2"
"TRUMATCH 24-d4","24-d4","#8cb5ae"
"TRUMATCH 24-e4","24-e4","#a2beb8"
"TRUMATCH 24-a7","24-a7","#298177"
"TRUMATCH 24-b7","24-b7","#4a8880"
"TRUMATCH 24-c7","24-c7","#609089"
"TRUMATCH 25-a","25-a","#00a8ab"
"TRUMATCH 25-b","25-b","#43b5b6"
"TRUMATCH 25-c","25","#74c2c2"
"TRUMATCH 25-d","25-d","#9ad0d1"
"TRUMATCH 25-e","25-e","#b9dcdd"
"TRUMATCH 25-f","25-f","#d5eae9"
"TRUMATCH 25-g","25-g","#eff6f5"
"TRUMATCH 25-h","25-h","#f7fbfb"
"TRUMATCH 25-a1","25-a1","#00a1a4"
"TRUMATCH 25-b1","25-b1","#41aeaf"
"TRUMATCH 25-c1","25-c1","#70babb"
"TRUMATCH 25-d1","25-d1","#94c8c9"
"TRUMATCH 25-e1","25-e1","#b1d4d4"
"TRUMATCH 25-f1","25-f1","#cce0e0"
"TRUMATCH 25-g1","25-g1","#e5ecec"
"TRUMATCH 25-d5","25-d5","#7aa3a5"
"TRUMATCH 25-a2","25-a2","#009a9d"
"TRUMATCH 25-b2","25-b2","#3fa6a7"
"TRUMATCH 25-c2","25-c2","#6bb1b2"
"TRUMATCH 25-d2","25-d2","#8dbec0"
"TRUMATCH 25-e2","25-e2","#a9caca"
"TRUMATCH 25-a5","25-a5","#008587"
"TRUMATCH 25-b5","25-b5","#398f90"
"TRUMATCH 25-c5","25-c5","#5d9899"
"TRUMATCH 25-a3","25-a3","#009396"
"TRUMATCH 25-b3","25-b3","#3d9ea0"
"TRUMATCH 25-c3","25-c3","#66a9aa"
"TRUMATCH 25-d3","25-d3","#87b6b7"
"TRUMATCH 25-e3","25-e3","#a1c1c1"
"TRUMATCH 25-a6","25-a6","#007e80"
"TRUMATCH 25-b6","25-b6","#378788"
"TRUMATCH 25-c6","25-c6","#589091"
"TRUMATCH 25-a4","25-a4","#008d8f"
"TRUMATCH 25-b4","25-b4","#3b9798"
"TRUMATCH 25-c4","25-c4","#62a1a2"
"TRUMATCH 25-d4","25-d4","#80adaf"
"TRUMATCH 25-e4","25-e4","#99b7b8"
"TRUMATCH 25-a7","25-a7","#007779"
"TRUMATCH 25-b7","25-b7","#367f80"
"TRUMATCH 25-c7","25-c7","#548889"
"TRUMATCH 26-a","26-a","#00a0b0"
"TRUMATCH 26-b","26-b","#00aebb"
"TRUMATCH 26-c","26","#55bdc8"
"TRUMATCH 26-d","26-d","#86cbd4"
"TRUMATCH 26-e","26-e","#aedbe0"
"TRUMATCH 26-f","26-f","#cee7ea"
"TRUMATCH 26-g","26-g","#edf5f7"
"TRUMATCH 26-h","26-h","#f5fbfa"
"TRUMATCH 26-a1","26-a1","#009aaa"
"TRUMATCH 26-b1","26-b1","#00a7b4"
"TRUMATCH 26-c1","26-c1","#52b5c0"
"TRUMATCH 26-d1","26-d1","#81c3cb"
"TRUMATCH 26-e1","26-e1","#a7d2d7"
"TRUMATCH 26-f1","26-f1","#c5dee2"
"TRUMATCH 26-g1","26-g1","#e2ebed"
"TRUMATCH 26-d5","26-d5","#6aa0a6"
"TRUMATCH 26-a2","26-a2","#0093a2"
"TRUMATCH 26-b2","26-b2","#009fac"
"TRUMATCH 26-c2","26-c2","#4fadb7"
"TRUMATCH 26-d2","26-d2","#7bbac2"
"TRUMATCH 26-e2","26-e2","#9fc8cd"
"TRUMATCH 26-a5","26-a5","#00808c"
"TRUMATCH 26-b5","26-b5","#008994"
"TRUMATCH 26-c5","26-c5","#46959d"
"TRUMATCH 26-a3","26-a3","#008d9b"
"TRUMATCH 26-b3","26-b3","#0098a4"
"TRUMATCH 26-c3","26-c3","#4ca5af"
"TRUMATCH 26-d3","26-d3","#76b2b9"
"TRUMATCH 26-e3","26-e3","#98bfc4"
"TRUMATCH 26-a6","26-a6","#007985"
"TRUMATCH 26-b6","26-b6","#00828c"
"TRUMATCH 26-c6","26-c6","#438d95"
"TRUMATCH 26-a4","26-a4","#008794"
"TRUMATCH 26-b4","26-b4","#00919d"
"TRUMATCH 26-c4","26-c4","#499da7"
"TRUMATCH 26-d4","26-d4","#70a9b0"
"TRUMATCH 26-e4","26-e4","#91b6bb"
"TRUMATCH 26-a7","26-a7","#00727d"
"TRUMATCH 26-b7","26-b7","#007b84"
"TRUMATCH 26-c7","26-c7","#40848c"
"TRUMATCH 27-a","27-a","#009cb2"
"TRUMATCH 27-b","27-b","#00aabd"
"TRUMATCH 27-c","27","#5dbac9"
"TRUMATCH 27-d","27-d","#8bc8d4"
"TRUMATCH 27-e","27-e","#aed7df"
"TRUMATCH 27-f","27-f","#d0e7eb"
"TRUMATCH 27-g","27-g","#edf5f7"
"TRUMATCH 27-a1","27-a1","#0096ab"
"TRUMATCH 27-b1","27-b1","#00a3b6"
"TRUMATCH 27-c1","27-c1","#59b2c2"
"TRUMATCH 27-d1","27-d1","#85c0cb"
"TRUMATCH 27-e1","27-e1","#a7ced7"
"TRUMATCH 27-f1","27-f1","#c7dde2"
"TRUMATCH 27-d5","27-d5","#6e9da7"
"TRUMATCH 27-e5","27-e5","#89a9b0"
"TRUMATCH 27-a2","27-a2","#008fa3"
"TRUMATCH 27-b2","27-b2","#009cad"
"TRUMATCH 27-c2","27-c2","#56aab9"
"TRUMATCH 27-d2","27-d2","#7fb7c2"
"TRUMATCH 27-e2","27-e2","#9fc5cd"
"TRUMATCH 27-a5","27-a5","#007c8d"
"TRUMATCH 27-b5","27-b5","#088695"
"TRUMATCH 27-c5","27-c5","#4b929e"
"TRUMATCH 27-a3","27-a3","#00899c"
"TRUMATCH 27-b3","27-b3","#0095a5"
"TRUMATCH 27-c3","27-c3","#52a2b0"
"TRUMATCH 27-d3","27-d3","#79aeb9"
"TRUMATCH 27-e3","27-e3","#98bcc4"
"TRUMATCH 27-a6","27-a6","#007685"
"TRUMATCH 27-b6","27-b6","#0e7f8d"
"TRUMATCH 27-c6","27-c6","#488a96"
"TRUMATCH 27-a4","27-a4","#008395"
"TRUMATCH 27-b4","27-b4","#008e9e"
"TRUMATCH 27-c4","27-c4","#4f9ba8"
"TRUMATCH 27-d4","27-d4","#74a6b0"
"TRUMATCH 27-e4","27-e4","#91b3ba"
"TRUMATCH 27-a7","27-a7","#006f7e"
"TRUMATCH 27-b7","27-b7","#127885"
"TRUMATCH 27-c7","27-c7","#45828d"
"TRUMATCH 28-a","28-a","#00a7c5"
"TRUMATCH 28-b","28-b","#00b4ce"
"TRUMATCH 28-c","28","#4ec2d6"
"TRUMATCH 28-d","28-d","#83d0e0"
"TRUMATCH 28-e","28-e","#addee9"
"TRUMATCH 28-f","28-f","#cdeaf1"
"TRUMATCH 28-g","28-g","#edf7fa"
"TRUMATCH 28-h","28-h","#f5fbfc"
"TRUMATCH 28-a1","28-a1","#00a1bd"
"TRUMATCH 28-b1","28-b1","#00adc6"
