"C 100 Brilliantwei","c-100-brilliantwei","#f2f1e9"
"C 3322","c-3322","#c2cfc0"
"C 3321","c-3321","#a5b7a6"
"C 3320","c-3320","#8fa491"
"C 3334","c-3334","#e1e2d7"
"C 3333","c-3333","#d3d8cb"
"C 3332","c-3332","#c9d2c5"
"C 3331","c-3331","#bcc6b7"
"C 3330","c-3330","#b6bdab"
"C 3344","c-3344","#eceee3"
"C 3343","c-3343","#dee4d5"
"C 3342","c-3342","#c9d2ba"
"C 3341","c-3341","#aebd9e"
"C 3340","c-3340","#92a380"
"C 3354","c-3354","#e8e4d3"
"C 3353","c-3353","#e0e1cb"
"C 3352","c-3352","#dce1ca"
"C 3351","c-3351","#d2d7ba"
"C 3350","c-3350","#c7ccab"
"C 3364","c-3364","#e3e2d6"
"C 3363","c-3363","#d1d0bf"
"C 3362","c-3362","#babaa6"
"C 3361","c-3361","#a2a38b"
"C 3360","c-3360","#83866f"
"C 3374","c-3374","#f5f0df"
"C 3373","c-3373","#ede3cd"
"C 3372","c-3372","#d9ccb0"
"C 3371","c-3371","#c2b18e"
"C 3370","c-3370","#ae9b74"
"C 3384","c-3384","#eeebde"
"C 3383","c-3383","#dad3c3"
"C 3382","c-3382","#c9c2ae"
"C 3381","c-3381","#b2a78f"
"C 3380","c-3380","#978b75"
"C 3394","c-3394","#e0dacb"
"C 3393","c-3393","#cdc3b0"
"C 3392","c-3392","#b8aa94"
"C 3391","c-3391","#9f907b"
"C 3390","c-3390","#7f725f"
"C 3404","c-3404","#e7ddc8"
"C 3403","c-3403","#d2bea3"
"C 3402","c-3402","#bea484"
"C 3401","c-3401","#ab8e6c"
"C 3400","c-3400","#8e7357"
"C 3414","c-3414","#e9dacd"
"C 3413","c-3413","#d4bba8"
"C 3412","c-3412","#be9e8b"
"C 3411","c-3411","#ab8974"
"C 3410","c-3410","#8e6c59"
"C 3424","c-3424","#eae2da"
"C 3423","c-3423","#ddd1c7"
"C 3422","c-3422","#c4b1a6"
"C 3421","c-3421","#ab9588"
"C 3420","c-3420","#927c71"
"C 3434","c-3434","#ddd8cf"
"C 3433","c-3433","#c7beb3"
"C 3432","c-3432","#ada298"
"C 3431","c-3431","#968b82"
"C 3430","c-3430","#7d736c"
"C 3444","c-3444","#dddbd5"
"C 3443","c-3443","#cdcbc5"
"C 3442","c-3442","#b1aeac"
"C 3441","c-3441","#9b9792"
"C 3440","c-3440","#7f7e7c"
"C 3454","c-3454","#e3dacd"
"C 3453","c-3453","#e1d7ca"
"C 3452","c-3452","#dacdbc"
"C 3451","c-3451","#c9baa7"
"C 3450","c-3450","#baac97"
"C 3464","c-3464","#e3ddd2"
"C 3463","c-3463","#d8d5cc"
"C 3462","c-3462","#c7c3b7"
"C 3461","c-3461","#a8a497"
"C 3460","c-3460","#9b958b"
"C 3474","c-3474","#e9e8e0"
"C 3473","c-3473","#d8d7d2"
"C 3472","c-3472","#bcbcb8"
"C 3471","c-3471","#a0a29d"
"C 3470","c-3470","#858783"
"C 3484","c-3484","#dadbd7"
"C 3483","c-3483","#c4c4c4"
"C 3482","c-3482","#ababad"
"C 3481","c-3481","#8a8d91"
"C 3480","c-3480","#7b7f85"
"C 3494","c-3494","#e0dfd8"
"C 3493","c-3493","#d5d5d2"
"C 3492","c-3492","#c6c9c6"
"C 3491","c-3491","#c3c4c3"
"C 3490","c-3490","#bec1c0"
"C 3504","c-3504","#ebede6"
"C 3503","c-3503","#dcdfdd"
"C 3502","c-3502","#bec5c6"
"C 3501","c-3501","#a1a8ad"
"C 3500","c-3500","#868f96"
"C 3514","c-3514","#e6e3da"
"C 3513","c-3513","#d7d5d0"
"C 3512","c-3512","#ceccc9"
"C 3511","c-3511","#bcbdbd"
"C 3510","c-3510","#b6b7b9"
"C 3524","c-3524","#d4d9d6"
"C 3523","c-3523","#c8cfcd"
"C 3522","c-3522","#b4bfc3"
"C 3521","c-3521","#a8b2b6"
"C 3520","c-3520","#a2acb1"
"C 3534","c-3534","#eff1e9"
"C 3533","c-3533","#dde2de"
"C 3532","c-3532","#c0cac8"
"C 3531","c-3531","#a4b1b2"
"C 3530","c-3530","#8b9a9b"
"C 3544","c-3544","#eceee5"
"C 3543","c-3543","#dae0d9"
"C 3542","c-3542","#c3cac5"
"C 3541","c-3541","#a5b0aa"
"C 3540","c-3540","#8c9a94"
