"Plumeria Lei","LH110","#C9709E"
"Equator","LE150-02","#EBBA67"
"October Leaf","LE290-01","#BF8D35"
"Drop Of Gold","LE160-01","#F3DBAC"
"Honey Bee","LE130-01","#EAC281"
"Brass Charm","LE130-02","#D4AB6A"
"Cairo Gold","LE110-02","#C09658"
"Lion'S Roar","LE170-01","#F6E1BC"
"Goldilocks","LE170-02","#EAD2AA"
"Autumn Equinox","LE120-01","#E3C293"
"Aged Amber","LD260-02","#DFB575"
"Light Shine","LE180-01","#FBEDC8"
"Crescent Moon","LE190-02","#FEE9BE"
"Light Honey","LD220-01","#FDE2B4"
"Fire Glow","LD220-02","#F9D9A2"
"Magnolia","LD230-01","#FBE5BB"
"Pineapple Citrus","LE140-01","#F3CF93"
"Golden Corn","LE140-02","#F2C784"
"Halo Gold","LD250-02","#FCC266"
"Walnut Cream","LD200-02","#F7E3C4"
"Fennel Pollen","LD230-02","#F7CC90"
"Banana Shake","LD260-01","#F0C990"
"Aztec Yellow","LD290-01","#CA9D62"
"Yards Of Muslin","LD210-01","#EDDDC4"
"Eggnog Latte","LD240-01","#E6CDAB"
"Roasted Peanut","LD240-02","#DDB989"
"Fall Leaf","LD290-02","#B48347"
"Glaze Gold","LD250-01","#FED391"
"Jolly","LD270-01","#F7C990"
"Cookie Crumbs","LD140-01","#DEBA89"
"Banana Nut","LD140-02","#CFA974"
"Lace Gloves","LD190-02","#F6DFC2"
"Cottage Yellow","LD150-01","#F3CFA1"
"Pommery Mustard","LD150-02","#E7B576"
"Spaghetti Squash","LD270-02","#E3AD63"
"August Morning","LD160-01","#F8C890"
"Butterscotch Sauce","LD160-02","#E7B479"
"Dingo","LD280-01","#D79F5E"
"Vintage Find","LD280-02","#CD9147"
"Pale Gold","LK240","#DCD0B8"
"Pale Ale","LE160-02","#D4BC8E"
"Delicate Ballerina","LE200-02","#EFEADA"
"Autumn Fern","LF220-02","#E8E1A1"
"Tangy Flavor","LF160-02","#D5BD77"
"Summer Chartreuse","LF140-01","#C9AD5F"
"Pampas","LE260-01","#DDD7AE"
"Season'S Change","LF150-01","#CDC196"
"Cumin Seed","LF150-02","#BCB186"
"Fresh Avocado","LF140-02","#BAA24E"
"Peeled Cucumber","LF180-01","#E2DAB2"
"Zucchini Garden","LF130-01","#B3A477"
"Cucumber Salad","LF110-01","#978E62"
"Tea Leaf","LF100-02","#66624B"
"Lime Song","LF210-02","#F6EEBA"
"Artichoke Heart","LF160-01","#E8DF99"
"Chameleon","LF270-01","#BEAF64"
"Green Of Spring","LF270-02","#9E903B"
"Lemon Ice","LF220-01","#F1ECC9"
"Yellow Green","LF230-01","#F1E99B"
"Liming","LF230-02","#E1DD73"
"Green Gone Wild","LH270","#CCC921"
"Shimmering Green","LF170-01","#E3DEA5"
"Lime Tart","LF170-02","#D0C58B"
"Pickling Spice","LF120-01","#99894A"
"Olivery","LF120-02","#8C7F44"
"Spring Breeze","LF200-01","#EEF0E3"
"Mint Ice Cream","LG170-01","#EAEBC3"
"Cucumber","LF180-02","#D0CA9A"
"Africa","LF280-02","#958F61"
"Garden Moss","LF190-02","#D5D1B2"
"Winter Grass","LF130-02","#958B6A"
"Olive Wood","LF100-01","#847D5F"
"Anchorage Jacket","LF110-02","#6F6A49"
"Dusty Miller","LG190-01","#EAEBE0"
"Healing Springs","LF200-02","#E9EAD3"
"Expedition","LF280-01","#A19D7C"
"Wild Jungle","LF290-02","#6A6E40"
"White Rocks","LG200-01","#EDF0DF"
"Whispering Aspens","LG170-02","#D7D9AB"
"Burnished Green","LF250-02","#BCBE84"
"Grapeyard Ridge","LF290-01","#919157"
"Mini Green","LF240-01","#EBEDB6"
"Sassy Lime","LF240-02","#E0E491"
"Wasabi Wash","LF260-01","#C6BF74"
"Better Lime","LH280","#929437"
"In Paradise","LG210-01","#ECF1D3"
"Basic Lime","LF250-01","#D3D7A0"
"Canteen","LF260-02","#B1B874"
"Farmer'S Road","LG130-01","#8A934E"
"California Avocado","LG150-01","#C3C6A5"
"Rosemary Plant","LG150-02","#A2A580"
"Cavern Moss","LG120-02","#79805A"
"Bamboo Jungle","LG110-02","#727155"
"Dried Lichen","LF190-01","#DDDCC4"
"Silver Fern","LG180-02","#D1D1BF"
"Combat Boots","LG110-01","#85846E"
"Yew Hedge","LG100-02","#656952"
"Celery Stick","LG160-01","#D5D8B0"
"Kiwi","LG160-02","#BEC297"
"Retro Lime","LG140-01","#989D67"
"Recycle Green","LG130-02","#677D41"
"Zion","LG230-02","#C4CBB3"
"Avocado Mask","LG120-01","#8E946C"
"Groovy Green","LG140-02","#848759"
"June Moss","LG100-01","#72754B"
"Birdcage","LG200-02","#E4EECE"
"Garden Statue","LG210-02","#E2EDC1"
"Vitality","LG250-02","#92A15F"
"Emerald Shimmer","LG270-01","#6F8A45"
"Forest Light","LG220-01","#E1E9D1"
"Tree Line","LG240-01","#CADF99"
"Green Flash","LG240-02","#B8D280"
"Bamboo Forest","LG260-02","#768453"
"Clear Creek","LG230-01","#DAE1CA"
"Melon Extract","LG220-02","#D9E6BB"
"Succulent Garden","LG250-01","#B7CA90"
"Fresh Moss","LG260-01","#889567"
"Wild Lettuce","RG240-01","#B2CDAB"
"Plant Stem","LG280-01","#66824E"
"Pickle Juice","LG270-02","#5A7345"
"Organic Garden","LG280-02","#637250"
"Budding Green","RG190-02","#C9E0C5"
"Polished Jade","RG210-01","#BCDDBC"
"Calming Sensation","RG210-02","#ADCEAA"
"Homegrown Herbs","LH290","#5E8548"
"Celadon Vase","LG190-02","#DBE1D2"
"Apple Martini","RG220-01","#B3E1B3"
"Vivid Lime","RH100","#52A84C"
"Watered Grass","RH110","#458642"
"Seafoam Blanket","RG200-02","#D2DECF"
"Iguana","RG220-02","#95D3A3"
"Wheatgrass","RG240-02","#81B589"
"Magical Hummingbird","RH120","#2B834C"
"Creamy Mint","RG190-01","#D7E7DC"
"Wild Thyme","RG270-01","#85A183"
"Bitter Arugula","RG270-02","#6A886F"
"Tropical Foliage","RG290-01","#3C5F4E"
"Bleached Cypress","RG230-01","#B2CBBE"
"Winchester Green","RG230-02","#89A699"
"Serrano Pepper","RG110-02","#356253"
"Deep Spruce","RG290-02","#39544B"
"Sage Pond","RG260-01","#A6B5AC"
"Bayfront Palm","RG260-02","#8DA091"
"Culinary Herbs","RG280-01","#5A6C5F"
"Alpine Valley","RG280-02","#425649"
"Julep","RG170-01","#CCE4D6"
"Green Countryside","RG250-01","#A8CEB6"
"Fragrant Herbs","RG120-01","#80B09A"
"Forest Found","RG110-01","#46836E"
"Green Icing","RG170-02","#B5DAC2"
"Caesar Salad","RG250-02","#9CCDAC"
"Bejewelled","RH130","#239A6D"
"Pop Of Green","RH140","#24896A"
"Jade Sea","RG160-01","#C2E1D5"
"Green Surf","RG160-02","#ACDAC9"
"Emerald Stream","RG120-02","#5F9E88"
"Argyll","RG100-02","#346558"
"Beach Toy","RG140-02","#6ACABA"
"Spearmint Leaf","RG130-02","#75B9AE"
"Tahitian Green","RF280-01","#64A69F"
"Teal Green","RG100-01","#36746C"
"Polished Turquoise","RG140-01","#96DFD4"
"Miss Golightly","RG150-02","#83D4CA"
"Celadon Plate","RG130-01","#8BC7C0"
"Deep Teal","RH150","#1FA497"
"Sheer Silhouette","RB210-01","#CBD6E5"
"Lyrical Poetry","RB210-02","#B3C3DF"
"Never Blue","RC190-02","#8BA6CB"
"Darkening Sky","RH230","#3E5382"
"Delicate Blue","RC170-01","#A2BBDA"
"Lake Periwinkle","RC170-02","#7E9EC5"
"Azurite","RC110-01","#4E71A6"
"Best In Class","RB290-02","#434E71"
"Rain Reflection","RC190-01","#B3C4D9"
"Just Chill","RC150-01","#6888AC"
"Stylish Blue","RC160-02","#5D7CA1"
"Atlas Blue","RC110-02","#3F5A82"
"Soothing Melody","RC200-01","#C4D5EA"
"First Dance","RC200-02","#ACC5E4"
"Navy Dress","RH210","#285489"
"Indigo","RH220","#314973"
"Atlantic Ocean","RC130-01","#6280A3"
