"EN-95","en-95","#f9faf8"
"E 55-50P","e-55-50p","#008d81"
"E 55-70P","e-55-70p","#47c5b6"
"E 59-60P","e-59-60p","#12abb1"
"E 59-40P","e-59-40p","#00747d"
"E 65-40P","e-65-40p","#00728b"
"E 65-60P","e-65-60p","#27a5be"
"E 69-50T","e-69-50t","#008ab9"
"E 69-40T","e-69-40t","#00719e"
"E 69-30P","e-69-30p","#005174"
"E 72-40T","e-72-40t","#006ca2"
"E 72-50P","e-72-50p","#4684b0"
"E 75-40T","e-75-40t","#2366a3"
"E 75-30P","e-75-30p","#0c4a7e"
"E 76-50T","e-76-50t","#5c81c0"
"E 77-50T","e-77-50t","#6a7fc2"
"E 77-40V","e-77-40v","#4961aa"
"E 77-30T","e-77-30t","#2f4286"
"E 79-40T","e-79-40t","#61589e"
"E 82-40T","e-82-40t","#6f549a"
"E 85-40T","e-85-40t","#784e93"
"E 85-30P","e-85-30p","#593070"
"E 89-40T","e-89-40t","#8b4483"
"E 92-40L","e-92-40l","#80496c"
"E 92-40V","e-92-40v","#97377c"
"E 95-40V","e-95-40v","#a2316e"
"E 95-50V","e-95-50v","#c04d85"
"E 97-50V","e-97-50v","#c74e79"
"E 99-50X","e-99-50x","#cc496a"
"E 99-40V","e-99-40v","#aa294f"
"E 99-30P","e-99-30p","#761936"
