"EN-95","en-95","#f9faf8"
"E 19-75A","e-19-75a","#c6bfb8"
"E 19-70A","e-19-70a","#b4aea7"
"E 19-65A","e-19-65a","#aaa49d"
"E 19-50B","e-19-50b","#81776c"
"E 19-40B","e-19-40b","#665c52"
"E 19-92B","e-19-92b","#f4ecdf"
"E 19-90B","e-19-90b","#efe5d8"
"E 19-85B","e-19-85b","#e4dacc"
"E 19-80B","e-19-80b","#d5ccc0"
"E 19-75B","e-19-75b","#c8bfb3"
"E 19-70B","e-19-70b","#bcb1a4"
"E 19-65B","e-19-65b","#ada296"
"E 19-60B","e-19-60b","#9f9488"
"E 19-90C","e-19-90c","#f0e2ce"
"E 19-85C","e-19-85c","#e5d7c5"
"E 19-80C","e-19-80c","#d7c9b8"
"E 19-75C","e-19-75c","#c9bbab"
"E 19-70C","e-19-70c","#b7aa9a"
"E 19-60C","e-19-60c","#a19283"
"E 19-30A","e-19-30a","#403e3b"
"E 19-20B","e-19-20b","#2f2924"
"E 19-80D","e-19-80d","#deccb4"
"E 19-75D","e-19-75d","#ccbaa3"
"E 19-70D","e-19-70d","#c0ae9a"
"E 19-65D","e-19-65d","#b09e88"
"E 19-60D","e-19-60d","#a5927c"
"E 19-50D","e-19-50d","#8a7663"
"E 19-40D","e-19-40d","#6b5947"
"E 19-30B","e-19-30b","#3f3224"
"E 19-90D","e-19-90d","#f6e5cb"
"E 19-85D","e-19-85d","#ead8bf"
"E 19-80F","e-19-80f","#e2c9a7"
"E 19-70F","e-19-70f","#c3a989"
"E 19-60F","e-19-60f","#ab9274"
"E 19-50F","e-19-50f","#8f7355"
"E 19-40F","e-19-40f","#74593c"
"E 19-30D","e-19-30d","#513e2b"
"E 19-90F","e-19-90f","#fee3be"
"E 19-85F","e-19-85f","#f0d5b0"
"E 19-85L","e-19-85l","#fecd8c"
"E 19-80L","e-19-80l","#efc083"
"E 19-75L","e-19-75l","#dfb27b"
"E 19-70L","e-19-70l","#d5a666"
"E 19-60H","e-19-60h","#b1916c"
"E 19-50H","e-19-50h","#94724b"
"E 22-85B","e-22-85b","#e1dbcc"
"E 22-80B","e-22-80b","#d2cabb"
"E 22-75B","e-22-75b","#c7beb0"
"E 22-70B","e-22-70b","#b7afa1"
"E 22-60B","e-22-60b","#9e968a"
"E 22-50B","e-22-50b","#837a6f"
"E 22-40B","e-22-40b","#685d50"
"E 22-30B","e-22-30b","#4b4339"
"E 22-90B","e-22-90b","#eee6d5"
"E 22-90C","e-22-90c","#f0e6d0"
"E 22-85C","e-22-85c","#e2d7c2"
"E 22-80C","e-22-80c","#d4c9b5"
"E 22-75C","e-22-75c","#cabfa9"
"E 22-70C","e-22-70c","#bdb29e"
"E 22-65C","e-22-65c","#aca08d"
"E 22-60C","e-22-60c","#9e9381"
"E 22-87C","e-22-87c","#eadec9"
"E 22-85D","e-22-85d","#e6d8bd"
"E 22-80D","e-22-80d","#d8c9ad"
"E 22-75D","e-22-75d","#ccbfa5"
"E 22-70D","e-22-70d","#beb096"
"E 22-60D","e-22-60d","#a0927a"
"E 22-50D","e-22-50d","#877761"
"E 22-40D","e-22-40d","#695c4a"
"E 22-90D","e-22-90d","#f4e5c8"
"E 22-85F","e-22-85f","#e9d5ae"
"E 22-80F","e-22-80f","#ddcaa3"
"E 22-75F","e-22-75f","#cfbc96"
"E 22-70H","e-22-70h","#c7aa7b"
"E 22-50F","e-22-50f","#8a7453"
"E 22-40H","e-22-40h","#755b2f"
"E 22-30D","e-22-30d","#50422d"
"E 22-90H","e-22-90h","#fae1aa"
"E 22-85H","e-22-85h","#ecd4a1"
"E 22-80H","e-22-80h","#e0c697"
"E 22-80L","e-22-80l","#e9c37b"
"E 22-70L","e-22-70l","#d0a961"
"E 22-50P","e-22-50p","#9f710d"
"E 22-50H","e-22-50h","#927648"
"E 25-20B","e-25-20b","#302818"
"E 25-90A","e-25-90a","#ece9dd"
"E 25-85A","e-25-85a","#ddd8cd"
"E 25-80A","e-25-80a","#cfccc3"
"E 25-75A","e-25-75a","#c4c0b7"
"E 25-70A","e-25-70a","#b5b1a9"
"E 25-65A","e-25-65a","#a8a49c"
"E 25-50B","e-25-50b","#807a6e"
"E 25-30B","e-25-30b","#3b3323"
"E 25-92B","e-25-92b","#f2ecdb"
"E 25-90B","e-25-90b","#eee8d6"
"E 25-85B","e-25-85b","#e0dac8"
"E 25-80B","e-25-80b","#d2ccbe"
"E 25-75B","e-25-75b","#c5bfae"
"E 25-70B","e-25-70b","#b5ae9f"
"E 25-65B","e-25-65b","#a8a293"
"E 25-60B","e-25-60b","#9a9587"
"E 25-90C","e-25-90c","#efe6ce"
"E 25-85C","e-25-85c","#e2dac3"
"E 25-80C","e-25-80c","#d5ccb5"
"E 25-75C","e-25-75c","#c5bca5"
"E 25-70C","e-25-70c","#b9b19b"
"E 25-60D","e-25-60d","#a0977e"
"E 25-40B","e-25-40b","#675f53"
"E 25-30D","e-25-30d","#4c4128"
"E 25-90D","e-25-90d","#f2e6c6"
"E 25-85F","e-25-85f","#e7d9ac"
"E 25-85D","e-25-85d","#e4d9ba"
"E 25-80D","e-25-80d","#d6cbad"
