"Scala 09-07-06","09-07-06","#e6dcc9"
"Scala 09-07-09","09-07-09","#dacdb6"
"Scala 09-09-01","09-09-01","#f6f0df"
"Scala 09-09-02","09-09-02","#f7edd8"
"Scala 09-09-03","09-09-03","#f6e7d0"
"Scala 09-09-06","09-09-06","#ebdcc1"
"Scala 09-09-09","09-09-09","#e1d2b6"
"Scala 09-09-12","09-09-12","#d1bf9f"
"Scala 09-09-15","09-09-15","#cab186"
"Scala 09-09-18","09-09-18","#a38b66"
"Scala 09-09-21","09-09-21","#886e47"
"Scala 09-09-24","09-09-24","#5e4e38"
"Scala 09-11-06","09-11-06","#edd8b3"
"Scala 09-11-09","09-11-09","#e6cea6"
"Scala 09-11-12","09-11-12","#dcc294"
"Scala 09-11-15","09-11-15","#cca978"
"Scala 09-12-01","09-12-01","#f1ead8"
"Scala 09-12-02","09-12-02","#f7e7c8"
"Scala 09-12-03","09-12-03","#f6e2bd"
"Scala 09-12-06","09-12-06","#f3ddb2"
"Scala 09-12-09","09-12-09","#e5ca9b"
"Scala 09-12-12","09-12-12","#dfbf86"
"Scala 09-12-15","09-12-15","#cbaa6e"
"Scala 09-12-18","09-12-18","#b49150"
"Scala 09-12-21","09-12-21","#926f39"
"Scala 09-12-24","09-12-24","#7a5e3a"
"Scala 09-15-02","09-15-02","#f7e7c6"
"Scala 09-15-03","09-15-03","#f8e0b1"
"Scala 09-15-06","09-15-06","#fadb9f"
"Scala 09-15-07","09-15-07","#f4d396"
"Scala 09-15-09","09-15-09","#f0cc8c"
"Scala 09-15-12","09-15-12","#e5bb70"
"Scala 09-15-15","09-15-15","#d3a75b"
"Scala 09-15-18","09-15-18","#b6873b"
"Scala 09-18-03","09-18-03","#f6e5b9"
"Scala 09-18-06","09-18-06","#f7dd9c"
"Scala 09-18-09","09-18-09","#f6d48c"
"Scala 09-18-12","09-18-12","#f0bf63"
"Scala 09-18-15","09-18-15","#dfae5e"
"Scala 09-18-18","09-18-18","#d49d4d"
"Scala 09-21-12","09-21-12","#fdc560"
"Scala 09-21-15","09-21-15","#f1a901"
"Scala 09-21-18","09-21-18","#da920f"
"Scala 09-24-15","09-24-15","#faa900"
"Scala 12-03-03","12-03-03","#e5ded7"
"Scala 12-03-06","12-03-06","#dcd4ca"
"Scala 12-03-09","12-03-09","#ccc7bd"
"Scala 12-03-12","12-03-12","#bab4ab"
"Scala 12-03-15","12-03-15","#a8a39b"
"Scala 12-03-18","12-03-18","#9b9790"
"Scala 12-03-19","12-03-19","#8e8c86"
"Scala 12-03-21","12-03-21","#817e79"
"Scala 12-03-24","12-03-24","#706c66"
"Scala 12-03-27","12-03-27","#5d5751"
"Scala 12-06-12","12-06-12","#bfae9e"
"Scala 12-06-15","12-06-15","#b6a595"
"Scala 12-06-18","12-06-18","#a18f7a"
"Scala 12-06-19","12-06-19","#958575"
"Scala 12-06-21","12-06-21","#897769"
"Scala 12-06-24","12-06-24","#6e5e51"
"Scala 12-06-27","12-06-27","#5c4c3e"
