"DIN 6164 TSD 3-4-2","6164-tsd-3-4-2","#c2935f"
"DIN 6164 TSD 3-4-3","6164-tsd-3-4-3","#a77b4f"
"DIN 6164 TSD 3-4-4","6164-tsd-3-4-4","#8a6540"
"DIN 6164 TSD 3-4-5","6164-tsd-3-4-5","#715233"
"DIN 6164 TSD 3-5-1","6164-tsd-3-5-1","#e0a04d"
"DIN 6164 TSD 3-5-2","6164-tsd-3-5-2","#be8941"
"DIN 6164 TSD 3-5-3","6164-tsd-3-5-3","#a1723a"
"DIN 6164 TSD 3-5-4","6164-tsd-3-5-4","#896034"
"DIN 6164 TSD 3-6-1","6164-tsd-3-6-1","#de9522"
"DIN 6164 TSD 3-6-2","6164-tsd-3-6-2","#c68620"
"DIN 6164 TSD 4-1-1","6164-tsd-4-1-1","#dac4b6"
"DIN 6164 TSD 4-1-2","6164-tsd-4-1-2","#b4a095"
"DIN 6164 TSD 4-1-3","6164-tsd-4-1-3","#98877e"
"DIN 6164 TSD 4-1-4","6164-tsd-4-1-4","#7e716a"
"DIN 6164 TSD 4-1-5","6164-tsd-4-1-5","#6b5f59"
"DIN 6164 TSD 4-1-6","6164-tsd-4-1-6","#584d49"
"DIN 6164 TSD 4-1-7","6164-tsd-4-1-7","#47403c"
"DIN 6164 TSD 4-2-1","6164-tsd-4-2-1","#d7b29d"
"DIN 6164 TSD 4-2-2","6164-tsd-4-2-2","#b89785"
"DIN 6164 TSD 4-2-3","6164-tsd-4-2-3","#9e806e"
"DIN 6164 TSD 4-2-4","6164-tsd-4-2-4","#876f61"
"DIN 6164 TSD 4-2-5","6164-tsd-4-2-5","#70594d"
"DIN 6164 TSD 4-2-6","6164-tsd-4-2-6","#58493f"
"DIN 6164 TSD 4-3-1","6164-tsd-4-3-1","#dca27d"
"DIN 6164 TSD 4-3-2","6164-tsd-4-3-2","#be8f71"
"DIN 6164 TSD 4-3-3","6164-tsd-4-3-3","#a4785d"
"DIN 6164 TSD 4-3-4","6164-tsd-4-3-4","#87654f"
"DIN 6164 TSD 4-3-5","6164-tsd-4-3-5","#735441"
"DIN 6164 TSD 4-3-6","6164-tsd-4-3-6","#5b4538"
"DIN 6164 TSD 4-4-1","6164-tsd-4-4-1","#e19964"
"DIN 6164 TSD 4-4-2","6164-tsd-4-4-2","#c0855d"
"DIN 6164 TSD 4-4-3","6164-tsd-4-4-3","#a57350"
"DIN 6164 TSD 4-4-4","6164-tsd-4-4-4","#8c6041"
"DIN 6164 TSD 4-4-5","6164-tsd-4-4-5","#775036"
"DIN 6164 TSD 4-5-1","6164-tsd-4-5-1","#e1914d"
"DIN 6164 TSD 4-5-2","6164-tsd-4-5-2","#c17c42"
"DIN 6164 TSD 4-5-3","6164-tsd-4-5-3","#a5693a"
"DIN 6164 TSD 4-6-1","6164-tsd-4-6-1","#e5891e"
"DIN 6164 TSD 5-1-1","6164-tsd-5-1-1","#d4b8ae"
"DIN 6164 TSD 5-1-2","6164-tsd-5-1-2","#bca49c"
"DIN 6164 TSD 5-1-3","6164-tsd-5-1-3","#9f8b84"
"DIN 6164 TSD 5-1-4","6164-tsd-5-1-4","#7f6d66"
"DIN 6164 TSD 5-1-5","6164-tsd-5-1-5","#6a5b56"
"DIN 6164 TSD 5-1-6","6164-tsd-5-1-6","#584a46"
"DIN 6164 TSD 5-1-7","6164-tsd-5-1-7","#453e3c"
"DIN 6164 TSD 5-2-1","6164-tsd-5-2-1","#dea996"
"DIN 6164 TSD 5-2-2","6164-tsd-5-2-2","#bb8f7e"
"DIN 6164 TSD 5-2-3","6164-tsd-5-2-3","#a37c6d"
"DIN 6164 TSD 5-2-4","6164-tsd-5-2-4","#87675c"
"DIN 6164 TSD 5-2-5","6164-tsd-5-2-5","#71554b"
"DIN 6164 TSD 5-2-6","6164-tsd-5-2-6","#5d4740"
"DIN 6164 TSD 5-3-1","6164-tsd-5-3-1","#e69e80"
"DIN 6164 TSD 5-3-2","6164-tsd-5-3-2","#c0876d"
"DIN 6164 TSD 5-3-3","6164-tsd-5-3-3","#a36f5b"
"DIN 6164 TSD 5-3-4","6164-tsd-5-3-4","#845c4c"
"DIN 6164 TSD 5-3-5","6164-tsd-5-3-5","#725043"
"DIN 6164 TSD 5-4-1","6164-tsd-5-4-1","#e6936f"
"DIN 6164 TSD 5-4-2","6164-tsd-5-4-2","#c57c5b"
"DIN 6164 TSD 5-4-3","6164-tsd-5-4-3","#a6664b"
"DIN 6164 TSD 5-4-4","6164-tsd-5-4-4","#270000"
"DIN 6164 TSD 5-4-5","6164-tsd-5-4-5","#734734"
"DIN 6164 TSD 5-5-1","6164-tsd-5-5-1","#e78654"
"DIN 6164 TSD 5-5-2","6164-tsd-5-5-2","#c57041"
"DIN 6164 TSD 5-5-3","6164-tsd-5-5-3","#a75e39"
"DIN 6164 TSD 6-1-1","6164-tsd-6-1-1","#d5b2ab"
"DIN 6164 TSD 6-1-2","6164-tsd-6-1-2","#bb9d96"
"DIN 6164 TSD 6-1-3","6164-tsd-6-1-3","#9a827e"
"DIN 6164 TSD 6-1-4","6164-tsd-6-1-4","#7c6966"
"DIN 6164 TSD 6-1-5","6164-tsd-6-1-5","#6b5956"
"DIN 6164 TSD 6-1-6","6164-tsd-6-1-6","#5c4c48"
"DIN 6164 TSD 6-1-7","6164-tsd-6-1-7","#473c39"
"DIN 6164 TSD 6-2-1","6164-tsd-6-2-1","#e2a497"
"DIN 6164 TSD 6-2-2","6164-tsd-6-2-2","#c08a81"
"DIN 6164 TSD 6-2-3","6164-tsd-6-2-3","#a4756d"
"DIN 6164 TSD 6-2-4","6164-tsd-6-2-4","#89615a"
"DIN 6164 TSD 6-2-5","6164-tsd-6-2-5","#72524c"
"DIN 6164 TSD 6-2-6","6164-tsd-6-2-6","#5c413c"
"DIN 6164 TSD 6-3-1","6164-tsd-6-3-1","#fa9c88"
"DIN 6164 TSD 6-3-2","6164-tsd-6-3-2","#c78271"
"DIN 6164 TSD 6-3-3","6164-tsd-6-3-3","#a4685c"
"DIN 6164 TSD 6-3-4","6164-tsd-6-3-4","#8d5a4f"
"DIN 6164 TSD 6-3-5","6164-tsd-6-3-5","#724840"
"DIN 6164 TSD 6-4-2","6164-tsd-6-4-2","#c96f55"
"DIN 6164 TSD 6-4-3","6164-tsd-6-4-3","#a55a48"
"DIN 6164 TSD 6-4-4","6164-tsd-6-4-4","#8a4b3b"
"DIN 6164 TSD 6-4-5","6164-tsd-6-4-5","#744136"
"DIN 6164 TSD 6-5-2","6164-tsd-6-5-2","#c66145"
"DIN 6164 TSD 6-5-3","6164-tsd-6-5-3","#a64f38"
"DIN 6164 TSD 6-6-2","6164-tsd-6-6-2","#c6542f"
"DIN 6164 TSD 7-1-1","6164-tsd-7-1-1","#cda2a1"
"DIN 6164 TSD 7-1-2","6164-tsd-7-1-2","#bd9995"
"DIN 6164 TSD 7-1-3","6164-tsd-7-1-3","#a28380"
"DIN 6164 TSD 7-1-4","6164-tsd-7-1-4","#816969"
"DIN 6164 TSD 7-1-5","6164-tsd-7-1-5","#715c5a"
"DIN 6164 TSD 7-1-6","6164-tsd-7-1-6","#5c4c4b"
"DIN 6164 TSD 7-1-7","6164-tsd-7-1-7","#4a3c3a"
"DIN 6164 TSD 7-2-1","6164-tsd-7-2-1","#e19794"
"DIN 6164 TSD 7-2-2","6164-tsd-7-2-2","#bb7f7c"
"DIN 6164 TSD 7-2-3","6164-tsd-7-2-3","#a46f6b"
"DIN 6164 TSD 7-2-4","6164-tsd-7-2-4","#8c5e5c"
"DIN 6164 TSD 7-2-5","6164-tsd-7-2-5","#78504e"
"DIN 6164 TSD 7-2-6","6164-tsd-7-2-6","#5c3f3d"
"DIN 6164 TSD 7-3-2","6164-tsd-7-3-2","#c67870"
"DIN 6164 TSD 7-3-3","6164-tsd-7-3-3","#a8635d"
"DIN 6164 TSD 7-3-4","6164-tsd-7-3-4","#8e534f"
"DIN 6164 TSD 7-3-5","6164-tsd-7-3-5","#734440"
"DIN 6164 TSD 7-3-6","6164-tsd-7-3-6","#5f3a38"
"DIN 6164 TSD 7-4-2","6164-tsd-7-4-2","#c26258"
"DIN 6164 TSD 7-4-3","6164-tsd-7-4-3","#a4564e"
"DIN 6164 TSD 7-4-4","6164-tsd-7-4-4","#8c463f"
"DIN 6164 TSD 7-5-2","6164-tsd-7-5-2","#c25348"
"DIN 6164 TSD 7-5-3","6164-tsd-7-5-3","#aa4a41"
"DIN 6164 TSD 7-6-2","6164-tsd-7-6-2","#bf473c"
"DIN 6164 TSD 8-1-1","6164-tsd-8-1-1","#d9afae"
"DIN 6164 TSD 8-1-2","6164-tsd-8-1-2","#be999a"
"DIN 6164 TSD 8-1-3","6164-tsd-8-1-3","#a28183"
"DIN 6164 TSD 8-1-4","6164-tsd-8-1-4","#896d6f"
"DIN 6164 TSD 8-1-5","6164-tsd-8-1-5","#6f5858"
"DIN 6164 TSD 8-1-6","6164-tsd-8-1-6","#5b4a4b"
"DIN 6164 TSD 8-1-7","6164-tsd-8-1-7","#443738"
"DIN 6164 TSD 8-2-1","6164-tsd-8-2-1","#e99ca1"
"DIN 6164 TSD 8-2-2","6164-tsd-8-2-2","#c58487"
"DIN 6164 TSD 8-2-3","6164-tsd-8-2-3","#a57074"
"DIN 6164 TSD 8-2-4","6164-tsd-8-2-4","#895b5f"
"DIN 6164 TSD 8-2-5","6164-tsd-8-2-5","#734c50"
"DIN 6164 TSD 8-2-6","6164-tsd-8-2-6","#604142"
"DIN 6164 TSD 8-3-2","6164-tsd-8-3-2","#c6727a"
"DIN 6164 TSD 8-3-3","6164-tsd-8-3-3","#a55d61"
"DIN 6164 TSD 8-3-4","6164-tsd-8-3-4","#8c4f55"
"DIN 6164 TSD 8-3-5","6164-tsd-8-3-5","#744244"
"DIN 6164 TSD 8-4-2","6164-tsd-8-4-2","#c56068"
"DIN 6164 TSD 8-4-3","6164-tsd-8-4-3","#a34d54"
"DIN 6164 TSD 8-4-4","6164-tsd-8-4-4","#8a4347"
"DIN 6164 TSD 8-5-2","6164-tsd-8-5-2","#be4d58"
"DIN 6164 TSD 8-5-3","6164-tsd-8-5-3","#a4424b"
"DIN 6164 TSD 8-5-4","6164-tsd-8-5-4","#883a3e"
"DIN 6164 TSD 9-1-1","6164-tsd-9-1-1","#dcb6b9"
"DIN 6164 TSD 9-1-2","6164-tsd-9-1-2","#b89698"
"DIN 6164 TSD 9-1-3","6164-tsd-9-1-3","#9e7f82"
"DIN 6164 TSD 9-1-4","6164-tsd-9-1-4","#846c70"
"DIN 6164 TSD 9-1-5","6164-tsd-9-1-5","#6e595d"
"DIN 6164 TSD 9-1-6","6164-tsd-9-1-6","#5b494e"
"DIN 6164 TSD 9-1-7","6164-tsd-9-1-7","#4a3d3e"
"DIN 6164 TSD 9-2-2","6164-tsd-9-2-2","#c5858e"
"DIN 6164 TSD 9-2-3","6164-tsd-9-2-3","#a36d74"
"DIN 6164 TSD 9-2-4","6164-tsd-9-2-4","#8c5e67"
"DIN 6164 TSD 9-2-5","6164-tsd-9-2-5","#724c52"
"DIN 6164 TSD 9-2-6","6164-tsd-9-2-6","#5d4146"
"DIN 6164 TSD 9-3-2","6164-tsd-9-3-2","#c47280"
"DIN 6164 TSD 9-3-3","6164-tsd-9-3-3","#a4606c"
"DIN 6164 TSD 9-3-4","6164-tsd-9-3-4","#8c4e5a"
"DIN 6164 TSD 9-3-5","6164-tsd-9-3-5","#74454e"
"DIN 6164 TSD 9-4-2","6164-tsd-9-4-2","#c7606e"
"DIN 6164 TSD 9-4-3","6164-tsd-9-4-3","#a2505d"
"DIN 6164 TSD 9-4-4","6164-tsd-9-4-4","#88424f"
"DIN 6164 TSD 9-5-2","6164-tsd-9-5-2","#c04d60"
"DIN 6164 TSD 9-5-3","6164-tsd-9-5-3","#a34655"
"DIN 6164 TSD 10-1-1","6164-tsd-10-1-1","#ddb5c0"
"DIN 6164 TSD 10-1-2","6164-tsd-10-1-2","#b694a3"
"DIN 6164 TSD 10-1-3","6164-tsd-10-1-3","#9b808a"
"DIN 6164 TSD 10-1-4","6164-tsd-10-1-4","#836b74"
"DIN 6164 TSD 10-1-5","6164-tsd-10-1-5","#6c5961"
"DIN 6164 TSD 10-1-6","6164-tsd-10-1-6","#57464d"
"DIN 6164 TSD 10-1-7","6164-tsd-10-1-7","#42373c"
"DIN 6164 TSD 10-2-2","6164-tsd-10-2-2","#c48ba4"
"DIN 6164 TSD 10-2-3","6164-tsd-10-2-3","#a67288"
"DIN 6164 TSD 10-2-4","6164-tsd-10-2-4","#865b6c"
"DIN 6164 TSD 10-2-5","6164-tsd-10-2-5","#6f4d5d"
"DIN 6164 TSD 10-2-6","6164-tsd-10-2-6","#5c3c49"
"DIN 6164 TSD 10-3-2","6164-tsd-10-3-2","#c67497"
"DIN 6164 TSD 10-3-3","6164-tsd-10-3-3","#ab6482"
"DIN 6164 TSD 10-3-4","6164-tsd-10-3-4","#8f566e"
"DIN 6164 TSD 10-3-5","6164-tsd-10-3-5","#744157"
"DIN 6164 TSD 10-4-3","6164-tsd-10-4-3","#a75279"
"DIN 6164 TSD 10-4-4","6164-tsd-10-4-4","#8b4263"
"DIN 6164 TSD 11-1-1","6164-tsd-11-1-1","#d2b9cb"
"DIN 6164 TSD 11-1-2","6164-tsd-11-1-2","#baa1b6"
"DIN 6164 TSD 11-1-3","6164-tsd-11-1-3","#9b8495"
"DIN 6164 TSD 11-1-4","6164-tsd-11-1-4","#7f6b78"
"DIN 6164 TSD 11-1-5","6164-tsd-11-1-5","#6c5d69"
"DIN 6164 TSD 11-1-6","6164-tsd-11-1-6","#544953"
"DIN 6164 TSD 11-1-7","6164-tsd-11-1-7","#433b40"
"DIN 6164 TSD 11-2-2","6164-tsd-11-2-2","#b787af"
"DIN 6164 TSD 11-2-3","6164-tsd-11-2-3","#9f7799"
"DIN 6164 TSD 11-2-4","6164-tsd-11-2-4","#84607b"
"DIN 6164 TSD 11-2-5","6164-tsd-11-2-5","#705168"
"DIN 6164 TSD 11-2-6","6164-tsd-11-2-6","#594151"
"DIN 6164 TSD 11-3-3","6164-tsd-11-3-3","#9d6790"
"DIN 6164 TSD 11-3-4","6164-tsd-11-3-4","#84527b"
"DIN 6164 TSD 11-3-5","6164-tsd-11-3-5","#72486a"
"DIN 6164 TSD 11-4-4","6164-tsd-11-4-4","#874680"
"DIN 6164 TSD 11-4-5","6164-tsd-11-4-5","#6c3c65"
"DIN 6164 TSD 12-1-1","6164-tsd-12-1-1","#c9b3cc"
"DIN 6164 TSD 12-1-2","6164-tsd-12-1-2","#aa96ac"
"DIN 6164 TSD 12-1-3","6164-tsd-12-1-3","#8f7b94"
"DIN 6164 TSD 12-1-4","6164-tsd-12-1-4","#796a7e"
"DIN 6164 TSD 12-1-5","6164-tsd-12-1-5","#605363"
"DIN 6164 TSD 12-1-6","6164-tsd-12-1-6","#4f4551"
"DIN 6164 TSD 12-1-7","6164-tsd-12-1-7","#3f3841"
"DIN 6164 TSD 12-2-2","6164-tsd-12-2-2","#a186af"
"DIN 6164 TSD 12-2-3","6164-tsd-12-2-3","#876c93"
"DIN 6164 TSD 12-2-4","6164-tsd-12-2-4","#785f81"
"DIN 6164 TSD 12-2-5","6164-tsd-12-2-5","#5f4c67"
"DIN 6164 TSD 12-2-6","6164-tsd-12-2-6","#4d3f54"
"DIN 6164 TSD 12-3-3","6164-tsd-12-3-3","#845d96"
"DIN 6164 TSD 12-3-4","6164-tsd-12-3-4","#6d4d7c"
"DIN 6164 TSD 12-3-5","6164-tsd-12-3-5","#5d446a"
"DIN 6164 TSD 12-4-4","6164-tsd-12-4-4","#6c457a"
"DIN 6164 TSD 12-4-5","6164-tsd-12-4-5","#573863"
"DIN 6164 TSD 13-1-1","6164-tsd-13-1-1","#c2b6ce"
"DIN 6164 TSD 13-1-2","6164-tsd-13-1-2","#a397af"
"DIN 6164 TSD 13-1-3","6164-tsd-13-1-3","#8b8095"
"DIN 6164 TSD 13-1-4","6164-tsd-13-1-4","#746b7e"
"DIN 6164 TSD 13-1-5","6164-tsd-13-1-5","#5f5869"
"DIN 6164 TSD 13-1-6","6164-tsd-13-1-6","#4e4855"
"DIN 6164 TSD 13-1-7","6164-tsd-13-1-7","#403d45"
"DIN 6164 TSD 13-2-2","6164-tsd-13-2-2","#9787b1"
"DIN 6164 TSD 13-2-3","6164-tsd-13-2-3","#7d6d93"
"DIN 6164 TSD 13-2-4","6164-tsd-13-2-4","#6d5e80"
"DIN 6164 TSD 13-2-5","6164-tsd-13-2-5","#584c69"
"DIN 6164 TSD 13-2-6","6164-tsd-13-2-6","#4b3f57"
"DIN 6164 TSD 13-3-3","6164-tsd-13-3-3","#765f96"
"DIN 6164 TSD 13-3-4","6164-tsd-13-3-4","#675181"
"DIN 6164 TSD 13-3-5","6164-tsd-13-3-5","#544369"
"DIN 6164 TSD 14-1-1","6164-tsd-14-1-1","#bcb9d2"
"DIN 6164 TSD 14-1-2","6164-tsd-14-1-2","#9f9cb6"
"DIN 6164 TSD 14-1-3","6164-tsd-14-1-3","#858096"
"DIN 6164 TSD 14-1-4","6164-tsd-14-1-4","#6e6c7c"
"DIN 6164 TSD 14-1-5","6164-tsd-14-1-5","#595768"
"DIN 6164 TSD 14-1-6","6164-tsd-14-1-6","#484655"
"DIN 6164 TSD 14-1-7","6164-tsd-14-1-7","#3b3942"
"DIN 6164 TSD 14-2-2","6164-tsd-14-2-2","#8a83b1"
"DIN 6164 TSD 14-2-3","6164-tsd-14-2-3","#78729a"
"DIN 6164 TSD 14-2-4","6164-tsd-14-2-4","#655f82"
"DIN 6164 TSD 14-2-5","6164-tsd-14-2-5","#534d6b"
"DIN 6164 TSD 14-2-6","6164-tsd-14-2-6","#423e54"
"DIN 6164 TSD 14-3-3","6164-tsd-14-3-3","#6d6398"
"DIN 6164 TSD 14-3-4","6164-tsd-14-3-4","#5d5384"
"DIN 6164 TSD 14-3-5","6164-tsd-14-3-5","#4c446a"
"DIN 6164 TSD 14-4-4","6164-tsd-14-4-4","#534880"
"DIN 6164 TSD 15-1-1","6164-tsd-15-1-1","#b2b3c6"
"DIN 6164 TSD 15-1-2","6164-tsd-15-1-2","#9696ac"
"DIN 6164 TSD 15-1-3","6164-tsd-15-1-3","#7d7d92"
"DIN 6164 TSD 15-1-4","6164-tsd-15-1-4","#6b6a7c"
"DIN 6164 TSD 15-1-5","6164-tsd-15-1-5","#575867"
"DIN 6164 TSD 15-1-6","6164-tsd-15-1-6","#444450"
"DIN 6164 TSD 15-1-7","6164-tsd-15-1-7","#3a393f"
"DIN 6164 TSD 15-2-2","6164-tsd-15-2-2","#898cb1"
"DIN 6164 TSD 15-2-3","6164-tsd-15-2-3","#6e7090"
"DIN 6164 TSD 15-2-4","6164-tsd-15-2-4","#5f5f7d"
"DIN 6164 TSD 15-2-5","6164-tsd-15-2-5","#4c4e6a"
"DIN 6164 TSD 15-2-6","6164-tsd-15-2-6","#404054"
"DIN 6164 TSD 15-3-2","6164-tsd-15-3-2","#7b7cb3"
"DIN 6164 TSD 15-3-3","6164-tsd-15-3-3","#636497"
"DIN 6164 TSD 15-3-4","6164-tsd-15-3-4","#525580"
"DIN 6164 TSD 15-3-5","6164-tsd-15-3-5","#454467"
"DIN 6164 TSD 15-4-3","6164-tsd-15-4-3","#5a5d96"
"DIN 6164 TSD 15-4-4","6164-tsd-15-4-4","#494d7e"
"DIN 6164 TSD 15-5-3","6164-tsd-15-5-3","#505699"
"DIN 6164 TSD 15-5-4","6164-tsd-15-5-4","#434480"
"DIN 6164 TSD 16-1-1","6164-tsd-16-1-1","#b3b8cf"
"DIN 6164 TSD 16-1-2","6164-tsd-16-1-2","#939bb0"
"DIN 6164 TSD 16-1-3","6164-tsd-16-1-3","#7a8195"
"DIN 6164 TSD 16-1-4","6164-tsd-16-1-4","#636a7c"
"DIN 6164 TSD 16-1-5","6164-tsd-16-1-5","#525766"
"DIN 6164 TSD 16-1-6","6164-tsd-16-1-6","#434652"
"DIN 6164 TSD 16-1-7","6164-tsd-16-1-7","#393942"
"DIN 6164 TSD 16-2-2","6164-tsd-16-2-2","#7d89b4"
"DIN 6164 TSD 16-2-3","6164-tsd-16-2-3","#697496"
"DIN 6164 TSD 16-2-4","6164-tsd-16-2-4","#555f7c"
"DIN 6164 TSD 16-2-5","6164-tsd-16-2-5","#474e68"
"DIN 6164 TSD 16-2-6","6164-tsd-16-2-6","#3c3f53"
"DIN 6164 TSD 16-3-2","6164-tsd-16-3-2","#6d7db3"
"DIN 6164 TSD 16-3-3","6164-tsd-16-3-3","#596896"
"DIN 6164 TSD 16-3-4","6164-tsd-16-3-4","#49567e"
"DIN 6164 TSD 16-3-5","6164-tsd-16-3-5","#41496c"
"DIN 6164 TSD 16-4-3","6164-tsd-16-4-3","#4a5f98"
"DIN 6164 TSD 16-4-4","6164-tsd-16-4-4","#3e4f7f"
"DIN 6164 TSD 16-4-5","6164-tsd-16-4-5","#364069"
"DIN 6164 TSD 16-5-4","6164-tsd-16-5-4","#324a7e"
"DIN 6164 TSD 17-1-1","6164-tsd-17-1-1","#b2bed0"
"DIN 6164 TSD 17-1-2","6164-tsd-17-1-2","#8c99ab"
"DIN 6164 TSD 17-1-3","6164-tsd-17-1-3","#798595"
"DIN 6164 TSD 17-1-4","6164-tsd-17-1-4","#646f7b"
"DIN 6164 TSD 17-1-5","6164-tsd-17-1-5","#545e68"
"DIN 6164 TSD 17-1-6","6164-tsd-17-1-6","#474b51"
