"MARABU 1623","marabu-1623","#1aa03e"
"MARABU 064","marabu-064","#35c64e"
"MARABU 1624","marabu-1624","#49c042"
"MARABU 1625","marabu-1625","#7ec050"
"MARABU 1626","marabu-1626","#aac74a"
"MARABU 1627","marabu-1627","#93c62f"
"MARABU 1628","marabu-1628","#7dc433"
"MARABU 1629","marabu-1629","#48a82b"
"MARABU 1630","marabu-1630","#00a340"
"MARABU 1631","marabu-1631","#2c6f33"
"MARABU 1632","marabu-1632","#4f7051"
"MARABU 1633","marabu-1633","#43693f"
"MARABU 1634","marabu-1634","#696736"
"MARABU 1635","marabu-1635","#4f7939"
"MARABU 1636","marabu-1636","#4e8923"
"MARABU 1637","marabu-1637","#769712"
"MARABU 1638","marabu-1638","#9d9c23"
"MARABU 1639","marabu-1639","#d2bc41"
"MARABU 1401","marabu-1401","#f5cf80"
"MARABU 1402","marabu-1402","#e3a96c"
"MARABU 1403","marabu-1403","#d88e31"
"MARABU 1404","marabu-1404","#d38320"
"MARABU 1405","marabu-1405","#bc813d"
"MARABU 1406","marabu-1406","#9a7b48"
"MARABU 1407","marabu-1407","#916745"
"MARABU 1408","marabu-1408","#6b4b38"
"MARABU 1409","marabu-1409","#614339"
"MARABU 045","marabu-045","#63483b"
"MARABU 1410","marabu-1410","#4d3934"
"MARABU 1411","marabu-1411","#6c4b4b"
"MARABU 1412","marabu-1412","#88504a"
"MARABU 1413","marabu-1413","#805345"
"MARABU 1414","marabu-1414","#9e4a36"
"MARABU 1415","marabu-1415","#c25e3d"
"MARABU 1701","marabu-1701","#94a1a8"
"MARABU 1702","marabu-1702","#75838c"
"MARABU 1703","marabu-1703","#525d65"
"MARABU 1704","marabu-1704","#485057"
"MARABU 1705","marabu-1705","#373a3f"
"MARABU 073","marabu-073","#242527"
"MARABU 1706","marabu-1706","#45484e"
"MARABU 1707","marabu-1707","#535457"
"MARABU 1708","marabu-1708","#73706f"
"MARABU 1709","marabu-1709","#948d8d"
"MARABU 070","marabu-070","#ede8de"
