"836","836","#a5b9cc"
"834","834","#8da3be"
"333","333","#8290a7"
"332","332","#919aa7"
"356","356","#bfc0d0"
"362","362","#aaabc0"
"330","330","#9ca2bd"
"845","845","#c6cace"
"835","835","#bbcad8"
"863","863","#879c94"
"837","837","#afbfbf"
"811","811","#c7d4d8"
"787","787","#d2dbd8"
"967","967","#b1baa6"
"766","766","#b6c6b0"
"813","813","#b8c6be"
"765","765","#c0cdbb"
"763","763","#d9e1d9"
"155","155","#e0decf"
"160","160","#e5e1c6"
"113","113","#dfe0d8"
"112","112","#e9e6d9"
"118","118","#e3e4ce"
"119","119","#d8ddc7"
"290","290","#a5aa7f"
"291","291","#bcbb91"
"246","246","#ccc7a0"
"244","244","#e6d3a7"
"238","238","#ecd4aa"
"196","196","#ecdebf"
"154","154","#ebe3cd"
"5-8","5-8","#e4d7c3"
"5-10","5-10","#d5c3ae"
"591","591","#ccbdae"
"825","825","#b1aca8"
"592","592","#bab4a2"
"284","284","#a7a592"
"4-4","4-4","#a8a38a"
"969","969","#a4a494"
"989","989","#807c6f"
"172","172","#d7cbba"
"216","216","#bcae9d"
"258","258","#bdac96"
"247","247","#aa977c"
"302","302","#90806e"
"913","913","#d0ccc1"
"951","951","#aeaa9c"
"823","823","#c4c6c9"
"849","849","#a7a4a5"
"875","875","#807976"
"331","331","#abb1bb"
"848","848","#9c9fa6"
"880","880","#7d8192"
"361","361","#bdbecf"
"359","359","#bbb4c1"
"360","360","#d7ccd1"
"357","357","#a79fb0"
"363","363","#9f9aad"
"433","433","#bbb3c0"
"539","539","#846966"
"528","528","#927a75"
"522","522","#92747e"
"478","478","#ae939b"
"430","430","#c9acb0"
"475","475","#b9969a"
"459","459","#a18d87"
"586","586","#c3b7bd"
"585","585","#dec1bb"
"358","358","#dccccf"
"583","583","#e5c3bc"
"589","589","#e1c2b7"
"5-11","5-11","#e3c7b7"
"100","100","#e6d0c8"
"184","184","#e7cdb7"
"226","226","#e6c7a7"
"232","232","#edbd9f"
"190","190","#efc3ad"
"192","192","#dc9e8d"
"234","234","#dc9f8a"
"645","645","#cc9c93"
"643","643","#d79e93"
"679","679","#cb8b7e"
"681","681","#c0897b"
"707","707","#a26b63"
"278","278","#b9715e"
"504","504","#af6552"
"501","501","#ce8b66"
"500","500","#ae6642"
"1011","1011","#914e3f"
"1013","1013","#b06951"
"651","651","#c69b8e"
"663","663","#b79085"
"713","713","#9d6f61"
"725","725","#8f675d"
"1002","1002","#775040"
"1000","1000","#744d45"
