"Flat","flat","#aaafb4"
"KM41771 Haverstraw","km41771-haverstraw","#eaddce"
"KM41781 Chapelle Tint","km41781-chapelle-tint","#e5d3c2"
"KM41791 Tortilla","km41791-tortilla","#d4c0aa"
"KM41802 Brittany Beige","km41802-brittany-beige","#ceb89c"
"KM41812 Under Cover","km41812-under-cover","#baa38b"
"KM41823 Lescamela Vanilla","km41823-lescamela-vanilla","#a2886f"
"KM41833 Gingerbread Man","km41833-gingerbread-man","#937862"
"KM41845 Friars Cloak","km41845-friars-cloak","#826852"
"KM41851 New Zealand Wool","km41851-new-zealand-wool","#f0e9df"
"KM41861 Bohemian","km41861-bohemian","#dbd2c9"
"KM41871 Beige Rage","km41871-beige-rage","#c9bcb1"
"KM41882 Nevada Peak","km41882-nevada-peak","#bdafa2"
"KM41892 Stepping Stone","km41892-stepping-stone","#aa9b8e"
"KM41903 Mocha","km41903-mocha","#99877a"
"KM41913 Brown Town","km41913-brown-town","#87756a"
"KM41925 Raw Earth","km41925-raw-earth","#6a5b50"
"KM41931 Southern Sand","km41931-southern-sand","#e8ded5"
"KM41941 Canton Cotton","km41941-canton-cotton","#e0d4ca"
"KM41951 Walnut Cream","km41951-walnut-cream","#d4c7bc"
"KM41961 Beach Party","km41961-beach-party","#c7b7aa"
"KM41972 Ashbury","km41972-ashbury","#bdac9d"
"KM41982 Antigua Rose","km41982-antigua-rose","#a89485"
"KM41993 Cameroon Bay","km41993-cameroon-bay","#7f6b5f"
"KM42005 Cranberry Craze","km42005-cranberry-craze","#635348"
"AC201-Y Sunlit Plaza","ac201-y-sunlit-plaza","#fcd33b"
"AC202-Y Yellow Pepper","ac202-y-yellow-pepper","#f2b733"
"AC2035 Mustard Field","ac2035-mustard-field","#c8aa30"
"AC2045 Cancun Gold","ac2045-cancun-gold","#cab12c"
"AC2055 Gold Trinket","ac2055-gold-trinket","#b48343"
"AC206-Y Treasure Gold","ac206-y-treasure-gold","#daa051"
"AC2075 End of the Rainbow","ac2075-end-of-the-rainbow","#b98d3e"
"AC208-Y Happy Holiday","ac208-y-happy-holiday","#ffc027"
"AC209-Y Toujours","ac209-y-toujours","#ffb332"
"AC2105 Gilded Vision","ac2105-gilded-vision","#f4a034"
"AC2115 Light My Fire","ac2115-light-my-fire","#ee773a"
"AC2125 Montana Dust","ac2125-montana-dust","#de6143"
"AC2135 High Society","ac2135-high-society","#985244"
"AC2145 Leaf Rust","ac2145-leaf-rust","#9c4b47"
"AC2155 American Rose","ac2155-american-rose","#90444e"
"AC2165 Red Alert","ac2165-red-alert","#a44353"
"AC217-R Terra Rosa","ac217-r-terra-rosa","#ac5151"
"AC218-R Fire Engine","ac218-r-fire-engine","#ca5053"
"AC219-R Christmas Red","ac219-r-christmas-red","#bc484a"
"AC220-R Antoinette Red","ac220-r-antoinette-red","#c05053"
"AC221-R Candy Cane","ac221-r-candy-cane","#bb4d54"
"AC2225 Bright Burgundy","ac2225-bright-burgundy","#794558"
"AC2235 Dark Cherry Tart","ac2235-dark-cherry-tart","#72454a"
"AC2245 Red Raisin","ac2245-red-raisin","#674d4d"
"AC2255 Grape Riot","ac2255-grape-riot","#8d5782"
"AC2265 Fools Fuscia","ac2265-fools-fuscia","#7e496f"
"AC2275 Gailberry","ac2275-gailberry","#6f4861"
"AC2285 Plumbago","ac2285-plumbago","#644a5a"
"AC229-B Inspiration","ac229-b-inspiration","#40434f"
"AC2305 Romantic Knight","ac2305-romantic-knight","#464256"
"AC231-B Royal Wave","ac231-b-royal-wave","#3e4863"
"AC232-B Midnight Interlude","ac232-b-midnight-interlude","#364968"
"AC233-B Inky Sea","ac233-b-inky-sea","#2a5177"
"AC234-B Wavy Navy","ac234-b-wavy-navy","#1d5c82"
"AC235-B Teal Shadow","ac235-b-teal-shadow","#2f566c"
"AC236-B Ahoy Blue","ac236-b-ahoy-blue","#007391"
"AC2375 Sophisticated Teal","ac2375-sophisticated-teal","#3b575f"
"AC2385 Great Blue Green","ac2385-great-blue-green","#00727e"
"AC2395 Equinox","ac2395-equinox","#245e61"
"AC2405 Zaire","ac2405-zaire","#37494a"
"AC241-Y Global Village","ac241-y-global-village","#5d8b57"
"AC2425 Lots of Lime","ac2425-lots-of-lime","#7aad2e"
"AC2435 Baby Sprout","ac2435-baby-sprout","#718950"
"AC2445 Emerald Lights","ac2445-emerald-lights","#316949"
"AC2455 Echo Green","ac2455-echo-green","#2b7654"
"AC2465 Greenback","ac2465-greenback","#3d6c4d"
"AC2475 Deep Loden Green","ac2475-deep-loden-green","#426357"
"AC2485 Bayou Mistery","ac2485-bayou-mistery","#4d5c53"
"AC2495 Rare Earth","ac2495-rare-earth","#65564a"
"AC2505 Umber Shadow","ac2505-umber-shadow","#78654f"
"AC2515 Vermeers Fields","ac2515-vermeers-fields","#5a5349"
"AC2525 Rocky Mountain","ac2525-rocky-mountain","#5e4b45"
"AC2535 Dark Night","ac2535-dark-night","#393d43"
"AC2545 Enigma","ac2545-enigma","#515056"
"AC2555 Draconia","ac2555-draconia","#3f4041"
"AC2565 Dark Glasses","ac2565-dark-glasses","#4c4343"
"AC2575 Iron Ore","ac2575-iron-ore","#464d50"
"AC2585 Roman Chariot","ac2585-roman-chariot","#484a4d"
"AC2595 Dungeon","ac2595-dungeon","#3a4142"
"AC2605 Defense","ac2605-defense","#505151"
