"Krautol Erdbraun 16","krautol-erdbraun-16","#bfb7af"
"Krautol Erdbraun 17","krautol-erdbraun-17","#cec6be"
"Krautol Erdbraun 18","krautol-erdbraun-18","#d8d3cb"
"Krautol Farn 11","krautol-farn-11","#758c5a"
"Krautol Farn 12","krautol-farn-12","#7f9366"
"Krautol Farn 13","krautol-farn-13","#98ad83"
"Krautol Farn 14","krautol-farn-14","#aabb96"
"Krautol Farn 15","krautol-farn-15","#b6c5a6"
"Krautol Farn 16","krautol-farn-16","#c8d7bc"
"Krautol Farn 17","krautol-farn-17","#d8e3cb"
"Krautol Farn 18","krautol-farn-18","#dee6ce"
"Krautol Feuerrot 11","krautol-feuerrot-11","#ce6363"
"Krautol Feuerrot 12","krautol-feuerrot-12","#d47376"
"Krautol Feuerrot 13","krautol-feuerrot-13","#df8a8d"
"Krautol Feuerrot 14","krautol-feuerrot-14","#e59b9e"
"Krautol Feuerrot 15","krautol-feuerrot-15","#ebb7b5"
"Krautol Feuerrot 16","krautol-feuerrot-16","#edcac9"
"Krautol Feuerrot 17","krautol-feuerrot-17","#ebd8d6"
"Krautol Feuerrot 18","krautol-feuerrot-18","#e9e2dd"
"Krautol Graphit 11","krautol-graphit-11","#79766c"
"Krautol Graphit 12","krautol-graphit-12","#8b8a80"
"Krautol Graphit 13","krautol-graphit-13","#a09e95"
"Krautol Graphit 14","krautol-graphit-14","#b4b3ab"
"Krautol Graphit 15","krautol-graphit-15","#c6c5bd"
"Krautol Graphit 16","krautol-graphit-16","#d0d0c7"
"Krautol Graphit 17","krautol-graphit-17","#dcdcd3"
"Krautol Graphit 18","krautol-graphit-18","#e5e5dc"
"Krautol Haselnuss 11","krautol-haselnuss-11","#a77a53"
"Krautol Haselnuss 12","krautol-haselnuss-12","#b48a65"
"Krautol Haselnuss 13","krautol-haselnuss-13","#c7a07e"
"Krautol Haselnuss 14","krautol-haselnuss-14","#d1b191"
"Krautol Haselnuss 15","krautol-haselnuss-15","#d8bea1"
"Krautol Haselnuss 16","krautol-haselnuss-16","#e0cdb5"
"Krautol Haselnuss 17","krautol-haselnuss-17","#ebd9c4"
"Krautol Haselnuss 18","krautol-haselnuss-18","#eee3d1"
"Krautol Jasmin 11","krautol-jasmin-11","#9b815a"
"Krautol Jasmin 12","krautol-jasmin-12","#ab936b"
"Krautol Jasmin 13","krautol-jasmin-13","#bca47e"
"Krautol Jasmin 14","krautol-jasmin-14","#ccb794"
"Krautol Jasmin 15","krautol-jasmin-15","#d3c3a4"
"Krautol Jasmin 16","krautol-jasmin-16","#e3d5bc"
"Krautol Jasmin 17","krautol-jasmin-17","#e8ddc7"
"Krautol Jasmin 18","krautol-jasmin-18","#eae4d1"
"Krautol Khaki 11","krautol-khaki-11","#81775d"
"Krautol Khaki 12","krautol-khaki-12","#928971"
"Krautol Khaki 13","krautol-khaki-13","#a49c84"
"Krautol Khaki 14","krautol-khaki-14","#b5af9a"
"Krautol Khaki 15","krautol-khaki-15","#c2bca8"
"Krautol Khaki 16","krautol-khaki-16","#d0cbb9"
"Krautol Khaki 17","krautol-khaki-17","#dbd9cb"
