"Fasson EM 18 Grasgruen","fasson-em-18-grasgruen","#449052"
"Fasson EM 06 Kaktusgruen","fasson-em-06-kaktusgruen","#008e5f"
"Fasson EM 19 Waldgruen","fasson-em-19-waldgruen","#365d4b"
"Fasson EM 12 Dunkelblau","fasson-em-12-dunkelblau","#435173"
"Fasson EM 20 Ultramarinblau","fasson-em-20-ultramarinblau","#3f5886"
"Fasson EM 05 Blau","fasson-em-05-blau","#356791"
"Fasson EM 21 Intensivblau","fasson-em-21-intensivblau","#007cb2"
"Fasson EM 10 Hellblau","fasson-em-10-hellblau","#2d8ac1"
"Fasson EM 22 Violett","fasson-em-22-violett","#785086"
"Fasson EM 23 Lila","fasson-em-23-lila","#a796c1"
"Fasson EM 24 Magenta","fasson-em-24-magenta","#c9558b"
"Fasson EM 25 Lachs","fasson-em-25-lachs","#ea9980"
"Fasson EM 07 Braun","fasson-em-07-braun","#5b4b46"
"Fasson EM 26 Hellbraun","fasson-em-26-hellbraun","#8d6f5a"
"Fasson EM 27 Beige","fasson-em-27-beige","#eed9b7"
"Fasson EM 08 Grau","fasson-em-08-grau","#8d959b"
"Fasson EM 02 Schwarz","fasson-em-02-schwarz","#474b4c"
"Fasson EM 01 Weiss","fasson-em-01-weiss","#f6faf8"
"Fasson EG 03 Geranienrot","fasson-eg-03-geranienrot","#9d2628"
"Fasson EG 11 Hellrot","fasson-eg-11-hellrot","#b9201e"
"Fasson EG 09 Orange","fasson-eg-09-orange","#f66d16"
"Fasson EG 04 Primelgelb","fasson-eg-04-primelgelb","#ffc000"
"Fasson EG 06 Kaktusgruen","fasson-eg-06-kaktusgruen","#008451"
"Fasson EG 12 Dunkelblau","fasson-eg-12-dunkelblau","#263b66"
"Fasson EG 05 Blau","fasson-eg-05-blau","#005889"
"Fasson EG 10 Hellblau","fasson-eg-10-hellblau","#007ebd"
"Fasson EG 07 Braun","fasson-eg-07-braun","#4a322a"
"Fasson EG 08 Grau","fasson-eg-08-grau","#848c93"
"Fasson EG 02 Schwarz","fasson-eg-02-schwarz","#161819"
"Fasson EG 01 Weiss","fasson-eg-01-weiss","#f5f9fd"
"Fasson Gold glaenzend","fasson-gold-glaenzend","#676451"
"Fasson Silber glaenzend","fasson-silber-glaenzend","#4c5156"
"Fasson Signmask Blau","fasson-signmask-blau","#a5d0d3"
"Fasson Signmask opak","fasson-signmask-opak","#f7f8f3"
"Fasson Rubyscreen ","fasson-rubyscreen","#87000d"
"Fasson Amberscreen ","fasson-amberscreen","#9b4524"
"Fasson FasCal Etched Glass Film","fasson-fascal-etched-glass-film","#acb5b0"
