"Alligator 3190-1","3190-1","#8a644a"
"Alligator 3191-2","3191-2","#b6937a"
"Alligator 3192-3","3192-3","#cbad97"
"Alligator 3193-4","3193-4","#d6bca9"
"Alligator 3194-5","3194-5","#e8d4c3"
"Alligator 3195-6","3195-6","#eddecf"
"Alligator 3196-7","3196-7","#f3e7d8"
"Alligator 3200-1","3200-1","#936b49"
"Alligator 3201-2","3201-2","#b89370"
"Alligator 3202-3","3202-3","#cda889"
"Alligator 3203-4","3203-4","#ddbda2"
"Alligator 3204-5","3204-5","#e7ceb6"
"Alligator 3205-6","3205-6","#efdcc9"
"Alligator 3206-7","3206-7","#f2e4d3"
"Alligator 3210-1","3210-1","#775c48"
"Alligator 3211-2","3211-2","#a58c75"
"Alligator 3212-3","3212-3","#bba694"
"Alligator 3213-4","3213-4","#ccb9a9"
"Alligator 3214-5","3214-5","#dfcfc2"
"Alligator 3215-6","3215-6","#e4d7c9"
"Alligator 3216-7","3216-7","#ece4da"
"Alligator 3220-1","3220-1","#745e4b"
"Alligator 3221-2","3221-2","#9b8976"
"Alligator 3222-3","3222-3","#b5a492"
"Alligator 3223-4","3223-4","#c3b5a5"
"Alligator 3224-5","3224-5","#d9cdc0"
"Alligator 3225-6","3225-6","#e4dace"
"Alligator 3226-7","3226-7","#ebe2d7"
"Alligator 3230-1","3230-1","#706355"
"Alligator 3231-2","3231-2","#9c9185"
"Alligator 3232-3","3232-3","#b3aa9e"
"Alligator 3233-4","3233-4","#c2baaf"
"Alligator 3234-5","3234-5","#d6cfc5"
"Alligator 3235-6","3235-6","#e2dcd0"
"Alligator 3236-7","3236-7","#ebe6da"
"Alligator 3240-1","3240-1","#696459"
"Alligator 3241-2","3241-2","#938f85"
"Alligator 3242-3","3242-3","#adaaa0"
"Alligator 3243-4","3243-4","#bdb8b1"
"Alligator 3244-5","3244-5","#d3cfc8"
"Alligator 3245-6","3245-6","#dddad2"
"Alligator 3246-7","3246-7","#e6e3dc"
"Alligator 3250-1","3250-1","#56636a"
"Alligator 3251-2","3251-2","#7c909b"
"Alligator 3252-3","3252-3","#95a9b4"
"Alligator 3253-4","3253-4","#a5b9c2"
"Alligator 3254-5","3254-5","#c1d1d5"
"Alligator 3255-6","3255-6","#ced8d9"
"Alligator 3256-7","3256-7","#dfe6e5"
"Alligator 3260-1","3260-1","#506473"
"Alligator 3261-2","3261-2","#728ea0"
"Alligator 3262-3","3262-3","#8facbd"
"Alligator 3263-4","3263-4","#a1bccb"
"Alligator 3264-5","3264-5","#b9cdd7"
"Alligator 3265-6","3265-6","#cddbe1"
"Alligator 3266-7","3266-7","#d7e2e4"
"Alligator 3300","3300","#a09375"
"Alligator 3301","3301","#bcb192"
"Alligator 3302","3302","#d2c4a6"
"Alligator 3303","3303","#d7d2be"
"Alligator 3304","3304","#eae5d6"
"Alligator 3305","3305","#bab071"
"Alligator 3306","3306","#cec294"
"Alligator 3307","3307","#dfc274"
"Alligator 3308","3308","#f2d79a"
"Alligator 3309","3309","#f2e2a0"
"Alligator 3310","3310","#bdbc9f"
"Alligator 3311","3311","#ded4ab"
"Alligator 3312","3312","#b6b6ad"
"Alligator 3313","3313","#c9c5b8"
"Alligator 3314","3314","#c7c0b3"
"Alligator 3315","3315","#8b6e5b"
"Alligator 3316","3316","#af8d73"
"Alligator 3317","3317","#bea98a"
"Alligator 3318","3318","#d3bc96"
"Alligator 3319","3319","#e2ceb0"
"Alligator 3320","3320","#a45a51"
"Alligator 3321","3321","#c8673c"
"Alligator 3322","3322","#cb927c"
"Alligator 3323","3323","#cf916c"
"Alligator 3324","3324","#dcad6e"
"Alligator 3325","3325","#55555d"
"Alligator 3326","3326","#47686c"
"Alligator 3327","3327","#3d6b5d"
"Alligator 3328","3328","#9b8d61"
"Alligator 3329","3329","#bf8c46"
"Alligator 3500","3500","#52504f"
"Alligator 3501","3501","#797878"
"Alligator 3502","3502","#939290"
"Alligator 3503","3503","#b6b5b2"
"Alligator 3504","3504","#d3d3ce"
"Alligator 3505","3505","#eeede5"
"Alligator 3506","3506","#6f6e6a"
"Alligator 3507","3507","#95938f"
"Alligator 3508","3508","#bebdb5"
"Alligator 3509","3509","#d5d4cc"
"Alligator 3510","3510","#f0efe3"
