"S 0560-Y","s-0560-y","#fccf4d"
"S 4030-Y10R","s-4030-y10r","#a38353"
"S 5030-Y10R","s-5030-y10r","#8f734b"
"S 6030-Y10R","s-6030-y10r","#745834"
"S 2010-Y30R","s-2010-y30r","#d6c1a6"
"S 2020-Y30R","s-2020-y30r","#d4b28c"
"S 2030-Y30R","s-2030-y30r","#d6a575"
"S 3030-Y30R","s-3030-y30r","#bc9065"
"S 4030-Y30R","s-4030-y30r","#a97c55"
"S 5030-Y30R","s-5030-y30r","#906a49"
"S 6030-Y30R","s-6030-y30r","#785437"
"S 2010-Y50R","s-2010-y50r","#d1b8a3"
"S 2020-Y50R","s-2020-y50r","#d2a88c"
"S 2030-Y50R","s-2030-y50r","#d79b79"
"S 3030-Y50R","s-3030-y50r","#bf8668"
"S 4030-Y50R","s-4030-y50r","#a47257"
"S 5030-Y50R","s-5030-y50r","#8f624a"
"S 6030-Y50R","s-6030-y50r","#76482f"
"S 2010-Y70R","s-2010-y70r","#d0b8aa"
"S 2020-Y70R","s-2020-y70r","#d1a796"
"S 2030-Y70R","s-2030-y70r","#d39580"
"S 3030-Y70R","s-3030-y70r","#b9806d"
"S 4030-Y70R","s-4030-y70r","#a16a5a"
"S 5030-Y70R","s-5030-y70r","#8b594a"
"S 5040-Y70R","s-5040-y70r","#804231"
"S 2010-Y90R","s-2010-y90r","#c8b2ab"
"S 2020-Y90R","s-2020-y90r","#cda49c"
"S 2030-Y90R","s-2030-y90r","#cb9089"
"S 3030-Y90R","s-3030-y90r","#b27973"
"S 4030-Y90R","s-4030-y90r","#9b6762"
"S 5030-Y90R","s-5030-y90r","#82534f"
"S 5540-Y90R","s-5540-y90r","#622d2c"
"S 2010-R10B","s-2010-r10b","#cab6b6"
"S 2020-R10B","s-2020-r10b","#c9a5a8"
"S 2030-R10B","s-2030-r10b","#c7929b"
"S 3030-R10B","s-3030-r10b","#af7c85"
"S 4030-R10B","s-4030-r10b","#96646c"
"S 5030-R10B","s-5030-r10b","#7e5058"
"S 5040-R30B","s-5040-r30b","#703439"
"S 2010-R30B","s-2010-r30b","#c4b6bb"
"S 2020-R30B","s-2020-r30b","#c6a9b6"
"S 2030-R30B","s-2030-r30b","#c598ad"
"S 3030-R30B","s-3030-r30b","#a97c92"
"S 4030-R30B","s-4030-r30b","#91667d"
"S 5030-R30B","s-5030-r30b","#795066"
"S 5040-R20B","s-5040-r20b","#632b3f"
"S 2010-R50B","s-2010-r50b","#c2bbc5"
"S 2020-R50B","s-2020-r50b","#b9abc2"
"S 2030-R50B","s-2030-r50b","#b39cbb"
"S 3030-R50B","s-3030-r50b","#9b85a7"
"S 4030-R50B","s-4030-r50b","#876e91"
"S 5030-R50B","s-5030-r50b","#6c5575"
"S 6030-R50B","s-6030-r50b","#4d3353"
"S 2010-R60B","s-2010-r60b","#bcbcc6"
"S 2020-R60B","s-2020-r60b","#b1afc6"
"S 2030-R60B","s-2030-r60b","#a7a2c4"
"S 3030-R60B","s-3030-r60b","#8e89ae"
"S 4030-R60B","s-4030-r60b","#756f94"
"S 5030-R60B","s-5030-r60b","#5d577c"
"S 6030-R60B","s-6030-r60b","#41385c"
"S 2010-R70B","s-2010-r70b","#b7bdc8"
"S 2020-R70B","s-2020-r70b","#a8b0c5"
"S 2030-R70B","s-2030-r70b","#98a3c4"
"S 3030-R70B","s-3030-r70b","#818bae"
"S 4030-R70B","s-4030-r70b","#6f799e"
"S 5030-R70B","s-5030-r70b","#575e83"
"S 6030-R70B","s-6030-r70b","#323961"
"S 2010-R90B","s-2010-r90b","#b4c1c7"
"S 2020-R90B","s-2020-r90b","#9db4c5"
"S 2030-R90B","s-2030-r90b","#86a9c1"
"S 3030-R90B","s-3030-r90b","#7192ae"
"S 4030-R90B","s-4030-r90b","#5f7f9a"
"S 5030-R90B","s-5030-r90b","#486581"
"S 6030-R90B","s-6030-r90b","#284862"
"S 2010-B10G","s-2010-b10g","#b1bfc1"
"S 2020-B10G","s-2020-b10g","#93b6be"
"S 2030-B10G","s-2030-b10g","#7fb1bf"
"S 3030-B10G","s-3030-b10g","#699aa8"
"S 4030-B10G","s-4030-b10g","#508291"
"S 5030-B10G","s-5030-b10g","#3e6c7b"
"S 6030-B10G","s-6030-b10g","#1e515f"
"S 2010-B50G","s-2010-b50g","#b1c2c0"
"S 2020-B50G","s-2020-b50g","#96bbb8"
"S 2030-B50G","s-2030-b50g","#7cb6b1"
"S 3030-B50G","s-3030-b50g","#68a09d"
"S 4030-B50G","s-4030-b50g","#508784"
"S 5030-B50G","s-5030-b50g","#3c7370"
"S 6030-B50G","s-6030-b50g","#195351"
"S 2010-B90G","s-2010-b90g","#b3c6bc"
"S 2020-B90G","s-2020-b90g","#9bbeae"
"S 2030-B90G","s-2030-b90g","#82bba4"
"S 3030-B90G","s-3030-b90g","#67a18a"
"S 4030-B90G","s-4030-b90g","#538875"
"S 5030-B90G","s-5030-b90g","#39705e"
"S 6030-B90G","s-6030-b90g","#1e5746"
"S 2010-G10Y","s-2010-g10y","#b5c4b5"
"S 2020-G10Y","s-2020-g10y","#a2bea2"
"S 2030-G10Y","s-2030-g10y","#8cb793"
"S 3030-G10Y","s-3030-g10y","#7ba480"
"S 4030-G10Y","s-4030-g10y","#628969"
"S 5030-G10Y","s-5030-g10y","#4e7456"
"S 6030-G10Y","s-6030-g10y","#345a3f"
"S 2010-G30Y","s-2010-g30y","#b9c2b0"
"S 2020-G30Y","s-2020-g30y","#aebf9c"
"S 2030-G30Y","s-2030-g30y","#9db686"
"S 3030-G30Y","s-3030-g30y","#869f72"
"S 4030-G30Y","s-4030-g30y","#728860"
"S 5030-G30Y","s-5030-g30y","#5d714c"
"S 6030-G30Y","s-6030-g30y","#475c3b"
"S 2010-G50Y","s-2010-g50y","#c0c5ad"
"S 2020-G50Y","s-2020-g50y","#b4bb92"
"S 2030-G50Y","s-2030-g50y","#afba80"
"S 3030-G50Y","s-3030-g50y","#98a06b"
"S 4030-G50Y","s-4030-g50y","#808757"
"S 5030-G50Y","s-5030-g50y","#6d7248"
"S 6030-G50Y","s-6030-g50y","#575b34"
"S 2010-G70Y","s-2010-g70y","#c3c2a7"
"S 2020-G70Y","s-2020-g70y","#bfbe8e"
"S 2030-G70Y","s-2030-g70y","#bbba7a"
"S 3030-G70Y","s-3030-g70y","#a3a165"
"S 4030-G70Y","s-4030-g70y","#908c58"
"S 5030-G70Y","s-5030-g70y","#7c774a"
"S 6030-G70Y","s-6030-g70y","#5e5a30"
"S 2010-G90Y","s-2010-g90y","#c8bfa1"
"S 2020-G90Y","s-2020-g90y","#c8bd8e"
"S 2030-G90Y","s-2030-g90y","#c4b673"
"S 3030-G90Y","s-3030-g90y","#b19f61"
"S 4030-G90Y","s-4030-g90y","#9a8955"
"S 5030-G90Y","s-5030-g90y","#847544"
"S 6030-G90Y","s-6030-g90y","#6a5b33"
"S 3010-Y","s-3010-y","#b5aa8d"
"S 3020-Y10R","s-3020-y10r","#baa179"
"S 4020-Y10R","s-4020-y10r","#a08965"
"S 5020-Y10R","s-5020-y10r","#8b7555"
"S 6020-Y10R","s-6020-y10r","#786246"
"S 7020-Y10R","s-7020-y10r","#5f4a33"
"S 8010-Y10R","s-8010-y10r","#4e4133"
"S 3010-Y30R","s-3010-y30r","#bba78e"
"S 3020-Y30R","s-3020-y30r","#bb9975"
"S 4020-Y30R","s-4020-y30r","#a78768"
"S 5020-Y30R","s-5020-y30r","#8d6e50"
"S 6020-Y20R","s-6020-y20r","#795f44"
"S 7020-Y30R","s-7020-y30r","#624733"
"S 7020-Y30R","s-7020-y30r","#634d37"
"S 3010-Y50R","s-3010-y50r","#bca493"
"S 3020-Y50R","s-3020-y50r","#be957c"
"S 4020-Y50R","s-4020-y50r","#a57e67"
"S 5020-Y50R","s-5020-y50r","#906d58"
"S 6020-Y50R","s-6020-y50r","#7c5946"
"S 7020-Y50R","s-7020-y50r","#614133"
"S 8010-Y50R","s-8010-y50r","#4b3b31"
"S 3010-Y70R","s-3010-y70r","#b8a094"
"S 3020-Y70R","s-3020-y70r","#bc9282"
"S 4020-Y70R","s-4020-y70r","#a27b6d"
"S 5020-Y70R","s-5020-y70r","#90685b"
"S 6020-Y70R","s-6020-y70r","#7a5548"
"S 7020-Y70R","s-7020-y70r","#5b3930"
"S 7020-Y70R","s-7020-y70r","#5e3f32"
"S 3010-Y90R","s-3010-y90r","#b29f99"
"S 3020-Y90R","s-3020-y90r","#b58d86"
"S 4020-Y90R","s-4020-y90r","#9e7772"
"S 5020-Y90R","s-5020-y90r","#87625d"
"S 6020-Y90R","s-6020-y90r","#724f4b"
"S 6030-Y90R","s-6030-y90r","#663734"
"S 7020-Y90R","s-7020-y90r","#543533"
"S 3010-R10B","s-3010-r10b","#b6a4a5"
"S 3020-R10B","s-3020-r10b","#b49196"
"S 4020-R10B","s-4020-r10b","#9c7a80"
"S 5020-R10B","s-5020-r10b","#856166"
"S 6020-R10B","s-6020-r10b","#6f4d53"
"S 7020-R","s-7020-r","#553638"
"S 8010-Y90R","s-8010-y90r","#463332"
"S 3010-R30B","s-3010-r30b","#b0a1a9"
"S 3020-R30B","s-3020-r30b","#aa909e"
"S 4020-R30B","s-4020-r30b","#997c8c"
"S 5020-R30B","s-5020-r30b","#836676"
"S 6020-R30B","s-6020-r30b","#694a5b"
"S 7020-R30B","s-7020-r30b","#4d3343"
"S 8010-R30B","s-8010-r30b","#392d36"
"S 3010-R50B","s-3010-r50b","#aca6b2"
"S 3020-R50B","s-3020-r50b","#a698af"
"S 4020-R50B","s-4020-r50b","#908197"
"S 5020-R50B","s-5020-r50b","#776980"
"S 6020-R50B","s-6020-r50b","#604e65"
"S 7020-R50B","s-7020-r50b","#44334a"
"S 8010-R50B","s-8010-r50b","#3a3040"
"S 3010-R60B","s-3010-r60b","#a9a9b7"
"S 3020-R70B","s-3020-r70b","#929bb0"
"S 4020-R70B","s-4020-r70b","#7b849d"
"S 5020-R70B","s-5020-r70b","#696f87"
"S 6020-R70B","s-6020-r70b","#4f5570"
"S 7020-R70B","s-7020-r70b","#373c57"
"S 8010-R70B","s-8010-r70b","#414451"
"S 3010-R90B","s-3010-r90b","#9da9b3"
"S 3020-R90B","s-3020-r90b","#869db1"
"S 4020-R90B","s-4020-r90b","#71879b"
"S 5020-R90B","s-5020-r90b","#5f7487"
"S 6020-R90B","s-6020-r90b","#425a70"
"S 7020-R90B","s-7020-r90b","#263d50"
"S 7020-R80B","s-7020-r80b","#2b3b53"
"S 3010-B10G","s-3010-b10g","#98a9ae"
"S 3020-B10G","s-3020-b10g","#83a4ae"
"S 4020-B10G","s-4020-b10g","#6f8e98"
"S 5020-B10G","s-5020-b10g","#587782"
"S 6020-B10G","s-6020-b10g","#405e68"
"S 7020-B10G","s-7020-b10g","#284751"
"S 8010-B10G","s-8010-b10g","#313c42"
"S 3010-B50G","s-3010-b50g","#9aadac"
"S 3020-B50G","s-3020-b50g","#83a9a6"
"S 4020-B50G","s-4020-b50g","#6d9291"
"S 5020-B50G","s-5020-b50g","#577c7a"
"S 6020-B50G","s-6020-b50g","#446565"
"S 6035-B50G","s-6035-b50g","#004f46"
"S 6530-B50G","s-6530-b50g","#275653"
"S 3010-B90G","s-3010-b90g","#a1b2aa"
"S 3020-B90G","s-3020-b90g","#83a99a"
"S 4020-B90G","s-4020-b90g","#709284"
"S 5020-B90G","s-5020-b90g","#5c7e70"
"S 6020-B90G","s-6020-b90g","#426559"
"S 7020-B90G","s-7020-b90g","#294b40"
"S 8010-B90G","s-8010-b90g","#34433d"
"S 3010-G10Y","s-3010-g10y","#9dad9e"
"S 3020-G10Y","s-3020-g10y","#8ea990"
"S 4020-G10Y","s-4020-g10y","#78937c"
"S 5020-G10Y","s-5020-g10y","#5f7b66"
"S 5020-G10Y","s-5020-g10y","#4d6652"
"S 6020-G10Y","s-6020-g10y","#2f5239"
"S 6530-G10Y","s-6530-g10y","#3d5442"
"S 7020-G10Y","s-7020-g10y","#a8b4a1"
"S 3010-G30Y","s-3010-g30y","#97a988"
"S 3020-G30Y","s-3020-g30y","#829275"
"S 4020-G30Y","s-4020-g30y","#6d7d61"
"S 5020-G30Y","s-5020-g30y","#58674d"
"S 6020-G30Y","s-6020-g30y","#404e36"
"S 7020-G30Y","s-7020-g30y","#414a3d"
"S 8010-G30Y","s-8010-g30y","#a9af97"
"S 3010-G50Y","s-3010-g50y","#a9af97"
"S 3020-G50Y","s-3020-g50y","#a6ad84"
"S 4020-G50Y","s-4020-g50y","#8c946d"
"S 5020-G50Y","s-5020-g50y","#767b5a"
"S 6020-G50Y","s-6020-g50y","#646a4c"
"S 6530-G50Y","s-6530-g50y","#515532"
"S 8010-G50Y","s-8010-g50y","#4a4d41"
"S 3010-G70Y","s-3010-g70y","#aeae95"
"S 3020-G70Y","s-3020-g70y","#a9a77e"
"S 4020-G70Y","s-4020-g70y","#96956f"
"S 5020-G70Y","s-5020-g70y","#7f7d5c"
"S 6020-G70Y","s-6020-g70y","#6a684a"
"S 7020-G70Y","s-7020-g70y","#525037"
"S 8010-G70Y","s-8010-g70y","#444235"
"S 2005-Y20R","s-2005-y20r","#cfc7b6"
"S 3005-Y20R","s-3005-y20r","#b6ac9b"
"S 4005-Y20R","s-4005-y20r","#a29789"
"S 5005-Y20R","s-5005-y20r","#908779"
"S 6005-Y20R","s-6005-y20r","#7a7064"
"S 7005-Y20R","s-7005-y20r","#635c53"
"S 8005-Y20R","s-8005-y20r","#4e463e"
"S 2005-Y80R","s-2005-y80r","#cbc0ba"
"S 3005-Y80R","s-3005-y80r","#b9aca6"
"S 4005-Y80R","s-4005-y80r","#a29691"
"S 5005-Y80R","s-5005-y80r","#8c817d"
"S 6005-Y80R","s-6005-y80r","#7a6f6b"
"S 7005-Y80R","s-7005-y80r","#645956"
"S 8005-Y80R","s-8005-y80r","#493e3a"
"S 2005-R20B","s-2005-r20b","#c8bfc1"
"S 3005-R20B","s-3005-r20b","#b5adae"
"S 4005-R20B","s-4005-r20b","#9b9295"
"S 5005-R20B","s-5005-r20b","#8b8284"
"S 6005-R20B","s-6005-r20b","#776c70"
"S 7005-R20B","s-7005-r20b","#645a5d"
"S 8005-R20B","s-8005-r20b","#443a3e"
"S 2005-R50B","s-2005-r50b","#c5c2c7"
"S 3005-R50B","s-3005-r50b","#afadb3"
"S 4005-R50B","s-4005-r50b","#98969c"
"S 5005-R50B","s-5005-r50b","#87848a"
"S 6005-R50B","s-6005-r50b","#716f76"
"S 7005-R50B","s-7005-r50b","#5d5b61"
"S 8005-R50B","s-8005-r50b","#37343d"
"S 2005-R80B","s-2005-r80b","#c2c7cb"
"S 3005-R80B","s-3005-r80b","#acb1b6"
"S 4005-R80B","s-4005-r80b","#949aa0"
"S 5005-R80B","s-5005-r80b","#81858a"
"S 6005-R80B","s-6005-r80b","#6c7077"
"S 7005-R80B","s-7005-r80b","#5a5e65"
"S 8005-R80B","s-8005-r80b","#3f4249"
"S 2005-B80G","s-2005-b80g","#bcc7c3"
"S 3005-B80G","s-3005-b80g","#a5afac"
"S 4005-B80G","s-4005-b80g","#929c99"
"S 5005-B80G","s-5005-b80g","#808b87"
"S 6005-B80G","s-6005-b80g","#6c7572"
"S 7005-B80G","s-7005-b80g","#565f5c"
"S 8005-B80G","s-8005-b80g","#37403d"
"S 2005-G20Y","s-2005-g20y","#c2c9bf"
"S 3005-G20Y","s-3005-g20y","#aab1a8"
"S 4005-G20Y","s-4005-g20y","#959c94"
"S 5005-G20Y","s-5005-g20y","#7f877e"
"S 6005-G20Y","s-6005-g20y","#6b746b"
"S 7005-G20Y","s-7005-g20y","#5b6159"
"S 8005-G20Y","s-8005-g20y","#3d443d"
"S 2005-G70Y","s-2005-g70y","#c7c8b9"
"S 3005-G70Y","s-3005-g70y","#b6b5a4"
"S 4005-G70Y","s-4005-g70y","#9a9989"
"S 5005-G70Y","s-5005-g70y","#888779"
"S 6005-G70Y","s-6005-g70y","#767468"
"S 7005-G70Y","s-7005-g70y","#636257"
"S 8005-G70Y","s-8005-g70y","#44433b"
"S 1005-Y10R","s-1005-y10r","#e5dfcc"
"S 2005-Y10R","s-2005-y10r","#cfc8b4"
"S 3010-Y10R","s-3010-y10r","#baac90"
"S 4010-Y10R","s-4010-y10r","#a79a81"
"S 5010-Y10R","s-5010-y10r","#92836e"
"S 6010-Y10R","s-6010-y10r","#7d705e"
"S 7010-Y10R","s-7010-y10r","#685b4b"
"S 1005-Y60R","s-1005-y60r","#e6dace"
"S 2005-Y60R","s-2005-y60r","#cec3b9"
"S 3010-Y60R","s-3010-y60r","#b9a293"
"S 4010-Y50R","s-4010-y50r","#a89384"
"S 5010-Y50R","s-5010-y50r","#927c6f"
"S 6010-Y50R","s-6010-y50r","#7d685c"
"S 7010-Y50R","s-7010-y50r","#6b564b"
"S 1005-R","s-1005-r","#e4d9d4"
"S 2005-R","s-2005-r","#cbc2bf"
"S 3010-R","s-3010-r","#b39d9c"
"S 4010-Y90R","s-4010-y90r","#a08c88"
"S 5010-Y90R","s-5010-y90r","#8a7571"
"S 6010-Y90R","s-6010-y90r","#7a6461"
"S 7010-Y90R","s-7010-y90r","#624e4b"
"S 1005-R40B","s-1005-r40b","#e2dde0"
"S 2005-R40B","s-2005-r40b","#c9c3c6"
"S 3010-R40B","s-3010-r40b","#aca0ab"
"S 4010-R30B","s-4010-r30b","#9e8d96"
"S 5010-R30B","s-5010-r30b","#897881"
"S 6010-R30B","s-6010-r30b","#72606b"
"S 7010-R30B","s-7010-r30b","#5a4a54"
"S 1005-R70B","s-1005-r70b","#dee1e4"
"S 2005-R70B","s-2005-r70b","#c2c5ca"
"S 3010-R70B","s-3010-r70b","#a8adb8"
"S 4010-R70B","s-4010-r70b","#9095a1"
"S 5010-R70B","s-5010-r70b","#797d89"
"S 6010-R70B","s-6010-r70b","#686d7a"
"S 7010-R70B","s-7010-r70b","#4d505f"
"S 1005-B","s-1005-b","#dbe3e3"
"S 2005-B","s-2005-b","#bec6c9"
"S 3010-B","s-3010-b","#9cacb3"
"S 4010-B10G","s-4010-b10g","#88989d"
"S 5010-B10G","s-5010-b10g","#748389"
"S 6010-B10G","s-6010-b10g","#627176"
"S 7010-B10G","s-7010-b10g","#4a595f"
"S 1005-G","s-1005-g","#dce2da"
"S 2005-G","s-2005-g","#bfc7bf"
"S 3010-G","s-3010-g","#9eafa4"
"S 4010-B90G","s-4010-b90g","#869992"
"S 5010-B90G","s-5010-b90g","#70847c"
"S 6010-B90G","s-6010-b90g","#62736c"
"S 7010-B90G","s-7010-b90g","#4a5a54"
"S 1005-G40Y","s-1005-g40y","#e1e4d6"
"S 2005-G40Y","s-2005-g40y","#c6c9bd"
"S 3010-G40Y","s-3010-g40y","#a8ad99"
"S 4010-G30Y","s-4010-g30y","#8f9988"
"S 5010-G30Y","s-5010-g30y","#7e8779"
"S 6010-G30Y","s-6010-g30y","#6b7466"
"S 7010-G30Y","s-7010-g30y","#545d50"
"S 1005-G80Y","s-1005-g80y","#e5e3d2"
"S 2005-G80Y","s-2005-g80y","#cacab6"
"S 3010-G80Y","s-3010-g80y","#aeac93"
"S 4010-G70Y","s-4010-g70y","#999982"
"S 5010-G70Y","s-5010-g70y","#878671"
"S 6010-G70Y","s-6010-g70y","#73725f"
"S 7010-G70Y","s-7010-g70y","#5b5a47"
"S 0503-G94Y","s-0503-g94y","#f7f3e5"
"S 0502-Y","s-0502-y","#f4f0e3"
"S 1002-Y","s-1002-y","#e1dfd4"
"S 1502-Y","s-1502-y","#d5d3c9"
"S 2502-Y","s-2502-y","#b8b6ac"
"S 4502-Y","s-4502-y","#94928b"
"S 6502-Y","s-6502-y","#6f6d67"
"S 0502-Y46R","s-0502-y46r","#f4eee4"
"S 0502-Y50R","s-0502-y50r","#f4ede2"
"S 1002-Y50R","s-1002-y50r","#e6e1d8"
"S 1502-Y50R","s-1502-y50r","#d9d3ca"
"S 3502-Y","s-3502-y","#a8a69e"
"S 5502-Y","s-5502-y","#828079"
"S 7502-Y","s-7502-y","#5a5853"
"S 0402-Y72R","s-0402-y72r","#f6f1e9"
"S 0502-R","s-0502-r","#f4ede7"
"S 1002-R","s-1002-r","#e4dfdb"
"S 1502-R","s-1502-r","#d6d2cf"
"S 3502-R","s-3502-r","#a8a4a3"
"S 5502-R","s-5502-r","#837e7e"
"S 7502-R","s-7502-r","#5b5554"
"S 0601-Y72R","s-0601-y72r","#f5f1eb"
"S 0502-R50B","s-0502-r50b","#f0edea"
"S 1002-R50B","s-1002-r50b","#dfdfde"
"S 1502-R50B","s-1502-r50b","#d4d3d3"
"S 2502-R","s-2502-r","#bdb9b9"
"S 4502-R","s-4502-r","#969291"
"S 6502-R","s-6502-r","#706a6a"
"S 0402-G03Y","s-0402-g03y","#f6f5ed"
"S 0502-B","s-0502-b","#ecf0ed"
"S 1002-B","s-1002-b","#dce1e2"
"S 1502-B","s-1502-b","#cfd4d3"
"S 2502-B","s-2502-b","#b7bbbc"
"S 4502-B","s-4502-b","#909497"
"S 6502-B","s-6502-b","#686c6e"
"S 0603-B62G","s-0603-b62g","#eef1eb"
"S 0502-B50G","s-0502-b50g","#eaefea"
"S 1002-B50G","s-1002-b50g","#dce1de"
"S 1502-B50G","s-1502-b50g","#d3d7d3"
"S 3502-B","s-3502-b","#9fa3a4"
"S 5502-B","s-5502-b","#7c8082"
"S 7502-B","s-7502-b","#515455"
"S 0602-G13Y","s-0602-g13y","#f0f0e9"
"S 0502-G","s-0502-g","#ebeee7"
"S 1002-G","s-1002-g","#dde1db"
"S 1502-G","s-1502-g","#cfd3ce"
"S 3502-G","s-3502-g","#a2a6a3"
"S 5502-G","s-5502-g","#7d817e"
"S 7502-G","s-7502-g","#525654"
"S 0503-G62Y","s-0503-g62y","#f3f3e8"
"S 0502-G50Y","s-0502-g50y","#f0f2e7"
"S 1002-G50Y","s-1002-g50y","#e2e3da"
"S 1502-G50Y","s-1502-g50y","#d4d6cf"
"S 2502-G","s-2502-g","#b8bdb9"
"S 4502-G","s-4502-g","#909592"
"S 6502-G","s-6502-g","#6a6f6d"
"S 0500-N","s-0500-n","#f5f2ec"
"S 2000-N","s-2000-n","#cbcac6"
"S 3500-N","s-3500-n","#a9a7a4"
"S 5000-N","s-5000-n","#898989"
"S 6500-N","s-6500-n","#6e6d6c"
"S 8000-N","s-8000-n","#4d4b4a"
"S 1000-N","s-1000-n","#e2e2dd"
"S 2500-N","s-2500-n","#bdbdb9"
"S 4000-N","s-4000-n","#9c9c9a"
"S 5500-N","s-5500-n","#7e7e7c"
"S 7000-N","s-7000-n","#61605f"
"S 8500-N","s-8500-n","#3e3d3c"
"S 1500-N","s-1500-n","#d6d5d1"
"S 3000-N","s-3000-n","#b4b3b0"
"S 4500-N","s-4500-n","#929190"
"S 6000-N","s-6000-n","#747473"
"S 7500-N","s-7500-n","#575757"
"S 9000-N","s-9000-n","#2e2f31"
"0501-Y20R","0501-y20r","#f7f4ea"
"S 0500-N","s-0500-n","#f4f2eb"
"0701-Y24R","0701-y24r","#edebe4"
"S 1000-N","s-1000-n","#e2e2dd"
"1101-G73Y","1101-g73y","#e3e1dc"
"S 1500-N","s-1500-n","#d6d5d1"
"1400-N","1400-n","#dbdad5"
"S 2000-N","s-2000-n","#cccbc7"
"0402-G03Y","0402-g03y","#f4f4ec"
"S 0502-B","s-0502-b","#eaeeec"
"0603-B62G","0603-b62g","#ebefe9"
"S 0502-B50G","s-0502-b50g","#e9efea"
"0602-G13Y","0602-g13y","#eeefe8"
"S 0502-G","s-0502-g","#e9ede6"
"0503-G62Y","0503-g62y","#f2f2e6"
"S 0502-G50Y","s-0502-g50y","#f1f2e7"
"0402-Y72R","0402-y72r","#f6f0e8"
"S 0502-R","s-0502-r","#f3ece6"
"0601-Y72R","0601-y72r","#f3f0ea"
"S 0502-R50B","s-0502-r50b","#f0edea"
"0503-G94Y","0503-g94y","#f6f2e4"
"S 0502-Y","s-0502-y","#f3efe2"
"0502-Y46R","0502-y46r","#f2ece3"
"S 0502-Y50R","s-0502-y50r","#f4ece2"
"0604-R20B","0604-r20b","#f2eae8"
"S 0505-R10B","s-0505-r10b","#ede4e3"
"0502-R23B","0502-r23b","#f4edea"
"S 0505-R30B","s-0505-r30b","#f3e9eb"
"0604-R23B","0604-r23b","#f1ebea"
"S 0505-R40B","s-0505-r40b","#eae5e7"
"0602-R28B","0602-r28b","#efebe8"
"S 0505-R50B","s-0505-r50b","#ebe9eb"
"0602-R74B","0602-r74b","#efeeea"
"S 0505-R60B","s-0505-r60b","#e9ebec"
"0601-B78G","0601-b78g","#f0f0eb"
"S 0505-R70B","s-0505-r70b","#e9ecec"
"0502-B02G","0502-b02g","#edf0ec"
"S 0505-R80B","s-0505-r80b","#e4e9ea"
"0603-B","0603-b","#e7ebe8"
"S 0505-R90B","s-0505-r90b","#e4eceb"
"0505-B10G","0505-b10g","#e4ebe8"
"S 0505-B","s-0505-b","#dfeaea"
"0505-B53G","0505-b53g","#eaf0e9"
"S 0505-B20G","s-0505-b20g","#e4f0ed"
"0503-B89G","0503-b89g","#ecefe7"
"S 0505-B50G","s-0505-b50g","#e3eeea"
"0404-G98Y","0404-g98y","#f9f5e4"
"S 0505-Y","s-0505-y","#f4efd9"
"0504-G97Y","0504-g97y","#f4eedc"
"S 0505-Y10R","s-0505-y10r","#f7efd7"
"0504-Y14R","0504-y14r","#f7f0dd"
"S 0505-Y20R","s-0505-y20r","#f4ecd5"
"0504-Y27R","0504-y27r","#f8eedc"
"S 0505-Y30R","s-0505-y30r","#f9eed9"
"0504-Y42R","0504-y42r","#f6ecdd"
"S 0505-Y50R","s-0505-y50r","#f2e3d2"
"0404-Y57R","0404-y57r","#faefe4"
"S 0505-Y60R","s-0505-y60r","#fbede0"
"0604-Y67R","0604-y67r","#f4eae1"
"S 0505-Y70R","s-0505-y70r","#f3e7dc"
"0403-Y77R","0403-y77r","#f8eee6"
"S 0505-Y90R","s-0505-y90r","#f3e7e0"
"0405-G21Y","0405-g21y","#f0f2e6"
"S 0505-G","s-0505-g","#ebf1e6"
"0505-G18Y","0505-g18y","#eef0e5"
"S 0505-G10Y","s-0505-g10y","#ecf1e4"
"0504-G48Y","0504-g48y","#efeee1"
"S 0505-G30Y","s-0505-g30y","#eaeee0"
"0405-G50Y","0405-g50y","#f5f3e3"
"S 0505-G50Y","s-0505-g50y","#f2f4e1"
"0403-G87Y","0403-g87y","#f7f3e3"
"S 0505-G70Y","s-0505-g70y","#f0efdc"
"0304-G80Y","0304-g80y","#faf5e3"
"S 0505-G80Y","s-0505-g80y","#f3f1dc"
"0404-G93Y","0404-g93y","#f7f3e2"
"S 0505-G90Y","s-0505-g90y","#f6f3de"
