"S 0560-Y","s-0560-y","#fccf4d"
"S 5040-B50G","s-5040-b50g","#00645f"
"S 5540-B50G","s-5540-b50g","#005752"
"S 1055-B90G","s-1055-b90g","#45c49a"
"S 2060-B90G","s-2060-b90g","#00a176"
"S 3050-B90G","s-3050-b90g","#119171"
"S 3060-B90G","s-3060-b90g","#00835d"
"S 4050-B90G","s-4050-b90g","#007457"
"S 5040-B90G","s-5040-b90g","#0d654d"
"S 5540-B90G","s-5540-b90g","#00533f"
"S 1050-G10Y","s-1050-g10y","#7dc687"
"S 1060-G10Y","s-1060-g10y","#5dbb70"
"S 1070-G10Y","s-1070-g10y","#3baf5b"
"S 2060-G10Y","s-2060-g10y","#3c9c5d"
"S 3560-G10Y","s-3560-g10y","#106c39"
"S 4550-G10Y","s-4550-g10y","#25673c"
"S 5540-G10Y","s-5540-g10y","#245537"
"S 1050-G30Y","s-1050-g30y","#9fc777"
"S 1060-G30Y","s-1060-g30y","#8ec05c"
"S 1070-G30Y","s-1070-g30y","#7db03d"
"S 2070-G30Y","s-2070-g30y","#699632"
"S 3060-G30Y","s-3060-g30y","#618438"
"S 4050-G30Y","s-4050-g30y","#57753d"
"S 5040-G30Y","s-5040-g30y","#4e6839"
"S 1050-G50Y","s-1050-g50y","#bbc967"
"S 1060-G50Y","s-1060-g50y","#b6c44f"
"S 1070-G50Y","s-1070-g50y","#abb72b"
"S 2070-G50Y","s-2070-g50y","#919925"
"S 3060-G50Y","s-3060-g50y","#838a31"
"S 4050-G50Y","s-4050-g50y","#717a33"
"S 5040-G50Y","s-5040-g50y","#626833"
"S 1050-G70Y","s-1050-g70y","#d5d263"
"S 1060-G70Y","s-1060-g70y","#cac73e"
"S 1075-G70Y","s-1075-g70y","#c6be08"
"S 2060-G70Y","s-2060-g70y","#aea934"
"S 2070-G70Y","s-2070-g70y","#aca424"
"S 3060-G70Y","s-3060-g70y","#969232"
"S 4050-G70Y","s-4050-g70y","#847f35"
"S 0560-G90Y","s-0560-g90y","#edd74b"
"S 0570-G90Y","s-0570-g90y","#efd11f"
"S 1060-G90Y","s-1060-g90y","#dcc342"
"S 1070-G90Y","s-1070-g90y","#d9bd17"
"S 2060-G90Y","s-2060-g90y","#c0a839"
"S 2070-G90Y","s-2070-g90y","#bd9d27"
"S 3050-G90Y","s-3050-g90y","#a18f38"
"S 0505-Y","s-0505-y","#f4efd9"
"S 0510-Y","s-0510-y","#f1e8c5"
"S 0520-Y","s-0520-y","#f6e6af"
"S 0530-Y","s-0530-y","#f9e295"
"S 0540-Y","s-0540-y","#fee084"
