"Chestnut","949","#572d1b"
"Ivory","913","#ecdcc1"
"Black","901","#111111"
"Storm grey","962","#4e4f4e"
"Grey","918","#808686"
"Dove grey","960","#adadab"
"Pearl grey","961","#cecfd0"
"White","900","#fffef6"
"Dark grey metallic","992","#535655"
"Silver metallic","990","#c1c3c3"
"Gold metallic","991","#ae9b5c"
"Repositionable white","1900","#fffdf5"
"Ultra destructible white","2920","#fffef5"
"AP white","4900","#fffef6"
"Transluc red ","4506","#c02d2e"
"Transluc orange","4510","#fa5f2b"
"Transluc chrome yellow","4504","#ffb400"
"Transluc yellow","4502","#ffca00"
"Transluc light green","4507","#80bf00"
"Transluc green","4516","#006536"
"Transluc dark blue","4517","#352a69"
"Transluc blue","4512","#0073b3"
"Transluc pink","4511","#b92571"
"Transluc violet","4513","#5c2b5d"
"Transluc dark brown","4515","#523b34"
"Transluc brown","4514","#6e3931"
"Transluc black","4501","#313234"
"Transluc white","4500","#efece2"
"Transluc burgundy","4522","#683037"
"Transluc light orange","4524","#f48807"
"Transluc turquoise","4539","#009575"
"Transluc light blue","4523","#008db6"
"Transluc sapphire blue","4518","#2c3e83"
"Transluc grey","4519","#9a9ba0"
"Transluc medium grey","4536","#797c7e"
"Fluor red","6203","#ff0000"
"Fluor orange","6206","#ff1a00"
"Fluor light orange","6209","#ff5b00"
"Fluor yellow","6202","#feff00"
"Fluor red","6803","#ff0000"
"Fluor yellow","6802","#fdf300"
"Cherry red","8803","#ac0d19"
"Poppy red","8804","#d83823"
"Tangerine orange","8805","#ec6100"
"Sunflower yellow","8806","#ffbb00"
"Primrose yellow ","8807","#fce000"
"Lime green","8814","#84d02a"
"Grass green","8813","#45a200"
"Cactus green","8812","#008e4e"
"Forest green","8811","#004d2c"
"Cosmos blue","8808","#005393"
"Ocean blue","8809","#0089c0"
"Sky blue","8810","#00abc7"
"Pink","8816","#f591c2"
"Cyclamen","8815","#bb2165"
"Violet","8817","#633a95"
"Burgundy red","8802","#330000"
"Chocolate","8818","#513426"
"Beige","8819","#e9cc9a"
"Black","8801","#08090c"
"Grey","8820","#606566"
"White","8800","#f6f6fb"
"Medium red","8826","#c01a11"
"Kelly green","8834","#00773e"
"China blue","8824","#0a1837"
"Blue","8823","#19265e"
"Blue","8833","#00537a"
"Light blue","8832","#58b5de"
"Teal","8829","#76d5bc"
"Turquoise","8831","#009294"
"Caramel","8828","#7f4d24"
"Brown","8827","#b38551"
"Medium grey","8825","#7c878d"
"Black dull","8821","#222325"
"White dull","8830","#f2f1f7"
"Silver","8835","#939596"
"Gold","8836","#9b895a"
