"Baumit 2F7","2f7","#d7bbc0"
"Baumit 2F9","2f9","#dbcaca"
"Baumit 2G1","2g1","#e2b528"
"Baumit 2G3","2g3","#e5c44f"
"Baumit 2G5","2g5","#e9d67d"
"Baumit 2G7","2g7","#e8dfa1"
"Baumit 2G9","2g9","#e9e6c1"
"Baumit 2J1","2j1","#6a9980"
"Baumit 2J3","2j3","#8ab29e"
"Baumit 2J5","2j5","#adcaba"
"Baumit 2J7","2j7","#c1d4c9"
"Baumit 2J9","2j9","#d3ddd5"
"Baumit 2K1","2k1","#718961"
"Baumit 2K3","2k3","#8ba27a"
"Baumit 2K5","2k5","#afc19e"
"Baumit 2K7","2k7","#c7d1b8"
"Baumit 2K9","2k9","#d3d9c8"
"Baumit 2M1","2m1","#c79447"
"Baumit 2M3","2m3","#d9ac61"
"Baumit 2M5","2m5","#e2bf80"
"Baumit 2M7","2m7","#ecd3a4"
"Baumit 2M9","2m9","#efe1c3"
"Baumit 2O1","2o1","#adbc35"
"Baumit 2O3","2o3","#c8cc56"
"Baumit 2O5","2o5","#d6d883"
"Baumit 2O7","2o7","#dfdfa9"
"Baumit 2O9","2o9","#e2e2c2"
"Baumit 2R1","2r1","#d75c48"
"Baumit 2R3","2r3","#e37e66"
"Baumit 2R5","2r5","#eb9d88"
"Baumit 2R7","2r7","#e9b5a7"
"Baumit 2R9","2r9","#ebcabe"
"Baumit 2S1","2s1","#5b5b59"
"Baumit 2S3","2s3","#777774"
"Baumit 2S5","2s5","#969591"
"Baumit 2S7","2s7","#b2b2af"
"Baumit 2S9","2s9","#cdcdca"
"Baumit 2T1","2t1","#51bbc0"
"Baumit 2T3","2t3","#85cacf"
"Baumit 2T5","2t5","#a7d3d4"
"Baumit 2T7","2t7","#c1d8d4"
"Baumit 2T9","2t9","#d9e4de"
"Baumit 2U1","2u1","#63504c"
"Baumit 2U3","2u3","#7d6763"
"Baumit 2U5","2u5","#9b857f"
"Baumit 2U7","2u7","#b9a69f"
"Baumit 2U9","2u9","#ccbfbc"
"Baumit 2V1","2v1","#727390"
"Baumit 2V3","2v3","#9192ab"
"Baumit 2V5","2v5","#b0b2c7"
"Baumit 2V7","2v7","#c5c5d1"
"Baumit 2V9","2v9","#d4d5d9"
"Baumit 2Z1","2z1","#965748"
"Baumit 2Z3","2z3","#aa6b5b"
"Baumit 2Z5","2z5","#c58b7a"
"Baumit 2Z7","2z7","#d7a99a"
"Baumit 2Z9","2z9","#e2c3b7"
"Baumit 3A1","3a1","#59859e"
"Baumit 3A3","3a3","#7ba2b9"
"Baumit 3A5","3a5","#a1bfd0"
"Baumit 3A7","3a7","#bacdd6"
"Baumit 3A9","3a9","#d0dadb"
"Baumit 3K1","3k1","#758f58"
